"Hours since thread went live","Odekake Kozame - Episode 57 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,2
0.8333333333333334,3
0.9166666666666666,3
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,1
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,2
1.6666666666666667,1
1.75,1
1.8333333333333333,3
1.9166666666666667,1
2,2
2.0833333333333335,2
2.1666666666666665,1
2.25,1
2.3333333333333335,0
2.4166666666666665,1
2.5,3
2.5833333333333335,3
2.6666666666666665,2
2.75,3
2.8333333333333335,4
2.9166666666666665,2
3,6
3.0833333333333335,5
3.1666666666666665,7
3.25,3
3.3333333333333335,3
3.4166666666666665,5
3.5,5
3.5833333333333335,3
3.6666666666666665,5
3.75,5
3.8333333333333335,5
3.9166666666666665,4
4,5
4.083333333333333,5
4.166666666666667,5
4.25,3
4.333333333333333,3
4.416666666666667,2
4.5,4
4.583333333333333,3
4.666666666666667,6
4.75,2
4.833333333333333,4
4.916666666666667,2
5,4
5.083333333333333,5
5.166666666666667,3
5.25,4
5.333333333333333,4
5.416666666666667,4
5.5,4
5.583333333333333,5
5.666666666666667,4
5.75,6
5.833333333333333,3
5.916666666666667,6
6,4
6.083333333333333,6
6.166666666666667,6
6.333333333333333,5
6.416666666666667,5
6.416666666666667,5
6.5,6
6.583333333333333,7
6.666666666666667,5
6.75,4
6.833333333333333,6
6.916666666666667,5
7,5
7.083333333333333,6
7.166666666666667,4
7.25,3
7.333333333333333,5
7.416666666666667,7
7.5,3
7.583333333333333,6
7.666666666666667,3
7.75,5
7.833333333333333,7
7.916666666666667,6
8,5
8.083333333333334,5
8.166666666666666,4
8.25,5
8.333333333333334,5
8.416666666666666,3
8.5,5
8.583333333333334,5
8.666666666666666,5
8.75,3
8.833333333333334,6
8.916666666666666,5
9,5
9.083333333333334,7
9.166666666666666,4
9.25,7
9.333333333333334,5
9.416666666666666,3
9.5,5
9.583333333333334,4
9.666666666666666,5
9.75,5
9.833333333333334,7
9.916666666666666,5
10,4
10.083333333333334,5
10.166666666666666,5
10.25,5
10.333333333333334,7
10.416666666666666,5
10.5,5
10.583333333333334,5
10.666666666666666,6
10.75,4
10.833333333333334,9
10.916666666666666,5
11,7
11.083333333333334,7
11.166666666666666,7
11.25,5
11.333333333333334,5
11.416666666666666,8
11.5,7
11.583333333333334,8
11.666666666666666,7
11.75,7
11.833333333333334,7
11.916666666666666,7
12,8
12.083333333333334,7
12.166666666666666,8
12.25,9
12.333333333333334,6
12.416666666666666,9
12.5,8
12.583333333333334,8
12.666666666666666,7
12.75,8
12.833333333333334,7
12.916666666666666,7
13,6
13.083333333333334,9
13.166666666666666,9
13.25,8
13.333333333333334,7
13.416666666666666,7
13.5,7
13.583333333333334,10
13.666666666666666,7
13.75,10
13.833333333333334,7
13.916666666666666,8
14,9
14.083333333333334,10
14.166666666666666,10
14.25,10
14.333333333333334,7
14.416666666666666,10
14.5,6
14.583333333333334,9
14.666666666666666,8
14.75,7
14.833333333333334,7
14.916666666666666,10
15,8
15.083333333333334,10
15.166666666666666,8
15.25,10
15.333333333333334,7
15.416666666666666,9
15.5,9
15.583333333333334,9
15.666666666666666,9
15.75,8
15.833333333333334,9
15.916666666666666,7
16,8
16.083333333333332,10
16.166666666666668,10
16.25,9
16.333333333333332,9
16.416666666666668,8
16.5,9
16.583333333333332,8
16.666666666666668,9
16.75,8
16.833333333333332,8
16.916666666666668,8
17,8
17.083333333333332,8
17.166666666666668,8
17.25,10
17.333333333333332,11
17.416666666666668,11
17.5,10
17.583333333333332,8
17.666666666666668,8
17.75,10
17.833333333333332,11
17.916666666666668,11
18,11
18.083333333333332,10
18.166666666666668,9
18.25,10
18.333333333333332,11
18.416666666666668,9
18.5,9
18.583333333333332,10
18.666666666666668,9
18.75,9
18.833333333333332,10
18.916666666666668,12
19,10
19.083333333333332,11
19.166666666666668,9
19.25,10
19.333333333333332,11
19.416666666666668,11
19.5,11
19.583333333333332,9
19.666666666666668,10
19.75,11
19.833333333333332,10
19.916666666666668,8
20,8
20.083333333333332,8
20.166666666666668,12
20.25,10
20.333333333333332,9
20.416666666666668,12
20.5,12
20.583333333333332,10
20.666666666666668,9
20.75,10
20.833333333333332,10
20.916666666666668,9
21,11
21.083333333333332,11
21.166666666666668,10
21.25,9
21.333333333333332,9
21.416666666666668,9
21.5,9
21.583333333333332,10
21.666666666666668,9
21.75,8
21.833333333333332,11
21.916666666666668,9
22,8
22.083333333333332,9
22.166666666666668,10
22.25,11
22.333333333333332,11
22.416666666666668,9
22.5,9
22.583333333333332,9
22.666666666666668,9
22.75,11
22.833333333333332,11
22.916666666666668,11
23,10
23.083333333333332,10
23.166666666666668,11
23.25,9
23.333333333333332,10
23.416666666666668,10
23.5,8
23.583333333333332,10
23.666666666666668,10
23.75,9
23.833333333333332,8
23.916666666666668,8
24,10
24.083333333333332,10
24.166666666666668,10
24.25,11
24.333333333333332,12
24.416666666666668,11
24.5,11
24.583333333333332,10
24.666666666666668,9
24.75,9
24.833333333333332,11
24.916666666666668,12
25,12
25.083333333333332,10
25.166666666666668,12
25.25,10
25.333333333333332,12
25.416666666666668,10
25.5,11
25.583333333333332,11
25.666666666666668,10
25.75,9
25.833333333333332,10
25.916666666666668,10
26,10
26.083333333333332,10
26.166666666666668,8
26.25,9
26.333333333333332,11
26.416666666666668,10
26.5,9
26.583333333333332,10
26.666666666666668,12
26.75,10
26.833333333333332,9
26.916666666666668,9
27,10
27.083333333333332,8
27.166666666666668,11
27.25,11
27.333333333333332,10
27.416666666666668,10
27.5,12
27.583333333333332,9
27.666666666666668,9
27.75,10
27.833333333333332,11
27.916666666666668,10
28,10
28.083333333333332,11
28.166666666666668,9
28.25,10
28.333333333333332,12
28.416666666666668,10
28.5,10
28.583333333333332,11
28.666666666666668,10
28.75,11
28.833333333333332,10
28.916666666666668,13
29,13
29.083333333333332,12
29.166666666666668,13
29.25,13
29.333333333333332,13
29.416666666666668,10
29.5,13
29.583333333333332,11
29.666666666666668,11
29.75,11
29.833333333333332,12
29.916666666666668,10
30,9
30.083333333333332,12
30.166666666666668,9
30.25,13
30.333333333333332,10
30.416666666666668,9
30.5,10
30.583333333333332,12
30.666666666666668,11
30.75,9
30.833333333333332,10
30.916666666666668,11
31,10
31.083333333333332,11
31.166666666666668,11
31.25,10
31.333333333333332,11
31.416666666666668,10
31.5,13
31.583333333333332,12
31.666666666666668,11
31.75,11
31.833333333333332,11
31.916666666666668,12
32,11
32.083333333333336,12
32.166666666666664,11
32.25,11
32.333333333333336,11
32.416666666666664,11
32.5,12
32.583333333333336,14
32.666666666666664,11
32.75,10
32.833333333333336,13
32.916666666666664,14
33,11
33.083333333333336,10
33.166666666666664,13
33.25,14
33.333333333333336,13
33.416666666666664,11
33.5,11
33.583333333333336,12
33.666666666666664,10
33.75,14
33.833333333333336,12
33.916666666666664,12
34,12
34.083333333333336,12
34.166666666666664,12
34.25,12
34.333333333333336,13
34.416666666666664,12
34.5,11
34.583333333333336,12
34.666666666666664,13
34.75,12
34.833333333333336,13
34.916666666666664,12
35,12
35.083333333333336,11
35.166666666666664,12
35.25,11
35.333333333333336,10
35.416666666666664,11
35.5,12
35.583333333333336,12
35.666666666666664,11
35.75,13
35.833333333333336,13
35.916666666666664,14
36,10
36.083333333333336,11
36.166666666666664,12
36.25,12
36.333333333333336,12
36.416666666666664,10
36.5,10
36.583333333333336,13
36.666666666666664,12
36.75,10
36.833333333333336,12
36.916666666666664,12
37,12
37.083333333333336,11
37.166666666666664,11
37.25,12
37.333333333333336,13
37.416666666666664,13
37.5,10
37.583333333333336,11
37.666666666666664,13
37.75,12
37.833333333333336,13
37.916666666666664,13
38,14
38.083333333333336,14
38.166666666666664,13
38.25,12
38.333333333333336,12
38.416666666666664,12
38.5,11
38.583333333333336,13
38.666666666666664,11
38.75,11
38.833333333333336,10
38.916666666666664,11
39,11
39.083333333333336,11
