"Hours since thread went live","Touken Ranbu Kai: Kyoden Moyuru Honnouji - Episode 5 discussion"
0,1
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,0
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,0
1.1666666666666667,1
1.25,1
1.3333333333333333,0
1.4166666666666667,0
1.5,2
1.5833333333333333,1
1.6666666666666667,1
1.9166666666666667,2
1.9166666666666667,1
1.9166666666666667,2
2,3
2.0833333333333335,3
2.1666666666666665,3
2.25,2
2.3333333333333335,4
2.4166666666666665,5
2.5,5
2.5833333333333335,4
2.6666666666666665,5
2.75,3
2.8333333333333335,6
2.9166666666666665,4
3,4
3.0833333333333335,3
3.1666666666666665,3
3.25,4
3.3333333333333335,3
3.4166666666666665,4
3.5,4
3.5833333333333335,3
3.6666666666666665,5
3.75,3
3.8333333333333335,4
3.9166666666666665,5
4,6
4.083333333333333,7
4.166666666666667,6
4.25,8
4.333333333333333,6
4.416666666666667,8
4.5,9
4.583333333333333,8
4.666666666666667,9
4.75,9
4.833333333333333,9
4.916666666666667,6
5,9
5.083333333333333,8
5.166666666666667,6
5.25,8
5.333333333333333,7
5.416666666666667,7
5.5,7
5.583333333333333,6
5.666666666666667,6
5.75,7
5.833333333333333,7
5.916666666666667,8
6,8
6.083333333333333,8
6.166666666666667,8
6.25,8
6.333333333333333,9
6.416666666666667,8
6.5,11
6.583333333333333,7
6.666666666666667,9
6.75,8
6.833333333333333,7
6.916666666666667,10
7,9
7.083333333333333,9
7.166666666666667,9
7.25,8
7.333333333333333,10
7.416666666666667,11
7.5,10
7.583333333333333,8
7.666666666666667,7
7.75,10
7.833333333333333,7
7.916666666666667,11
8,9
8.083333333333334,10
8.166666666666666,8
8.25,7
8.333333333333334,10
8.416666666666666,8
8.5,8
8.583333333333334,7
8.666666666666666,7
8.75,7
8.833333333333334,9
8.916666666666666,9
9,10
9.083333333333334,8
9.166666666666666,9
9.25,11
9.333333333333334,11
9.416666666666666,10
9.5,10
9.583333333333334,11
9.666666666666666,9
9.75,11
9.833333333333334,12
9.916666666666666,11
10,13
10.083333333333334,12
10.166666666666666,11
10.25,13
10.333333333333334,11
10.416666666666666,11
10.5,11
10.583333333333334,11
10.666666666666666,11
10.75,13
10.833333333333334,10
10.916666666666666,13
11,12
11.083333333333334,10
11.166666666666666,13
11.25,9
11.333333333333334,11
11.416666666666666,9
11.5,12
11.583333333333334,11
11.666666666666666,12
11.75,13
11.833333333333334,9
11.916666666666666,11
12,11
12.083333333333334,12
12.166666666666666,10
12.25,12
12.333333333333334,11
12.416666666666666,13
12.5,11
12.583333333333334,11
12.666666666666666,9
12.75,12
12.833333333333334,9
12.916666666666666,11
13,11
13.083333333333334,11
13.166666666666666,9
13.25,12
13.333333333333334,13
13.416666666666666,11
13.5,11
13.583333333333334,11
13.666666666666666,9
13.75,11
13.833333333333334,12
13.916666666666666,12
14,9
14.083333333333334,10
14.166666666666666,12
14.25,10
14.333333333333334,11
14.416666666666666,9
14.5,12
14.583333333333334,13
14.666666666666666,13
14.75,13
14.833333333333334,9
14.916666666666666,13
15,10
15.083333333333334,11
15.166666666666666,13
15.25,12
15.333333333333334,9
15.416666666666666,10
15.5,12
15.583333333333334,10
15.666666666666666,12
15.75,12
15.833333333333334,11
15.916666666666666,9
16,10
16.083333333333332,12
16.166666666666668,12
16.25,11
16.333333333333332,13
16.416666666666668,11
16.5,11
16.583333333333332,10
16.666666666666668,9
16.75,10
16.833333333333332,9
16.916666666666668,11
17,14
17.083333333333332,10
17.166666666666668,12
17.25,11
17.333333333333332,10
17.416666666666668,10
17.5,10
17.583333333333332,12
17.666666666666668,13
17.75,11
17.833333333333332,13
17.916666666666668,13
18,10
18.083333333333332,12
18.166666666666668,12
18.25,12
18.333333333333332,13
18.416666666666668,11
18.5,11
18.583333333333332,10
18.666666666666668,12
18.75,11
18.833333333333332,11
18.916666666666668,11
19,10
19.083333333333332,11
19.166666666666668,13
19.25,9
19.333333333333332,11
19.416666666666668,11
19.5,10
19.583333333333332,12
19.666666666666668,10
19.75,13
19.833333333333332,13
19.916666666666668,11
20,11
20.083333333333332,11
20.166666666666668,10
20.25,10
20.333333333333332,12
20.416666666666668,11
20.5,10
20.583333333333332,11
20.666666666666668,10
20.75,11
20.833333333333332,13
20.916666666666668,12
21,9
21.083333333333332,11
21.166666666666668,12
21.25,12
21.333333333333332,9
21.416666666666668,13
21.5,12
21.583333333333332,12
21.666666666666668,11
21.75,11
21.833333333333332,12
21.916666666666668,13
22,11
22.083333333333332,10
22.166666666666668,11
22.25,10
22.333333333333332,12
22.416666666666668,13
22.5,11
22.583333333333332,13
22.666666666666668,12
22.75,12
22.833333333333332,10
22.916666666666668,10
23,11
23.083333333333332,9
23.166666666666668,13
23.25,9
23.333333333333332,11
23.416666666666668,10
23.5,12
23.583333333333332,10
23.666666666666668,9
23.75,9
23.833333333333332,12
23.916666666666668,11
24,12
24.083333333333332,11
24.166666666666668,12
24.25,13
24.333333333333332,11
24.416666666666668,11
24.5,13
24.583333333333332,13
24.666666666666668,10
24.75,11
24.833333333333332,11
24.916666666666668,12
25,10
25.083333333333332,9
25.166666666666668,11
25.25,12
25.333333333333332,10
25.416666666666668,12
25.5,11
25.583333333333332,11
25.666666666666668,12
25.75,13
25.833333333333332,11
25.916666666666668,13
26,13
26.083333333333332,9
26.166666666666668,11
26.25,12
26.333333333333332,12
26.416666666666668,9
26.5,13
26.583333333333332,13
26.666666666666668,11
26.75,11
26.833333333333332,9
26.916666666666668,12
27,13
27.083333333333332,13
27.166666666666668,11
27.25,12
27.333333333333332,12
27.416666666666668,10
27.5,12
27.583333333333332,13
27.666666666666668,10
27.75,12
27.833333333333332,10
27.916666666666668,10
28,12
28.083333333333332,11
28.166666666666668,11
28.25,10
28.333333333333332,10
28.416666666666668,11
28.5,13
28.583333333333332,12
28.666666666666668,13
28.75,12
28.833333333333332,12
28.916666666666668,13
29,12
29.083333333333332,12
29.166666666666668,11
29.25,11
29.333333333333332,13
29.416666666666668,11
29.5,12
29.583333333333332,14
29.666666666666668,12
29.75,13
29.833333333333332,12
29.916666666666668,12
30,13
30.083333333333332,13
30.166666666666668,11
30.25,12
30.333333333333332,13
30.416666666666668,13
30.5,10
30.583333333333332,10
30.666666666666668,12
30.75,12
30.833333333333332,11
30.916666666666668,14
31,12
31.083333333333332,10
31.166666666666668,11
31.25,11
31.333333333333332,12
31.416666666666668,13
31.5,14
31.583333333333332,11
31.666666666666668,12
31.75,11
31.833333333333332,14
31.916666666666668,10
32,13
32.083333333333336,11
32.166666666666664,13
32.25,14
32.333333333333336,13
32.416666666666664,13
32.5,10
32.583333333333336,14
32.666666666666664,12
32.75,11
32.833333333333336,12
32.916666666666664,13
33,14
33.083333333333336,13
33.166666666666664,11
33.25,11
33.333333333333336,15
33.416666666666664,13
33.5,12
33.583333333333336,12
33.666666666666664,14
33.75,14
33.833333333333336,13
33.916666666666664,13
34,13
34.083333333333336,13
34.166666666666664,14
34.25,14
34.333333333333336,14
34.416666666666664,14
34.5,12
34.583333333333336,12
34.666666666666664,15
34.75,11
34.833333333333336,14
34.916666666666664,14
35,12
35.083333333333336,11
35.166666666666664,13
35.25,13
35.333333333333336,13
35.416666666666664,12
35.5,12
35.583333333333336,11
35.666666666666664,14
35.75,13
35.833333333333336,13
35.916666666666664,13
36,11
36.083333333333336,14
36.166666666666664,13
36.25,13
36.333333333333336,12
36.416666666666664,12
36.5,12
36.583333333333336,14
36.666666666666664,13
36.75,13
36.833333333333336,13
36.916666666666664,11
37,15
37.083333333333336,13
37.166666666666664,12
37.25,13
37.333333333333336,12
37.416666666666664,12
37.5,12
37.583333333333336,13
37.666666666666664,11
37.75,14
37.833333333333336,12
37.916666666666664,13
38,13
38.083333333333336,13
38.166666666666664,15
38.25,14
38.333333333333336,16
38.416666666666664,15
38.5,16
38.583333333333336,14
38.666666666666664,14
38.75,13
38.833333333333336,16
38.916666666666664,14
39,14
39.083333333333336,13
39.166666666666664,13
39.25,12
39.333333333333336,14
39.416666666666664,14
39.5,14
39.583333333333336,15
39.666666666666664,16
39.75,14
39.833333333333336,15
39.916666666666664,16
40,15
40.083333333333336,13
40.166666666666664,14
40.25,12
40.333333333333336,15
40.416666666666664,13
40.5,15
40.583333333333336,13
40.666666666666664,15
40.75,13
40.833333333333336,13
40.916666666666664,16
41,13
41.083333333333336,13
41.166666666666664,13
41.25,13
41.333333333333336,14
41.416666666666664,13
41.5,12
41.583333333333336,15
41.666666666666664,15
41.75,14
41.833333333333336,15
41.916666666666664,14
42,13
42.083333333333336,13
42.166666666666664,16
42.25,15
42.333333333333336,13
42.416666666666664,12
42.5,14
42.583333333333336,13
42.666666666666664,15
42.75,14
42.833333333333336,15
42.916666666666664,13
43,13
43.083333333333336,13
43.166666666666664,14
43.25,14
43.333333333333336,15
43.416666666666664,14
43.5,13
43.583333333333336,14
43.666666666666664,16
43.75,12
43.833333333333336,15
43.916666666666664,13
44,15
44.083333333333336,16
44.166666666666664,14
44.25,15
44.333333333333336,15
44.416666666666664,14
44.5,14
44.583333333333336,14
44.666666666666664,12
44.75,14
44.833333333333336,14
44.916666666666664,15
45,14
45.083333333333336,15
45.166666666666664,14
45.25,14
45.333333333333336,15
45.416666666666664,13
45.5,14
45.583333333333336,15
45.666666666666664,16
45.75,13
45.833333333333336,13
45.916666666666664,13
46,13
46.083333333333336,12
46.166666666666664,13
46.25,16
46.333333333333336,16
46.416666666666664,14
46.5,14
46.583333333333336,12
46.666666666666664,16
46.75,12
46.833333333333336,14
46.916666666666664,15
47,13
47.083333333333336,13
47.166666666666664,13
47.25,15
47.333333333333336,15
47.416666666666664,15
47.5,13
47.583333333333336,16
47.666666666666664,15
47.75,13
47.833333333333336,14
47.916666666666664,16
