"Hours since thread went live","Seiyuu Radio no Uraomote • The Many Sides of Voice Actor Radio - Episode 4 discussion"
0,1
0,3
0.08333333333333333,4
0.16666666666666666,5
0.25,5
0.3333333333333333,5
0.4166666666666667,9
0.5,17
0.5833333333333334,19
0.6666666666666666,21
0.75,23
0.8333333333333334,25
0.9166666666666666,28
1,38
1.0833333333333333,39
1.1666666666666667,45
1.25,49
1.3333333333333333,54
1.4166666666666667,53
1.5,57
1.5833333333333333,62
1.6666666666666667,64
1.75,65
1.8333333333333333,67
1.9166666666666667,73
2,73
2.0833333333333335,76
2.1666666666666665,74
2.25,81
2.3333333333333335,87
2.4166666666666665,92
2.5,92
2.5833333333333335,99
2.6666666666666665,100
2.75,104
2.8333333333333335,107
2.9166666666666665,111
3,114
3.0833333333333335,117
3.1666666666666665,118
3.25,123
3.3333333333333335,126
3.4166666666666665,131
3.5,132
3.5833333333333335,137
3.6666666666666665,143
3.75,147
3.8333333333333335,152
3.9166666666666665,157
4,159
4.083333333333333,161
4.166666666666667,163
4.25,167
4.333333333333333,168
4.416666666666667,171
4.5,174
4.583333333333333,177
4.666666666666667,184
4.75,184
4.833333333333333,183
4.916666666666667,191
5,197
5.083333333333333,196
5.166666666666667,200
5.25,202
5.333333333333333,203
5.416666666666667,204
5.5,206
5.583333333333333,208
5.666666666666667,213
5.75,216
5.833333333333333,218
5.916666666666667,214
6,216
6.083333333333333,220
6.166666666666667,223
6.25,222
6.333333333333333,224
6.416666666666667,230
6.5,233
6.583333333333333,235
6.666666666666667,239
6.75,244
6.833333333333333,245
6.916666666666667,250
7,249
7.083333333333333,259
7.166666666666667,258
7.25,259
7.333333333333333,265
7.416666666666667,263
7.5,271
7.583333333333333,273
7.666666666666667,275
7.75,272
7.833333333333333,280
7.916666666666667,284
8,281
8.083333333333334,288
8.166666666666666,291
8.25,289
8.333333333333334,295
8.416666666666666,293
8.5,297
8.583333333333334,293
8.666666666666666,299
8.75,300
8.833333333333334,304
8.916666666666666,305
9,308
9.083333333333334,305
9.166666666666666,305
9.25,306
9.333333333333334,310
9.416666666666666,311
9.5,315
9.583333333333334,313
9.666666666666666,317
9.75,322
9.833333333333334,318
9.916666666666666,317
10,325
10.083333333333334,329
10.166666666666666,326
10.25,325
10.333333333333334,330
10.416666666666666,329
10.5,332
10.583333333333334,332
10.666666666666666,334
10.75,336
10.833333333333334,336
10.916666666666666,339
11,334
11.083333333333334,340
11.166666666666666,342
11.25,344
11.333333333333334,344
11.416666666666666,348
11.5,352
11.583333333333334,352
11.666666666666666,356
11.75,356
11.833333333333334,356
11.916666666666666,358
12,364
12.083333333333334,358
12.166666666666666,363
12.25,361
12.333333333333334,362
12.416666666666666,361
12.5,366
12.583333333333334,369
12.666666666666666,368
12.75,372
12.833333333333334,367
12.916666666666666,370
13,374
13.083333333333334,370
13.166666666666666,375
13.25,378
13.333333333333334,378
13.416666666666666,380
13.5,382
13.583333333333334,384
13.666666666666666,383
13.75,383
13.833333333333334,386
13.916666666666666,387
14,387
14.083333333333334,384
14.166666666666666,389
14.25,384
14.333333333333334,387
14.416666666666666,389
14.5,392
14.583333333333334,388
14.666666666666666,384
14.75,396
14.833333333333334,394
14.916666666666666,390
15,393
15.083333333333334,394
15.166666666666666,392
15.25,391
15.333333333333334,399
15.416666666666666,393
15.5,400
15.583333333333334,395
15.666666666666666,399
15.75,401
15.833333333333334,402
15.916666666666666,400
16,403
16.083333333333332,405
16.166666666666668,406
16.25,406
16.333333333333332,413
16.416666666666668,411
16.5,415
16.583333333333332,416
16.666666666666668,424
16.75,419
16.833333333333332,417
16.916666666666668,417
17,418
17.083333333333332,420
17.166666666666668,421
17.25,416
17.333333333333332,422
17.416666666666668,426
17.5,426
17.583333333333332,428
17.666666666666668,430
17.75,423
17.833333333333332,425
17.916666666666668,425
18,426
18.083333333333332,427
18.166666666666668,431
18.25,434
18.333333333333332,431
18.416666666666668,436
18.5,431
18.583333333333332,430
18.666666666666668,426
18.75,431
18.833333333333332,430
18.916666666666668,437
19,437
19.083333333333332,439
19.166666666666668,437
19.25,440
19.333333333333332,437
19.416666666666668,438
19.5,440
19.583333333333332,437
19.666666666666668,438
19.75,438
19.833333333333332,443
19.916666666666668,439
20,441
20.083333333333332,441
20.166666666666668,442
20.25,434
20.333333333333332,438
20.416666666666668,434
20.5,439
20.583333333333332,439
20.666666666666668,439
20.75,446
20.833333333333332,445
20.916666666666668,446
21,444
21.083333333333332,450
21.166666666666668,441
21.25,446
21.333333333333332,452
21.416666666666668,446
21.5,452
21.583333333333332,445
21.666666666666668,442
21.75,448
21.833333333333332,448
21.916666666666668,451
22,447
22.083333333333332,455
22.166666666666668,450
22.25,446
22.333333333333332,451
22.416666666666668,450
22.5,456
22.583333333333332,454
22.666666666666668,453
22.75,455
22.833333333333332,455
22.916666666666668,454
23,460
23.083333333333332,458
23.166666666666668,457
23.25,456
23.333333333333332,456
23.416666666666668,462
23.5,461
23.583333333333332,463
23.666666666666668,464
23.75,459
23.833333333333332,459
23.916666666666668,462
24,458
24.083333333333332,468
24.166666666666668,464
24.25,457
24.333333333333332,467
24.416666666666668,465
24.5,468
24.583333333333332,464
24.666666666666668,466
24.75,463
24.833333333333332,471
24.916666666666668,470
25,466
25.083333333333332,472
25.166666666666668,463
25.25,470
25.333333333333332,473
25.416666666666668,470
25.5,468
25.583333333333332,466
25.666666666666668,471
25.75,471
25.833333333333332,469
25.916666666666668,469
26,465
26.083333333333332,470
26.166666666666668,470
26.25,470
