"Hours since thread went live","T.P BON - Episode 1 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,3
0.8333333333333334,3
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,2
1.4166666666666667,2
1.5,3
1.5833333333333333,4
1.6666666666666667,5
1.75,5
1.8333333333333333,5
1.9166666666666667,4
2,6
2.0833333333333335,4
2.1666666666666665,5
2.25,4
2.3333333333333335,7
2.4166666666666665,6
2.5,4
2.5833333333333335,5
2.6666666666666665,5
2.75,5
2.8333333333333335,2
2.9166666666666665,2
3,4
3.0833333333333335,4
3.1666666666666665,2
3.25,4
3.3333333333333335,3
3.4166666666666665,4
3.5,3
3.5833333333333335,3
3.6666666666666665,2
3.75,4
3.8333333333333335,4
3.9166666666666665,4
4,3
4.083333333333333,6
4.166666666666667,4
4.25,6
4.333333333333333,3
4.416666666666667,2
4.5,5
4.583333333333333,1
4.666666666666667,4
4.75,1
4.833333333333333,6
4.916666666666667,3
5,5
5.083333333333333,7
5.166666666666667,6
5.25,7
5.333333333333333,6
5.416666666666667,7
5.5,9
5.583333333333333,6
5.666666666666667,7
5.75,6
5.833333333333333,9
5.916666666666667,9
6,8
6.083333333333333,7
6.166666666666667,10
6.25,8
6.333333333333333,7
6.416666666666667,10
6.5,7
6.583333333333333,8
6.666666666666667,8
6.75,8
6.833333333333333,9
6.916666666666667,8
7,8
7.083333333333333,10
7.166666666666667,6
7.25,9
7.333333333333333,8
7.416666666666667,8
7.5,8
7.583333333333333,8
7.666666666666667,8
7.75,8
7.833333333333333,10
7.916666666666667,6
8,6
8.083333333333334,8
8.166666666666666,8
8.25,7
8.333333333333334,9
8.416666666666666,8
8.5,9
8.583333333333334,10
8.666666666666666,8
8.75,8
8.833333333333334,8
8.916666666666666,8
9,8
9.083333333333334,8
9.166666666666666,9
9.25,10
9.333333333333334,10
9.416666666666666,10
9.5,11
9.583333333333334,12
9.666666666666666,11
9.75,12
9.833333333333334,12
9.916666666666666,13
10,11
10.083333333333334,14
10.166666666666666,12
10.25,13
10.333333333333334,15
10.416666666666666,11
10.5,12
10.583333333333334,13
10.666666666666666,13
10.75,15
10.833333333333334,14
10.916666666666666,13
11,13
11.083333333333334,12
11.166666666666666,15
11.25,11
11.333333333333334,14
11.416666666666666,13
11.5,14
11.583333333333334,13
11.666666666666666,14
11.75,14
11.833333333333334,12
11.916666666666666,13
12,15
12.083333333333334,13
12.166666666666666,14
12.25,14
12.333333333333334,12
12.416666666666666,11
12.5,14
12.583333333333334,14
12.666666666666666,11
12.75,11
12.833333333333334,11
12.916666666666666,13
13,15
13.083333333333334,15
13.166666666666666,12
13.25,14
13.333333333333334,16
13.416666666666666,14
13.5,15
13.666666666666666,13
13.75,15
13.833333333333334,16
13.916666666666666,12
14,16
14.083333333333334,15
14.166666666666666,15
14.25,14
14.333333333333334,14
14.416666666666666,14
14.5,15
14.583333333333334,15
14.666666666666666,15
14.75,15
14.833333333333334,17
14.916666666666666,16
15,17
15.083333333333334,16
15.166666666666666,16
15.25,14
15.333333333333334,17
15.416666666666666,16
15.5,17
15.583333333333334,16
15.666666666666666,18
15.75,18
15.833333333333334,16
15.916666666666666,16
16,15
16.083333333333332,15
16.166666666666668,18
16.25,17
16.333333333333332,16
16.416666666666668,15
16.5,16
16.583333333333332,17
16.666666666666668,16
16.75,16
16.833333333333332,17
16.916666666666668,16
17,17
17.083333333333332,17
17.166666666666668,17
17.25,17
17.333333333333332,16
17.416666666666668,16
17.5,14
17.583333333333332,15
17.666666666666668,18
17.75,15
17.833333333333332,17
17.916666666666668,16
18,16
18.083333333333332,15
18.166666666666668,15
18.25,17
18.333333333333332,15
18.416666666666668,17
18.5,17
18.583333333333332,17
18.666666666666668,17
18.75,17
18.833333333333332,18
18.916666666666668,17
19,17
19.083333333333332,18
19.166666666666668,18
19.25,20
19.333333333333332,18
19.416666666666668,18
19.5,16
19.583333333333332,18
19.666666666666668,20
19.75,20
19.833333333333332,19
19.916666666666668,18
20,16
20.083333333333332,19
20.166666666666668,18
20.25,19
20.333333333333332,19
20.416666666666668,20
20.5,17
20.583333333333332,17
20.666666666666668,19
20.75,18
20.833333333333332,16
20.916666666666668,18
21,18
21.083333333333332,18
21.166666666666668,20
21.25,19
21.333333333333332,18
21.416666666666668,17
21.5,18
21.583333333333332,18
21.666666666666668,19
21.75,18
21.833333333333332,17
21.916666666666668,19
22,16
22.083333333333332,17
22.166666666666668,17
22.25,16
22.333333333333332,18
22.416666666666668,17
22.5,20
22.583333333333332,17
22.666666666666668,18
22.75,16
22.833333333333332,17
22.916666666666668,18
23,18
23.083333333333332,16
23.166666666666668,16
23.25,18
23.333333333333332,19
23.416666666666668,16
23.5,18
23.583333333333332,18
23.666666666666668,17
23.75,18
23.833333333333332,18
23.916666666666668,19
24,16
24.083333333333332,16
24.166666666666668,16
24.25,19
24.333333333333332,18
24.416666666666668,19
24.5,16
24.583333333333332,17
24.666666666666668,16
24.75,17
24.833333333333332,19
24.916666666666668,18
25,16
25.083333333333332,19
25.166666666666668,19
25.25,18
25.333333333333332,19
25.416666666666668,19
25.5,18
25.583333333333332,16
25.666666666666668,16
25.75,18
25.833333333333332,17
25.916666666666668,18
26,19
26.083333333333332,18
26.166666666666668,16
26.25,16
26.333333333333332,17
26.416666666666668,18
26.5,18
26.583333333333332,17
26.666666666666668,19
26.75,19
26.833333333333332,18
26.916666666666668,17
27,19
27.083333333333332,19
27.166666666666668,19
27.25,19
27.333333333333332,19
27.416666666666668,19
27.5,18
27.583333333333332,19
27.666666666666668,20
27.75,19
27.833333333333332,18
27.916666666666668,18
28,17
28.083333333333332,19
28.166666666666668,20
28.25,18
28.333333333333332,17
28.416666666666668,18
28.5,17
28.583333333333332,20
28.666666666666668,17
28.75,19
28.833333333333332,20
28.916666666666668,19
29,17
29.083333333333332,21
29.166666666666668,21
29.25,20
29.333333333333332,21
29.416666666666668,19
29.5,18
29.583333333333332,21
29.666666666666668,21
29.75,21
29.833333333333332,18
29.916666666666668,21
30,20
30.083333333333332,20
30.166666666666668,18
30.25,19
30.333333333333332,21
30.416666666666668,20
30.5,19
30.583333333333332,21
30.666666666666668,20
30.75,21
30.833333333333332,21
30.916666666666668,21
31,20
31.083333333333332,20
31.166666666666668,22
31.25,20
31.333333333333332,20
31.416666666666668,19
31.5,19
31.583333333333332,18
31.666666666666668,20
31.75,21
31.833333333333332,22
31.916666666666668,21
32,20
32.083333333333336,21
32.166666666666664,21
32.25,22
32.333333333333336,20
32.416666666666664,22
32.5,20
32.583333333333336,19
32.666666666666664,21
32.75,21
32.833333333333336,19
32.916666666666664,20
33,19
33.083333333333336,22
33.166666666666664,19
33.25,21
33.333333333333336,22
33.416666666666664,23
33.5,21
33.583333333333336,21
33.666666666666664,22
33.75,22
33.833333333333336,22
33.916666666666664,19
34,20
34.083333333333336,20
34.166666666666664,21
34.25,20
34.333333333333336,20
34.416666666666664,19
34.5,20
34.583333333333336,21
34.666666666666664,20
34.75,22
34.833333333333336,22
34.916666666666664,22
35,22
35.083333333333336,20
35.166666666666664,22
35.25,21
35.333333333333336,20
35.416666666666664,22
35.5,22
35.583333333333336,21
35.666666666666664,21
35.75,22
35.833333333333336,20
35.916666666666664,23
36,20
36.083333333333336,23
36.166666666666664,21
36.25,21
36.333333333333336,22
36.416666666666664,20
36.5,22
36.75,20
36.833333333333336,21
36.916666666666664,20
37,20
37.083333333333336,21
37.166666666666664,20
37.25,20
37.333333333333336,21
37.416666666666664,22
37.5,22
37.583333333333336,22
37.666666666666664,22
37.75,20
37.833333333333336,21
37.916666666666664,20
38,20
38.083333333333336,22
38.166666666666664,19
38.25,21
38.333333333333336,20
38.416666666666664,22
38.5,21
38.583333333333336,19
38.666666666666664,22
38.75,21
38.833333333333336,21
38.916666666666664,22
39,21
39.083333333333336,21
39.166666666666664,21
39.25,20
39.333333333333336,22
39.416666666666664,20
