"Hours since thread went live","Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii? • An Archdemon's Dilemma: How to Love Your Elf Bride - Episode 6 discussion"
0,1
0,3
0.08333333333333333,8
0.16666666666666666,15
0.25,17
0.3333333333333333,21
0.4166666666666667,29
0.5,35
0.5833333333333334,37
0.6666666666666666,40
0.75,48
0.8333333333333334,48
0.9166666666666666,60
1,65
1.0833333333333333,72
1.1666666666666667,74
1.25,86
1.3333333333333333,92
1.4166666666666667,93
1.5,99
1.5833333333333333,102
1.6666666666666667,110
1.75,115
1.8333333333333333,118
1.9166666666666667,124
2,129
2.0833333333333335,130
2.1666666666666665,135
2.25,140
2.3333333333333335,149
2.4166666666666665,152
2.5,159
2.5833333333333335,160
2.6666666666666665,167
2.75,171
2.8333333333333335,175
2.9166666666666665,183
3,191
3.0833333333333335,192
3.1666666666666665,198
3.25,196
3.3333333333333335,201
3.4166666666666665,199
3.5,203
3.5833333333333335,209
3.6666666666666665,210
3.75,211
3.8333333333333335,221
3.9166666666666665,228
4,229
4.083333333333333,228
4.166666666666667,236
4.25,236
4.333333333333333,238
4.416666666666667,242
4.5,245
4.666666666666667,251
4.75,258
4.833333333333333,261
4.916666666666667,262
5,262
5.083333333333333,268
5.166666666666667,264
5.25,272
5.333333333333333,270
5.416666666666667,271
5.5,277
5.583333333333333,276
5.666666666666667,285
5.75,282
5.833333333333333,290
5.916666666666667,295
6,299
6.083333333333333,302
6.166666666666667,306
6.25,307
6.333333333333333,311
6.416666666666667,313
6.5,317
6.583333333333333,320
6.666666666666667,323
6.75,329
6.833333333333333,328
6.916666666666667,331
7,334
7.083333333333333,334
7.166666666666667,339
7.25,344
7.333333333333333,345
7.416666666666667,347
7.5,353
7.583333333333333,348
7.666666666666667,353
7.75,359
7.833333333333333,362
7.916666666666667,368
8,365
8.083333333333334,365
8.166666666666666,368
8.25,371
8.333333333333334,376
8.416666666666666,374
8.5,382
8.583333333333334,374
8.666666666666666,381
8.75,386
8.833333333333334,383
8.916666666666666,390
9,386
9.083333333333334,393
9.166666666666666,396
9.25,393
9.333333333333334,396
9.416666666666666,402
9.5,399
9.583333333333334,400
9.666666666666666,399
9.75,405
9.833333333333334,400
9.916666666666666,406
10,411
10.083333333333334,408
10.166666666666666,412
10.25,411
10.333333333333334,405
10.416666666666666,415
10.5,414
10.583333333333334,413
10.666666666666666,416
10.75,417
10.833333333333334,417
10.916666666666666,417
11,418
11.083333333333334,424
11.166666666666666,419
11.25,427
11.333333333333334,426
11.416666666666666,432
11.5,438
11.583333333333334,427
11.666666666666666,440
11.75,441
11.833333333333334,440
11.916666666666666,438
12,447
12.083333333333334,439
12.166666666666666,448
12.25,445
12.333333333333334,446
12.416666666666666,453
12.5,456
12.583333333333334,450
12.666666666666666,455
12.75,461
12.833333333333334,458
12.916666666666666,457
13,460
13.083333333333334,462
13.166666666666666,457
13.25,461
13.333333333333334,467
13.416666666666666,463
13.5,467
13.583333333333334,464
13.666666666666666,466
13.75,467
13.833333333333334,467
13.916666666666666,465
14,464
14.083333333333334,468
14.166666666666666,470
14.25,475
14.333333333333334,469
14.416666666666666,478
14.5,477
14.583333333333334,477
14.666666666666666,480
14.75,484
14.833333333333334,482
14.916666666666666,483
15,487
15.083333333333334,487
15.166666666666666,484
15.25,490
15.333333333333334,493
15.416666666666666,490
15.5,491
15.583333333333334,490
15.666666666666666,494
15.75,492
15.833333333333334,493
15.916666666666666,491
16,491
16.083333333333332,489
16.166666666666668,491
16.25,492
16.333333333333332,493
16.416666666666668,489
16.5,494
16.583333333333332,494
16.666666666666668,495
16.75,497
16.833333333333332,500
16.916666666666668,498
17,494
17.083333333333332,494
17.166666666666668,500
17.25,500
17.333333333333332,504
17.416666666666668,509
17.5,502
17.583333333333332,498
17.666666666666668,506
17.75,510
17.833333333333332,506
17.916666666666668,505
18,507
18.083333333333332,505
18.166666666666668,514
18.25,511
18.333333333333332,513
18.416666666666668,512
18.5,507
18.583333333333332,513
18.666666666666668,510
18.75,510
18.833333333333332,512
18.916666666666668,511
19,511
19.083333333333332,516
19.166666666666668,514
19.25,515
19.333333333333332,513
19.416666666666668,517
19.5,516
19.583333333333332,518
19.666666666666668,515
19.75,514
19.833333333333332,523
19.916666666666668,518
20,520
20.083333333333332,520
20.166666666666668,521
20.25,518
20.333333333333332,519
20.416666666666668,523
20.5,518
20.583333333333332,522
20.666666666666668,523
20.75,524
20.833333333333332,522
20.916666666666668,522
21,528
21.083333333333332,526
21.166666666666668,530
21.25,527
21.333333333333332,526
21.416666666666668,531
21.5,528
21.583333333333332,531
21.666666666666668,529
21.75,523
21.833333333333332,525
21.916666666666668,531
22,536
22.083333333333332,533
22.166666666666668,530
22.25,530
22.333333333333332,528
22.416666666666668,532
22.5,530
22.583333333333332,534
22.666666666666668,533
22.75,539
22.833333333333332,535
22.916666666666668,536
23,535
23.083333333333332,544
23.166666666666668,537
23.25,539
23.333333333333332,541
23.416666666666668,537
23.5,542
23.583333333333332,543
23.666666666666668,548
23.75,538
23.833333333333332,541
23.916666666666668,539
24,542
24.083333333333332,543
24.166666666666668,547
24.25,545
24.333333333333332,547
24.416666666666668,544
24.5,544
24.583333333333332,550
24.666666666666668,545
24.75,542
24.833333333333332,544
24.916666666666668,548
25,546
25.083333333333332,549
25.166666666666668,549
25.25,547
25.333333333333332,553
25.416666666666668,550
25.5,553
25.583333333333332,545
25.666666666666668,556
25.75,548
25.833333333333332,551
25.916666666666668,557
26,548
