"Hours since thread went live","Henjin no Salad Bowl • A Salad Bowl of Eccentrics - Episode 5 discussion"
0,1
0,2
0.08333333333333333,6
0.16666666666666666,7
0.25,10
0.3333333333333333,12
0.4166666666666667,16
0.5,17
0.5833333333333334,19
0.6666666666666666,20
0.75,20
0.8333333333333334,23
0.9166666666666666,30
1,32
1.0833333333333333,35
1.1666666666666667,37
1.25,39
1.3333333333333333,42
1.4166666666666667,46
1.5,43
1.5833333333333333,45
1.6666666666666667,48
1.75,53
1.8333333333333333,56
1.9166666666666667,59
2,62
2.0833333333333335,67
2.1666666666666665,68
2.25,67
2.3333333333333335,71
2.4166666666666665,74
2.5,74
2.5833333333333335,77
2.6666666666666665,78
2.75,82
2.8333333333333335,83
2.9166666666666665,87
3,90
3.0833333333333335,102
3.1666666666666665,100
3.25,103
3.3333333333333335,107
3.4166666666666665,109
3.5,108
3.6666666666666665,114
3.75,114
3.8333333333333335,118
3.9166666666666665,120
4,115
4.083333333333333,119
4.166666666666667,123
4.25,123
4.333333333333333,130
4.416666666666667,132
4.5,133
4.583333333333333,137
4.666666666666667,139
4.75,141
4.833333333333333,144
4.916666666666667,146
5,151
5.083333333333333,150
5.166666666666667,155
5.25,154
5.333333333333333,160
5.416666666666667,160
5.5,165
5.583333333333333,167
5.666666666666667,172
5.75,174
5.833333333333333,170
5.916666666666667,175
6,177
6.083333333333333,180
6.166666666666667,182
6.25,185
6.333333333333333,182
6.416666666666667,190
6.5,189
6.583333333333333,192
6.666666666666667,193
6.75,198
6.833333333333333,196
6.916666666666667,204
7,206
7.083333333333333,204
7.166666666666667,203
7.25,207
7.333333333333333,211
7.416666666666667,216
7.5,215
7.583333333333333,214
7.666666666666667,222
7.75,225
7.833333333333333,226
7.916666666666667,232
8,236
8.083333333333334,232
8.166666666666666,238
8.25,236
8.333333333333334,240
8.416666666666666,242
8.5,239
8.583333333333334,241
8.666666666666666,243
8.75,246
8.833333333333334,248
8.916666666666666,248
9,248
9.083333333333334,249
9.166666666666666,246
9.25,249
9.333333333333334,253
9.416666666666666,250
9.5,254
9.583333333333334,256
9.666666666666666,258
9.75,258
9.833333333333334,258
9.916666666666666,260
10,259
10.083333333333334,261
10.166666666666666,263
10.25,262
10.333333333333334,266
10.416666666666666,266
10.5,269
10.583333333333334,266
10.666666666666666,271
10.75,268
10.833333333333334,276
10.916666666666666,273
11,276
11.083333333333334,275
11.166666666666666,272
11.25,276
11.333333333333334,278
11.416666666666666,277
11.5,277
11.583333333333334,277
11.666666666666666,279
11.75,279
11.833333333333334,282
11.916666666666666,284
12,283
12.083333333333334,284
12.166666666666666,284
12.25,290
12.333333333333334,287
12.416666666666666,290
12.5,288
12.583333333333334,290
12.666666666666666,291
12.75,292
12.833333333333334,291
12.916666666666666,293
13,289
13.083333333333334,293
13.166666666666666,290
13.25,295
13.333333333333334,296
13.416666666666666,293
13.5,294
13.583333333333334,296
13.666666666666666,295
13.75,295
13.833333333333334,294
13.916666666666666,299
14,300
14.083333333333334,296
14.166666666666666,294
14.25,300
14.333333333333334,298
14.416666666666666,297
14.5,300
14.583333333333334,297
14.666666666666666,300
14.75,297
14.833333333333334,299
14.916666666666666,302
15,301
15.083333333333334,304
15.166666666666666,298
15.25,301
15.333333333333334,302
15.416666666666666,304
15.5,305
15.583333333333334,299
15.666666666666666,306
15.75,301
15.833333333333334,304
15.916666666666666,306
16,304
16.083333333333332,304
16.166666666666668,305
16.25,306
16.333333333333332,303
16.416666666666668,304
16.5,307
16.583333333333332,309
16.666666666666668,306
16.75,306
16.833333333333332,307
16.916666666666668,304
17,310
17.083333333333332,304
17.166666666666668,313
17.25,311
17.333333333333332,313
17.416666666666668,308
17.5,309
17.583333333333332,313
17.666666666666668,309
17.75,311
17.833333333333332,312
17.916666666666668,311
18,314
18.083333333333332,312
18.166666666666668,315
18.25,313
18.333333333333332,313
18.416666666666668,311
18.5,314
18.583333333333332,312
18.666666666666668,313
18.75,316
18.833333333333332,313
18.916666666666668,317
19,312
19.083333333333332,314
19.166666666666668,312
19.25,316
19.333333333333332,319
19.416666666666668,315
19.5,318
19.583333333333332,318
19.666666666666668,318
19.75,320
19.833333333333332,319
19.916666666666668,319
20,319
20.083333333333332,320
20.166666666666668,325
20.25,319
20.333333333333332,324
20.416666666666668,320
20.5,321
20.583333333333332,318
20.666666666666668,321
20.75,322
20.833333333333332,325
20.916666666666668,325
21,326
21.083333333333332,325
21.166666666666668,330
21.25,320
21.333333333333332,330
21.416666666666668,326
21.5,330
21.583333333333332,327
21.666666666666668,327
21.75,327
21.833333333333332,334
21.916666666666668,326
22,331
22.083333333333332,332
22.166666666666668,334
22.25,331
22.333333333333332,329
22.416666666666668,329
22.5,334
22.583333333333332,333
22.666666666666668,330
22.75,327
22.833333333333332,334
22.916666666666668,336
23,334
23.083333333333332,331
23.166666666666668,337
23.25,335
23.333333333333332,333
23.416666666666668,337
23.5,339
23.583333333333332,335
23.666666666666668,333
23.75,331
23.833333333333332,332
23.916666666666668,329
24,334
24.083333333333332,336
24.166666666666668,335
24.25,332
24.333333333333332,334
24.416666666666668,333
24.5,335
24.583333333333332,336
24.666666666666668,331
24.75,335
24.833333333333332,340
24.916666666666668,339
25,338
25.083333333333332,339
25.166666666666668,340
25.25,344
25.333333333333332,341
25.416666666666668,339
25.5,345
25.583333333333332,339
25.666666666666668,336
25.75,338
25.833333333333332,341
25.916666666666668,337
26,343
26.083333333333332,345
26.166666666666668,341
26.25,347
26.333333333333332,343
26.416666666666668,339
26.5,340
26.833333333333332,338
26.916666666666668,344
27,341
27.083333333333332,343
27.166666666666668,336
27.25,341
27.333333333333332,336
27.416666666666668,342
27.5,337
27.583333333333332,345
27.666666666666668,346
27.75,345
27.833333333333332,342
27.916666666666668,342
28,342
28.083333333333332,348
28.166666666666668,348
28.25,347
28.333333333333332,346
28.416666666666668,348
28.5,347
28.583333333333332,346
28.666666666666668,348
28.75,346
28.833333333333332,348
28.916666666666668,348
29,347
29.083333333333332,351
29.166666666666668,352
29.25,346
29.333333333333332,347
29.416666666666668,353
29.5,350
29.583333333333332,344
29.666666666666668,348
29.75,353
29.833333333333332,348
29.916666666666668,352
30,344
30.083333333333332,355
30.166666666666668,345
30.25,349
30.333333333333332,348
30.416666666666668,355
30.5,356
30.583333333333332,347
30.666666666666668,349
30.75,353
30.833333333333332,354
30.916666666666668,350
31,352
31.083333333333332,347
31.166666666666668,355
31.25,356
31.333333333333332,350
31.416666666666668,352
31.5,354
31.583333333333332,351
31.666666666666668,357
31.75,353
31.833333333333332,354
31.916666666666668,354
32,355
32.083333333333336,354
32.166666666666664,354
32.25,356
32.333333333333336,361
32.416666666666664,361
32.5,352
32.583333333333336,354
32.666666666666664,358
32.75,355
32.833333333333336,357
32.916666666666664,359
33,352
33.083333333333336,356
33.166666666666664,355
33.25,355
33.333333333333336,360
33.416666666666664,363
33.5,361
33.583333333333336,355
33.666666666666664,364
33.75,358
33.833333333333336,355
