"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 5 discussion"
0,0
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,2
0.3333333333333333,3
0.4166666666666667,4
0.5,7
0.5833333333333334,10
0.6666666666666666,15
0.75,17
0.8333333333333334,23
0.9166666666666666,26
1,28
1.0833333333333333,33
1.1666666666666667,37
1.25,43
1.3333333333333333,46
1.4166666666666667,50
1.5,54
1.5833333333333333,55
1.6666666666666667,57
1.75,61
1.8333333333333333,66
1.9166666666666667,66
2,70
2.0833333333333335,74
2.1666666666666665,77
2.25,86
2.3333333333333335,91
2.4166666666666665,92
2.5,96
2.5833333333333335,101
2.6666666666666665,103
2.75,106
2.8333333333333335,108
2.9166666666666665,113
3,119
3.0833333333333335,122
3.1666666666666665,128
3.25,133
3.3333333333333335,129
3.4166666666666665,134
3.5,135
3.75,135
3.8333333333333335,135
3.9166666666666665,142
4,144
4.083333333333333,147
4.166666666666667,142
4.25,147
4.333333333333333,149
4.416666666666667,157
4.5,155
4.583333333333333,159
4.666666666666667,162
4.75,165
4.833333333333333,168
4.916666666666667,174
5,175
5.083333333333333,181
5.166666666666667,179
5.25,184
5.333333333333333,183
5.416666666666667,187
5.5,186
5.583333333333333,187
5.666666666666667,185
5.75,191
5.833333333333333,197
5.916666666666667,201
6,199
6.083333333333333,204
6.166666666666667,201
6.25,203
6.333333333333333,207
6.416666666666667,210
6.5,209
6.583333333333333,209
6.666666666666667,208
6.75,211
6.833333333333333,210
6.916666666666667,213
7,211
7.083333333333333,212
7.166666666666667,219
7.25,214
7.333333333333333,216
7.416666666666667,220
7.5,224
7.583333333333333,218
7.666666666666667,220
7.75,226
7.833333333333333,223
7.916666666666667,227
8,230
8.083333333333334,228
8.166666666666666,233
8.25,233
8.333333333333334,231
8.416666666666666,230
8.5,231
8.583333333333334,237
8.666666666666666,237
8.75,237
8.833333333333334,241
8.916666666666666,247
9,241
9.083333333333334,246
9.166666666666666,253
9.25,250
9.333333333333334,254
9.416666666666666,256
9.5,255
9.583333333333334,260
9.666666666666666,263
9.75,264
9.833333333333334,267
9.916666666666666,268
10,264
10.083333333333334,268
10.166666666666666,270
10.25,270
10.333333333333334,273
10.416666666666666,277
10.5,277
10.583333333333334,277
10.666666666666666,279
10.75,279
10.833333333333334,277
10.916666666666666,285
11,281
11.083333333333334,284
11.166666666666666,286
11.25,288
11.333333333333334,291
11.416666666666666,288
11.5,289
11.583333333333334,291
11.666666666666666,287
11.75,290
11.833333333333334,291
11.916666666666666,290
12,295
12.083333333333334,290
12.166666666666666,296
12.25,296
12.333333333333334,297
12.416666666666666,297
12.5,301
