"Hours since thread went live","The iDOLM@STER Shiny Colors - Episode 5 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,3
0.3333333333333333,4
0.4166666666666667,4
0.5,4
0.5833333333333334,3
0.6666666666666666,5
0.75,6
0.8333333333333334,5
0.9166666666666666,7
1,7
1.0833333333333333,7
1.1666666666666667,8
1.25,8
1.3333333333333333,9
1.4166666666666667,9
1.5,8
1.5833333333333333,9
1.6666666666666667,9
1.75,9
1.8333333333333333,11
1.9166666666666667,10
2,12
2.25,12
2.3333333333333335,11
2.4166666666666665,10
2.5,11
2.5833333333333335,12
2.6666666666666665,11
2.75,10
2.8333333333333335,10
2.9166666666666665,11
3,11
3.0833333333333335,11
3.1666666666666665,12
3.25,11
3.3333333333333335,12
3.4166666666666665,12
3.5,13
3.5833333333333335,12
3.6666666666666665,13
3.75,13
3.8333333333333335,15
3.9166666666666665,14
4,14
4.083333333333333,14
4.166666666666667,15
4.25,13
4.333333333333333,14
4.416666666666667,15
4.5,16
4.583333333333333,16
4.666666666666667,14
4.75,15
4.833333333333333,17
4.916666666666667,15
5,13
5.083333333333333,16
5.166666666666667,15
5.25,15
5.333333333333333,14
5.416666666666667,16
5.5,15
5.583333333333333,13
5.666666666666667,15
5.75,16
5.833333333333333,16
5.916666666666667,17
6,18
6.083333333333333,15
6.166666666666667,16
6.25,18
6.333333333333333,16
6.416666666666667,16
6.5,19
6.583333333333333,18
6.666666666666667,16
6.75,18
6.833333333333333,15
6.916666666666667,19
7,18
7.083333333333333,17
7.166666666666667,16
7.25,17
7.333333333333333,18
7.416666666666667,17
7.5,16
7.583333333333333,17
7.666666666666667,18
7.75,20
7.833333333333333,16
7.916666666666667,17
8,17
8.083333333333334,18
8.166666666666666,19
8.25,19
8.333333333333334,16
8.416666666666666,20
8.5,18
8.583333333333334,16
8.666666666666666,18
8.75,19
8.833333333333334,20
8.916666666666666,20
9,20
9.083333333333334,17
9.166666666666666,18
9.25,21
9.333333333333334,19
9.416666666666666,18
9.5,19
9.583333333333334,19
9.666666666666666,20
9.75,17
9.833333333333334,17
9.916666666666666,19
10,21
10.083333333333334,21
10.166666666666666,20
10.25,18
10.333333333333334,17
10.416666666666666,19
10.5,18
10.583333333333334,22
10.666666666666666,18
10.75,19
10.833333333333334,21
10.916666666666666,19
11,21
11.083333333333334,22
11.166666666666666,21
11.25,22
11.333333333333334,20
11.416666666666666,21
11.5,21
11.583333333333334,21
11.666666666666666,23
11.75,24
11.833333333333334,22
11.916666666666666,23
12,23
12.083333333333334,21
12.166666666666666,23
12.25,24
12.333333333333334,24
12.416666666666666,22
12.5,24
12.583333333333334,25
12.666666666666666,25
12.75,26
12.833333333333334,23
12.916666666666666,23
13,22
13.083333333333334,22
13.166666666666666,24
13.25,22
13.333333333333334,22
13.416666666666666,23
13.5,23
13.583333333333334,25
13.666666666666666,24
13.75,23
13.833333333333334,25
13.916666666666666,26
14,26
14.083333333333334,25
14.166666666666666,28
14.25,28
14.333333333333334,27
14.416666666666666,25
14.5,29
14.583333333333334,27
14.666666666666666,25
14.75,27
14.833333333333334,28
14.916666666666666,26
15,25
15.083333333333334,26
15.166666666666666,27
15.25,28
15.333333333333334,25
15.416666666666666,25
15.5,27
15.583333333333334,26
15.666666666666666,29
15.75,27
15.833333333333334,26
15.916666666666666,28
16,30
16.083333333333332,27
16.166666666666668,30
16.25,29
16.333333333333332,28
16.416666666666668,30
16.5,28
16.583333333333332,27
16.666666666666668,28
16.75,29
16.833333333333332,30
16.916666666666668,29
17,27
17.083333333333332,28
17.166666666666668,25
17.25,30
17.333333333333332,29
17.416666666666668,31
17.5,29
17.583333333333332,28
17.666666666666668,32
17.75,26
17.833333333333332,30
17.916666666666668,27
18,30
18.083333333333332,29
18.166666666666668,26
18.25,28
18.333333333333332,28
18.416666666666668,25
18.5,26
18.583333333333332,29
18.666666666666668,29
18.75,28
18.833333333333332,27
18.916666666666668,27
19,30
19.083333333333332,29
19.166666666666668,26
19.25,29
19.333333333333332,31
19.416666666666668,27
19.5,33
19.583333333333332,30
19.666666666666668,30
19.75,30
19.833333333333332,31
19.916666666666668,29
20,26
20.083333333333332,30
20.166666666666668,30
20.25,29
20.333333333333332,31
20.416666666666668,28
20.5,29
20.583333333333332,32
20.666666666666668,32
20.75,30
20.833333333333332,30
20.916666666666668,27
21,30
21.083333333333332,28
21.166666666666668,31
21.25,27
21.333333333333332,30
21.416666666666668,27
21.5,31
21.583333333333332,34
21.666666666666668,32
21.75,32
21.833333333333332,32
21.916666666666668,27
22,29
22.083333333333332,27
22.166666666666668,28
22.25,29
22.333333333333332,29
22.416666666666668,31
22.5,30
22.583333333333332,26
22.666666666666668,34
22.75,30
22.833333333333332,30
22.916666666666668,29
23,29
23.083333333333332,34
23.166666666666668,28
23.25,31
23.333333333333332,28
23.416666666666668,27
23.5,34
23.583333333333332,33
23.666666666666668,28
23.75,29
23.833333333333332,30
23.916666666666668,31
24,30
24.083333333333332,29
24.166666666666668,33
24.25,34
24.333333333333332,33
24.416666666666668,29
24.5,35
24.583333333333332,33
24.666666666666668,29
24.75,31
24.833333333333332,30
24.916666666666668,31
25,28
25.083333333333332,31
25.166666666666668,34
25.25,30
25.333333333333332,32
25.416666666666668,33
25.5,34
25.583333333333332,31
25.666666666666668,35
25.75,30
25.833333333333332,34
25.916666666666668,33
26,30
26.083333333333332,30
26.166666666666668,30
26.25,34
26.333333333333332,31
26.416666666666668,32
26.5,31
26.583333333333332,30
26.666666666666668,27
26.75,32
26.833333333333332,31
26.916666666666668,34
27,32
27.083333333333332,29
27.166666666666668,28
27.25,29
27.333333333333332,29
27.416666666666668,30
27.5,29
27.583333333333332,30
27.666666666666668,31
27.75,33
27.833333333333332,31
27.916666666666668,31
28,32
28.083333333333332,31
28.166666666666668,30
28.25,29
28.333333333333332,32
28.416666666666668,31
28.5,35
28.583333333333332,35
28.666666666666668,31
28.75,31
28.833333333333332,31
28.916666666666668,34
29,32
29.083333333333332,31
29.166666666666668,32
29.25,29
29.333333333333332,30
29.416666666666668,28
29.5,32
29.583333333333332,27
29.666666666666668,30
29.75,34
29.833333333333332,31
29.916666666666668,34
30,31
30.083333333333332,32
30.166666666666668,32
30.25,33
30.333333333333332,31
30.416666666666668,30
30.5,35
30.583333333333332,31
30.666666666666668,30
30.75,32
30.833333333333332,28
30.916666666666668,32
31,35
31.083333333333332,29
31.166666666666668,32
31.25,31
31.333333333333332,31
31.416666666666668,31
31.5,29
31.583333333333332,32
31.666666666666668,30
31.75,32
31.833333333333332,34
31.916666666666668,33
32,35
32.083333333333336,31
32.166666666666664,29
32.25,32
32.333333333333336,32
32.416666666666664,29
32.5,34
32.583333333333336,33
32.666666666666664,29
32.75,27
32.833333333333336,28
32.916666666666664,33
33,35
33.083333333333336,31
33.166666666666664,31
33.25,29
33.333333333333336,31
33.416666666666664,32
33.5,34
33.583333333333336,29
33.666666666666664,34
33.75,31
33.833333333333336,31
33.916666666666664,29
34,35
34.083333333333336,30
34.166666666666664,34
34.25,31
34.333333333333336,34
34.416666666666664,32
34.5,27
34.583333333333336,28
34.666666666666664,31
34.75,34
34.833333333333336,31
34.916666666666664,33
35,35
35.083333333333336,28
35.166666666666664,32
35.25,33
35.333333333333336,29
35.416666666666664,30
35.5,31
35.583333333333336,31
35.666666666666664,33
35.75,30
35.833333333333336,27
35.916666666666664,32
36,27
36.083333333333336,35
36.166666666666664,35
36.25,27
36.333333333333336,28
36.416666666666664,30
36.5,33
36.583333333333336,33
36.666666666666664,32
36.75,30
36.833333333333336,32
36.916666666666664,32
37,32
37.083333333333336,34
37.166666666666664,33
37.25,35
37.333333333333336,31
37.416666666666664,33
37.5,30
37.583333333333336,35
37.666666666666664,35
37.75,32
37.833333333333336,32
37.916666666666664,28
38,33
38.083333333333336,36
38.166666666666664,32
38.25,31
38.333333333333336,31
38.416666666666664,34
38.5,29
38.583333333333336,31
38.666666666666664,31
38.75,30
38.833333333333336,31
38.916666666666664,32
39,32
39.083333333333336,28
39.166666666666664,34
39.25,32
