"Hours since thread went live","Meitantei Conan • Case Closed - Episode 1122 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,0
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,0
1.1666666666666667,0
1.25,0
1.3333333333333333,1
1.4166666666666667,1
1.5,2
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,2
2.4166666666666665,2
2.5,3
2.5833333333333335,3
2.6666666666666665,1
2.75,2
2.8333333333333335,5
2.9166666666666665,2
3,4
3.0833333333333335,2
3.1666666666666665,2
3.25,2
3.3333333333333335,3
3.4166666666666665,4
3.5,5
3.5833333333333335,5
3.6666666666666665,5
3.75,4
3.8333333333333335,6
3.9166666666666665,5
4,6
4.083333333333333,6
4.166666666666667,5
4.25,7
4.333333333333333,5
4.416666666666667,3
4.5,6
4.583333333333333,4
4.666666666666667,3
4.75,3
4.833333333333333,6
4.916666666666667,4
5,5
5.083333333333333,7
5.166666666666667,4
5.25,6
5.333333333333333,7
5.416666666666667,6
5.5,7
5.583333333333333,5
5.666666666666667,6
5.75,7
5.833333333333333,5
5.916666666666667,7
6,7
6.083333333333333,10
6.166666666666667,9
6.25,9
6.333333333333333,9
6.416666666666667,9
6.5,10
6.583333333333333,9
6.666666666666667,8
6.75,9
6.833333333333333,10
6.916666666666667,6
7,8
7.083333333333333,10
7.166666666666667,7
7.25,6
7.333333333333333,8
7.416666666666667,10
7.5,10
7.583333333333333,11
7.666666666666667,9
7.75,9
7.833333333333333,10
7.916666666666667,10
8,8
8.083333333333334,7
8.166666666666666,8
8.25,11
8.333333333333334,9
8.416666666666666,9
8.5,10
8.583333333333334,10
8.666666666666666,9
8.75,9
8.833333333333334,10
8.916666666666666,10
9,9
9.083333333333334,10
9.166666666666666,9
9.25,12
9.333333333333334,13
9.416666666666666,11
9.5,12
9.583333333333334,13
9.666666666666666,10
9.75,11
9.833333333333334,9
9.916666666666666,9
10,11
10.083333333333334,10
10.166666666666666,11
10.25,13
10.333333333333334,11
10.416666666666666,11
10.5,11
10.583333333333334,11
10.666666666666666,10
10.75,13
10.833333333333334,12
10.916666666666666,9
11,11
11.083333333333334,12
11.166666666666666,11
11.25,11
11.333333333333334,10
11.416666666666666,12
11.5,11
11.583333333333334,13
11.666666666666666,11
11.75,12
11.833333333333334,12
11.916666666666666,11
12,10
12.083333333333334,11
12.166666666666666,10
12.25,11
12.333333333333334,10
12.416666666666666,12
12.5,12
12.583333333333334,9
12.666666666666666,11
12.75,11
12.833333333333334,11
12.916666666666666,12
13,10
13.083333333333334,12
13.166666666666666,11
13.25,11
13.333333333333334,10
13.416666666666666,11
13.5,11
13.583333333333334,10
13.666666666666666,13
13.75,10
13.833333333333334,12
13.916666666666666,13
14,9
14.083333333333334,11
14.166666666666666,11
14.25,8
14.333333333333334,12
14.416666666666666,8
14.5,9
14.583333333333334,10
14.666666666666666,10
14.75,9
14.833333333333334,11
14.916666666666666,10
15,10
15.083333333333334,10
15.166666666666666,8
15.25,8
15.333333333333334,8
15.416666666666666,10
15.5,9
15.583333333333334,9
15.666666666666666,10
15.75,10
15.833333333333334,11
15.916666666666666,9
16,9
16.083333333333332,12
16.166666666666668,11
16.25,9
16.333333333333332,9
16.416666666666668,10
16.5,11
16.583333333333332,12
16.666666666666668,10
16.75,9
16.833333333333332,8
16.916666666666668,8
17,9
17.083333333333332,11
17.166666666666668,11
17.25,9
17.333333333333332,11
17.416666666666668,10
17.5,9
17.583333333333332,11
17.666666666666668,8
17.75,11
17.833333333333332,10
17.916666666666668,11
18,10
18.083333333333332,11
18.166666666666668,9
18.25,11
18.333333333333332,11
18.416666666666668,9
18.5,11
18.583333333333332,9
18.666666666666668,8
18.75,10
18.833333333333332,10
18.916666666666668,11
19,10
19.083333333333332,11
19.166666666666668,11
19.25,13
19.333333333333332,11
19.416666666666668,11
19.5,10
19.583333333333332,11
19.666666666666668,11
19.75,9
19.833333333333332,13
19.916666666666668,13
20,13
20.083333333333332,9
20.166666666666668,11
20.25,12
20.333333333333332,11
20.416666666666668,9
20.5,13
20.583333333333332,12
20.666666666666668,12
20.75,12
20.833333333333332,11
20.916666666666668,12
21,10
21.083333333333332,13
21.166666666666668,9
21.25,13
21.333333333333332,11
21.416666666666668,11
21.5,13
21.583333333333332,9
21.666666666666668,10
21.75,11
21.833333333333332,12
21.916666666666668,9
22,11
22.083333333333332,12
22.166666666666668,10
22.25,12
22.333333333333332,10
22.416666666666668,10
22.5,10
22.583333333333332,10
22.666666666666668,13
22.75,11
22.833333333333332,12
22.916666666666668,11
23,12
23.083333333333332,12
23.166666666666668,11
23.25,10
23.333333333333332,11
23.416666666666668,11
23.5,11
23.583333333333332,11
23.666666666666668,12
23.75,14
23.833333333333332,12
23.916666666666668,13
24,12
24.083333333333332,11
24.166666666666668,13
24.25,14
24.333333333333332,13
24.416666666666668,12
24.5,11
24.583333333333332,12
24.666666666666668,11
24.75,12
24.833333333333332,10
24.916666666666668,11
25,12
25.083333333333332,11
25.166666666666668,11
25.25,12
25.333333333333332,11
25.416666666666668,12
25.5,12
25.583333333333332,10
25.666666666666668,10
25.75,10
25.833333333333332,12
25.916666666666668,12
26,14
26.083333333333332,14
26.166666666666668,13
26.25,10
26.333333333333332,14
26.416666666666668,12
26.5,10
26.583333333333332,12
26.666666666666668,11
26.75,14
26.833333333333332,14
26.916666666666668,14
27,12
27.083333333333332,12
27.166666666666668,14
27.25,13
27.333333333333332,13
27.416666666666668,10
27.5,14
27.583333333333332,10
27.666666666666668,14
27.75,11
27.833333333333332,11
27.916666666666668,11
28,11
28.083333333333332,13
28.166666666666668,14
28.25,12
28.333333333333332,12
28.416666666666668,11
28.5,13
28.583333333333332,13
28.666666666666668,10
28.75,11
28.833333333333332,12
28.916666666666668,10
29,13
29.083333333333332,13
29.166666666666668,14
29.25,13
29.333333333333332,14
29.416666666666668,13
29.5,14
29.583333333333332,13
29.666666666666668,13
29.75,11
29.833333333333332,14
29.916666666666668,13
30,14
30.083333333333332,15
30.166666666666668,12
30.25,14
30.333333333333332,13
30.416666666666668,12
30.5,11
30.583333333333332,15
30.666666666666668,13
30.75,15
30.833333333333332,12
30.916666666666668,15
31,11
31.083333333333332,14
31.166666666666668,13
31.25,12
31.333333333333332,14
31.416666666666668,15
31.5,13
31.583333333333332,11
31.666666666666668,15
31.75,11
31.833333333333332,13
31.916666666666668,12
32,13
32.083333333333336,12
32.166666666666664,12
32.25,12
32.333333333333336,12
32.416666666666664,12
32.5,14
32.583333333333336,15
32.666666666666664,12
32.75,13
32.833333333333336,15
32.916666666666664,12
33,14
33.083333333333336,11
33.166666666666664,14
33.25,12
33.333333333333336,14
33.416666666666664,13
33.5,14
33.583333333333336,13
33.666666666666664,12
33.75,12
33.833333333333336,13
33.916666666666664,12
34,12
34.083333333333336,14
34.166666666666664,14
34.25,15
34.333333333333336,14
34.416666666666664,15
34.5,13
34.583333333333336,14
34.666666666666664,14
34.75,15
34.833333333333336,11
34.916666666666664,11
35,11
35.083333333333336,13
35.166666666666664,14
35.25,13
35.333333333333336,13
35.416666666666664,14
35.5,14
35.583333333333336,13
35.666666666666664,13
35.75,12
35.833333333333336,15
35.916666666666664,12
36,11
36.083333333333336,14
36.166666666666664,13
36.25,13
36.333333333333336,13
36.416666666666664,11
36.5,12
36.583333333333336,15
36.666666666666664,13
36.75,13
36.833333333333336,13
36.916666666666664,13
37,13
37.083333333333336,14
37.166666666666664,12
37.25,14
37.333333333333336,13
37.416666666666664,12
37.5,14
37.583333333333336,11
37.666666666666664,14
37.75,13
37.833333333333336,13
37.916666666666664,13
38,14
38.083333333333336,11
38.166666666666664,12
38.25,13
38.333333333333336,13
38.416666666666664,13
38.5,12
38.583333333333336,11
38.666666666666664,12
38.75,12
38.833333333333336,12
38.916666666666664,14
39,12
39.083333333333336,14
