"Hours since thread went live","Sasayaku You ni Koi wo Utau • Whisper Me a Love Song - Episode 4 discussion"
0,4
0,6
0.08333333333333333,11
0.16666666666666666,16
0.25,29
0.3333333333333333,36
0.4166666666666667,44
0.5,47
0.5833333333333334,51
0.6666666666666666,63
0.75,68
0.8333333333333334,78
0.9166666666666666,84
1,92
1.0833333333333333,92
1.1666666666666667,97
1.25,104
1.3333333333333333,107
1.4166666666666667,111
1.5,117
1.5833333333333333,118
1.6666666666666667,121
1.75,129
1.8333333333333333,136
1.9166666666666667,139
2,142
2.0833333333333335,144
2.1666666666666665,149
2.25,157
2.3333333333333335,160
2.4166666666666665,162
2.5,166
2.5833333333333335,169
2.6666666666666665,174
2.75,175
2.8333333333333335,181
2.9166666666666665,187
3,191
3.0833333333333335,197
3.1666666666666665,198
3.25,200
3.3333333333333335,207
3.4166666666666665,213
3.5,217
3.5833333333333335,217
3.6666666666666665,225
3.75,229
3.8333333333333335,232
3.9166666666666665,237
4,238
4.083333333333333,244
4.166666666666667,247
4.25,250
4.333333333333333,255
4.416666666666667,257
4.5,263
4.583333333333333,268
4.666666666666667,270
4.75,273
4.833333333333333,278
4.916666666666667,281
5,290
5.083333333333333,289
5.166666666666667,294
5.25,299
5.333333333333333,301
5.416666666666667,300
5.5,299
5.583333333333333,308
5.666666666666667,311
5.75,320
5.833333333333333,321
5.916666666666667,333
6,335
6.083333333333333,336
6.166666666666667,337
6.25,344
6.333333333333333,349
6.416666666666667,354
6.5,359
6.583333333333333,360
6.666666666666667,360
6.75,362
6.833333333333333,372
6.916666666666667,366
7,367
7.083333333333333,368
7.166666666666667,371
7.25,374
7.333333333333333,374
7.416666666666667,378
7.5,379
7.583333333333333,379
7.666666666666667,387
7.75,389
7.833333333333333,385
7.916666666666667,382
8,388
8.083333333333334,391
8.166666666666666,391
8.25,401
8.333333333333334,400
8.416666666666666,396
8.5,410
8.583333333333334,409
8.666666666666666,416
8.75,411
8.833333333333334,419
8.916666666666666,423
9,419
9.083333333333334,427
9.166666666666666,433
9.25,432
9.333333333333334,434
9.416666666666666,433
9.5,431
9.583333333333334,437
9.666666666666666,434
9.75,437
9.833333333333334,439
9.916666666666666,446
10,448
10.083333333333334,440
10.166666666666666,444
10.25,446
10.333333333333334,448
10.416666666666666,453
10.5,454
10.583333333333334,463
10.666666666666666,462
10.75,467
10.833333333333334,469
10.916666666666666,471
11,465
11.083333333333334,472
11.166666666666666,470
11.25,464
11.333333333333334,470
11.416666666666666,473
11.5,477
11.583333333333334,478
11.666666666666666,470
11.75,479
11.833333333333334,480
11.916666666666666,485
12,486
12.083333333333334,489
12.166666666666666,496
12.25,496
12.333333333333334,494
12.416666666666666,495
12.5,497
12.583333333333334,499
12.666666666666666,500
12.75,499
12.833333333333334,504
12.916666666666666,502
13,508
13.083333333333334,509
13.166666666666666,509
13.25,510
13.333333333333334,510
13.416666666666666,515
13.5,513
13.583333333333334,517
13.666666666666666,525
13.75,518
13.833333333333334,518
13.916666666666666,522
14,524
14.083333333333334,522
14.166666666666666,527
14.25,524
14.333333333333334,529
