"Hours since thread went live","Karasu wa Aruji wo Erabanai • Yatagarasu: The Raven Does Not Choose Its Master - Episode 5 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,4
0.25,6
0.3333333333333333,7
0.4166666666666667,8
0.5,8
0.5833333333333334,11
0.6666666666666666,13
0.75,15
0.8333333333333334,14
0.9166666666666666,14
1,16
1.0833333333333333,16
1.1666666666666667,17
1.25,20
1.3333333333333333,21
1.4166666666666667,22
1.5,22
1.5833333333333333,23
1.6666666666666667,23
1.75,28
1.8333333333333333,32
1.9166666666666667,30
2,30
2.0833333333333335,31
2.1666666666666665,32
2.25,35
2.3333333333333335,37
2.4166666666666665,38
2.5,38
2.5833333333333335,41
2.6666666666666665,43
2.75,46
2.8333333333333335,47
2.9166666666666665,46
3,50
3.0833333333333335,50
3.1666666666666665,50
3.25,48
3.3333333333333335,50
3.4166666666666665,53
3.5,54
3.5833333333333335,54
3.6666666666666665,52
3.75,53
3.8333333333333335,57
3.9166666666666665,60
4,61
4.083333333333333,60
4.166666666666667,62
4.25,65
4.333333333333333,64
4.416666666666667,70
4.5,71
4.583333333333333,73
4.666666666666667,71
4.75,71
4.833333333333333,72
4.916666666666667,79
5,72
5.083333333333333,77
5.166666666666667,75
5.25,79
5.333333333333333,81
5.416666666666667,78
5.5,80
5.583333333333333,81
5.666666666666667,86
5.75,87
5.833333333333333,86
5.916666666666667,83
6,86
6.083333333333333,83
6.166666666666667,85
6.25,85
6.333333333333333,85
6.416666666666667,88
6.5,89
6.583333333333333,91
6.666666666666667,90
6.75,88
6.833333333333333,95
6.916666666666667,88
7,90
7.083333333333333,93
7.166666666666667,95
7.25,93
7.333333333333333,91
7.416666666666667,92
7.5,94
7.583333333333333,93
7.666666666666667,97
7.75,99
7.833333333333333,99
7.916666666666667,97
8,100
8.083333333333334,97
8.166666666666666,99
8.25,99
8.333333333333334,98
8.416666666666666,101
8.5,100
8.583333333333334,100
8.666666666666666,102
8.75,107
8.833333333333334,103
8.916666666666666,102
9,109
9.083333333333334,109
9.166666666666666,109
9.25,108
9.333333333333334,107
9.416666666666666,109
9.5,109
9.583333333333334,107
9.666666666666666,113
9.75,113
9.833333333333334,110
9.916666666666666,113
10,110
10.083333333333334,112
10.166666666666666,118
10.25,117
10.333333333333334,113
10.416666666666666,115
10.5,116
10.583333333333334,118
10.666666666666666,113
10.75,116
10.833333333333334,122
10.916666666666666,117
11,122
11.083333333333334,118
11.166666666666666,120
11.25,117
11.333333333333334,116
11.416666666666666,121
11.5,119
11.583333333333334,123
11.666666666666666,123
11.75,123
11.833333333333334,123
11.916666666666666,125
12,121
12.083333333333334,124
12.166666666666666,124
12.25,126
12.333333333333334,127
12.416666666666666,126
12.5,123
12.583333333333334,123
12.666666666666666,126
12.75,131
12.833333333333334,128
12.916666666666666,126
13,132
13.083333333333334,128
13.166666666666666,130
13.25,132
13.333333333333334,130
13.416666666666666,128
13.5,132
13.583333333333334,128
13.666666666666666,134
13.75,129
13.833333333333334,132
13.916666666666666,128
14,131
14.083333333333334,132
14.166666666666666,132
14.25,131
14.333333333333334,135
14.416666666666666,132
14.5,137
14.583333333333334,135
14.666666666666666,130
14.75,133
14.833333333333334,132
14.916666666666666,130
15,131
15.083333333333334,134
15.166666666666666,138
15.25,133
15.333333333333334,132
15.416666666666666,136
15.5,134
15.583333333333334,135
15.666666666666666,133
15.75,139
15.833333333333334,135
15.916666666666666,136
16,134
16.083333333333332,140
16.166666666666668,137
16.25,139
16.333333333333332,134
16.416666666666668,139
16.5,139
16.583333333333332,143
16.666666666666668,141
16.75,137
16.833333333333332,140
16.916666666666668,136
17,138
17.083333333333332,145
17.166666666666668,142
17.25,142
17.333333333333332,145
17.416666666666668,146
17.5,141
17.583333333333332,141
17.666666666666668,145
17.75,145
17.833333333333332,139
17.916666666666668,142
18,143
18.083333333333332,140
18.166666666666668,142
18.25,141
18.333333333333332,141
18.416666666666668,141
18.5,138
18.583333333333332,140
18.666666666666668,141
18.75,144
18.833333333333332,145
18.916666666666668,140
19,142
19.083333333333332,142
19.166666666666668,140
19.25,143
19.333333333333332,138
19.416666666666668,139
19.5,144
19.583333333333332,142
19.666666666666668,140
19.75,142
19.833333333333332,145
19.916666666666668,141
20,138
20.083333333333332,141
20.166666666666668,143
20.25,143
20.333333333333332,142
20.416666666666668,145
20.5,145
20.583333333333332,144
20.666666666666668,146
20.75,147
20.833333333333332,148
20.916666666666668,143
21,148
21.083333333333332,146
21.166666666666668,143
21.25,148
21.333333333333332,151
21.416666666666668,146
21.5,149
21.583333333333332,149
21.666666666666668,147
21.75,144
21.833333333333332,147
21.916666666666668,149
22,149
22.083333333333332,153
22.166666666666668,151
22.25,148
22.333333333333332,148
22.416666666666668,149
22.5,153
22.583333333333332,150
22.666666666666668,155
22.75,154
22.833333333333332,154
22.916666666666668,154
23,152
