"Hours since thread went live","One Piece - Episode 1103 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,4
0.4166666666666667,4
0.5,5
0.5833333333333334,7
0.6666666666666666,8
0.75,8
0.8333333333333334,9
0.9166666666666666,8
1,8
1.0833333333333333,6
1.1666666666666667,7
1.25,7
1.3333333333333333,6
1.4166666666666667,4
1.5,6
1.5833333333333333,8
1.6666666666666667,7
1.75,7
1.8333333333333333,7
1.9166666666666667,8
2,7
2.0833333333333335,9
2.1666666666666665,6
2.25,9
2.3333333333333335,8
2.4166666666666665,9
2.5,9
2.5833333333333335,7
2.6666666666666665,9
2.75,8
2.8333333333333335,9
2.9166666666666665,10
3,9
3.0833333333333335,11
3.1666666666666665,11
3.25,13
3.3333333333333335,12
3.4166666666666665,14
3.5,13
3.5833333333333335,13
3.6666666666666665,10
3.75,15
3.8333333333333335,15
3.9166666666666665,16
4,15
4.083333333333333,16
4.166666666666667,15
4.25,20
4.333333333333333,17
4.416666666666667,20
4.5,19
4.583333333333333,19
4.666666666666667,19
4.75,20
4.833333333333333,20
4.916666666666667,18
5,21
5.083333333333333,22
5.166666666666667,21
5.25,27
5.333333333333333,28
5.416666666666667,26
5.5,34
5.583333333333333,33
5.666666666666667,34
5.75,33
5.833333333333333,34
5.916666666666667,32
6,30
6.083333333333333,36
6.166666666666667,38
6.25,37
6.333333333333333,39
6.416666666666667,39
6.5,42
6.583333333333333,36
6.666666666666667,36
6.75,41
6.833333333333333,39
6.916666666666667,41
7,39
7.083333333333333,39
7.166666666666667,42
7.25,40
7.333333333333333,38
7.416666666666667,38
7.5,36
7.583333333333333,37
7.666666666666667,39
7.75,34
7.833333333333333,42
7.916666666666667,41
8,41
8.083333333333334,46
8.166666666666666,43
8.25,47
8.333333333333334,42
8.416666666666666,42
8.5,45
8.583333333333334,45
8.666666666666666,45
8.75,44
8.833333333333334,48
8.916666666666666,47
9,47
9.083333333333334,51
9.166666666666666,51
9.25,53
9.333333333333334,51
9.416666666666666,53
9.5,49
9.583333333333334,55
9.666666666666666,50
9.75,50
9.833333333333334,49
9.916666666666666,50
10,50
10.083333333333334,48
10.166666666666666,51
10.25,53
10.333333333333334,55
10.416666666666666,57
10.5,53
10.583333333333334,58
10.666666666666666,57
10.75,56
10.833333333333334,55
10.916666666666666,58
11,59
11.083333333333334,56
11.166666666666666,60
11.25,60
11.333333333333334,57
11.416666666666666,60
11.5,58
11.583333333333334,59
11.666666666666666,59
11.75,62
11.833333333333334,63
11.916666666666666,65
12,64
12.083333333333334,66
12.166666666666666,65
12.25,63
12.333333333333334,64
12.416666666666666,66
12.5,62
12.583333333333334,65
12.666666666666666,70
12.75,66
12.833333333333334,69
12.916666666666666,71
13,70
13.083333333333334,70
13.166666666666666,72
13.25,69
13.333333333333334,70
13.416666666666666,75
13.5,77
13.583333333333334,73
13.666666666666666,76
13.75,78
13.833333333333334,78
13.916666666666666,74
14,78
14.083333333333334,78
14.166666666666666,82
14.25,78
14.333333333333334,79
14.416666666666666,83
14.5,81
14.583333333333334,78
14.666666666666666,81
14.75,78
14.833333333333334,78
14.916666666666666,84
15,83
15.083333333333334,80
15.166666666666666,79
15.25,79
15.333333333333334,83
15.416666666666666,81
15.5,78
15.583333333333334,81
15.666666666666666,85
15.75,79
15.833333333333334,83
15.916666666666666,81
16,85
16.083333333333332,84
16.166666666666668,79
16.25,81
16.333333333333332,79
16.416666666666668,80
16.5,83
16.583333333333332,81
16.666666666666668,85
16.75,85
16.833333333333332,83
16.916666666666668,82
17,85
17.083333333333332,85
17.166666666666668,83
17.25,85
17.333333333333332,85
17.416666666666668,84
17.5,86
17.583333333333332,82
17.666666666666668,85
17.75,85
17.833333333333332,82
17.916666666666668,84
18,84
18.083333333333332,83
18.166666666666668,82
18.25,82
18.333333333333332,88
18.416666666666668,83
18.5,86
18.583333333333332,87
18.666666666666668,85
18.75,85
18.833333333333332,93
18.916666666666668,87
19,89
19.083333333333332,89
19.166666666666668,90
19.25,89
19.333333333333332,86
19.416666666666668,92
19.5,90
19.583333333333332,92
19.666666666666668,85
19.75,91
19.833333333333332,92
19.916666666666668,90
20,90
20.083333333333332,88
20.166666666666668,86
20.25,88
20.333333333333332,89
20.416666666666668,88
20.5,91
20.583333333333332,88
20.666666666666668,91
20.75,86
20.833333333333332,87
20.916666666666668,91
21,91
21.083333333333332,88
21.166666666666668,87
21.25,89
21.333333333333332,90
21.416666666666668,88
21.5,94
21.583333333333332,88
21.666666666666668,92
21.75,86
21.833333333333332,93
21.916666666666668,93
22,86
22.083333333333332,90
22.166666666666668,92
22.25,90
22.333333333333332,89
22.416666666666668,86
22.5,92
22.583333333333332,94
22.666666666666668,90
22.75,92
22.833333333333332,89
22.916666666666668,88
23,91
23.083333333333332,87
23.166666666666668,90
23.25,91
23.333333333333332,90
23.416666666666668,91
23.5,93
23.583333333333332,92
23.666666666666668,91
23.75,97
23.833333333333332,92
23.916666666666668,95
24,96
24.083333333333332,93
24.166666666666668,97
24.25,91
24.333333333333332,93
24.416666666666668,92
24.5,91
24.583333333333332,93
24.666666666666668,93
24.75,97
24.833333333333332,95
24.916666666666668,96
25,95
25.083333333333332,95
25.166666666666668,95
25.25,95
25.333333333333332,97
25.416666666666668,94
25.5,96
25.583333333333332,94
25.666666666666668,93
25.75,93
25.833333333333332,95
25.916666666666668,92
26,95
26.083333333333332,96
26.166666666666668,94
26.25,96
26.333333333333332,97
26.416666666666668,94
26.5,97
26.583333333333332,95
26.666666666666668,94
26.75,95
26.833333333333332,94
26.916666666666668,96
27,98
27.083333333333332,95
27.166666666666668,97
27.25,96
27.333333333333332,95
27.416666666666668,96
27.5,97
27.583333333333332,99
27.666666666666668,94
27.75,98
27.833333333333332,94
27.916666666666668,101
28,99
28.083333333333332,95
28.166666666666668,94
28.25,98
28.333333333333332,95
28.416666666666668,100
28.5,95
28.583333333333332,97
28.666666666666668,100
28.75,94
28.833333333333332,96
28.916666666666668,97
29,95
29.083333333333332,101
29.166666666666668,96
29.25,96
29.333333333333332,97
29.416666666666668,93
29.5,96
29.583333333333332,95
29.666666666666668,95
29.75,96
29.833333333333332,97
29.916666666666668,100
30,97
30.083333333333332,97
30.166666666666668,94
30.25,94
30.333333333333332,95
30.416666666666668,95
30.5,97
30.583333333333332,99
30.666666666666668,99
30.75,94
30.833333333333332,97
30.916666666666668,101
31,99
31.083333333333332,93
31.166666666666668,97
31.25,95
31.333333333333332,95
31.416666666666668,100
31.5,98
31.583333333333332,99
31.666666666666668,94
31.75,99
31.833333333333332,100
31.916666666666668,96
32,98
32.083333333333336,96
32.166666666666664,96
32.25,99
32.333333333333336,100
32.416666666666664,101
32.5,97
32.583333333333336,99
32.666666666666664,97
32.75,99
32.833333333333336,96
32.916666666666664,96
33,100
33.083333333333336,98
33.166666666666664,99
33.25,96
33.333333333333336,97
33.416666666666664,100
33.5,97
33.583333333333336,102
33.666666666666664,102
33.75,98
33.833333333333336,98
33.916666666666664,95
34,98
34.083333333333336,100
34.166666666666664,99
34.25,99
34.333333333333336,95
34.416666666666664,98
34.5,99
34.583333333333336,97
34.666666666666664,99
34.75,99
34.833333333333336,95
34.916666666666664,102
35,96
35.083333333333336,99
35.166666666666664,95
35.25,94
35.333333333333336,98
35.416666666666664,96
35.5,95
35.583333333333336,97
35.666666666666664,97
35.75,97
35.833333333333336,96
35.916666666666664,96
36,99
36.083333333333336,98
36.166666666666664,96
36.25,98
36.333333333333336,96
36.416666666666664,97
36.5,98
36.583333333333336,97
36.666666666666664,95
36.75,100
36.833333333333336,95
36.916666666666664,97
37,97
37.083333333333336,99
37.166666666666664,97
37.25,97
37.333333333333336,97
37.416666666666664,97
37.5,98
37.583333333333336,97
37.666666666666664,94
37.75,100
37.833333333333336,98
37.916666666666664,97
38,96
38.083333333333336,101
38.166666666666664,99
38.25,95
38.333333333333336,101
38.416666666666664,100
38.5,100
38.583333333333336,98
38.666666666666664,98
38.75,99
38.833333333333336,102
38.916666666666664,97
39,99
39.083333333333336,102
39.166666666666664,101
