"Hours since thread went live","Captain Tsubasa Season 2: Junior Youth-hen • 'Captain Tsubasa Jr. Youth Arc - Episode 31 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,1
0.9166666666666666,1
1,1
1.0833333333333333,1
1.1666666666666667,1
1.25,1
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,1
1.6666666666666667,1
1.75,1
1.8333333333333333,1
1.9166666666666667,0
2,1
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,2
2.4166666666666665,3
2.5,1
2.5833333333333335,3
2.6666666666666665,3
2.75,2
2.8333333333333335,4
2.9166666666666665,2
3,4
3.0833333333333335,3
3.1666666666666665,5
3.25,5
3.3333333333333335,4
3.4166666666666665,4
3.5,6
3.5833333333333335,6
3.6666666666666665,4
3.75,5
3.8333333333333335,7
3.9166666666666665,5
4,4
4.083333333333333,3
4.166666666666667,7
4.25,3
4.333333333333333,6
4.416666666666667,5
4.5,4
4.583333333333333,7
4.666666666666667,7
4.75,7
4.833333333333333,7
4.916666666666667,4
5,6
5.083333333333333,8
5.166666666666667,5
5.25,8
5.333333333333333,6
5.416666666666667,5
5.5,6
5.583333333333333,7
5.666666666666667,8
5.75,7
5.833333333333333,8
5.916666666666667,8
6,7
6.083333333333333,6
6.166666666666667,5
6.25,6
6.333333333333333,6
6.416666666666667,4
6.5,6
6.583333333333333,7
6.666666666666667,4
6.75,5
6.833333333333333,6
6.916666666666667,6
7,7
7.083333333333333,5
7.166666666666667,6
7.25,9
7.333333333333333,5
7.416666666666667,8
7.5,8
7.583333333333333,8
7.666666666666667,7
7.75,8
7.833333333333333,9
7.916666666666667,8
8,6
8.083333333333334,8
8.166666666666666,7
8.25,4
8.333333333333334,7
8.416666666666666,7
8.5,3
8.583333333333334,6
8.666666666666666,5
8.75,5
8.833333333333334,5
8.916666666666666,5
9,4
9.083333333333334,6
9.166666666666666,6
9.25,5
9.333333333333334,5
9.416666666666666,5
9.5,5
9.583333333333334,5
9.666666666666666,5
9.75,5
9.833333333333334,7
9.916666666666666,5
10,5
10.083333333333334,5
10.166666666666666,4
10.25,5
10.333333333333334,4
10.416666666666666,4
10.5,4
10.583333333333334,5
10.666666666666666,6
10.75,7
10.833333333333334,3
10.916666666666666,5
11,5
11.083333333333334,4
11.166666666666666,5
11.25,5
11.333333333333334,4
11.416666666666666,5
11.5,4
11.583333333333334,4
11.666666666666666,7
11.75,6
11.833333333333334,5
11.916666666666666,8
12,7
12.083333333333334,7
12.166666666666666,8
12.25,8
12.333333333333334,6
12.416666666666666,7
12.5,5
12.583333333333334,7
12.666666666666666,7
12.75,5
12.833333333333334,7
12.916666666666666,6
13,7
13.083333333333334,7
13.166666666666666,8
13.25,8
13.333333333333334,7
13.416666666666666,6
13.5,7
13.583333333333334,7
13.666666666666666,8
13.75,5
13.833333333333334,7
13.916666666666666,8
14,7
14.083333333333334,9
14.166666666666666,6
14.25,5
14.333333333333334,9
14.416666666666666,9
14.5,6
14.583333333333334,5
14.666666666666666,9
14.75,7
14.833333333333334,6
14.916666666666666,8
15,8
15.083333333333334,8
15.166666666666666,8
15.25,7
15.333333333333334,5
15.416666666666666,8
15.5,7
15.583333333333334,7
15.666666666666666,8
15.75,7
15.833333333333334,9
15.916666666666666,7
16,6
16.083333333333332,8
16.166666666666668,8
16.25,6
16.333333333333332,9
16.416666666666668,6
16.5,6
16.583333333333332,8
16.666666666666668,9
16.75,6
16.833333333333332,6
16.916666666666668,6
17,7
17.083333333333332,9
17.166666666666668,7
17.25,8
17.333333333333332,7
17.416666666666668,8
17.5,10
17.583333333333332,6
17.666666666666668,9
17.75,8
17.833333333333332,8
17.916666666666668,7
18,6
18.083333333333332,8
18.166666666666668,10
18.25,7
18.333333333333332,7
18.416666666666668,10
18.5,7
18.583333333333332,8
18.666666666666668,8
18.75,9
18.833333333333332,10
18.916666666666668,10
19,10
19.083333333333332,8
19.166666666666668,10
19.25,11
19.333333333333332,7
19.416666666666668,9
19.5,7
19.583333333333332,8
19.666666666666668,8
19.75,11
19.833333333333332,10
19.916666666666668,9
20,8
20.083333333333332,7
20.166666666666668,9
20.25,7
20.333333333333332,9
20.416666666666668,10
20.5,10
20.583333333333332,9
20.666666666666668,9
20.75,10
20.833333333333332,11
20.916666666666668,11
21,10
21.083333333333332,10
21.166666666666668,12
21.25,10
21.333333333333332,11
21.416666666666668,11
21.5,10
21.583333333333332,9
21.666666666666668,11
21.75,8
21.833333333333332,11
21.916666666666668,8
22,9
22.083333333333332,11
22.166666666666668,11
22.25,9
22.333333333333332,11
22.416666666666668,9
22.5,12
22.583333333333332,8
22.666666666666668,10
22.75,9
22.833333333333332,9
22.916666666666668,11
23,11
23.083333333333332,10
23.166666666666668,11
23.25,10
23.333333333333332,10
23.416666666666668,9
23.5,9
23.583333333333332,11
23.666666666666668,12
23.75,11
23.833333333333332,11
23.916666666666668,8
24,13
24.083333333333332,11
24.166666666666668,11
24.25,10
24.333333333333332,11
24.416666666666668,9
24.5,11
24.583333333333332,12
24.666666666666668,13
24.75,11
24.833333333333332,10
24.916666666666668,11
25,11
25.083333333333332,13
25.166666666666668,9
25.25,10
25.333333333333332,12
25.416666666666668,11
25.5,11
25.583333333333332,12
25.666666666666668,11
25.75,13
25.833333333333332,12
25.916666666666668,12
26,11
26.083333333333332,11
26.166666666666668,12
26.25,12
26.333333333333332,11
26.416666666666668,12
26.5,12
26.583333333333332,10
26.666666666666668,11
26.75,11
26.833333333333332,12
26.916666666666668,10
27,12
27.083333333333332,10
27.166666666666668,12
27.25,12
27.333333333333332,12
27.416666666666668,9
27.5,12
27.583333333333332,9
27.666666666666668,12
27.75,11
27.833333333333332,11
27.916666666666668,13
28,11
28.083333333333332,9
28.166666666666668,12
28.25,13
28.333333333333332,11
28.416666666666668,9
28.5,9
28.583333333333332,11
28.666666666666668,10
28.75,11
28.833333333333332,13
28.916666666666668,11
29,12
29.083333333333332,11
29.166666666666668,10
29.25,10
29.333333333333332,10
29.416666666666668,9
29.5,11
29.583333333333332,13
29.666666666666668,12
29.75,9
29.833333333333332,12
29.916666666666668,12
30,11
30.083333333333332,9
30.166666666666668,9
30.25,9
30.333333333333332,11
30.416666666666668,11
30.5,12
30.583333333333332,10
30.666666666666668,12
30.75,11
30.833333333333332,11
30.916666666666668,10
31,10
31.083333333333332,11
31.166666666666668,10
31.25,10
31.333333333333332,9
31.416666666666668,11
31.5,12
31.583333333333332,9
31.666666666666668,11
31.75,10
31.833333333333332,12
31.916666666666668,11
32,11
32.083333333333336,10
32.166666666666664,12
32.25,12
32.333333333333336,11
32.416666666666664,12
32.5,10
32.583333333333336,10
32.666666666666664,13
32.75,11
32.833333333333336,12
32.916666666666664,11
33,10
33.083333333333336,13
33.166666666666664,12
33.25,12
33.333333333333336,11
33.416666666666664,12
33.5,11
33.583333333333336,13
33.666666666666664,9
33.75,13
33.833333333333336,12
33.916666666666664,11
34,13
34.083333333333336,11
34.166666666666664,10
34.25,10
34.333333333333336,11
34.416666666666664,11
34.5,9
34.583333333333336,11
34.666666666666664,9
34.75,10
34.833333333333336,10
34.916666666666664,13
35,13
35.083333333333336,11
35.166666666666664,13
35.25,11
35.333333333333336,9
35.416666666666664,11
35.5,9
35.583333333333336,11
35.666666666666664,11
35.75,10
35.833333333333336,11
35.916666666666664,10
36,11
36.083333333333336,12
36.166666666666664,11
36.25,11
36.333333333333336,13
36.416666666666664,10
36.5,9
36.583333333333336,10
36.666666666666664,10
36.75,10
36.833333333333336,11
36.916666666666664,9
37,11
37.083333333333336,10
37.166666666666664,10
37.25,10
37.333333333333336,9
37.416666666666664,11
37.5,11
37.583333333333336,13
37.666666666666664,12
37.75,14
37.833333333333336,11
37.916666666666664,12
38,12
38.083333333333336,11
38.166666666666664,12
38.25,11
38.333333333333336,12
38.416666666666664,12
38.5,11
38.583333333333336,12
38.666666666666664,11
38.75,14
