"Hours since thread went live","Jiisan Baasan Wakagaeru • Grandpa and Grandma Turn Young Again - Episode 5 discussion"
0,1
0,1
0.08333333333333333,0
0.16666666666666666,2
0.25,4
0.3333333333333333,4
0.4166666666666667,5
0.5,8
0.5833333333333334,12
0.6666666666666666,15
0.75,17
0.8333333333333334,18
0.9166666666666666,18
1,19
1.0833333333333333,19
1.1666666666666667,22
1.25,22
1.3333333333333333,23
1.4166666666666667,25
1.5,25
1.5833333333333333,25
1.6666666666666667,27
1.75,31
1.8333333333333333,36
1.9166666666666667,40
2,41
2.0833333333333335,45
2.1666666666666665,54
2.25,53
2.3333333333333335,60
2.4166666666666665,59
2.5,61
2.5833333333333335,65
2.6666666666666665,66
2.75,69
2.8333333333333335,75
2.9166666666666665,76
3,79
3.0833333333333335,82
3.1666666666666665,78
3.25,86
3.3333333333333335,84
3.4166666666666665,83
3.5,87
3.5833333333333335,91
3.6666666666666665,93
3.75,92
3.8333333333333335,99
3.9166666666666665,103
4,105
4.083333333333333,106
4.166666666666667,106
4.25,102
4.333333333333333,106
4.416666666666667,109
4.5,111
4.583333333333333,110
4.666666666666667,113
4.75,120
4.833333333333333,118
4.916666666666667,115
5,120
5.083333333333333,119
5.166666666666667,119
5.25,124
5.333333333333333,131
5.416666666666667,134
5.5,134
5.583333333333333,133
5.666666666666667,133
5.75,134
5.833333333333333,134
5.916666666666667,136
6,140
6.083333333333333,140
6.166666666666667,136
6.25,142
6.333333333333333,144
6.416666666666667,145
6.5,142
6.583333333333333,148
6.666666666666667,151
6.75,151
6.833333333333333,152
6.916666666666667,151
7,151
7.083333333333333,153
7.166666666666667,157
7.25,157
7.333333333333333,159
7.416666666666667,159
7.5,156
7.583333333333333,161
7.666666666666667,161
7.75,161
7.833333333333333,165
7.916666666666667,167
8,166
8.083333333333334,163
8.166666666666666,167
8.25,164
8.333333333333334,167
8.416666666666666,165
8.5,166
8.583333333333334,169
8.666666666666666,173
8.75,171
8.833333333333334,173
8.916666666666666,175
9,174
9.083333333333334,177
9.166666666666666,175
9.25,177
9.333333333333334,181
9.416666666666666,180
9.5,179
9.583333333333334,178
9.666666666666666,181
9.75,179
9.833333333333334,183
9.916666666666666,186
10,187
10.083333333333334,183
10.166666666666666,189
10.25,191
10.333333333333334,187
10.416666666666666,191
10.5,188
10.583333333333334,190
10.666666666666666,191
10.75,189
10.833333333333334,193
10.916666666666666,189
11,190
11.083333333333334,193
11.166666666666666,193
11.25,196
11.333333333333334,195
11.416666666666666,194
11.5,196
11.583333333333334,197
11.666666666666666,197
11.75,193
11.833333333333334,197
11.916666666666666,195
12,195
12.083333333333334,202
12.166666666666666,202
12.25,196
12.333333333333334,197
12.416666666666666,195
12.5,201
12.583333333333334,198
12.666666666666666,198
12.75,198
12.833333333333334,200
12.916666666666666,199
13,199
13.083333333333334,201
13.166666666666666,199
13.25,202
13.333333333333334,202
13.416666666666666,200
13.5,204
13.583333333333334,205
13.666666666666666,208
13.75,203
13.833333333333334,207
13.916666666666666,210
14,210
14.083333333333334,217
14.166666666666666,214
14.25,217
14.333333333333334,218
14.416666666666666,213
14.5,216
14.583333333333334,214
14.666666666666666,217
14.75,216
14.833333333333334,213
14.916666666666666,213
15,220
15.083333333333334,216
15.166666666666666,217
15.25,218
15.333333333333334,220
15.416666666666666,223
15.5,222
15.583333333333334,221
15.666666666666666,221
15.75,220
15.833333333333334,220
15.916666666666666,226
16,221
16.083333333333332,222
16.166666666666668,223
16.25,222
16.333333333333332,225
16.416666666666668,226
16.5,225
16.583333333333332,227
16.666666666666668,225
16.75,227
16.833333333333332,229
16.916666666666668,226
17,229
17.083333333333332,226
17.166666666666668,226
17.25,224
17.333333333333332,227
17.416666666666668,227
17.5,226
17.583333333333332,227
17.666666666666668,226
17.75,225
17.833333333333332,229
17.916666666666668,231
18,227
18.083333333333332,226
18.166666666666668,232
18.25,229
18.333333333333332,228
18.416666666666668,230
18.5,235
18.583333333333332,229
18.666666666666668,229
18.75,230
18.833333333333332,236
18.916666666666668,234
19,234
19.083333333333332,238
19.166666666666668,236
19.25,240
19.333333333333332,234
19.416666666666668,231
19.5,233
19.583333333333332,234
19.666666666666668,233
19.75,236
19.833333333333332,237
19.916666666666668,233
20,235
20.083333333333332,235
20.166666666666668,238
20.25,232
20.333333333333332,234
20.416666666666668,238
20.5,239
20.583333333333332,241
20.666666666666668,237
20.75,240
20.833333333333332,241
20.916666666666668,234
21,237
21.083333333333332,236
21.166666666666668,238
21.25,239
21.333333333333332,238
21.416666666666668,244
21.5,242
21.583333333333332,244
21.666666666666668,241
21.75,241
21.833333333333332,239
21.916666666666668,241
22,243
22.083333333333332,244
22.166666666666668,245
22.25,249
22.333333333333332,246
22.416666666666668,246
22.5,251
22.583333333333332,246
22.666666666666668,247
22.75,251
22.833333333333332,249
22.916666666666668,252
23,249
23.083333333333332,252
23.166666666666668,255
23.25,250
23.333333333333332,252
23.416666666666668,254
23.5,250
23.583333333333332,251
23.666666666666668,252
23.75,252
23.833333333333332,249
23.916666666666668,252
24,253
24.083333333333332,251
24.166666666666668,255
24.25,250
24.333333333333332,256
24.416666666666668,248
24.5,253
24.583333333333332,250
24.666666666666668,253
24.75,250
24.833333333333332,253
24.916666666666668,253
25,256
25.083333333333332,253
25.166666666666668,251
25.25,253
25.333333333333332,253
25.416666666666668,257
25.5,259
25.583333333333332,253
25.666666666666668,253
25.75,258
25.833333333333332,254
25.916666666666668,254
26,253
26.083333333333332,258
26.166666666666668,251
26.25,254
26.333333333333332,255
26.416666666666668,255
26.5,253
26.583333333333332,257
26.666666666666668,258
26.75,254
26.833333333333332,253
26.916666666666668,258
27,254
27.083333333333332,256
27.166666666666668,256
27.25,252
27.333333333333332,254
27.416666666666668,255
27.5,255
27.583333333333332,254
27.666666666666668,253
27.75,256
27.833333333333332,255
27.916666666666668,252
28,257
28.083333333333332,255
28.166666666666668,255
28.25,258
28.333333333333332,259
28.416666666666668,255
28.5,255
28.583333333333332,257
28.666666666666668,261
28.75,258
28.833333333333332,261
28.916666666666668,259
29,260
29.083333333333332,257
29.166666666666668,262
29.25,259
29.333333333333332,259
29.416666666666668,256
29.5,257
29.583333333333332,263
29.666666666666668,259
29.75,261
29.833333333333332,257
29.916666666666668,261
30,263
30.083333333333332,261
30.166666666666668,260
30.25,262
30.333333333333332,260
30.416666666666668,258
30.5,261
30.583333333333332,260
30.666666666666668,260
30.75,260
30.833333333333332,260
30.916666666666668,266
31,262
31.083333333333332,261
31.166666666666668,262
31.25,263
31.333333333333332,267
31.416666666666668,263
31.5,262
31.583333333333332,262
31.666666666666668,262
31.75,260
31.833333333333332,264
31.916666666666668,259
32,265
32.083333333333336,260
32.166666666666664,267
32.25,265
32.333333333333336,268
32.416666666666664,266
32.5,263
32.583333333333336,264
32.666666666666664,266
32.75,267
32.833333333333336,263
32.916666666666664,266
33,265
33.083333333333336,268
33.166666666666664,262
33.25,266
33.333333333333336,268
33.416666666666664,266
33.5,267
33.583333333333336,267
33.666666666666664,268
33.75,265
33.833333333333336,267
33.916666666666664,269
34,266
34.083333333333336,270
34.166666666666664,266
34.25,270
34.333333333333336,267
34.416666666666664,269
34.5,269
34.583333333333336,269
34.666666666666664,266
34.75,266
34.833333333333336,271
34.916666666666664,273
35,272
35.083333333333336,267
35.166666666666664,270
35.25,269
35.333333333333336,266
35.416666666666664,270
35.5,266
35.583333333333336,270
35.666666666666664,270
35.75,271
35.833333333333336,269
35.916666666666664,271
36,269
36.083333333333336,267
36.166666666666664,266
36.25,270
36.333333333333336,270
36.416666666666664,272
36.5,271
36.583333333333336,272
36.666666666666664,271
36.75,270
36.833333333333336,267
36.916666666666664,270
37,272
37.083333333333336,270
37.166666666666664,269
37.25,270
37.333333333333336,275
37.416666666666664,273
37.5,269
37.583333333333336,276
37.666666666666664,275
37.75,275
37.833333333333336,277
37.916666666666664,277
38,274
38.083333333333336,278
38.166666666666664,277
38.25,273
38.333333333333336,274
38.416666666666664,270
38.5,274
38.583333333333336,271
38.666666666666664,276
38.75,272
38.833333333333336,271
