"Hours since thread went live","Tsuki ga Michibiku Isekai Douchuu Season 2 • Tsukimichi -Moonlit Fantasy- Season 2 - Episode 18 discussion"
0,2
0,4
0.08333333333333333,10
0.16666666666666666,9
0.25,16
0.3333333333333333,20
0.4166666666666667,28
0.5,38
0.5833333333333334,42
0.6666666666666666,51
0.75,59
0.8333333333333334,66
0.9166666666666666,75
1,81
1.0833333333333333,92
1.1666666666666667,95
1.25,105
1.3333333333333333,113
1.4166666666666667,117
1.5,126
1.5833333333333333,140
1.6666666666666667,148
1.75,152
1.8333333333333333,158
1.9166666666666667,164
2,172
2.0833333333333335,177
2.1666666666666665,184
2.25,195
2.3333333333333335,203
2.4166666666666665,212
2.5,218
2.5833333333333335,228
2.6666666666666665,235
2.75,235
2.8333333333333335,245
2.9166666666666665,245
3,250
3.0833333333333335,256
3.1666666666666665,264
3.25,272
3.3333333333333335,280
3.4166666666666665,283
3.5,289
3.5833333333333335,292
3.6666666666666665,299
3.75,303
3.8333333333333335,317
3.9166666666666665,311
4,321
4.083333333333333,325
4.166666666666667,330
4.25,340
4.333333333333333,344
4.416666666666667,342
4.5,348
4.583333333333333,354
4.666666666666667,357
4.75,360
4.833333333333333,361
4.916666666666667,365
5,377
5.083333333333333,377
5.166666666666667,381
5.25,383
5.333333333333333,386
5.416666666666667,388
5.5,392
5.583333333333333,395
5.666666666666667,405
5.75,409
5.833333333333333,414
5.916666666666667,416
6,422
6.083333333333333,421
6.166666666666667,431
6.25,425
6.333333333333333,428
6.416666666666667,435
6.5,440
6.583333333333333,439
6.666666666666667,449
6.75,444
6.833333333333333,453
6.916666666666667,457
7,461
7.083333333333333,460
7.166666666666667,463
7.25,463
7.333333333333333,471
7.416666666666667,475
7.5,480
7.583333333333333,484
7.666666666666667,489
7.75,487
7.833333333333333,490
7.916666666666667,495
8,501
8.083333333333334,503
8.166666666666666,505
8.25,512
8.333333333333334,508
8.416666666666666,510
8.5,512
8.583333333333334,514
8.666666666666666,515
8.75,514
8.833333333333334,517
8.916666666666666,519
9,528
9.083333333333334,524
9.166666666666666,523
9.25,527
9.333333333333334,535
9.416666666666666,532
9.5,545
9.583333333333334,541
9.666666666666666,552
9.75,549
9.833333333333334,554
9.916666666666666,562
10,563
10.083333333333334,556
10.166666666666666,565
10.25,568
10.333333333333334,563
10.416666666666666,568
10.5,574
10.583333333333334,576
10.666666666666666,572
10.75,573
10.833333333333334,577
10.916666666666666,578
11,584
11.083333333333334,590
11.166666666666666,586
11.25,591
11.333333333333334,587
11.416666666666666,595
11.5,602
11.583333333333334,604
11.666666666666666,598
11.75,602
11.833333333333334,602
11.916666666666666,601
12,602
12.083333333333334,601
12.166666666666666,609
12.25,611
12.333333333333334,617
12.416666666666666,609
12.5,611
12.583333333333334,613
12.666666666666666,611
12.75,619
12.833333333333334,612
12.916666666666666,621
13,624
13.083333333333334,629
13.166666666666666,623
13.25,626
13.333333333333334,631
13.416666666666666,630
13.5,629
13.583333333333334,631
13.666666666666666,636
13.75,636
13.833333333333334,637
13.916666666666666,640
14,644
14.083333333333334,645
14.166666666666666,641
14.25,642
14.333333333333334,641
14.416666666666666,644
14.5,648
14.583333333333334,645
14.666666666666666,645
14.75,645
14.833333333333334,646
14.916666666666666,645
15,646
15.083333333333334,653
15.166666666666666,654
15.25,657
15.333333333333334,655
15.416666666666666,653
15.5,664
15.583333333333334,659
15.666666666666666,655
15.75,662
15.833333333333334,663
15.916666666666666,665
16,666
16.083333333333332,662
16.166666666666668,658
16.25,664
16.333333333333332,668
16.416666666666668,666
16.5,673
16.583333333333332,671
16.666666666666668,667
16.75,666
16.833333333333332,677
16.916666666666668,670
17,673
17.083333333333332,673
17.166666666666668,671
17.25,667
17.333333333333332,674
17.416666666666668,677
17.5,675
17.583333333333332,676
17.666666666666668,679
17.75,672
17.833333333333332,679
17.916666666666668,675
18,683
18.083333333333332,679
18.166666666666668,681
18.25,686
18.333333333333332,685
18.416666666666668,680
18.5,681
18.583333333333332,686
18.666666666666668,683
18.75,685
18.833333333333332,684
18.916666666666668,687
19,687
19.083333333333332,692
19.166666666666668,696
19.25,688
19.333333333333332,695
19.416666666666668,693
19.5,696
19.583333333333332,695
19.666666666666668,692
19.75,699
19.833333333333332,695
19.916666666666668,697
20,702
20.083333333333332,705
20.166666666666668,700
20.25,700
20.333333333333332,699
20.416666666666668,701
20.5,707
20.583333333333332,703
20.666666666666668,706
20.75,704
20.833333333333332,703
20.916666666666668,708
21,707
21.083333333333332,710
21.166666666666668,713
21.25,709
21.333333333333332,713
21.416666666666668,714
21.5,719
21.583333333333332,712
21.666666666666668,720
21.75,718
21.833333333333332,720
21.916666666666668,715
22,720
22.083333333333332,721
22.166666666666668,720
22.25,718
22.333333333333332,718
22.416666666666668,717
22.5,721
22.583333333333332,720
22.666666666666668,722
22.75,725
22.833333333333332,723
22.916666666666668,722
23,724
23.083333333333332,726
23.166666666666668,721
23.25,723
23.333333333333332,729
23.416666666666668,725
23.5,731
23.583333333333332,720
23.666666666666668,728
23.75,728
23.833333333333332,726
23.916666666666668,728
24,727
24.083333333333332,727
24.166666666666668,730
24.25,729
24.333333333333332,728
24.416666666666668,728
24.5,727
24.583333333333332,729
24.666666666666668,728
24.75,731
24.833333333333332,734
24.916666666666668,730
25,729
25.083333333333332,734
25.166666666666668,735
25.25,736
25.333333333333332,734
25.416666666666668,735
25.5,741
25.583333333333332,737
25.666666666666668,741
25.75,741
25.833333333333332,743
25.916666666666668,737
26,741
26.083333333333332,745
26.166666666666668,737
26.25,739
26.333333333333332,735
26.416666666666668,739
