"Hours since thread went live","Tadaima, Okaeri - Episode 5 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,0
0.4166666666666667,1
0.5,3
0.5833333333333334,4
0.6666666666666666,4
0.75,4
0.8333333333333334,5
0.9166666666666666,5
1,5
1.0833333333333333,4
1.1666666666666667,4
1.25,6
1.3333333333333333,8
1.4166666666666667,9
1.5,11
1.5833333333333333,10
1.6666666666666667,14
1.75,13
1.8333333333333333,14
1.9166666666666667,15
2,12
2.0833333333333335,15
2.1666666666666665,14
2.25,14
2.3333333333333335,13
2.4166666666666665,15
2.5,13
2.5833333333333335,15
2.6666666666666665,16
2.75,16
2.8333333333333335,18
2.9166666666666665,18
3,18
3.0833333333333335,18
3.1666666666666665,21
3.25,20
3.3333333333333335,19
3.4166666666666665,21
3.5,22
3.5833333333333335,19
3.6666666666666665,22
3.75,20
3.8333333333333335,19
3.9166666666666665,20
4,20
4.083333333333333,22
4.166666666666667,21
4.25,22
4.333333333333333,24
4.416666666666667,21
4.5,25
4.583333333333333,25
4.666666666666667,27
4.75,26
4.833333333333333,25
4.916666666666667,28
5,25
5.083333333333333,27
5.166666666666667,29
5.25,29
5.333333333333333,29
5.416666666666667,28
5.5,28
5.583333333333333,30
5.666666666666667,29
5.75,31
5.833333333333333,32
5.916666666666667,26
6,30
6.083333333333333,28
6.166666666666667,28
6.25,34
6.333333333333333,29
6.416666666666667,32
6.5,32
6.583333333333333,34
6.666666666666667,34
6.75,35
6.833333333333333,33
6.916666666666667,34
7,36
7.083333333333333,32
7.166666666666667,35
7.25,35
7.333333333333333,34
7.416666666666667,33
7.5,37
7.583333333333333,34
7.666666666666667,34
7.75,32
7.833333333333333,36
7.916666666666667,35
8,33
8.083333333333334,36
8.166666666666666,39
8.25,38
8.333333333333334,33
8.416666666666666,39
8.5,33
8.583333333333334,33
8.666666666666666,36
8.75,40
8.833333333333334,40
8.916666666666666,37
9,33
9.083333333333334,37
9.166666666666666,36
9.25,37
9.333333333333334,34
9.416666666666666,38
9.5,35
9.583333333333334,38
9.666666666666666,37
9.75,38
9.833333333333334,33
9.916666666666666,38
10,36
10.083333333333334,37
10.166666666666666,38
10.25,42
10.333333333333334,40
10.416666666666666,38
10.5,41
10.583333333333334,39
10.666666666666666,41
10.75,41
10.833333333333334,37
10.916666666666666,42
11,43
11.083333333333334,40
11.166666666666666,41
11.25,42
11.333333333333334,39
11.416666666666666,40
11.5,40
11.583333333333334,42
11.666666666666666,42
11.75,39
11.833333333333334,43
11.916666666666666,41
12,41
12.083333333333334,41
12.166666666666666,41
12.25,44
12.333333333333334,39
12.416666666666666,41
12.5,39
12.583333333333334,42
12.666666666666666,42
12.75,43
12.833333333333334,44
12.916666666666666,48
13,42
13.083333333333334,43
13.166666666666666,45
13.25,48
13.333333333333334,45
13.416666666666666,44
13.5,44
13.583333333333334,43
13.666666666666666,43
13.75,45
13.833333333333334,46
13.916666666666666,44
14,41
14.083333333333334,44
14.166666666666666,42
14.25,42
14.333333333333334,43
14.416666666666666,43
14.5,43
14.583333333333334,47
14.666666666666666,44
14.75,41
14.833333333333334,45
14.916666666666666,42
15,48
15.083333333333334,45
15.166666666666666,44
15.25,44
15.333333333333334,48
15.416666666666666,45
15.5,48
15.583333333333334,49
15.666666666666666,46
15.75,49
15.833333333333334,48
15.916666666666666,51
16,45
16.083333333333332,48
16.166666666666668,46
16.25,47
16.333333333333332,47
16.416666666666668,47
16.5,48
16.583333333333332,50
16.666666666666668,50
16.75,46
16.833333333333332,49
16.916666666666668,54
17,50
17.083333333333332,50
17.166666666666668,50
17.25,50
17.333333333333332,48
17.416666666666668,46
17.5,48
17.583333333333332,49
17.666666666666668,50
17.75,45
17.833333333333332,45
17.916666666666668,51
18,52
18.083333333333332,50
18.166666666666668,48
18.25,47
18.333333333333332,48
18.416666666666668,51
18.5,49
18.583333333333332,54
18.666666666666668,48
18.75,51
18.833333333333332,53
18.916666666666668,51
19,54
19.083333333333332,51
19.166666666666668,53
19.25,49
19.333333333333332,52
19.416666666666668,56
19.5,51
19.583333333333332,51
19.666666666666668,48
19.75,54
19.833333333333332,51
19.916666666666668,48
20,54
20.083333333333332,50
20.166666666666668,56
20.25,54
20.333333333333332,52
20.416666666666668,52
20.5,53
20.583333333333332,53
20.666666666666668,51
20.75,55
20.833333333333332,53
20.916666666666668,52
21,52
21.083333333333332,53
21.166666666666668,56
21.25,50
21.333333333333332,51
21.416666666666668,56
21.5,57
21.583333333333332,53
21.666666666666668,55
21.75,55
21.833333333333332,52
21.916666666666668,53
22,53
22.083333333333332,55
22.166666666666668,56
22.25,56
22.333333333333332,54
22.416666666666668,57
22.5,55
22.583333333333332,56
22.666666666666668,55
22.75,56
22.833333333333332,56
22.916666666666668,53
23,56
23.083333333333332,55
23.166666666666668,53
23.25,52
23.333333333333332,54
23.416666666666668,56
23.5,51
23.583333333333332,56
23.666666666666668,55
23.75,54
23.833333333333332,53
23.916666666666668,56
24,53
24.083333333333332,57
24.166666666666668,53
24.25,57
24.333333333333332,54
24.416666666666668,53
24.5,53
24.583333333333332,55
24.666666666666668,50
24.75,53
24.833333333333332,55
24.916666666666668,56
25,52
25.083333333333332,53
25.166666666666668,57
25.25,56
25.333333333333332,57
25.416666666666668,55
25.5,52
25.583333333333332,57
25.666666666666668,53
25.75,57
25.833333333333332,53
25.916666666666668,54
26,55
26.083333333333332,57
26.166666666666668,60
26.25,56
26.333333333333332,57
26.416666666666668,59
26.5,55
26.583333333333332,55
26.666666666666668,57
26.75,56
26.833333333333332,55
26.916666666666668,54
27,56
27.083333333333332,59
27.166666666666668,55
27.25,57
27.333333333333332,56
27.416666666666668,57
27.5,55
27.583333333333332,58
27.666666666666668,57
27.75,59
27.833333333333332,59
27.916666666666668,59
28,57
28.083333333333332,57
28.166666666666668,57
28.25,56
28.333333333333332,58
28.416666666666668,59
28.5,57
28.583333333333332,56
28.666666666666668,60
28.75,54
28.833333333333332,56
28.916666666666668,56
29,57
29.083333333333332,52
29.166666666666668,55
29.25,58
29.333333333333332,54
29.416666666666668,56
29.5,58
29.583333333333332,56
29.666666666666668,53
29.75,58
29.833333333333332,58
29.916666666666668,56
30,57
30.083333333333332,54
30.166666666666668,60
30.25,56
30.333333333333332,53
30.416666666666668,52
30.5,60
30.583333333333332,56
30.666666666666668,55
30.75,53
30.833333333333332,57
30.916666666666668,58
31,59
31.083333333333332,54
31.166666666666668,61
31.25,58
31.333333333333332,54
31.416666666666668,56
31.5,57
31.583333333333332,60
31.666666666666668,59
31.75,53
31.833333333333332,59
31.916666666666668,57
32,57
32.083333333333336,59
32.166666666666664,60
32.25,58
32.333333333333336,54
32.416666666666664,55
32.5,54
32.583333333333336,57
32.666666666666664,59
32.75,61
32.833333333333336,56
32.916666666666664,56
33,56
33.083333333333336,60
33.166666666666664,55
33.25,61
33.333333333333336,59
33.416666666666664,56
33.5,59
33.583333333333336,61
33.666666666666664,56
33.75,58
33.833333333333336,55
33.916666666666664,54
34,55
34.083333333333336,53
34.166666666666664,56
34.25,56
34.333333333333336,56
34.416666666666664,55
34.5,59
34.583333333333336,58
34.666666666666664,60
34.75,59
34.833333333333336,59
34.916666666666664,58
35,59
35.083333333333336,56
35.166666666666664,57
35.25,57
35.333333333333336,57
35.416666666666664,55
35.5,57
35.583333333333336,55
35.666666666666664,57
35.75,59
35.833333333333336,59
35.916666666666664,58
36,57
36.083333333333336,55
36.166666666666664,54
36.25,55
36.333333333333336,56
36.416666666666664,56
36.5,56
36.583333333333336,58
36.666666666666664,58
36.75,58
36.833333333333336,56
36.916666666666664,56
37,57
37.083333333333336,58
37.166666666666664,58
37.25,55
37.333333333333336,54
37.416666666666664,58
37.5,56
37.583333333333336,59
37.666666666666664,58
37.75,58
37.833333333333336,53
37.916666666666664,60
38,61
38.083333333333336,56
38.166666666666664,57
38.25,60
38.333333333333336,61
38.416666666666664,58
38.5,55
38.583333333333336,57
38.666666666666664,59
38.75,57
38.833333333333336,59
38.916666666666664,58
39,58
39.083333333333336,60
