"Hours since thread went live","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu • I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability - Episode 6 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,6
0.25,11
0.3333333333333333,15
0.4166666666666667,20
0.5,28
0.5833333333333334,35
0.6666666666666666,38
0.75,46
0.8333333333333334,51
0.9166666666666666,57
1,64
1.0833333333333333,68
1.1666666666666667,75
1.25,80
1.3333333333333333,82
1.4166666666666667,89
1.5,98
1.5833333333333333,103
1.6666666666666667,111
1.75,121
1.8333333333333333,132
1.9166666666666667,139
2,146
2.0833333333333335,155
2.1666666666666665,158
2.25,165
2.3333333333333335,172
2.4166666666666665,176
2.5,185
2.5833333333333335,191
2.6666666666666665,195
2.75,194
2.8333333333333335,196
2.9166666666666665,199
3,207
3.0833333333333335,212
3.1666666666666665,218
3.25,217
3.3333333333333335,214
3.4166666666666665,218
3.5,215
3.5833333333333335,220
3.6666666666666665,224
3.75,231
3.8333333333333335,229
3.9166666666666665,235
4,233
4.083333333333333,245
4.166666666666667,247
4.25,254
4.333333333333333,261
4.416666666666667,268
4.5,268
4.583333333333333,274
4.666666666666667,275
4.75,280
4.833333333333333,283
4.916666666666667,285
5,285
5.083333333333333,287
5.166666666666667,287
5.25,292
5.333333333333333,298
5.416666666666667,300
5.5,304
5.583333333333333,306
5.666666666666667,307
5.75,310
5.833333333333333,313
5.916666666666667,314
6,316
6.083333333333333,328
6.166666666666667,333
6.25,331
6.333333333333333,334
6.416666666666667,334
6.5,337
6.583333333333333,344
6.666666666666667,345
6.75,342
6.833333333333333,343
6.916666666666667,344
7,342
7.083333333333333,350
7.166666666666667,346
7.25,357
7.333333333333333,356
7.416666666666667,359
7.5,366
7.583333333333333,358
7.666666666666667,366
7.75,368
7.833333333333333,366
7.916666666666667,379
8,373
8.083333333333334,380
8.166666666666666,382
8.25,379
8.333333333333334,386
8.416666666666666,381
8.5,380
8.583333333333334,381
8.666666666666666,388
8.75,387
8.833333333333334,387
8.916666666666666,389
9,391
9.083333333333334,398
9.166666666666666,396
9.25,398
9.333333333333334,409
9.416666666666666,409
9.5,403
9.583333333333334,407
9.666666666666666,405
9.75,410
9.833333333333334,407
9.916666666666666,413
10,416
10.083333333333334,422
10.166666666666666,422
10.25,421
10.333333333333334,427
10.416666666666666,423
10.5,421
10.583333333333334,420
10.666666666666666,422
10.75,433
10.833333333333334,429
10.916666666666666,433
11,430
11.083333333333334,440
11.166666666666666,436
11.25,439
11.333333333333334,444
11.416666666666666,438
11.5,448
11.583333333333334,451
11.666666666666666,452
11.75,450
11.833333333333334,445
11.916666666666666,450
12,450
12.083333333333334,457
12.166666666666666,455
12.25,451
12.333333333333334,457
12.416666666666666,465
12.5,459
12.583333333333334,458
12.666666666666666,464
12.75,470
12.833333333333334,469
12.916666666666666,472
13,473
13.083333333333334,474
13.166666666666666,467
13.25,466
13.333333333333334,474
13.416666666666666,476
13.5,472
13.583333333333334,472
13.666666666666666,476
13.75,471
13.833333333333334,473
13.916666666666666,469
14,472
14.083333333333334,477
14.166666666666666,473
14.25,477
14.333333333333334,481
14.416666666666666,480
14.5,485
14.583333333333334,478
14.666666666666666,488
14.75,483
14.833333333333334,487
14.916666666666666,488
15,491
15.083333333333334,488
15.166666666666666,486
15.25,493
15.333333333333334,494
15.416666666666666,495
15.5,493
15.583333333333334,496
15.666666666666666,498
15.75,494
15.833333333333334,493
15.916666666666666,501
16,495
16.083333333333332,496
16.166666666666668,494
16.25,495
16.333333333333332,498
16.416666666666668,498
16.5,494
16.583333333333332,499
16.666666666666668,502
16.75,499
16.833333333333332,499
16.916666666666668,506
17,501
17.083333333333332,502
17.166666666666668,508
17.25,506
17.333333333333332,507
17.416666666666668,508
17.5,510
17.583333333333332,513
17.666666666666668,507
17.75,508
17.833333333333332,510
17.916666666666668,513
18,515
18.083333333333332,520
18.166666666666668,521
18.25,516
18.333333333333332,516
18.416666666666668,511
18.5,519
18.583333333333332,517
18.666666666666668,517
18.75,516
18.833333333333332,520
18.916666666666668,523
19,527
19.083333333333332,526
19.166666666666668,524
19.25,521
19.333333333333332,527
19.416666666666668,527
19.5,530
19.583333333333332,528
19.666666666666668,536
19.75,531
19.833333333333332,532
19.916666666666668,534
20,534
20.083333333333332,544
20.166666666666668,538
20.25,540
20.333333333333332,542
20.416666666666668,544
20.5,541
20.583333333333332,545
20.666666666666668,549
20.75,542
20.833333333333332,551
20.916666666666668,548
21,543
21.083333333333332,548
21.166666666666668,550
21.25,553
21.333333333333332,553
21.416666666666668,547
21.5,553
21.583333333333332,549
21.666666666666668,551
21.75,556
21.833333333333332,555
21.916666666666668,551
22,560
22.083333333333332,559
22.166666666666668,563
22.25,560
22.333333333333332,556
22.416666666666668,562
22.5,566
22.583333333333332,561
22.666666666666668,560
22.75,568
22.833333333333332,563
22.916666666666668,567
23,566
23.083333333333332,566
23.166666666666668,574
23.25,573
23.333333333333332,570
23.416666666666668,575
23.5,572
23.583333333333332,571
23.666666666666668,572
23.75,575
23.833333333333332,575
23.916666666666668,572
24,571
24.083333333333332,579
24.166666666666668,572
24.25,580
24.333333333333332,579
24.416666666666668,576
24.5,575
24.583333333333332,579
24.666666666666668,580
24.75,579
24.833333333333332,574
24.916666666666668,574
25,573
25.083333333333332,581
25.166666666666668,582
25.25,579
25.333333333333332,581
25.416666666666668,584
25.5,583
25.583333333333332,583
25.666666666666668,584
25.75,589
25.833333333333332,585
25.916666666666668,583
26,585
26.083333333333332,586
26.166666666666668,591
26.25,590
26.333333333333332,586
26.416666666666668,587
26.5,591
26.583333333333332,592
26.666666666666668,592
26.75,588
26.833333333333332,589
26.916666666666668,595
27,589
27.083333333333332,596
27.166666666666668,595
27.25,595
27.333333333333332,592
27.416666666666668,595
27.5,596
27.583333333333332,594
27.666666666666668,600
27.75,604
27.833333333333332,598
27.916666666666668,596
28,598
28.083333333333332,595
28.166666666666668,598
28.25,600
28.333333333333332,600
28.416666666666668,602
28.5,600
28.583333333333332,601
28.666666666666668,601
28.75,601
28.833333333333332,601
28.916666666666668,604
29,595
29.083333333333332,600
29.166666666666668,597
29.25,596
29.333333333333332,602
29.416666666666668,599
29.5,602
29.583333333333332,605
29.666666666666668,601
29.75,597
29.833333333333332,600
29.916666666666668,606
30,601
30.083333333333332,598
30.166666666666668,609
30.25,607
30.333333333333332,600
30.416666666666668,605
30.5,603
30.583333333333332,608
30.666666666666668,607
30.75,606
30.833333333333332,600
30.916666666666668,607
31,610
31.083333333333332,611
31.166666666666668,600
31.25,610
31.333333333333332,607
31.416666666666668,603
31.5,609
31.583333333333332,607
31.666666666666668,605
31.75,606
31.833333333333332,605
31.916666666666668,603
32,608
32.083333333333336,605
32.166666666666664,610
32.25,604
32.333333333333336,605
32.416666666666664,603
32.5,606
32.583333333333336,606
32.666666666666664,608
32.75,603
32.833333333333336,604
32.916666666666664,605
33,606
33.083333333333336,614
33.166666666666664,604
33.25,613
33.333333333333336,611
33.416666666666664,610
33.5,608
33.583333333333336,610
33.666666666666664,615
33.75,615
33.833333333333336,608
33.916666666666664,611
34,606
34.083333333333336,613
34.166666666666664,611
34.25,611
34.333333333333336,617
34.416666666666664,618
34.5,620
34.583333333333336,617
34.666666666666664,620
34.75,610
34.833333333333336,615
34.916666666666664,618
35,614
35.083333333333336,614
35.166666666666664,614
35.25,618
35.333333333333336,612
35.416666666666664,611
35.5,614
35.583333333333336,615
35.666666666666664,620
35.75,615
35.833333333333336,615
35.916666666666664,618
36,618
36.083333333333336,620
36.166666666666664,624
36.25,621
36.333333333333336,622
36.416666666666664,624
36.5,620
36.583333333333336,618
36.666666666666664,621
36.75,619
36.833333333333336,623
36.916666666666664,626
37,623
37.083333333333336,625
37.166666666666664,621
37.25,621
37.333333333333336,624
37.416666666666664,618
37.5,625
37.583333333333336,621
37.666666666666664,627
37.75,624
37.833333333333336,624
37.916666666666664,628
38,628
38.083333333333336,627
38.166666666666664,626
38.25,629
38.333333333333336,627
38.416666666666664,631
