"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 7 discussion"
0,1
0,1
0.08333333333333333,0
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,3
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,2
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,4
1.3333333333333333,4
1.4166666666666667,4
1.5,4
1.5833333333333333,3
1.6666666666666667,4
1.75,3
1.8333333333333333,5
1.9166666666666667,4
2,5
2.0833333333333335,4
2.1666666666666665,7
2.25,5
2.3333333333333335,7
2.4166666666666665,6
2.5,7
2.5833333333333335,8
2.6666666666666665,8
2.75,10
2.8333333333333335,8
2.9166666666666665,9
3,9
3.0833333333333335,9
3.1666666666666665,8
3.25,10
3.3333333333333335,10
3.4166666666666665,9
3.5,8
3.5833333333333335,10
3.6666666666666665,11
3.75,9
3.8333333333333335,8
3.9166666666666665,10
4,10
4.083333333333333,11
4.166666666666667,12
4.25,10
4.333333333333333,11
4.416666666666667,15
4.5,15
4.583333333333333,12
4.666666666666667,14
4.75,13
4.833333333333333,14
4.916666666666667,13
5,14
5.083333333333333,16
5.166666666666667,15
5.25,13
5.333333333333333,12
5.416666666666667,13
5.5,17
5.583333333333333,17
5.666666666666667,17
5.75,17
5.833333333333333,17
5.916666666666667,16
6,18
6.083333333333333,17
6.166666666666667,17
6.25,17
6.333333333333333,16
6.416666666666667,19
6.5,19
6.583333333333333,20
6.666666666666667,17
6.75,17
6.833333333333333,21
6.916666666666667,20
7,18
7.083333333333333,19
7.166666666666667,20
7.25,20
7.333333333333333,18
7.416666666666667,19
7.5,18
7.583333333333333,18
7.666666666666667,21
7.75,19
7.833333333333333,21
7.916666666666667,20
8,20
8.083333333333334,20
8.166666666666666,18
8.25,18
8.333333333333334,20
8.416666666666666,19
8.5,21
8.583333333333334,18
8.666666666666666,18
8.75,18
8.833333333333334,15
8.916666666666666,11
9,6
9.083333333333334,2
9.166666666666666,0
9.25,0
9.333333333333334,0
9.416666666666666,0
9.5,0
9.583333333333334,0
9.666666666666666,0
9.75,0
9.833333333333334,0
9.916666666666666,0
10,0
10.083333333333334,0
10.166666666666666,0
10.25,0
10.333333333333334,0
10.416666666666666,0
10.5,0
10.583333333333334,0
10.666666666666666,0
10.75,0
10.833333333333334,0
10.916666666666666,0
11,0
11.083333333333334,0
11.166666666666666,0
11.25,0
11.333333333333334,0
11.416666666666666,0
11.5,0
11.583333333333334,0
11.666666666666666,0
11.75,0
11.833333333333334,3
11.916666666666666,0
12,0
12.083333333333334,0
12.166666666666666,0
12.25,1
12.333333333333334,1
12.416666666666666,0
12.5,0
12.583333333333334,0
12.666666666666666,3
12.75,3
12.833333333333334,1
12.916666666666666,0
13,1
13.083333333333334,3
13.166666666666666,2
13.25,2
13.333333333333334,2
13.416666666666666,0
13.5,0
13.583333333333334,0
13.666666666666666,4
13.75,4
13.833333333333334,0
13.916666666666666,0
14,1
14.083333333333334,1
14.166666666666666,0
14.25,2
14.333333333333334,0
14.416666666666666,4
14.5,2
14.583333333333334,1
14.666666666666666,0
14.75,1
14.833333333333334,0
14.916666666666666,2
15,5
15.083333333333334,4
15.166666666666666,4
15.25,2
15.333333333333334,1
15.416666666666666,0
15.5,0
15.583333333333334,1
15.666666666666666,3
15.75,0
15.833333333333334,5
15.916666666666666,4
16,4
16.083333333333332,3
16.166666666666668,2
16.25,1
16.333333333333332,0
16.416666666666668,1
16.5,2
16.583333333333332,2
16.666666666666668,3
16.75,3
16.833333333333332,3
16.916666666666668,3
17,0
17.083333333333332,0
17.166666666666668,0
17.25,0
17.333333333333332,2
17.416666666666668,7
17.5,2
17.583333333333332,0
17.666666666666668,2
17.75,2
17.833333333333332,1
17.916666666666668,3
18,2
18.083333333333332,0
18.166666666666668,5
18.25,0
18.333333333333332,0
18.416666666666668,6
18.5,2
18.583333333333332,1
18.666666666666668,5
18.75,2
18.833333333333332,0
18.916666666666668,5
19,4
19.083333333333332,0
19.166666666666668,2
19.25,0
19.333333333333332,0
19.416666666666668,3
19.5,2
19.583333333333332,4
19.666666666666668,3
19.75,2
19.833333333333332,1
19.916666666666668,5
20,6
20.083333333333332,2
20.166666666666668,6
20.25,4
20.333333333333332,2
20.416666666666668,3
20.5,2
20.583333333333332,0
20.666666666666668,1
20.75,2
20.833333333333332,1
20.916666666666668,3
21,4
21.083333333333332,0
21.166666666666668,3
21.25,0
21.333333333333332,4
21.416666666666668,3
21.5,0
21.583333333333332,6
21.666666666666668,6
21.75,0
21.833333333333332,7
21.916666666666668,3
22,0
22.083333333333332,2
22.166666666666668,3
22.25,7
22.333333333333332,3
22.416666666666668,4
22.5,3
22.583333333333332,4
22.666666666666668,4
22.75,4
22.833333333333332,3
22.916666666666668,8
23,7
23.083333333333332,4
23.166666666666668,5
23.25,4
23.333333333333332,2
23.416666666666668,3
23.5,4
23.583333333333332,9
23.666666666666668,3
23.75,4
23.833333333333332,4
23.916666666666668,7
24,5
24.083333333333332,5
24.166666666666668,1
24.25,7
24.333333333333332,7
24.416666666666668,6
24.5,5
24.583333333333332,6
24.666666666666668,8
24.75,2
24.833333333333332,5
24.916666666666668,4
25,3
25.083333333333332,6
25.166666666666668,7
25.25,5
25.333333333333332,5
25.416666666666668,3
25.5,3
25.583333333333332,6
25.666666666666668,5
25.75,5
25.833333333333332,8
25.916666666666668,3
26,5
26.083333333333332,4
26.166666666666668,5
26.25,6
26.333333333333332,4
26.416666666666668,6
26.5,4
26.583333333333332,5
26.666666666666668,4
26.75,6
26.833333333333332,5
26.916666666666668,6
27,5
27.083333333333332,3
27.166666666666668,5
27.25,8
27.333333333333332,6
27.416666666666668,5
27.5,4
27.583333333333332,5
27.666666666666668,6
27.75,5
27.833333333333332,3
27.916666666666668,8
28,3
28.083333333333332,4
28.166666666666668,6
28.25,4
28.333333333333332,3
28.416666666666668,4
28.5,6
28.583333333333332,4
28.666666666666668,6
28.75,4
28.833333333333332,5
28.916666666666668,8
29,5
29.083333333333332,8
29.166666666666668,1
29.25,6
29.333333333333332,5
29.416666666666668,2
29.5,2
29.583333333333332,3
29.666666666666668,4
29.75,5
29.833333333333332,6
29.916666666666668,4
30,6
30.083333333333332,6
30.166666666666668,6
30.25,6
30.333333333333332,3
30.416666666666668,6
30.5,7
30.583333333333332,9
30.666666666666668,4
30.75,5
30.833333333333332,4
30.916666666666668,6
31,5
31.083333333333332,6
31.166666666666668,9
31.25,7
31.333333333333332,4
31.416666666666668,8
31.5,10
31.583333333333332,5
31.666666666666668,5
31.75,8
31.833333333333332,8
31.916666666666668,7
32,11
32.083333333333336,11
32.166666666666664,5
32.25,11
32.333333333333336,8
32.416666666666664,8
32.5,7
32.583333333333336,8
32.666666666666664,10
32.75,10
32.833333333333336,9
32.916666666666664,8
33,8
33.083333333333336,8
33.166666666666664,9
33.25,10
33.333333333333336,9
33.416666666666664,8
33.5,6
33.583333333333336,10
33.666666666666664,6
33.75,6
33.833333333333336,6
33.916666666666664,6
34,7
34.083333333333336,6
34.166666666666664,10
34.25,6
34.333333333333336,10
34.416666666666664,12
34.5,6
34.583333333333336,5
34.666666666666664,8
34.75,8
34.833333333333336,7
34.916666666666664,11
35,8
35.083333333333336,6
35.166666666666664,5
35.25,6
35.333333333333336,11
35.416666666666664,7
35.5,8
35.583333333333336,9
35.666666666666664,7
35.75,6
35.833333333333336,5
35.916666666666664,7
36,7
36.083333333333336,7
36.166666666666664,5
36.25,6
36.333333333333336,11
36.416666666666664,12
36.5,6
36.583333333333336,9
36.666666666666664,13
36.75,10
36.833333333333336,7
36.916666666666664,8
37,9
37.083333333333336,8
37.166666666666664,9
37.25,9
37.333333333333336,8
37.416666666666664,11
37.5,8
37.583333333333336,10
37.666666666666664,9
37.75,11
37.833333333333336,11
37.916666666666664,10
38,12
38.083333333333336,7
38.166666666666664,7
38.25,5
38.333333333333336,9
