"Hours since thread went live","Blue Archive The Animation - Episode 5 discussion"
0,2
0,2
0.08333333333333333,3
0.16666666666666666,3
0.25,4
0.3333333333333333,5
0.4166666666666667,5
0.5,5
0.5833333333333334,6
0.6666666666666666,7
0.75,7
0.8333333333333334,7
0.9166666666666666,10
1,11
1.0833333333333333,12
1.1666666666666667,12
1.25,12
1.3333333333333333,11
1.4166666666666667,11
1.5,15
1.5833333333333333,15
1.6666666666666667,16
1.75,15
1.8333333333333333,14
1.9166666666666667,14
2,15
2.0833333333333335,15
2.1666666666666665,14
2.25,15
2.3333333333333335,15
2.4166666666666665,14
2.5,14
2.5833333333333335,16
2.6666666666666665,17
2.75,18
2.8333333333333335,16
2.9166666666666665,19
3,20
3.0833333333333335,23
3.1666666666666665,21
3.25,23
3.3333333333333335,23
3.4166666666666665,26
3.5,24
3.5833333333333335,23
3.6666666666666665,22
3.75,26
3.8333333333333335,27
3.9166666666666665,26
4,23
4.083333333333333,25
4.166666666666667,25
4.25,25
4.333333333333333,31
4.416666666666667,31
4.5,32
4.583333333333333,29
4.666666666666667,30
4.75,28
4.833333333333333,31
4.916666666666667,30
5,32
5.083333333333333,37
5.166666666666667,33
5.25,33
5.333333333333333,37
5.416666666666667,33
5.5,31
5.583333333333333,35
5.666666666666667,31
5.75,33
5.833333333333333,37
5.916666666666667,33
6,31
6.083333333333333,34
6.166666666666667,36
6.25,39
6.333333333333333,38
6.416666666666667,42
6.5,39
6.583333333333333,43
6.666666666666667,44
6.75,46
6.833333333333333,46
6.916666666666667,45
7,48
7.083333333333333,45
7.166666666666667,45
7.25,46
7.333333333333333,46
7.416666666666667,52
7.5,53
7.583333333333333,50
7.666666666666667,49
7.75,52
7.833333333333333,54
7.916666666666667,59
8,54
8.083333333333334,61
8.166666666666666,61
8.25,66
8.333333333333334,64
8.416666666666666,64
8.5,62
8.583333333333334,66
8.666666666666666,63
8.75,66
8.833333333333334,69
8.916666666666666,62
9,66
9.083333333333334,64
9.166666666666666,71
9.25,65
9.333333333333334,72
9.416666666666666,71
9.5,69
9.583333333333334,71
9.666666666666666,75
9.75,74
9.833333333333334,72
9.916666666666666,72
10,80
10.083333333333334,73
10.166666666666666,78
10.25,73
10.333333333333334,77
10.416666666666666,73
10.5,81
10.583333333333334,77
10.666666666666666,77
10.75,81
10.833333333333334,77
10.916666666666666,81
11,83
11.083333333333334,84
11.166666666666666,88
11.25,86
11.333333333333334,88
11.416666666666666,89
11.5,90
11.583333333333334,90
11.666666666666666,94
11.75,96
11.833333333333334,95
11.916666666666666,99
12,98
12.083333333333334,101
12.166666666666666,100
12.25,98
12.333333333333334,99
12.416666666666666,99
12.5,100
12.583333333333334,101
12.666666666666666,102
12.75,100
12.833333333333334,104
12.916666666666666,104
13,104
13.083333333333334,104
13.166666666666666,108
13.25,108
13.333333333333334,109
13.416666666666666,109
13.5,112
13.583333333333334,113
13.666666666666666,111
13.75,114
13.833333333333334,117
13.916666666666666,112
14,114
14.083333333333334,115
14.166666666666666,115
14.25,115
14.333333333333334,115
14.416666666666666,114
14.5,116
14.583333333333334,119
14.666666666666666,119
14.75,119
14.833333333333334,124
14.916666666666666,121
15,119
15.083333333333334,119
15.166666666666666,125
15.25,124
15.333333333333334,126
15.416666666666666,125
15.5,129
15.583333333333334,128
15.666666666666666,128
15.75,129
15.833333333333334,126
15.916666666666666,133
16,132
16.083333333333332,133
16.166666666666668,130
16.25,126
16.333333333333332,128
16.416666666666668,131
16.5,132
16.583333333333332,132
16.666666666666668,137
16.75,135
16.833333333333332,135
16.916666666666668,140
17,135
17.083333333333332,136
17.166666666666668,132
17.25,138
17.333333333333332,136
