"Hours since thread went live","Odekake Kozame - Episode 59 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,3
0.25,5
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,3
0.6666666666666666,3
0.75,4
0.8333333333333334,3
0.9166666666666666,4
1,5
1.0833333333333333,4
1.1666666666666667,3
1.25,3
1.3333333333333333,3
1.4166666666666667,2
1.5,5
1.5833333333333333,3
1.6666666666666667,6
1.75,5
1.8333333333333333,6
1.9166666666666667,6
2,6
2.0833333333333335,6
2.1666666666666665,7
2.25,6
2.3333333333333335,6
2.4166666666666665,6
2.5,6
2.5833333333333335,5
2.6666666666666665,6
2.75,5
2.8333333333333335,5
2.9166666666666665,6
3,6
3.0833333333333335,8
3.1666666666666665,6
3.25,8
3.3333333333333335,6
3.4166666666666665,7
3.5,8
3.5833333333333335,7
3.6666666666666665,6
3.75,7
3.8333333333333335,6
3.9166666666666665,7
4,7
4.083333333333333,8
4.166666666666667,9
4.25,8
4.333333333333333,8
4.416666666666667,10
4.5,11
4.583333333333333,9
4.666666666666667,9
4.75,9
4.833333333333333,9
4.916666666666667,8
5,9
5.083333333333333,9
5.166666666666667,8
5.25,8
5.333333333333333,11
5.416666666666667,11
5.5,10
5.583333333333333,10
5.666666666666667,11
5.75,11
5.833333333333333,11
5.916666666666667,12
6,11
6.083333333333333,12
6.166666666666667,14
6.25,11
6.333333333333333,11
6.416666666666667,10
6.5,10
6.583333333333333,12
6.666666666666667,12
6.75,10
6.833333333333333,13
6.916666666666667,12
7,13
7.083333333333333,13
7.166666666666667,13
7.25,12
7.333333333333333,11
7.416666666666667,13
7.5,11
7.583333333333333,13
7.666666666666667,14
7.75,14
7.833333333333333,13
7.916666666666667,13
8,15
8.083333333333334,11
8.166666666666666,11
8.25,13
8.333333333333334,13
8.416666666666666,13
8.5,11
8.583333333333334,13
8.666666666666666,13
8.75,15
8.833333333333334,13
8.916666666666666,13
9,13
9.083333333333334,12
9.166666666666666,13
9.25,14
9.333333333333334,13
9.416666666666666,13
9.5,12
9.583333333333334,14
9.666666666666666,14
9.75,12
9.833333333333334,16
9.916666666666666,16
10,14
10.083333333333334,15
10.166666666666666,15
10.25,12
10.333333333333334,15
10.416666666666666,16
10.5,14
10.583333333333334,15
10.666666666666666,15
10.75,14
10.833333333333334,13
10.916666666666666,16
11,15
11.083333333333334,15
11.166666666666666,15
11.25,13
11.333333333333334,13
11.416666666666666,14
11.5,15
11.583333333333334,16
11.666666666666666,13
11.75,16
11.833333333333334,15
11.916666666666666,14
12,14
12.083333333333334,16
12.166666666666666,15
12.25,15
12.333333333333334,15
12.416666666666666,14
12.5,14
12.583333333333334,15
12.666666666666666,16
12.75,16
12.833333333333334,17
12.916666666666666,15
13,15
13.083333333333334,13
13.166666666666666,16
13.25,16
13.333333333333334,14
13.416666666666666,16
13.5,14
13.583333333333334,15
13.666666666666666,16
13.75,15
13.833333333333334,16
13.916666666666666,15
14,13
14.083333333333334,15
14.166666666666666,13
14.25,16
14.333333333333334,14
14.416666666666666,16
14.5,17
14.583333333333334,15
14.666666666666666,16
14.75,15
14.833333333333334,15
14.916666666666666,14
15,15
15.083333333333334,15
15.166666666666666,17
15.25,15
15.333333333333334,15
15.416666666666666,14
15.5,14
15.583333333333334,14
15.666666666666666,15
15.75,16
15.833333333333334,15
15.916666666666666,14
16,15
16.083333333333332,16
16.166666666666668,16
16.25,15
16.333333333333332,16
16.416666666666668,15
16.5,17
16.583333333333332,17
16.666666666666668,16
16.75,15
16.833333333333332,16
16.916666666666668,18
17,15
17.083333333333332,14
17.166666666666668,16
17.25,15
17.333333333333332,17
17.416666666666668,15
17.5,19
17.583333333333332,16
17.666666666666668,19
17.75,19
17.833333333333332,19
17.916666666666668,16
18,18
18.083333333333332,16
18.166666666666668,18
18.25,18
18.333333333333332,17
18.416666666666668,16
18.5,17
18.583333333333332,17
18.666666666666668,19
18.75,17
18.833333333333332,17
18.916666666666668,16
19,17
19.083333333333332,15
19.166666666666668,16
19.25,18
19.333333333333332,16
19.416666666666668,18
19.5,15
19.583333333333332,17
19.666666666666668,16
19.75,16
19.833333333333332,17
19.916666666666668,18
20,18
20.083333333333332,17
20.166666666666668,16
20.25,18
20.333333333333332,16
20.416666666666668,19
20.5,17
20.583333333333332,18
20.666666666666668,17
20.75,18
20.833333333333332,18
20.916666666666668,19
21,17
21.083333333333332,17
21.166666666666668,15
21.25,18
21.333333333333332,16
21.416666666666668,17
21.5,18
21.583333333333332,18
21.666666666666668,17
21.75,16
21.833333333333332,16
21.916666666666668,16
22,17
22.083333333333332,17
22.166666666666668,17
22.25,16
22.333333333333332,18
22.416666666666668,18
22.5,16
22.583333333333332,18
22.666666666666668,20
22.75,18
22.833333333333332,20
22.916666666666668,20
23,18
23.083333333333332,19
23.166666666666668,17
23.25,18
23.333333333333332,17
23.416666666666668,19
23.5,17
23.583333333333332,19
23.666666666666668,19
23.75,19
23.833333333333332,20
23.916666666666668,19
24,19
24.083333333333332,18
24.166666666666668,17
24.25,20
24.333333333333332,16
24.416666666666668,18
24.5,19
24.583333333333332,20
24.666666666666668,20
24.75,20
24.833333333333332,18
24.916666666666668,19
25,18
25.083333333333332,17
25.166666666666668,17
25.25,18
25.333333333333332,17
25.416666666666668,17
25.5,20
25.583333333333332,17
25.666666666666668,18
25.75,20
25.833333333333332,16
25.916666666666668,19
26,17
26.083333333333332,20
26.166666666666668,17
26.25,17
26.333333333333332,19
26.416666666666668,16
26.5,20
26.583333333333332,18
26.666666666666668,17
26.75,19
26.833333333333332,18
26.916666666666668,18
27,19
27.083333333333332,18
27.166666666666668,17
27.25,18
27.333333333333332,18
27.416666666666668,18
27.5,18
27.583333333333332,18
27.666666666666668,17
27.75,18
27.833333333333332,20
27.916666666666668,18
28,18
28.083333333333332,17
28.166666666666668,20
28.25,17
28.333333333333332,19
28.416666666666668,16
28.5,18
28.583333333333332,17
28.666666666666668,19
28.75,18
28.833333333333332,18
28.916666666666668,17
29,19
29.083333333333332,18
29.166666666666668,18
29.25,17
29.333333333333332,19
29.416666666666668,19
29.5,16
29.583333333333332,18
29.666666666666668,18
29.75,20
29.833333333333332,16
29.916666666666668,17
30,18
30.083333333333332,17
30.166666666666668,18
30.25,18
30.333333333333332,19
30.416666666666668,18
30.5,19
30.583333333333332,19
30.666666666666668,19
30.75,17
30.833333333333332,18
30.916666666666668,20
31,19
31.083333333333332,19
31.166666666666668,19
31.25,17
31.333333333333332,19
31.416666666666668,20
31.5,17
31.583333333333332,19
31.666666666666668,18
31.75,18
31.833333333333332,17
31.916666666666668,19
32,19
32.083333333333336,18
32.166666666666664,20
32.25,18
32.333333333333336,19
32.416666666666664,18
32.5,17
32.583333333333336,19
32.666666666666664,18
32.75,17
32.833333333333336,18
32.916666666666664,16
33,17
33.083333333333336,17
33.166666666666664,20
33.25,16
33.333333333333336,18
33.416666666666664,20
33.5,18
33.583333333333336,18
