"Hours since thread went live","Seiyuu Radio no Uraomote • The Many Sides of Voice Actor Radio - Episode 5 discussion"
0,2
0.08333333333333333,5
0.16666666666666666,12
0.25,15
0.3333333333333333,18
0.4166666666666667,20
0.5,24
0.5833333333333334,30
0.6666666666666666,36
0.75,41
0.8333333333333334,46
0.9166666666666666,55
1,64
1.0833333333333333,76
1.1666666666666667,81
1.25,90
1.3333333333333333,99
1.4166666666666667,108
1.5,119
1.5833333333333333,114
1.6666666666666667,117
1.75,120
1.8333333333333333,119
1.9166666666666667,125
2,128
2.0833333333333335,130
2.1666666666666665,135
2.25,138
2.3333333333333335,142
2.4166666666666665,143
2.5,150
2.5833333333333335,155
2.6666666666666665,154
2.75,159
2.8333333333333335,164
2.9166666666666665,163
3,166
3.0833333333333335,163
3.1666666666666665,169
3.25,175
3.3333333333333335,179
3.4166666666666665,175
3.5,180
3.5833333333333335,183
3.6666666666666665,189
3.75,186
3.8333333333333335,190
3.9166666666666665,198
4,198
4.083333333333333,204
4.166666666666667,204
4.25,205
4.333333333333333,210
4.416666666666667,207
4.5,210
4.583333333333333,214
4.666666666666667,215
4.75,221
4.833333333333333,218
4.916666666666667,224
5,223
5.083333333333333,234
5.166666666666667,237
5.25,236
5.333333333333333,236
5.416666666666667,243
5.5,241
5.583333333333333,242
5.666666666666667,247
5.75,245
5.833333333333333,250
5.916666666666667,253
6,253
6.083333333333333,255
6.166666666666667,254
6.25,259
6.333333333333333,258
6.416666666666667,255
6.5,257
6.583333333333333,262
6.666666666666667,257
6.75,264
6.833333333333333,265
6.916666666666667,268
7,273
7.083333333333333,273
7.166666666666667,280
7.25,277
7.333333333333333,279
7.416666666666667,287
7.5,289
7.583333333333333,290
7.666666666666667,291
7.75,296
7.833333333333333,301
7.916666666666667,301
8,298
8.083333333333334,303
8.166666666666666,313
8.25,311
8.333333333333334,312
8.416666666666666,320
8.5,317
8.583333333333334,321
8.666666666666666,323
8.75,328
8.833333333333334,330
8.916666666666666,327
9,330
9.083333333333334,332
9.166666666666666,330
9.25,330
9.333333333333334,336
9.416666666666666,333
9.5,330
9.583333333333334,333
9.666666666666666,334
9.75,343
9.833333333333334,343
9.916666666666666,338
10,342
10.083333333333334,345
10.166666666666666,347
10.25,350
10.333333333333334,346
10.416666666666666,351
10.5,358
10.583333333333334,356
10.666666666666666,351
10.75,353
10.833333333333334,350
10.916666666666666,356
11,360
11.083333333333334,360
11.166666666666666,363
11.25,368
11.333333333333334,362
11.416666666666666,374
11.5,370
11.583333333333334,372
11.666666666666666,372
11.75,375
11.833333333333334,375
11.916666666666666,371
12,374
12.083333333333334,381
12.166666666666666,377
12.25,374
12.333333333333334,380
12.416666666666666,378
12.5,383
12.583333333333334,379
12.666666666666666,381
12.75,381
12.833333333333334,382
12.916666666666666,388
13,385
13.083333333333334,391
13.166666666666666,388
13.25,388
13.333333333333334,384
13.416666666666666,384
13.5,389
13.583333333333334,393
13.666666666666666,395
13.75,392
13.833333333333334,395
13.916666666666666,392
14,393
14.083333333333334,392
14.166666666666666,393
14.25,401
14.333333333333334,400
14.416666666666666,406
14.5,398
14.583333333333334,401
14.666666666666666,406
14.75,404
14.833333333333334,403
14.916666666666666,406
15,405
15.083333333333334,411
15.166666666666666,413
15.25,408
15.333333333333334,413
15.416666666666666,409
15.5,408
15.583333333333334,407
15.666666666666666,413
15.75,414
15.833333333333334,417
15.916666666666666,418
16,410
16.083333333333332,415
16.166666666666668,420
16.25,418
16.333333333333332,418
16.416666666666668,424
16.5,422
16.583333333333332,418
16.666666666666668,422
16.75,420
16.833333333333332,419
16.916666666666668,417
17,418
17.083333333333332,421
17.166666666666668,427
17.25,425
17.333333333333332,424
17.416666666666668,429
17.5,427
17.583333333333332,423
17.666666666666668,425
17.75,431
17.833333333333332,435
17.916666666666668,434
18,434
