"Hours since thread went live","Bartender: Kami no Glass • Bartender: Glass of God - Episode 6 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,6
0.25,8
0.3333333333333333,8
0.4166666666666667,14
0.5,14
0.5833333333333334,16
0.6666666666666666,19
0.75,25
0.8333333333333334,27
0.9166666666666666,32
1,34
1.0833333333333333,39
1.1666666666666667,42
1.25,43
1.3333333333333333,44
1.4166666666666667,49
1.5,49
1.5833333333333333,55
1.6666666666666667,57
1.75,59
1.8333333333333333,63
1.9166666666666667,63
2,69
2.0833333333333335,69
2.1666666666666665,73
2.25,77
2.3333333333333335,82
2.4166666666666665,82
2.5,86
2.5833333333333335,91
2.6666666666666665,92
2.75,95
2.8333333333333335,94
2.9166666666666665,102
3,104
3.0833333333333335,106
3.1666666666666665,109
3.25,115
3.3333333333333335,116
3.4166666666666665,115
3.5,121
3.5833333333333335,120
3.6666666666666665,118
3.75,125
3.8333333333333335,121
3.9166666666666665,129
4,128
4.083333333333333,128
4.166666666666667,133
4.25,140
4.333333333333333,136
4.416666666666667,139
4.5,140
4.583333333333333,142
4.666666666666667,143
4.75,142
4.833333333333333,147
4.916666666666667,146
5,145
5.083333333333333,153
5.166666666666667,151
5.25,158
5.333333333333333,158
5.416666666666667,161
5.5,161
5.583333333333333,160
5.666666666666667,163
5.75,165
5.833333333333333,168
5.916666666666667,173
6,177
6.083333333333333,177
6.166666666666667,175
6.25,179
6.333333333333333,180
6.416666666666667,182
6.5,181
6.583333333333333,186
6.666666666666667,185
6.75,184
6.833333333333333,186
6.916666666666667,184
7,187
7.083333333333333,190
7.166666666666667,193
7.25,189
7.333333333333333,193
7.416666666666667,193
7.5,198
7.583333333333333,199
7.666666666666667,202
7.75,205
7.833333333333333,205
7.916666666666667,202
8,207
8.083333333333334,207
8.166666666666666,212
8.25,209
8.333333333333334,215
8.416666666666666,215
8.5,219
8.583333333333334,223
8.666666666666666,225
8.75,224
8.833333333333334,224
8.916666666666666,223
9,226
9.083333333333334,225
9.166666666666666,229
9.25,228
9.333333333333334,225
9.416666666666666,227
9.5,235
9.583333333333334,236
9.666666666666666,235
9.75,239
9.833333333333334,238
9.916666666666666,237
10,242
10.083333333333334,245
10.166666666666666,241
10.25,242
10.333333333333334,244
10.416666666666666,251
10.5,255
10.583333333333334,257
10.666666666666666,254
10.75,256
10.833333333333334,260
10.916666666666666,261
11,261
11.083333333333334,259
11.166666666666666,263
11.25,261
11.333333333333334,264
11.416666666666666,271
11.5,269
11.583333333333334,276
11.666666666666666,270
11.75,275
11.833333333333334,274
11.916666666666666,274
12,273
12.083333333333334,276
12.166666666666666,270
12.25,274
12.333333333333334,274
12.416666666666666,276
12.5,274
12.583333333333334,281
12.666666666666666,276
12.75,280
12.833333333333334,279
12.916666666666666,278
13,280
13.083333333333334,278
13.166666666666666,282
13.25,281
13.333333333333334,287
13.416666666666666,282
13.5,286
13.583333333333334,284
13.666666666666666,284
13.75,289
13.833333333333334,292
13.916666666666666,288
14,287
14.083333333333334,291
14.166666666666666,292
14.25,296
14.333333333333334,296
14.416666666666666,295
14.5,297
14.583333333333334,294
14.666666666666666,299
14.75,296
14.833333333333334,298
14.916666666666666,301
15,300
15.083333333333334,299
15.166666666666666,298
15.25,301
15.333333333333334,299
15.416666666666666,300
15.5,299
15.583333333333334,302
15.666666666666666,298
15.75,305
15.833333333333334,303
15.916666666666666,305
16,306
16.083333333333332,306
16.166666666666668,308
16.25,309
16.333333333333332,306
16.416666666666668,310
16.5,313
16.583333333333332,315
16.666666666666668,318
16.75,319
16.833333333333332,315
16.916666666666668,315
17,314
17.083333333333332,313
17.166666666666668,317
17.25,317
17.333333333333332,322
17.416666666666668,318
17.5,313
17.583333333333332,316
17.666666666666668,318
17.75,321
17.833333333333332,315
17.916666666666668,323
18,317
18.083333333333332,319
18.166666666666668,319
18.25,316
18.333333333333332,318
18.416666666666668,326
18.5,320
18.583333333333332,322
18.666666666666668,323
18.75,323
18.833333333333332,321
18.916666666666668,318
19,322
19.083333333333332,323
19.166666666666668,322
19.25,328
19.333333333333332,324
19.416666666666668,325
19.5,324
19.583333333333332,326
19.666666666666668,317
19.75,322
19.833333333333332,323
19.916666666666668,326
20,329
20.083333333333332,328
20.166666666666668,325
20.25,327
20.333333333333332,332
20.416666666666668,325
20.5,324
20.583333333333332,331
20.666666666666668,329
20.75,329
20.833333333333332,327
20.916666666666668,332
21,334
21.083333333333332,331
21.166666666666668,331
21.25,335
21.333333333333332,336
21.416666666666668,336
21.5,332
21.583333333333332,336
21.666666666666668,337
21.75,340
21.833333333333332,336
21.916666666666668,333
22,334
22.083333333333332,337
22.166666666666668,331
22.25,337
22.333333333333332,342
22.416666666666668,338
22.5,337
22.583333333333332,338
22.666666666666668,340
22.75,340
22.833333333333332,338
22.916666666666668,342
23,341
23.083333333333332,342
23.166666666666668,340
23.25,344
23.333333333333332,345
23.416666666666668,347
23.5,349
23.583333333333332,349
23.666666666666668,345
23.75,350
23.833333333333332,340
23.916666666666668,345
24,352
24.083333333333332,343
24.166666666666668,345
24.25,351
24.333333333333332,348
24.416666666666668,351
24.5,345
24.583333333333332,347
24.666666666666668,352
24.75,346
24.833333333333332,347
24.916666666666668,349
25,346
25.083333333333332,350
25.166666666666668,354
25.25,352
25.333333333333332,351
25.416666666666668,352
25.5,352
25.583333333333332,350
25.666666666666668,355
25.75,354
25.833333333333332,357
25.916666666666668,360
26,357
26.083333333333332,356
26.166666666666668,352
26.25,354
26.333333333333332,353
26.416666666666668,358
26.5,351
26.583333333333332,352
26.666666666666668,355
26.75,360
26.833333333333332,363
26.916666666666668,360
27,357
27.083333333333332,357
27.166666666666668,362
27.25,355
27.333333333333332,362
27.416666666666668,357
27.5,359
27.583333333333332,363
27.666666666666668,359
27.75,363
27.833333333333332,356
27.916666666666668,364
28,364
28.083333333333332,361
28.166666666666668,362
28.25,365
28.333333333333332,361
28.416666666666668,366
28.5,367
28.583333333333332,369
28.666666666666668,367
28.75,368
28.833333333333332,365
28.916666666666668,367
29,370
29.083333333333332,366
29.166666666666668,364
29.25,368
29.333333333333332,367
29.416666666666668,367
29.5,365
29.583333333333332,364
29.666666666666668,368
29.75,365
29.833333333333332,362
29.916666666666668,370
30,365
30.083333333333332,365
30.166666666666668,367
30.25,367
30.333333333333332,371
30.416666666666668,369
30.5,375
30.583333333333332,370
30.666666666666668,371
30.75,368
30.833333333333332,365
30.916666666666668,375
31,371
31.083333333333332,375
31.166666666666668,369
31.25,366
31.333333333333332,369
31.416666666666668,369
31.5,369
31.583333333333332,371
31.666666666666668,365
31.75,376
31.833333333333332,370
31.916666666666668,369
32,369
32.083333333333336,377
32.166666666666664,369
32.25,366
32.333333333333336,375
32.416666666666664,371
32.5,367
32.583333333333336,368
32.666666666666664,373
32.75,371
32.833333333333336,378
32.916666666666664,376
33,373
33.083333333333336,373
33.166666666666664,376
33.25,372
33.333333333333336,377
33.416666666666664,381
33.5,377
33.583333333333336,375
33.666666666666664,376
33.75,371
33.833333333333336,372
33.916666666666664,377
34,382
34.083333333333336,377
34.166666666666664,376
34.25,374
34.333333333333336,377
34.416666666666664,380
34.5,378
34.583333333333336,374
34.666666666666664,383
34.75,375
34.833333333333336,382
34.916666666666664,374
35,381
35.083333333333336,381
35.166666666666664,384
35.25,382
35.333333333333336,387
35.416666666666664,387
