"Hours since thread went live","Dungeon Meshi • Delicious in Dungeon - Episode 19 discussion"
0,5
0.08333333333333333,30
0.16666666666666666,55
0.25,69
0.3333333333333333,87
0.4166666666666667,120
0.5,147
0.5833333333333334,161
0.6666666666666666,185
0.75,209
0.8333333333333334,241
0.9166666666666666,261
1,290
1.0833333333333333,315
1.1666666666666667,342
1.25,378
1.3333333333333333,404
1.4166666666666667,432
1.5,458
1.5833333333333333,479
1.6666666666666667,496
1.75,515
1.8333333333333333,534
1.9166666666666667,550
2,567
2.0833333333333335,591
2.1666666666666665,612
2.25,632
2.3333333333333335,652
2.4166666666666665,666
2.5,699
2.5833333333333335,715
2.6666666666666665,737
2.75,761
2.8333333333333335,786
2.9166666666666665,801
3,837
3.0833333333333335,860
3.1666666666666665,877
3.25,892
3.3333333333333335,910
3.4166666666666665,924
3.5,943
3.5833333333333335,963
3.6666666666666665,981
3.75,991
3.8333333333333335,1018
3.9166666666666665,1040
4,1063
4.083333333333333,1086
4.166666666666667,1107
4.25,1127
4.333333333333333,1143
4.416666666666667,1165
4.5,1183
4.583333333333333,1203
4.666666666666667,1225
4.75,1242
4.833333333333333,1264
4.916666666666667,1276
5,1284
5.083333333333333,1309
5.166666666666667,1325
5.25,1335
5.333333333333333,1354
5.416666666666667,1362
5.5,1379
5.583333333333333,1388
5.666666666666667,1414
5.75,1420
5.833333333333333,1425
5.916666666666667,1439
6,1446
6.083333333333333,1466
6.166666666666667,1477
6.25,1489
6.333333333333333,1506
6.416666666666667,1512
6.5,1525
6.583333333333333,1536
6.666666666666667,1551
6.75,1572
6.833333333333333,1575
6.916666666666667,1582
7,1595
7.083333333333333,1616
7.166666666666667,1623
7.25,1643
7.333333333333333,1651
7.416666666666667,1665
7.5,1682
7.583333333333333,1700
7.666666666666667,1717
7.75,1726
7.833333333333333,1739
7.916666666666667,1751
8,1762
8.083333333333334,1767
8.166666666666666,1778
8.25,1800
8.333333333333334,1810
8.416666666666666,1808
8.5,1825
8.583333333333334,1832
8.666666666666666,1833
8.75,1846
8.833333333333334,1867
8.916666666666666,1867
9,1882
9.083333333333334,1896
9.166666666666666,1898
9.25,1903
9.333333333333334,1915
9.416666666666666,1928
9.5,1934
9.583333333333334,1937
9.666666666666666,1954
9.75,1964
9.833333333333334,1986
9.916666666666666,1999
10,2013
10.083333333333334,2018
10.166666666666666,2032
10.25,2047
10.333333333333334,2066
10.416666666666666,2073
10.5,2077
10.583333333333334,2086
10.666666666666666,2092
10.75,2105
10.833333333333334,2114
10.916666666666666,2126
11,2129
11.083333333333334,2147
11.166666666666666,2165
11.25,2162
11.333333333333334,2170
11.416666666666666,2185
11.5,2196
11.583333333333334,2204
11.666666666666666,2212
11.75,2226
11.833333333333334,2235
11.916666666666666,2236
12,2243
12.083333333333334,2252
12.166666666666666,2268
12.25,2267
12.333333333333334,2281
12.416666666666666,2289
12.5,2291
12.583333333333334,2295
12.666666666666666,2308
12.75,2314
12.833333333333334,2316
12.916666666666666,2326
13,2330
13.083333333333334,2330
13.166666666666666,2338
13.25,2342
13.333333333333334,2349
13.416666666666666,2358
13.5,2361
13.583333333333334,2376
13.666666666666666,2376
13.75,2383
13.833333333333334,2392
13.916666666666666,2398
14,2408
14.083333333333334,2414
14.166666666666666,2422
14.25,2432
14.333333333333334,2434
14.416666666666666,2434
14.5,2440
14.583333333333334,2451
14.666666666666666,2453
14.75,2463
14.833333333333334,2465
14.916666666666666,2477
15,2475
15.083333333333334,2480
15.166666666666666,2496
15.25,2492
15.333333333333334,2497
15.416666666666666,2506
15.5,2508
15.583333333333334,2516
15.666666666666666,2518
15.75,2519
15.833333333333334,2524
15.916666666666666,2528
16,2533
16.083333333333332,2539
16.166666666666668,2538
16.25,2542
16.333333333333332,2549
16.416666666666668,2554
16.5,2554
16.583333333333332,2559
16.666666666666668,2557
16.75,2565
16.833333333333332,2566
16.916666666666668,2567
17,2574
17.083333333333332,2576
17.166666666666668,2583
17.25,2588
17.333333333333332,2598
17.416666666666668,2602
17.5,2609
17.583333333333332,2612
17.666666666666668,2613
17.75,2615
17.833333333333332,2611
17.916666666666668,2612
18,2615
18.083333333333332,2622
18.166666666666668,2624
18.25,2628
18.333333333333332,2631
18.416666666666668,2638
18.5,2635
18.583333333333332,2638
18.666666666666668,2637
18.75,2643
18.833333333333332,2648
18.916666666666668,2648
19,2648
19.083333333333332,2650
19.166666666666668,2657
19.25,2663
19.333333333333332,2660
19.416666666666668,2667
19.5,2670
19.583333333333332,2675
19.666666666666668,2669
19.75,2677
19.833333333333332,2675
19.916666666666668,2681
20,2677
20.083333333333332,2680
20.166666666666668,2685
20.25,2684
20.333333333333332,2687
20.416666666666668,2695
20.5,2694
20.583333333333332,2699
20.666666666666668,2701
20.75,2708
20.833333333333332,2713
20.916666666666668,2715
21,2707
21.083333333333332,2713
21.166666666666668,2716
21.25,2716
21.333333333333332,2726
21.416666666666668,2721
21.5,2720
21.583333333333332,2726
21.666666666666668,2727
21.75,2731
21.833333333333332,2732
21.916666666666668,2738
22,2738
22.083333333333332,2740
22.166666666666668,2747
22.25,2747
22.333333333333332,2741
22.416666666666668,2749
22.5,2752
22.583333333333332,2752
22.666666666666668,2759
