"Hours since thread went live","Pokémon Horizons: The Series - Episode 49 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,3
0.25,3
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,4
0.6666666666666666,4
0.75,4
0.8333333333333334,4
0.9166666666666666,4
1,4
1.0833333333333333,5
1.1666666666666667,5
1.25,5
1.3333333333333333,4
1.4166666666666667,6
1.5,4
1.5833333333333333,3
1.6666666666666667,4
1.75,4
1.8333333333333333,5
1.9166666666666667,6
2,6
2.0833333333333335,6
2.1666666666666665,6
2.25,7
2.3333333333333335,9
2.4166666666666665,8
2.5,8
2.5833333333333335,4
2.6666666666666665,7
2.75,7
2.8333333333333335,6
2.9166666666666665,8
3,7
3.0833333333333335,9
3.1666666666666665,5
3.25,5
3.3333333333333335,9
3.4166666666666665,8
3.5,9
3.5833333333333335,9
3.6666666666666665,9
3.75,9
3.8333333333333335,11
3.9166666666666665,10
4,11
4.083333333333333,12
4.166666666666667,11
4.25,8
4.333333333333333,10
4.416666666666667,9
4.5,11
4.583333333333333,12
4.666666666666667,9
4.75,11
4.833333333333333,13
4.916666666666667,13
5,11
5.083333333333333,13
5.166666666666667,13
5.25,12
5.333333333333333,14
5.416666666666667,11
5.5,11
5.583333333333333,15
5.666666666666667,13
5.75,14
5.833333333333333,14
5.916666666666667,16
6,14
6.083333333333333,15
6.166666666666667,16
6.25,15
6.333333333333333,15
6.416666666666667,15
6.5,14
6.583333333333333,15
6.666666666666667,13
6.75,14
6.833333333333333,15
6.916666666666667,14
7,15
7.083333333333333,15
7.166666666666667,16
7.25,18
7.333333333333333,18
7.416666666666667,18
7.5,20
7.583333333333333,21
7.666666666666667,21
7.75,21
7.833333333333333,20
7.916666666666667,21
8,22
8.083333333333334,21
8.166666666666666,21
8.25,18
8.333333333333334,21
8.416666666666666,19
8.5,20
8.583333333333334,21
8.666666666666666,22
8.75,21
8.833333333333334,20
8.916666666666666,21
9,24
9.083333333333334,23
9.166666666666666,24
9.25,24
9.333333333333334,24
9.416666666666666,24
9.5,26
9.583333333333334,23
9.666666666666666,26
9.75,23
9.833333333333334,25
9.916666666666666,24
10,26
10.083333333333334,25
10.166666666666666,27
10.25,31
10.333333333333334,30
10.416666666666666,26
10.5,30
10.583333333333334,29
10.666666666666666,26
10.75,31
10.833333333333334,27
10.916666666666666,29
11,27
11.083333333333334,31
11.166666666666666,28
11.25,32
11.333333333333334,34
11.416666666666666,34
11.5,33
11.583333333333334,30
11.666666666666666,29
11.75,33
11.833333333333334,32
11.916666666666666,34
12,31
12.083333333333334,29
12.166666666666666,32
12.25,35
12.333333333333334,30
12.416666666666666,32
12.5,33
12.583333333333334,35
12.666666666666666,31
12.75,35
12.833333333333334,32
12.916666666666666,32
13,34
13.083333333333334,36
13.166666666666666,36
13.25,36
13.333333333333334,34
13.5,34
13.583333333333334,36
13.666666666666666,34
13.75,35
13.833333333333334,34
13.916666666666666,33
14,37
14.083333333333334,31
14.166666666666666,34
14.25,35
14.333333333333334,35
14.416666666666666,34
14.5,34
14.583333333333334,34
14.666666666666666,35
14.75,32
14.833333333333334,35
14.916666666666666,36
15,35
15.083333333333334,35
15.166666666666666,34
15.25,33
15.333333333333334,32
15.416666666666666,35
15.5,35
15.583333333333334,36
15.666666666666666,39
15.75,34
15.833333333333334,36
15.916666666666666,33
16,36
16.083333333333332,38
16.166666666666668,35
16.25,36
16.333333333333332,37
16.416666666666668,35
16.5,35
16.583333333333332,37
16.666666666666668,37
16.75,37
16.833333333333332,36
16.916666666666668,37
17,36
17.083333333333332,39
17.166666666666668,37
17.25,35
17.333333333333332,37
17.416666666666668,37
17.5,37
17.583333333333332,38
17.666666666666668,39
17.75,35
17.833333333333332,36
17.916666666666668,39
18,38
18.083333333333332,35
18.166666666666668,39
18.25,37
18.333333333333332,38
18.416666666666668,41
18.5,38
18.583333333333332,38
18.666666666666668,41
18.75,40
18.833333333333332,37
18.916666666666668,40
19,38
19.083333333333332,35
19.166666666666668,37
19.25,40
19.333333333333332,37
19.416666666666668,37
19.5,39
19.583333333333332,39
19.666666666666668,41
19.75,40
19.833333333333332,40
19.916666666666668,40
20,41
20.083333333333332,38
20.166666666666668,41
20.25,41
20.333333333333332,40
20.416666666666668,38
20.5,39
20.583333333333332,42
20.666666666666668,40
20.75,41
20.833333333333332,39
20.916666666666668,41
21,42
21.083333333333332,43
21.166666666666668,42
21.25,38
21.333333333333332,41
21.416666666666668,41
21.5,40
21.583333333333332,41
21.666666666666668,41
21.75,42
21.833333333333332,40
