"Hours since thread went live","Boku no Hero Academia Season 7 • My Hero Academia Season 7 - Episode 2 discussion"
0,2
0.08333333333333333,4
0.16666666666666666,5
0.25,6
0.3333333333333333,7
0.4166666666666667,11
0.5,13
0.5833333333333334,17
0.6666666666666666,21
0.75,25
0.8333333333333334,28
0.9166666666666666,35
1,40
1.0833333333333333,48
1.1666666666666667,57
1.25,67
1.3333333333333333,72
1.4166666666666667,77
1.5,82
1.5833333333333333,88
1.6666666666666667,91
1.75,99
1.8333333333333333,109
1.9166666666666667,112
2,118
2.0833333333333335,126
2.1666666666666665,134
2.25,155
2.3333333333333335,187
2.4166666666666665,218
2.5,246
2.5833333333333335,269
2.6666666666666665,303
2.75,332
2.8333333333333335,358
2.9166666666666665,388
3,388
3.0833333333333335,394
3.1666666666666665,403
3.25,410
3.3333333333333335,416
3.4166666666666665,429
3.5,433
3.5833333333333335,442
3.6666666666666665,450
3.75,467
3.8333333333333335,470
3.9166666666666665,482
4,488
4.083333333333333,496
4.166666666666667,499
4.25,506
4.333333333333333,519
4.416666666666667,521
4.5,531
4.583333333333333,533
4.666666666666667,541
4.75,540
4.833333333333333,547
4.916666666666667,562
5,573
5.083333333333333,582
5.166666666666667,587
5.25,595
5.333333333333333,603
5.416666666666667,619
5.5,634
5.583333333333333,633
5.666666666666667,651
5.75,659
5.833333333333333,666
5.916666666666667,672
6,674
6.083333333333333,680
6.166666666666667,693
6.25,702
6.333333333333333,705
6.416666666666667,714
6.5,721
6.583333333333333,730
6.666666666666667,741
6.75,753
6.833333333333333,760
6.916666666666667,763
7,765
7.083333333333333,780
7.166666666666667,787
7.25,790
7.333333333333333,802
7.416666666666667,800
7.5,807
7.583333333333333,808
7.666666666666667,814
7.75,822
7.833333333333333,827
7.916666666666667,834
8,841
8.083333333333334,857
8.166666666666666,853
8.25,863
8.333333333333334,865
8.416666666666666,870
8.5,874
8.583333333333334,879
8.666666666666666,878
8.75,886
8.833333333333334,887
8.916666666666666,889
9,888
9.083333333333334,900
9.166666666666666,908
9.25,912
9.333333333333334,914
9.416666666666666,918
9.5,927
9.583333333333334,927
9.666666666666666,948
9.75,984
9.833333333333334,1022
9.916666666666666,1043
10,1044
10.083333333333334,1053
10.166666666666666,1053
10.25,1066
10.333333333333334,1066
10.416666666666666,1069
10.5,1070
10.583333333333334,1072
10.666666666666666,1088
10.75,1087
10.833333333333334,1090
10.916666666666666,1102
11,1103
11.083333333333334,1107
11.166666666666666,1115
11.25,1111
11.333333333333334,1116
11.416666666666666,1107
11.5,1114
11.583333333333334,1120
11.666666666666666,1119
11.75,1122
11.833333333333334,1125
11.916666666666666,1132
12,1131
12.083333333333334,1135
12.166666666666666,1139
12.25,1141
12.333333333333334,1144
12.416666666666666,1150
12.5,1144
12.583333333333334,1155
12.666666666666666,1159
12.75,1165
12.833333333333334,1167
12.916666666666666,1177
13,1183
13.083333333333334,1181
13.166666666666666,1187
13.25,1188
13.333333333333334,1187
13.416666666666666,1197
13.5,1195
13.583333333333334,1197
13.666666666666666,1197
13.75,1204
13.833333333333334,1207
13.916666666666666,1206
14,1206
14.083333333333334,1211
14.166666666666666,1224
14.25,1224
14.333333333333334,1223
14.416666666666666,1233
14.5,1232
14.583333333333334,1234
14.666666666666666,1239
14.75,1249
14.833333333333334,1244
14.916666666666666,1251
15,1250
15.083333333333334,1260
15.166666666666666,1258
15.25,1261
15.333333333333334,1264
15.416666666666666,1267
15.5,1270
15.583333333333334,1272
15.666666666666666,1275
15.75,1280
15.833333333333334,1279
15.916666666666666,1278
16,1285
16.083333333333332,1283
16.166666666666668,1283
16.25,1286
16.333333333333332,1293
16.416666666666668,1293
16.5,1293
16.583333333333332,1298
16.666666666666668,1296
16.75,1304
16.833333333333332,1302
16.916666666666668,1303
17,1310
17.083333333333332,1315
17.166666666666668,1319
17.25,1311
17.333333333333332,1322
17.416666666666668,1329
17.5,1322
17.583333333333332,1327
17.666666666666668,1326
17.75,1328
17.833333333333332,1336
17.916666666666668,1336
18,1336
18.083333333333332,1348
18.166666666666668,1346
18.25,1349
18.333333333333332,1349
18.416666666666668,1345
18.5,1354
18.583333333333332,1360
18.666666666666668,1363
18.75,1355
18.833333333333332,1358
18.916666666666668,1362
19,1365
19.083333333333332,1368
19.166666666666668,1373
19.25,1371
19.333333333333332,1378
19.416666666666668,1377
19.5,1377
19.583333333333332,1377
19.666666666666668,1378
19.75,1384
19.833333333333332,1384
19.916666666666668,1385
20,1381
20.083333333333332,1391
20.166666666666668,1390
20.25,1386
20.333333333333332,1390
20.416666666666668,1389
20.5,1391
20.583333333333332,1397
20.666666666666668,1399
20.75,1396
20.833333333333332,1395
20.916666666666668,1396
21,1397
21.083333333333332,1400
21.166666666666668,1399
21.25,1405
21.333333333333332,1397
21.416666666666668,1397
21.5,1397
21.583333333333332,1404
21.666666666666668,1400
21.75,1396
21.833333333333332,1401
21.916666666666668,1407
22,1408
22.083333333333332,1406
22.166666666666668,1410
22.25,1411
22.333333333333332,1406
22.416666666666668,1406
22.5,1411
22.583333333333332,1414
22.666666666666668,1416
22.75,1416
22.833333333333332,1421
22.916666666666668,1418
23,1424
23.083333333333332,1428
23.166666666666668,1427
23.25,1430
23.333333333333332,1430
23.416666666666668,1430
23.5,1433
23.583333333333332,1432
23.666666666666668,1437
23.75,1435
23.833333333333332,1438
23.916666666666668,1441
24,1443
24.083333333333332,1439
24.166666666666668,1441
24.25,1437
24.333333333333332,1441
24.416666666666668,1443
24.5,1442
24.583333333333332,1447
24.666666666666668,1447
24.75,1450
24.833333333333332,1449
24.916666666666668,1450
25,1446
25.083333333333332,1448
25.166666666666668,1444
25.25,1453
25.333333333333332,1451
25.416666666666668,1450
25.5,1457
25.583333333333332,1454
25.666666666666668,1454
25.75,1462
25.833333333333332,1456
25.916666666666668,1459
26,1456
26.083333333333332,1463
26.166666666666668,1459
26.25,1462
26.333333333333332,1462
26.416666666666668,1462
26.5,1463
26.583333333333332,1464
26.666666666666668,1463
26.75,1464
26.833333333333332,1465
26.916666666666668,1469
27,1468
27.083333333333332,1465
27.166666666666668,1468
27.25,1470
27.333333333333332,1469
27.416666666666668,1475
27.5,1470
27.583333333333332,1474
27.666666666666668,1468
27.75,1470
27.833333333333332,1472
27.916666666666668,1472
28,1478
28.083333333333332,1472
28.166666666666668,1477
28.25,1479
28.333333333333332,1482
28.416666666666668,1483
28.5,1480
28.583333333333332,1485
28.666666666666668,1481
28.75,1487
28.833333333333332,1484
28.916666666666668,1484
29,1485
29.083333333333332,1491
29.166666666666668,1487
29.25,1491
29.333333333333332,1490
29.416666666666668,1491
29.5,1489
29.583333333333332,1493
29.666666666666668,1496
29.75,1498
29.833333333333332,1496
29.916666666666668,1501
30,1499
30.083333333333332,1501
30.166666666666668,1497
30.25,1499
30.333333333333332,1499
30.416666666666668,1504
30.5,1502
30.583333333333332,1497
30.666666666666668,1507
30.75,1508
30.833333333333332,1506
30.916666666666668,1499
31,1511
31.083333333333332,1508
31.166666666666668,1507
31.25,1506
31.333333333333332,1507
31.416666666666668,1509
31.5,1508
31.583333333333332,1509
31.666666666666668,1507
31.75,1515
31.833333333333332,1515
31.916666666666668,1512
32,1516
32.083333333333336,1512
32.166666666666664,1512
32.25,1517
32.333333333333336,1514
32.416666666666664,1512
32.5,1512
32.583333333333336,1516
32.666666666666664,1519
32.75,1514
32.833333333333336,1518
32.916666666666664,1511
33,1518
33.083333333333336,1519
33.166666666666664,1515
33.25,1525
33.333333333333336,1515
33.416666666666664,1528
33.5,1519
33.583333333333336,1518
33.666666666666664,1523
33.75,1522
33.833333333333336,1527
33.916666666666664,1520
34,1526
34.083333333333336,1523
34.166666666666664,1527
34.25,1522
34.333333333333336,1523
34.416666666666664,1531
34.5,1528
34.583333333333336,1534
34.666666666666664,1526
34.75,1536
34.833333333333336,1525
34.916666666666664,1532
35,1531
35.083333333333336,1533
35.166666666666664,1532
35.25,1534
35.333333333333336,1534
35.416666666666664,1534
35.5,1532
35.583333333333336,1537
35.666666666666664,1533
35.75,1541
35.833333333333336,1542
35.916666666666664,1534
36,1536
36.083333333333336,1539
36.166666666666664,1539
36.25,1538
36.333333333333336,1534
36.416666666666664,1534
36.5,1536
36.583333333333336,1541
36.666666666666664,1540
36.75,1543
36.833333333333336,1543
36.916666666666664,1540
37,1542
37.083333333333336,1538
37.166666666666664,1540
37.25,1542
37.333333333333336,1540
37.416666666666664,1544
37.5,1544
37.583333333333336,1543
37.666666666666664,1547
37.75,1544
37.833333333333336,1541
37.916666666666664,1546
38,1546
38.083333333333336,1544
38.166666666666664,1543
38.25,1546
38.333333333333336,1543
38.416666666666664,1541
38.5,1547
38.583333333333336,1551
38.666666666666664,1549
38.75,1547
38.833333333333336,1549
38.916666666666664,1552
39,1552
39.083333333333336,1544
39.166666666666664,1551
39.25,1552
39.333333333333336,1554
39.416666666666664,1546
39.5,1551
39.583333333333336,1550
39.666666666666664,1547
39.75,1553
39.833333333333336,1550
