"Hours since thread went live","Meitantei Conan • Case Closed - Episode 1123 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,0
1.1666666666666667,0
1.25,0
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,1
1.6666666666666667,1
1.75,1
1.8333333333333333,1
1.9166666666666667,1
2,1
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,2
2.4166666666666665,2
2.5,2
2.5833333333333335,2
2.6666666666666665,2
2.75,2
2.8333333333333335,1
2.9166666666666665,1
3,1
3.0833333333333335,1
3.1666666666666665,1
3.25,1
3.3333333333333335,1
3.4166666666666665,1
3.5,1
3.5833333333333335,1
3.6666666666666665,1
3.75,1
3.8333333333333335,1
3.9166666666666665,1
4,1
4.083333333333333,1
4.166666666666667,1
4.25,1
4.333333333333333,1
4.416666666666667,1
4.5,1
4.583333333333333,1
4.666666666666667,1
4.75,1
4.833333333333333,1
4.916666666666667,1
5,1
5.083333333333333,1
5.166666666666667,1
5.25,1
5.333333333333333,1
5.416666666666667,1
5.5,1
5.583333333333333,1
5.666666666666667,1
5.75,1
5.833333333333333,1
5.916666666666667,1
6,1
6.083333333333333,1
6.166666666666667,1
6.25,1
6.333333333333333,1
6.416666666666667,1
6.5,1
6.583333333333333,1
6.666666666666667,1
6.75,1
6.833333333333333,1
6.916666666666667,1
7,2
7.083333333333333,2
7.166666666666667,5
7.25,4
7.333333333333333,1
7.416666666666667,4
7.5,3
7.583333333333333,5
7.666666666666667,5
7.75,5
7.833333333333333,4
7.916666666666667,4
8,5
8.083333333333334,5
8.166666666666666,4
8.25,5
8.333333333333334,5
8.416666666666666,5
8.5,4
8.583333333333334,5
8.666666666666666,4
8.75,7
8.833333333333334,4
8.916666666666666,5
9,5
9.083333333333334,7
9.166666666666666,6
9.25,5
9.333333333333334,6
9.416666666666666,6
9.5,3
9.583333333333334,5
9.666666666666666,4
9.75,5
9.833333333333334,6
9.916666666666666,6
10,5
10.083333333333334,8
10.166666666666666,6
10.25,6
10.333333333333334,6
10.416666666666666,6
10.5,8
10.583333333333334,7
10.666666666666666,5
10.75,7
10.833333333333334,8
10.916666666666666,5
11,6
11.083333333333334,6
11.166666666666666,6
11.25,4
11.333333333333334,5
11.416666666666666,7
11.5,6
11.583333333333334,5
11.666666666666666,7
11.75,6
11.833333333333334,6
11.916666666666666,6
12,6
12.083333333333334,8
12.166666666666666,5
12.25,6
12.333333333333334,6
12.416666666666666,7
12.5,7
12.583333333333334,8
12.666666666666666,5
12.75,5
12.833333333333334,5
12.916666666666666,7
13,5
13.083333333333334,7
13.166666666666666,7
13.25,8
13.333333333333334,6
13.416666666666666,6
13.5,5
13.583333333333334,5
13.666666666666666,4
13.75,7
13.833333333333334,7
13.916666666666666,6
14,6
14.083333333333334,6
14.166666666666666,7
14.25,7
14.333333333333334,7
14.416666666666666,5
14.5,6
14.583333333333334,8
14.666666666666666,8
14.75,6
14.833333333333334,4
14.916666666666666,7
15,6
15.083333333333334,6
15.166666666666666,6
15.25,6
15.333333333333334,4
15.416666666666666,4
15.5,8
15.583333333333334,5
15.666666666666666,8
15.75,5
15.833333333333334,6
15.916666666666666,4
16,6
16.083333333333332,6
16.166666666666668,4
16.25,5
16.333333333333332,6
16.416666666666668,6
16.5,6
16.583333333333332,6
16.666666666666668,7
16.75,4
16.833333333333332,5
16.916666666666668,7
17,6
17.083333333333332,7
17.166666666666668,6
17.25,5
17.333333333333332,5
17.416666666666668,4
17.5,6
17.583333333333332,4
17.666666666666668,5
17.75,5
17.833333333333332,6
17.916666666666668,7
18,5
18.083333333333332,4
18.166666666666668,6
18.25,6
18.333333333333332,4
18.416666666666668,5
18.5,5
18.583333333333332,7
18.666666666666668,4
18.75,7
18.833333333333332,7
18.916666666666668,4
19,4
19.083333333333332,7
19.166666666666668,5
19.25,7
19.333333333333332,7
19.416666666666668,5
19.5,5
19.583333333333332,4
19.666666666666668,5
19.75,7
19.833333333333332,6
19.916666666666668,4
20,8
20.083333333333332,4
20.166666666666668,5
20.25,6
20.333333333333332,7
20.416666666666668,6
20.5,6
20.583333333333332,7
20.666666666666668,5
20.75,6
20.833333333333332,5
20.916666666666668,5
21,6
21.083333333333332,5
21.166666666666668,7
21.25,5
21.333333333333332,7
21.416666666666668,8
21.5,6
21.583333333333332,5
21.666666666666668,6
21.75,6
21.833333333333332,6
21.916666666666668,4
22,6
22.083333333333332,8
22.166666666666668,6
22.25,7
22.333333333333332,6
22.416666666666668,4
22.5,5
22.583333333333332,4
22.666666666666668,7
22.75,7
22.833333333333332,6
22.916666666666668,7
23,6
23.083333333333332,7
23.166666666666668,7
23.25,4
23.333333333333332,6
23.416666666666668,7
23.5,4
23.583333333333332,7
23.666666666666668,6
23.75,8
23.833333333333332,4
23.916666666666668,4
24,7
24.083333333333332,6
24.166666666666668,5
24.25,8
24.333333333333332,6
24.416666666666668,6
24.5,5
24.583333333333332,6
24.666666666666668,8
24.75,4
24.833333333333332,7
24.916666666666668,8
25,6
25.083333333333332,5
25.166666666666668,6
25.25,8
25.333333333333332,6
25.416666666666668,7
25.5,4
25.583333333333332,4
25.666666666666668,7
25.75,6
25.916666666666668,6
26,4
26.083333333333332,6
26.166666666666668,4
26.25,7
26.333333333333332,4
26.416666666666668,5
26.5,7
26.583333333333332,6
26.666666666666668,6
26.75,6
26.833333333333332,5
26.916666666666668,4
27,6
27.083333333333332,6
27.166666666666668,6
27.25,4
27.333333333333332,7
27.416666666666668,5
27.5,8
27.583333333333332,7
27.666666666666668,8
27.75,5
27.833333333333332,6
27.916666666666668,6
28,7
28.083333333333332,7
28.166666666666668,4
28.25,6
28.333333333333332,6
28.416666666666668,7
28.5,6
28.583333333333332,7
28.666666666666668,8
28.75,4
28.833333333333332,7
28.916666666666668,8
29,5
29.083333333333332,5
29.166666666666668,6
29.25,5
29.333333333333332,5
29.416666666666668,7
29.5,7
29.583333333333332,8
29.666666666666668,7
29.75,7
29.833333333333332,7
29.916666666666668,6
30,7
30.083333333333332,9
30.166666666666668,6
30.25,7
30.333333333333332,7
30.416666666666668,7
30.5,7
30.583333333333332,7
30.666666666666668,7
30.75,8
30.833333333333332,8
30.916666666666668,7
31,8
31.083333333333332,7
31.166666666666668,9
31.25,5
31.333333333333332,5
31.416666666666668,7
31.5,6
31.583333333333332,6
31.666666666666668,9
31.75,7
31.833333333333332,9
31.916666666666668,5
32,9
32.083333333333336,6
32.166666666666664,5
32.25,8
32.333333333333336,7
32.416666666666664,6
32.5,8
32.583333333333336,9
32.666666666666664,6
32.75,6
32.833333333333336,7
32.916666666666664,6
33,7
33.083333333333336,6
33.166666666666664,8
33.25,6
33.333333333333336,7
33.416666666666664,6
33.5,7
33.583333333333336,8
33.666666666666664,8
33.75,8
33.833333333333336,7
33.916666666666664,7
34,8
34.083333333333336,7
34.166666666666664,7
34.25,8
34.333333333333336,9
34.416666666666664,9
34.5,7
34.583333333333336,6
34.666666666666664,7
34.75,7
34.833333333333336,7
34.916666666666664,8
35,7
35.083333333333336,6
35.166666666666664,6
35.25,8
35.333333333333336,7
35.416666666666664,8
35.5,8
35.583333333333336,7
35.666666666666664,6
35.75,7
35.833333333333336,6
35.916666666666664,7
36,7
36.083333333333336,7
36.166666666666664,7
36.25,7
36.333333333333336,6
36.416666666666664,6
36.5,7
36.583333333333336,9
36.666666666666664,7
36.75,7
36.833333333333336,6
36.916666666666664,5
37,9
37.083333333333336,9
37.166666666666664,6
37.25,7
37.333333333333336,9
37.416666666666664,6
37.5,6
37.583333333333336,6
37.666666666666664,8
37.75,8
37.833333333333336,6
37.916666666666664,8
38,6
38.083333333333336,6
38.166666666666664,8
38.25,8
38.333333333333336,7
38.416666666666664,7
38.5,7
38.583333333333336,9
38.666666666666664,6
38.75,6
38.833333333333336,6
38.916666666666664,6
39,8
39.083333333333336,6
39.166666666666664,6
