"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 6 discussion"
0,4
0.08333333333333333,12
0.16666666666666666,21
0.25,29
0.3333333333333333,40
0.4166666666666667,57
0.5,82
0.5833333333333334,104
0.6666666666666666,126
0.75,144
0.8333333333333334,159
0.9166666666666666,178
1,193
1.0833333333333333,209
1.1666666666666667,226
1.25,238
1.3333333333333333,252
1.4166666666666667,267
1.5,287
1.5833333333333333,293
1.6666666666666667,306
1.75,321
1.8333333333333333,332
1.9166666666666667,348
2,356
2.0833333333333335,367
2.1666666666666665,376
2.25,396
2.3333333333333335,402
2.4166666666666665,419
2.5,435
2.5833333333333335,449
2.6666666666666665,462
2.75,474
2.8333333333333335,491
2.9166666666666665,494
3,504
3.0833333333333335,513
3.1666666666666665,527
3.25,537
3.3333333333333335,551
3.4166666666666665,566
3.5,582
3.5833333333333335,588
3.6666666666666665,601
3.75,613
3.8333333333333335,624
3.9166666666666665,644
4,647
4.083333333333333,665
4.166666666666667,682
4.25,686
4.333333333333333,701
4.416666666666667,712
4.5,718
4.583333333333333,733
4.666666666666667,741
4.75,743
4.833333333333333,748
4.916666666666667,761
5,766
5.083333333333333,767
5.166666666666667,780
5.25,791
5.333333333333333,801
5.416666666666667,802
5.5,810
5.583333333333333,815
5.666666666666667,826
5.75,830
5.833333333333333,839
5.916666666666667,846
6,853
6.083333333333333,868
6.166666666666667,870
6.25,876
6.333333333333333,886
6.416666666666667,895
6.5,892
6.583333333333333,896
6.666666666666667,899
6.75,899
6.833333333333333,910
6.916666666666667,920
7,935
7.083333333333333,939
7.166666666666667,943
7.25,947
7.333333333333333,952
7.416666666666667,968
7.5,965
7.583333333333333,977
7.666666666666667,987
7.75,983
7.833333333333333,989
7.916666666666667,1004
8,1010
8.083333333333334,1012
8.166666666666666,1017
8.25,1025
8.333333333333334,1026
8.416666666666666,1028
8.5,1031
8.583333333333334,1046
8.666666666666666,1054
8.75,1049
8.833333333333334,1064
8.916666666666666,1070
9,1074
9.083333333333334,1083
9.166666666666666,1086
9.25,1087
9.333333333333334,1091
9.416666666666666,1088
9.5,1089
9.583333333333334,1095
9.666666666666666,1100
9.75,1107
9.833333333333334,1110
9.916666666666666,1116
10,1126
10.083333333333334,1135
10.166666666666666,1133
10.25,1131
10.333333333333334,1140
10.416666666666666,1148
10.5,1144
10.583333333333334,1153
10.666666666666666,1156
10.75,1159
10.833333333333334,1162
10.916666666666666,1163
11,1175
11.083333333333334,1176
11.166666666666666,1172
11.25,1185
11.333333333333334,1187
11.416666666666666,1184
11.5,1192
11.583333333333334,1202
11.666666666666666,1202
11.75,1205
11.833333333333334,1208
11.916666666666666,1216
12,1220
12.083333333333334,1217
12.166666666666666,1225
12.25,1227
12.333333333333334,1237
12.416666666666666,1236
12.5,1239
12.583333333333334,1247
12.666666666666666,1249
12.75,1249
12.833333333333334,1252
12.916666666666666,1257
13,1259
13.083333333333334,1266
13.166666666666666,1264
13.25,1267
13.333333333333334,1274
13.416666666666666,1277
13.5,1280
13.583333333333334,1289
13.666666666666666,1297
13.75,1298
13.833333333333334,1301
13.916666666666666,1309
14,1311
14.083333333333334,1310
14.166666666666666,1316
14.25,1320
14.333333333333334,1320
14.416666666666666,1323
14.5,1323
14.583333333333334,1326
14.666666666666666,1332
14.75,1342
14.833333333333334,1344
14.916666666666666,1349
15,1351
15.083333333333334,1349
15.166666666666666,1353
15.25,1356
15.333333333333334,1357
15.416666666666666,1363
15.5,1357
15.583333333333334,1365
15.666666666666666,1370
15.75,1372
15.833333333333334,1376
15.916666666666666,1381
16,1374
16.083333333333332,1374
16.166666666666668,1377
16.25,1384
16.333333333333332,1382
16.416666666666668,1387
16.5,1386
16.583333333333332,1391
16.666666666666668,1390
16.75,1389
16.833333333333332,1396
16.916666666666668,1404
17,1402
17.083333333333332,1403
17.166666666666668,1411
17.25,1415
17.333333333333332,1408
17.416666666666668,1416
17.5,1416
17.583333333333332,1419
17.666666666666668,1421
17.75,1417
17.833333333333332,1425
17.916666666666668,1419
18,1427
18.083333333333332,1432
18.166666666666668,1431
18.25,1434
18.333333333333332,1437
18.416666666666668,1433
18.5,1437
18.583333333333332,1444
18.666666666666668,1451
18.75,1450
18.833333333333332,1449
18.916666666666668,1450
19,1453
19.083333333333332,1453
19.166666666666668,1455
19.25,1451
19.333333333333332,1456
19.416666666666668,1464
19.5,1456
19.583333333333332,1456
19.666666666666668,1467
19.75,1467
19.833333333333332,1461
19.916666666666668,1467
20,1474
20.083333333333332,1469
20.166666666666668,1470
20.25,1476
20.333333333333332,1479
20.416666666666668,1476
20.5,1482
20.583333333333332,1479
20.666666666666668,1481
20.75,1484
20.833333333333332,1484
20.916666666666668,1485
21,1488
21.083333333333332,1482
21.166666666666668,1495
21.25,1494
21.333333333333332,1494
21.416666666666668,1500
21.5,1505
21.583333333333332,1510
21.666666666666668,1511
21.75,1507
21.833333333333332,1503
21.916666666666668,1513
22,1511
22.083333333333332,1517
22.166666666666668,1520
22.25,1516
22.333333333333332,1519
22.416666666666668,1524
22.5,1525
22.583333333333332,1532
22.666666666666668,1532
22.75,1526
22.833333333333332,1531
22.916666666666668,1534
23,1532
23.083333333333332,1539
23.166666666666668,1539
23.25,1541
23.333333333333332,1545
23.416666666666668,1542
23.5,1539
23.583333333333332,1545
23.666666666666668,1547
23.75,1546
23.833333333333332,1548
23.916666666666668,1546
24,1553
24.083333333333332,1551
24.166666666666668,1556
24.25,1558
24.333333333333332,1556
24.416666666666668,1556
24.5,1556
24.583333333333332,1558
24.666666666666668,1560
24.75,1561
24.833333333333332,1559
24.916666666666668,1557
25,1565
25.083333333333332,1569
25.166666666666668,1568
25.25,1565
25.333333333333332,1562
25.416666666666668,1568
25.5,1572
25.583333333333332,1568
25.666666666666668,1570
25.75,1574
25.833333333333332,1573
25.916666666666668,1575
26,1574
26.083333333333332,1577
26.166666666666668,1576
26.25,1575
26.333333333333332,1572
26.416666666666668,1576
26.5,1576
26.583333333333332,1576
26.666666666666668,1577
26.75,1575
26.833333333333332,1581
26.916666666666668,1579
27,1582
27.083333333333332,1580
27.166666666666668,1576
27.25,1583
27.333333333333332,1581
27.416666666666668,1581
27.5,1586
27.583333333333332,1587
27.666666666666668,1589
27.75,1595
27.833333333333332,1588
27.916666666666668,1589
28,1595
28.083333333333332,1597
28.166666666666668,1601
28.25,1596
28.333333333333332,1593
28.416666666666668,1603
28.5,1605
28.583333333333332,1601
28.666666666666668,1602
28.75,1606
28.833333333333332,1605
28.916666666666668,1607
29,1604
29.083333333333332,1602
29.166666666666668,1601
29.25,1610
29.333333333333332,1604
29.416666666666668,1609
29.5,1607
29.583333333333332,1607
29.666666666666668,1611
29.75,1608
29.833333333333332,1607
29.916666666666668,1615
30,1618
30.083333333333332,1614
30.166666666666668,1622
30.25,1624
30.333333333333332,1618
30.416666666666668,1622
30.5,1623
30.583333333333332,1621
30.666666666666668,1619
30.75,1621
