"Hours since thread went live","Sasayaku You ni Koi wo Utau • Whisper Me a Love Song - Episode 5 discussion"
0,2
0.08333333333333333,3
0.16666666666666666,8
0.25,12
0.3333333333333333,19
0.4166666666666667,30
0.5,37
0.5833333333333334,42
0.6666666666666666,44
0.75,53
0.8333333333333334,57
0.9166666666666666,61
1,66
1.0833333333333333,70
1.1666666666666667,76
1.25,80
1.3333333333333333,83
1.4166666666666667,88
1.5,96
1.5833333333333333,102
1.6666666666666667,108
1.75,113
1.8333333333333333,123
1.9166666666666667,125
2,131
2.0833333333333335,138
2.1666666666666665,143
2.25,144
2.3333333333333335,152
2.4166666666666665,152
2.5,155
2.5833333333333335,156
2.6666666666666665,166
2.75,172
2.8333333333333335,173
2.9166666666666665,181
3,186
3.0833333333333335,196
3.1666666666666665,205
3.25,206
3.3333333333333335,208
3.4166666666666665,211
3.5,220
3.5833333333333335,216
3.6666666666666665,222
3.75,220
3.8333333333333335,225
3.9166666666666665,229
4,233
4.083333333333333,235
4.166666666666667,238
4.25,238
4.333333333333333,239
4.416666666666667,244
4.5,244
4.583333333333333,248
4.666666666666667,252
4.75,257
4.833333333333333,260
4.916666666666667,259
5,263
5.083333333333333,266
5.166666666666667,270
5.25,276
5.333333333333333,275
5.416666666666667,275
5.5,279
5.583333333333333,279
5.666666666666667,282
5.75,286
5.833333333333333,291
5.916666666666667,294
6,296
6.083333333333333,299
6.166666666666667,304
6.25,310
6.333333333333333,313
6.416666666666667,310
6.5,313
6.583333333333333,319
6.666666666666667,321
6.75,320
6.833333333333333,316
6.916666666666667,324
7,330
7.083333333333333,331
7.166666666666667,336
7.25,335
7.333333333333333,337
7.416666666666667,342
7.5,346
7.583333333333333,345
7.666666666666667,350
7.75,357
7.833333333333333,354
7.916666666666667,354
8,359
8.083333333333334,362
8.166666666666666,365
8.25,361
8.333333333333334,367
8.416666666666666,364
8.5,368
8.583333333333334,367
8.666666666666666,371
8.75,372
8.833333333333334,371
8.916666666666666,380
9,377
9.083333333333334,382
9.166666666666666,386
9.25,388
9.333333333333334,385
9.416666666666666,391
9.5,388
9.583333333333334,395
9.666666666666666,390
9.75,390
9.833333333333334,392
9.916666666666666,393
10,396
10.083333333333334,398
10.166666666666666,405
10.25,403
10.333333333333334,401
10.416666666666666,408
10.5,407
10.583333333333334,406
10.666666666666666,406
10.75,408
10.833333333333334,405
10.916666666666666,409
11,407
11.083333333333334,413
11.166666666666666,410
11.25,415
11.333333333333334,420
11.416666666666666,413
11.5,413
11.583333333333334,423
11.666666666666666,423
11.75,422
11.833333333333334,418
11.916666666666666,426
12,422
12.083333333333334,419
12.166666666666666,426
12.25,428
12.333333333333334,428
12.416666666666666,429
12.5,432
12.583333333333334,439
12.666666666666666,436
12.75,438
12.833333333333334,433
12.916666666666666,438
13,441
13.083333333333334,435
13.166666666666666,441
13.25,442
13.333333333333334,439
13.416666666666666,444
13.5,439
13.583333333333334,441
13.666666666666666,442
13.75,445
13.833333333333334,439
13.916666666666666,447
14,449
14.083333333333334,444
14.166666666666666,448
14.25,449
14.333333333333334,447
14.416666666666666,451
14.5,451
14.583333333333334,453
14.666666666666666,450
14.75,451
14.833333333333334,457
14.916666666666666,456
15,455
15.083333333333334,462
15.166666666666666,464
15.25,459
15.333333333333334,467
15.416666666666666,463
15.5,463
15.583333333333334,468
15.666666666666666,463
15.75,471
15.833333333333334,472
15.916666666666666,466
16,470
16.083333333333332,475
16.166666666666668,472
16.25,469
16.333333333333332,474
16.416666666666668,478
16.5,473
16.583333333333332,476
16.666666666666668,474
16.75,475
16.833333333333332,479
16.916666666666668,478
17,479
17.083333333333332,480
17.166666666666668,475
17.25,469
17.333333333333332,474
17.416666666666668,471
17.5,472
17.583333333333332,472
17.666666666666668,481
17.75,479
17.833333333333332,475
17.916666666666668,479
18,473
18.083333333333332,476
18.166666666666668,483
18.25,484
18.333333333333332,482
18.416666666666668,484
18.5,482
18.583333333333332,477
18.666666666666668,480
18.75,484
18.833333333333332,485
18.916666666666668,486
19,486
19.083333333333332,488
19.166666666666668,489
19.25,486
19.333333333333332,492
19.416666666666668,488
19.5,491
19.583333333333332,491
19.666666666666668,490
19.75,491
19.833333333333332,489
19.916666666666668,500
20,493
20.083333333333332,498
20.166666666666668,493
20.25,501
20.333333333333332,501
20.416666666666668,504
20.5,501
20.583333333333332,502
20.666666666666668,502
20.75,504
20.833333333333332,503
20.916666666666668,501
21,509
21.083333333333332,511
21.166666666666668,509
21.25,511
21.333333333333332,511
21.416666666666668,511
21.5,513
21.583333333333332,511
21.666666666666668,510
21.75,517
21.833333333333332,513
21.916666666666668,512
22,518
22.083333333333332,518
22.166666666666668,516
22.25,513
22.333333333333332,518
22.416666666666668,515
22.5,518
22.583333333333332,517
22.666666666666668,524
22.75,516
22.833333333333332,519
22.916666666666668,515
23,518
23.083333333333332,526
23.166666666666668,522
23.25,525
23.333333333333332,525
23.416666666666668,521
23.5,521
23.583333333333332,526
23.666666666666668,525
23.75,526
23.833333333333332,526
23.916666666666668,524
24,529
24.083333333333332,532
24.166666666666668,533
24.25,534
24.333333333333332,533
24.416666666666668,531
24.5,533
24.583333333333332,532
24.666666666666668,536
24.75,534
24.833333333333332,532
24.916666666666668,529
25,532
25.083333333333332,534
25.166666666666668,534
25.25,535
25.333333333333332,537
