"Hours since thread went live","Tonari no Youkai-san - Episode 6 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,4
0.25,4
0.3333333333333333,7
0.4166666666666667,8
0.5,8
0.5833333333333334,9
0.6666666666666666,14
0.75,15
0.8333333333333334,18
0.9166666666666666,19
1,21
1.0833333333333333,23
1.1666666666666667,22
1.25,23
1.3333333333333333,23
1.4166666666666667,25
1.5,24
1.5833333333333333,25
1.6666666666666667,28
1.75,30
1.8333333333333333,31
1.9166666666666667,31
2,30
2.0833333333333335,29
2.1666666666666665,30
2.25,32
2.3333333333333335,30
2.4166666666666665,33
2.5,32
2.5833333333333335,35
2.6666666666666665,36
2.75,36
2.8333333333333335,35
2.9166666666666665,38
3,36
3.0833333333333335,34
3.1666666666666665,35
3.25,38
3.3333333333333335,40
3.4166666666666665,39
3.5,40
3.5833333333333335,39
3.6666666666666665,40
3.75,40
3.8333333333333335,40
3.9166666666666665,46
4,45
4.083333333333333,47
4.166666666666667,43
4.25,50
4.333333333333333,44
4.416666666666667,45
4.5,47
4.583333333333333,45
4.666666666666667,47
4.75,47
4.833333333333333,48
4.916666666666667,50
5,46
5.083333333333333,47
5.166666666666667,52
5.25,49
5.333333333333333,51
5.416666666666667,48
5.5,49
5.583333333333333,48
5.666666666666667,53
5.75,48
5.833333333333333,49
5.916666666666667,52
6,53
6.083333333333333,54
6.166666666666667,58
6.25,53
6.333333333333333,54
6.416666666666667,52
6.5,52
6.583333333333333,58
6.666666666666667,57
6.75,54
6.833333333333333,58
6.916666666666667,59
7,56
7.083333333333333,56
7.166666666666667,59
7.25,59
7.333333333333333,57
7.416666666666667,61
7.5,62
7.583333333333333,62
7.666666666666667,67
7.75,62
7.833333333333333,63
7.916666666666667,63
8,62
8.083333333333334,64
8.166666666666666,65
8.25,68
8.333333333333334,70
8.416666666666666,68
8.5,71
8.583333333333334,66
8.666666666666666,69
8.75,67
8.833333333333334,67
8.916666666666666,68
9,70
9.083333333333334,70
9.166666666666666,71
9.25,68
9.333333333333334,74
9.416666666666666,76
9.5,76
9.583333333333334,77
9.666666666666666,75
9.75,71
9.833333333333334,73
9.916666666666666,77
10,72
10.083333333333334,74
10.166666666666666,76
10.25,78
10.333333333333334,73
10.416666666666666,77
10.5,78
10.583333333333334,75
10.666666666666666,72
10.75,76
10.833333333333334,78
10.916666666666666,75
11,77
11.083333333333334,77
11.166666666666666,78
11.25,79
11.333333333333334,78
11.416666666666666,76
11.5,79
11.583333333333334,81
11.666666666666666,80
11.75,78
11.833333333333334,80
11.916666666666666,81
12,80
12.083333333333334,77
12.166666666666666,81
12.25,81
12.333333333333334,81
12.416666666666666,82
12.5,82
12.583333333333334,86
12.666666666666666,81
12.75,79
12.833333333333334,84
12.916666666666666,83
13,83
13.083333333333334,82
13.166666666666666,88
13.25,82
13.333333333333334,87
13.416666666666666,86
13.5,87
13.583333333333334,81
13.666666666666666,84
13.75,87
13.833333333333334,86
13.916666666666666,88
14,88
14.083333333333334,85
14.166666666666666,84
14.25,87
14.333333333333334,86
14.416666666666666,87
14.5,83
14.583333333333334,90
14.666666666666666,83
14.75,84
14.833333333333334,92
14.916666666666666,87
15,93
15.083333333333334,90
15.166666666666666,91
15.25,88
15.333333333333334,90
15.416666666666666,94
15.5,89
15.583333333333334,92
15.666666666666666,89
15.75,95
15.833333333333334,88
15.916666666666666,90
16,93
16.083333333333332,95
16.166666666666668,95
16.25,92
16.333333333333332,91
16.416666666666668,93
16.5,94
16.583333333333332,93
16.666666666666668,98
16.75,92
16.833333333333332,96
16.916666666666668,97
17,95
17.083333333333332,96
17.166666666666668,97
17.25,96
17.333333333333332,92
17.416666666666668,95
17.5,96
17.583333333333332,92
17.666666666666668,97
17.75,98
17.833333333333332,101
17.916666666666668,97
18,101
18.083333333333332,103
18.166666666666668,99
18.25,98
18.333333333333332,97
18.416666666666668,103
18.5,101
18.583333333333332,97
18.666666666666668,99
18.75,100
18.833333333333332,102
18.916666666666668,100
19,102
19.083333333333332,101
19.166666666666668,104
19.25,100
19.333333333333332,103
19.416666666666668,104
19.5,103
19.583333333333332,102
19.666666666666668,104
19.75,103
19.833333333333332,103
19.916666666666668,104
20,101
20.083333333333332,104
20.166666666666668,105
20.25,105
20.333333333333332,105
20.416666666666668,106
20.5,104
20.583333333333332,105
20.666666666666668,106
20.75,107
20.833333333333332,107
20.916666666666668,107
21,108
21.083333333333332,108
21.166666666666668,109
21.25,109
21.333333333333332,109
21.416666666666668,109
21.5,109
21.583333333333332,109
21.666666666666668,108
21.75,109
21.833333333333332,111
