"Hours since thread went live","Tensei Kizoku, Kantei Skill de Nariagaru • As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World - Episode 6 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,3
0.25,7
0.3333333333333333,9
0.4166666666666667,15
0.5,17
0.5833333333333334,19
0.6666666666666666,23
0.75,25
0.8333333333333334,31
0.9166666666666666,32
1,35
1.0833333333333333,38
1.1666666666666667,40
1.25,47
1.3333333333333333,47
1.4166666666666667,50
1.5,49
1.5833333333333333,54
1.6666666666666667,52
1.75,52
1.8333333333333333,56
1.9166666666666667,65
2,63
2.0833333333333335,68
2.1666666666666665,67
2.25,69
2.3333333333333335,75
2.4166666666666665,78
2.5,84
2.5833333333333335,85
2.6666666666666665,88
2.75,94
2.8333333333333335,98
2.9166666666666665,101
3,107
3.0833333333333335,107
3.1666666666666665,111
3.25,118
3.3333333333333335,125
3.4166666666666665,126
3.5,130
3.5833333333333335,133
3.6666666666666665,141
3.75,142
3.8333333333333335,140
3.9166666666666665,143
4,143
4.083333333333333,147
4.166666666666667,148
4.25,150
4.333333333333333,149
4.416666666666667,153
4.5,158
4.583333333333333,160
4.666666666666667,165
4.75,161
4.833333333333333,164
4.916666666666667,163
5,170
5.083333333333333,166
5.166666666666667,167
5.25,172
5.333333333333333,174
5.416666666666667,180
5.5,185
5.583333333333333,187
5.666666666666667,191
5.75,189
5.833333333333333,193
5.916666666666667,200
6,193
6.083333333333333,193
6.166666666666667,201
6.25,202
6.333333333333333,205
6.416666666666667,207
6.5,211
6.583333333333333,209
6.666666666666667,209
6.75,216
6.833333333333333,220
6.916666666666667,218
7,221
7.083333333333333,222
7.166666666666667,223
7.25,221
7.333333333333333,225
7.416666666666667,224
7.5,227
7.583333333333333,226
7.666666666666667,227
7.75,228
7.833333333333333,231
7.916666666666667,229
8,234
8.083333333333334,235
8.166666666666666,231
8.25,233
8.333333333333334,230
8.416666666666666,232
8.5,236
8.583333333333334,236
8.666666666666666,239
8.75,240
8.833333333333334,247
8.916666666666666,245
9,249
9.083333333333334,248
9.166666666666666,247
9.25,250
9.333333333333334,250
9.416666666666666,258
9.5,259
9.583333333333334,255
9.666666666666666,256
9.75,262
9.833333333333334,260
9.916666666666666,259
10,263
10.083333333333334,269
10.166666666666666,267
10.25,270
10.333333333333334,269
10.416666666666666,272
10.5,276
10.583333333333334,277
10.666666666666666,276
10.75,275
10.833333333333334,282
10.916666666666666,280
11,281
11.083333333333334,277
11.166666666666666,278
11.25,282
11.333333333333334,280
11.416666666666666,287
11.5,284
11.583333333333334,286
11.666666666666666,283
11.75,286
11.833333333333334,288
11.916666666666666,285
12,290
12.083333333333334,289
12.166666666666666,290
12.25,289
12.333333333333334,290
12.416666666666666,293
12.5,293
12.583333333333334,291
12.666666666666666,291
12.75,293
12.833333333333334,298
12.916666666666666,301
13,302
13.083333333333334,300
13.166666666666666,301
13.25,301
13.333333333333334,303
13.416666666666666,304
13.5,308
13.583333333333334,306
13.666666666666666,312
13.75,306
13.833333333333334,308
13.916666666666666,306
14,310
14.083333333333334,310
14.166666666666666,307
14.25,310
14.333333333333334,308
14.416666666666666,310
14.5,309
14.583333333333334,312
14.666666666666666,311
14.75,314
14.833333333333334,312
14.916666666666666,317
15,318
15.083333333333334,320
15.166666666666666,318
15.25,311
15.333333333333334,315
15.416666666666666,317
15.5,314
15.583333333333334,313
15.666666666666666,316
15.75,318
15.833333333333334,316
15.916666666666666,321
16,316
16.083333333333332,322
16.166666666666668,316
16.25,317
16.333333333333332,320
16.416666666666668,318
16.5,317
16.583333333333332,322
16.666666666666668,326
16.75,320
16.833333333333332,325
16.916666666666668,323
17,319
17.083333333333332,318
17.166666666666668,319
17.25,321
17.333333333333332,323
17.416666666666668,328
17.5,322
17.583333333333332,332
17.666666666666668,321
17.75,325
17.833333333333332,322
17.916666666666668,330
18,330
18.083333333333332,331
18.166666666666668,329
18.25,330
18.333333333333332,331
18.416666666666668,326
18.5,332
18.583333333333332,326
18.666666666666668,330
18.75,330
18.833333333333332,331
18.916666666666668,333
19,333
19.083333333333332,330
19.166666666666668,335
19.25,337
19.333333333333332,332
19.416666666666668,332
19.5,335
19.583333333333332,331
19.666666666666668,332
19.75,337
19.833333333333332,339
19.916666666666668,338
20,341
20.083333333333332,337
20.166666666666668,335
20.25,337
20.333333333333332,333
20.416666666666668,337
20.5,332
20.583333333333332,338
20.666666666666668,333
20.75,341
20.833333333333332,340
20.916666666666668,335
21,335
21.083333333333332,339
21.166666666666668,343
21.25,340
21.333333333333332,339
21.416666666666668,338
21.5,340
21.583333333333332,345
21.666666666666668,346
21.75,347
21.833333333333332,346
21.916666666666668,342
22,350
22.083333333333332,344
22.166666666666668,348
22.25,348
22.333333333333332,346
22.416666666666668,350
22.5,350
22.583333333333332,351
22.666666666666668,349
22.75,345
22.833333333333332,351
22.916666666666668,354
23,350
23.083333333333332,351
23.166666666666668,355
23.25,347
23.333333333333332,352
23.416666666666668,351
23.5,349
23.583333333333332,348
23.666666666666668,350
23.75,353
23.833333333333332,356
23.916666666666668,353
24,356
24.083333333333332,349
24.166666666666668,353
24.25,356
24.333333333333332,358
24.416666666666668,356
24.5,359
24.583333333333332,349
24.666666666666668,358
24.75,352
24.833333333333332,355
24.916666666666668,356
25,355
25.083333333333332,354
25.166666666666668,358
25.25,354
25.333333333333332,356
25.416666666666668,353
25.5,352
25.583333333333332,356
25.666666666666668,352
25.75,354
25.833333333333332,352
25.916666666666668,353
26,353
26.083333333333332,355
26.166666666666668,361
26.25,355
26.333333333333332,357
26.416666666666668,352
26.5,358
26.583333333333332,354
26.666666666666668,358
26.75,355
26.833333333333332,359
26.916666666666668,358
27,362
27.083333333333332,361
27.166666666666668,354
27.25,354
27.333333333333332,359
27.416666666666668,364
27.5,357
27.583333333333332,358
27.666666666666668,359
27.75,363
27.833333333333332,360
27.916666666666668,360
28,360
28.083333333333332,359
28.166666666666668,361
28.25,355
28.333333333333332,361
28.416666666666668,363
28.5,360
28.583333333333332,363
28.666666666666668,359
28.75,365
28.833333333333332,359
28.916666666666668,358
29,362
29.083333333333332,365
29.166666666666668,366
29.25,360
29.333333333333332,359
29.416666666666668,362
29.5,362
29.583333333333332,368
29.666666666666668,365
29.75,365
29.833333333333332,363
29.916666666666668,363
30,367
30.083333333333332,363
30.166666666666668,371
30.25,371
30.333333333333332,366
30.416666666666668,368
30.5,374
30.583333333333332,369
30.666666666666668,371
30.75,372
30.833333333333332,371
30.916666666666668,367
31,366
31.083333333333332,370
31.166666666666668,368
31.25,374
31.333333333333332,376
31.416666666666668,372
31.5,374
31.583333333333332,368
31.666666666666668,373
31.75,369
31.833333333333332,372
31.916666666666668,378
32,372
32.083333333333336,370
32.166666666666664,372
32.25,378
32.333333333333336,366
32.416666666666664,371
32.5,372
32.583333333333336,377
32.666666666666664,375
32.75,374
32.833333333333336,369
32.916666666666664,377
33,375
33.083333333333336,375
33.166666666666664,374
33.25,371
33.333333333333336,373
33.416666666666664,368
33.5,367
33.583333333333336,375
33.666666666666664,377
33.75,377
33.833333333333336,375
33.916666666666664,375
34,373
34.083333333333336,379
34.166666666666664,376
34.25,379
34.333333333333336,376
34.416666666666664,369
34.5,370
34.583333333333336,372
34.666666666666664,378
34.75,379
34.833333333333336,375
34.916666666666664,375
35,376
