"Hours since thread went live","Shinkalion: Change the World - Episode 6 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,0
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,0
1.1666666666666667,0
1.25,0
1.3333333333333333,0
1.4166666666666667,0
1.5,0
1.5833333333333333,0
1.6666666666666667,0
1.75,0
1.8333333333333333,0
1.9166666666666667,0
2,0
2.0833333333333335,0
2.1666666666666665,0
2.25,0
2.3333333333333335,0
2.4166666666666665,0
2.5,1
2.5833333333333335,0
2.6666666666666665,1
2.75,0
2.8333333333333335,0
2.9166666666666665,2
3,2
3.0833333333333335,0
3.1666666666666665,3
3.25,2
3.3333333333333335,3
3.4166666666666665,1
3.5,3
3.5833333333333335,2
3.6666666666666665,3
3.75,4
3.8333333333333335,2
3.9166666666666665,1
4,1
4.083333333333333,1
4.166666666666667,2
4.25,1
4.333333333333333,0
4.416666666666667,3
4.5,2
4.583333333333333,0
4.666666666666667,2
4.75,0
4.833333333333333,1
4.916666666666667,1
5,0
5.083333333333333,0
5.166666666666667,1
5.25,2
5.333333333333333,2
5.416666666666667,3
5.5,0
5.583333333333333,1
5.666666666666667,0
5.75,0
5.833333333333333,2
5.916666666666667,2
6,2
6.083333333333333,2
6.166666666666667,0
6.25,2
6.333333333333333,0
6.416666666666667,1
6.5,0
6.583333333333333,1
6.666666666666667,2
6.75,2
6.833333333333333,0
6.916666666666667,0
7,2
7.083333333333333,2
7.166666666666667,2
7.25,3
7.333333333333333,1
7.416666666666667,1
7.5,2
7.583333333333333,2
7.666666666666667,2
7.75,2
7.833333333333333,2
7.916666666666667,4
8,2
8.083333333333334,2
8.166666666666666,2
8.25,2
8.333333333333334,3
8.416666666666666,1
8.5,2
8.583333333333334,3
8.666666666666666,3
8.75,3
8.833333333333334,2
8.916666666666666,4
9,4
9.083333333333334,3
9.166666666666666,4
9.25,4
9.333333333333334,5
9.416666666666666,2
9.5,4
9.583333333333334,3
9.666666666666666,4
9.75,5
9.833333333333334,2
9.916666666666666,5
10,4
10.083333333333334,4
10.166666666666666,6
10.25,6
10.333333333333334,6
10.416666666666666,3
10.5,4
10.583333333333334,4
10.666666666666666,7
10.75,6
10.833333333333334,5
10.916666666666666,4
11,6
11.083333333333334,7
11.166666666666666,7
11.25,4
11.333333333333334,5
11.416666666666666,5
11.5,6
11.583333333333334,3
11.666666666666666,6
11.75,6
11.833333333333334,7
11.916666666666666,5
12,3
12.083333333333334,4
12.166666666666666,6
12.25,5
12.333333333333334,6
12.416666666666666,7
12.5,5
12.583333333333334,6
12.666666666666666,4
12.75,6
12.833333333333334,5
12.916666666666666,5
13,4
13.083333333333334,6
13.166666666666666,6
13.25,3
13.333333333333334,4
13.416666666666666,3
13.5,4
13.583333333333334,5
13.666666666666666,6
13.75,6
13.833333333333334,4
13.916666666666666,5
14,3
14.083333333333334,3
14.166666666666666,5
14.25,2
14.333333333333334,5
14.416666666666666,4
14.5,4
14.583333333333334,2
14.666666666666666,6
14.75,5
14.833333333333334,4
14.916666666666666,2
15,3
15.083333333333334,3
15.166666666666666,4
15.25,4
15.333333333333334,6
15.416666666666666,4
15.5,5
15.583333333333334,4
15.666666666666666,5
15.75,4
15.833333333333334,5
15.916666666666666,4
16,4
16.083333333333332,4
16.166666666666668,4
16.25,4
16.333333333333332,6
16.416666666666668,5
16.5,6
16.583333333333332,3
16.666666666666668,3
16.75,4
16.833333333333332,3
16.916666666666668,5
17,2
17.083333333333332,4
17.166666666666668,5
17.25,3
17.333333333333332,4
17.416666666666668,3
17.5,3
17.583333333333332,2
17.666666666666668,4
17.75,5
17.833333333333332,2
17.916666666666668,4
18,5
18.083333333333332,2
18.166666666666668,4
18.25,3
18.333333333333332,6
18.416666666666668,2
18.5,2
18.583333333333332,4
18.666666666666668,4
18.75,3
18.833333333333332,4
18.916666666666668,4
19,4
19.083333333333332,4
19.166666666666668,5
19.25,2
19.333333333333332,5
19.416666666666668,5
19.5,2
19.583333333333332,3
19.666666666666668,4
19.75,4
19.833333333333332,4
19.916666666666668,4
20,3
20.083333333333332,4
20.166666666666668,4
20.25,4
20.333333333333332,3
20.416666666666668,3
20.5,4
20.583333333333332,5
20.666666666666668,3
20.75,6
20.833333333333332,4
20.916666666666668,3
21,3
21.083333333333332,5
21.166666666666668,4
21.25,5
21.333333333333332,4
21.416666666666668,4
21.5,2
21.583333333333332,4
21.666666666666668,3
21.75,3
21.833333333333332,3
21.916666666666668,3
22,3
22.083333333333332,6
22.166666666666668,4
22.25,4
22.333333333333332,6
22.416666666666668,4
22.5,3
22.583333333333332,5
22.666666666666668,3
22.75,4
22.833333333333332,4
22.916666666666668,3
23,3
23.083333333333332,2
23.166666666666668,5
23.25,4
23.333333333333332,4
23.416666666666668,3
23.5,4
23.583333333333332,3
23.666666666666668,4
23.75,6
23.833333333333332,5
23.916666666666668,4
24,4
24.083333333333332,5
24.166666666666668,5
24.25,5
24.333333333333332,2
24.416666666666668,5
24.5,4
24.583333333333332,4
24.666666666666668,3
24.75,4
24.833333333333332,4
24.916666666666668,2
25,2
25.083333333333332,5
25.166666666666668,3
25.25,5
25.333333333333332,4
25.416666666666668,5
25.5,3
25.583333333333332,4
25.666666666666668,3
25.75,3
25.833333333333332,4
25.916666666666668,5
26,6
26.083333333333332,5
26.166666666666668,4
26.25,5
26.333333333333332,7
26.416666666666668,6
26.5,5
26.583333333333332,6
26.666666666666668,5
26.75,5
26.833333333333332,7
26.916666666666668,6
27,4
27.083333333333332,5
27.166666666666668,6
27.25,6
27.333333333333332,5
27.416666666666668,6
27.5,6
27.583333333333332,5
27.666666666666668,4
27.75,4
27.833333333333332,3
27.916666666666668,4
28,7
28.083333333333332,6
28.166666666666668,4
28.25,4
28.333333333333332,4
28.416666666666668,7
28.5,6
28.583333333333332,6
28.666666666666668,3
28.75,5
28.833333333333332,6
28.916666666666668,5
29,7
29.083333333333332,7
29.166666666666668,6
29.25,3
29.333333333333332,6
29.416666666666668,7
29.5,6
29.583333333333332,5
29.666666666666668,4
29.75,4
29.833333333333332,7
29.916666666666668,8
30,7
30.083333333333332,7
30.166666666666668,5
30.25,8
30.333333333333332,5
30.416666666666668,5
30.5,5
30.583333333333332,8
30.666666666666668,5
30.75,4
30.833333333333332,7
30.916666666666668,6
31,8
31.083333333333332,6
31.166666666666668,5
31.25,6
31.333333333333332,7
31.416666666666668,7
31.5,6
31.583333333333332,5
31.666666666666668,6
31.75,5
31.833333333333332,5
31.916666666666668,4
32,6
32.083333333333336,7
32.166666666666664,5
32.25,6
32.333333333333336,6
32.416666666666664,5
32.5,6
32.583333333333336,5
32.666666666666664,6
32.75,6
32.833333333333336,7
32.916666666666664,6
33,6
33.083333333333336,7
33.166666666666664,8
33.25,4
33.333333333333336,8
33.416666666666664,5
33.5,5
33.583333333333336,7
33.666666666666664,5
33.75,5
33.833333333333336,5
33.916666666666664,7
34,6
34.083333333333336,8
34.166666666666664,6
34.25,4
34.333333333333336,7
34.416666666666664,6
34.5,8
34.583333333333336,7
34.666666666666664,7
34.75,7
34.833333333333336,6
34.916666666666664,4
35,7
35.083333333333336,8
35.166666666666664,5
35.25,6
35.333333333333336,5
35.416666666666664,4
35.5,6
