"Hours since thread went live","Kimetsu no Yaiba: Hashira Geiko-hen • Demon Slayer: Kimetsu no Yaiba Hashira Training Arc - Episode 1 discussion"
0,3
0,6
0.08333333333333333,19
0.16666666666666666,31
0.25,48
0.3333333333333333,57
0.4166666666666667,66
0.5,80
0.5833333333333334,97
0.6666666666666666,119
0.75,137
0.8333333333333334,154
0.9166666666666666,171
1,183
1.0833333333333333,200
1.1666666666666667,223
1.25,235
1.3333333333333333,260
1.4166666666666667,284
1.5,297
1.5833333333333333,317
1.6666666666666667,340
1.75,359
1.8333333333333333,385
1.9166666666666667,414
2,430
2.0833333333333335,446
2.1666666666666665,468
2.25,479
2.3333333333333335,500
2.4166666666666665,524
2.5,545
2.5833333333333335,568
2.6666666666666665,583
2.75,601
2.8333333333333335,620
2.9166666666666665,639
3,656
3.0833333333333335,679
3.1666666666666665,701
3.25,723
3.3333333333333335,734
3.5,751
3.5,764
3.5833333333333335,782
3.6666666666666665,794
3.75,808
3.8333333333333335,818
3.9166666666666665,834
4,859
4.083333333333333,872
4.166666666666667,882
4.25,897
4.333333333333333,914
4.416666666666667,926
4.5,944
4.583333333333333,955
4.666666666666667,968
4.75,983
4.833333333333333,1000
4.916666666666667,1014
5,1023
5.083333333333333,1039
5.166666666666667,1049
5.25,1059
5.333333333333333,1069
5.416666666666667,1076
5.5,1088
5.583333333333333,1104
5.666666666666667,1109
5.75,1122
5.833333333333333,1134
5.916666666666667,1146
6,1165
6.083333333333333,1177
6.166666666666667,1195
6.25,1209
6.333333333333333,1213
6.416666666666667,1226
6.5,1248
6.583333333333333,1262
6.666666666666667,1269
6.75,1281
6.833333333333333,1282
6.916666666666667,1303
7,1319
7.083333333333333,1328
7.166666666666667,1336
7.25,1355
7.333333333333333,1356
7.416666666666667,1367
7.5,1373
7.583333333333333,1386
7.666666666666667,1392
7.75,1397
7.833333333333333,1406
7.916666666666667,1405
8,1410
8.083333333333334,1423
8.166666666666666,1431
8.25,1444
8.333333333333334,1444
8.416666666666666,1460
8.5,1464
8.583333333333334,1478
8.666666666666666,1481
8.75,1492
8.833333333333334,1507
8.916666666666666,1511
9,1529
9.083333333333334,1535
9.166666666666666,1545
9.25,1543
9.333333333333334,1560
9.416666666666666,1562
9.5,1572
9.583333333333334,1579
9.666666666666666,1589
9.75,1593
9.833333333333334,1598
9.916666666666666,1610
10,1620
10.083333333333334,1626
10.166666666666666,1639
10.25,1647
10.333333333333334,1650
10.416666666666666,1659
10.5,1669
10.583333333333334,1678
10.666666666666666,1689
10.75,1694
10.833333333333334,1711
10.916666666666666,1716
11,1723
11.083333333333334,1728
11.166666666666666,1738
11.25,1741
11.333333333333334,1748
11.416666666666666,1754
11.5,1759
11.583333333333334,1765
11.666666666666666,1773
11.75,1782
11.833333333333334,1789
11.916666666666666,1793
12,1800
12.083333333333334,1811
12.166666666666666,1813
12.25,1816
12.333333333333334,1826
12.416666666666666,1831
12.5,1842
12.583333333333334,1851
12.666666666666666,1845
12.75,1855
12.833333333333334,1860
12.916666666666666,1867
13,1866
13.083333333333334,1872
13.166666666666666,1879
13.25,1884
13.333333333333334,1892
13.416666666666666,1894
13.5,1896
13.583333333333334,1894
13.666666666666666,1902
13.75,1908
13.833333333333334,1912
13.916666666666666,1912
14,1919
14.083333333333334,1929
14.166666666666666,1930
14.25,1935
14.333333333333334,1932
14.416666666666666,1934
14.5,1946
14.583333333333334,1944
14.666666666666666,1950
14.75,1962
14.833333333333334,1960
14.916666666666666,1969
15,1973
15.083333333333334,1974
15.166666666666666,1975
15.25,1985
15.333333333333334,1985
15.416666666666666,1987
15.5,1984
15.583333333333334,1990
15.666666666666666,1995
15.75,1991
15.833333333333334,1991
15.916666666666666,1995
16,1999
16.083333333333332,2000
16.166666666666668,2006
16.25,2014
16.333333333333332,2014
16.416666666666668,2025
16.5,2027
16.583333333333332,2029
16.666666666666668,2038
16.75,2040
16.833333333333332,2036
16.916666666666668,2035
17,2045
17.083333333333332,2051
17.166666666666668,2048
17.25,2055
17.333333333333332,2054
17.416666666666668,2055
17.5,2052
17.583333333333332,2051
17.666666666666668,2054
17.75,2060
17.833333333333332,2061
17.916666666666668,2069
18,2069
18.083333333333332,2074
18.166666666666668,2077
18.25,2082
18.333333333333332,2074
18.416666666666668,2083
18.5,2082
18.583333333333332,2083
18.666666666666668,2088
18.75,2089
18.833333333333332,2098
18.916666666666668,2098
19,2106
19.083333333333332,2104
19.166666666666668,2110
19.25,2116
19.333333333333332,2118
19.416666666666668,2119
19.5,2123
19.583333333333332,2124
19.666666666666668,2130
19.75,2132
19.833333333333332,2131
19.916666666666668,2136
20,2141
20.083333333333332,2144
20.166666666666668,2148
20.25,2150
20.333333333333332,2157
20.416666666666668,2162
