"Hours since thread went live","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu • I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability - Episode 7 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,5
0.25,11
0.3333333333333333,11
0.4166666666666667,19
0.5,27
0.5833333333333334,31
0.6666666666666666,38
0.75,43
0.8333333333333334,55
0.9166666666666666,67
1,73
1.0833333333333333,82
1.1666666666666667,87
1.25,98
1.3333333333333333,102
1.4166666666666667,109
1.5,119
1.5833333333333333,134
1.6666666666666667,148
1.75,154
1.8333333333333333,156
1.9166666666666667,162
2,162
2.0833333333333335,173
2.1666666666666665,175
2.25,182
2.3333333333333335,187
2.4166666666666665,194
2.5,203
2.5833333333333335,214
2.6666666666666665,214
2.75,222
2.8333333333333335,222
2.9166666666666665,224
3,230
3.0833333333333335,235
3.1666666666666665,234
3.25,239
3.3333333333333335,245
3.4166666666666665,247
3.5,252
3.5833333333333335,256
3.6666666666666665,261
3.75,265
3.8333333333333335,268
3.9166666666666665,273
4,284
4.083333333333333,289
4.166666666666667,302
4.25,306
4.333333333333333,304
4.416666666666667,317
4.5,322
4.583333333333333,330
4.666666666666667,332
4.75,336
4.833333333333333,340
4.916666666666667,343
5,344
5.083333333333333,352
5.166666666666667,365
5.25,369
5.333333333333333,375
5.416666666666667,374
5.5,382
5.583333333333333,387
5.666666666666667,394
5.75,400
5.833333333333333,398
5.916666666666667,410
6,408
6.083333333333333,407
6.166666666666667,417
6.25,414
6.333333333333333,419
6.416666666666667,423
6.5,428
6.583333333333333,438
6.666666666666667,438
6.75,437
6.833333333333333,446
6.916666666666667,448
7,453
7.083333333333333,455
7.166666666666667,457
7.25,459
7.333333333333333,459
7.416666666666667,463
7.5,471
7.583333333333333,471
7.666666666666667,476
7.75,474
7.833333333333333,475
7.916666666666667,482
8,488
8.083333333333334,492
8.166666666666666,494
8.25,499
8.333333333333334,508
8.416666666666666,511
8.5,512
8.583333333333334,518
8.666666666666666,513
8.75,518
8.833333333333334,525
8.916666666666666,519
9,524
9.083333333333334,521
9.166666666666666,526
9.25,535
9.333333333333334,539
9.416666666666666,532
9.5,539
9.583333333333334,547
9.666666666666666,544
9.75,555
9.833333333333334,551
9.916666666666666,557
10,554
10.083333333333334,559
10.166666666666666,567
10.25,566
10.333333333333334,574
10.416666666666666,573
10.5,575
10.583333333333334,569
10.666666666666666,574
10.75,578
10.833333333333334,579
10.916666666666666,585
11,584
11.083333333333334,586
11.166666666666666,591
11.25,592
11.333333333333334,600
11.416666666666666,601
11.5,602
11.583333333333334,603
11.666666666666666,600
11.75,609
11.833333333333334,613
11.916666666666666,614
12,616
12.083333333333334,616
12.166666666666666,623
12.25,622
12.333333333333334,630
12.416666666666666,633
12.5,625
12.583333333333334,632
12.666666666666666,633
12.75,635
12.833333333333334,642
12.916666666666666,635
13,641
13.083333333333334,643
13.166666666666666,645
13.25,641
13.333333333333334,640
13.416666666666666,647
13.5,649
13.583333333333334,646
13.666666666666666,650
13.75,652
13.833333333333334,657
13.916666666666666,658
14,656
14.083333333333334,666
14.166666666666666,661
14.25,666
14.333333333333334,668
14.416666666666666,670
14.5,665
14.583333333333334,665
14.666666666666666,668
14.75,672
14.833333333333334,675
14.916666666666666,674
15,671
15.083333333333334,673
15.166666666666666,681
15.25,685
15.333333333333334,683
15.416666666666666,681
15.5,689
15.583333333333334,684
15.666666666666666,685
15.75,683
15.833333333333334,686
15.916666666666666,689
16,689
16.083333333333332,683
16.166666666666668,688
16.25,689
16.333333333333332,694
16.416666666666668,695
16.5,696
16.583333333333332,701
16.666666666666668,702
16.75,701
16.833333333333332,700
16.916666666666668,698
17,697
17.083333333333332,699
17.166666666666668,704
17.25,700
17.333333333333332,702
17.416666666666668,703
17.5,705
17.583333333333332,709
17.666666666666668,711
17.75,711
17.833333333333332,709
17.916666666666668,711
18,712
18.083333333333332,712
18.166666666666668,712
18.25,715
18.333333333333332,714
18.416666666666668,719
18.5,718
18.583333333333332,711
18.666666666666668,716
18.75,719
18.833333333333332,727
18.916666666666668,724
19,725
19.083333333333332,727
19.166666666666668,728
19.25,727
19.333333333333332,727
19.416666666666668,733
19.5,728
19.583333333333332,730
19.666666666666668,730
19.75,735
19.833333333333332,735
19.916666666666668,731
20,739
20.083333333333332,730
20.166666666666668,739
20.25,737
20.333333333333332,744
20.416666666666668,742
20.5,743
20.583333333333332,748
20.666666666666668,748
20.75,749
20.833333333333332,750
20.916666666666668,756
21,752
21.083333333333332,754
21.166666666666668,756
21.25,763
21.333333333333332,759
21.416666666666668,755
21.5,758
21.583333333333332,761
21.666666666666668,761
21.75,761
21.833333333333332,758
21.916666666666668,755
22,764
22.083333333333332,764
22.166666666666668,763
22.25,765
22.333333333333332,770
22.416666666666668,772
22.5,766
22.583333333333332,764
22.666666666666668,767
22.75,769
22.833333333333332,767
22.916666666666668,765
23,765
23.083333333333332,765
23.166666666666668,775
23.25,765
23.333333333333332,774
23.416666666666668,775
23.5,770
23.583333333333332,772
23.666666666666668,767
23.75,769
23.833333333333332,773
23.916666666666668,770
24,775
24.083333333333332,771
24.166666666666668,779
24.25,774
24.333333333333332,772
24.416666666666668,780
24.5,789
24.583333333333332,783
24.666666666666668,790
24.75,786
24.833333333333332,788
24.916666666666668,785
25,790
25.083333333333332,781
25.166666666666668,789
25.25,790
25.333333333333332,789
25.416666666666668,788
25.5,793
25.583333333333332,786
25.666666666666668,792
25.75,790
25.833333333333332,793
25.916666666666668,790
26,790
26.083333333333332,788
26.166666666666668,793
26.25,790
26.333333333333332,796
26.416666666666668,794
26.5,795
26.583333333333332,793
26.666666666666668,796
26.75,796
26.833333333333332,797
26.916666666666668,800
27,799
27.083333333333332,801
27.166666666666668,792
27.25,797
27.333333333333332,799
27.416666666666668,798
27.5,797
27.583333333333332,798
27.666666666666668,800
27.75,799
27.833333333333332,796
27.916666666666668,797
28,804
28.083333333333332,800
28.166666666666668,799
28.25,804
28.333333333333332,804
28.416666666666668,800
28.5,802
28.583333333333332,796
28.666666666666668,806
28.75,802
28.833333333333332,801
28.916666666666668,805
29,797
29.083333333333332,806
29.166666666666668,805
29.25,807
29.333333333333332,810
29.416666666666668,809
29.5,806
29.583333333333332,805
29.666666666666668,807
29.75,809
29.833333333333332,804
29.916666666666668,803
30,803
30.083333333333332,805
30.166666666666668,805
30.25,803
30.333333333333332,802
30.416666666666668,812
30.5,808
30.583333333333332,815
30.666666666666668,815
30.75,809
30.833333333333332,808
30.916666666666668,806
31,812
31.083333333333332,808
31.166666666666668,811
31.25,810
31.333333333333332,814
31.416666666666668,809
31.5,808
31.583333333333332,813
31.666666666666668,816
31.75,811
31.833333333333332,818
31.916666666666668,815
32,813
32.083333333333336,813
32.166666666666664,815
32.25,815
32.333333333333336,816
32.416666666666664,817
32.5,816
32.583333333333336,810
32.666666666666664,815
32.75,814
32.833333333333336,815
32.916666666666664,819
33,818
33.083333333333336,816
33.166666666666664,815
33.25,817
33.333333333333336,815
33.416666666666664,814
33.5,813
33.583333333333336,811
33.666666666666664,815
33.75,816
33.833333333333336,815
33.916666666666664,818
34,815
34.083333333333336,822
34.166666666666664,821
34.25,822
34.333333333333336,819
34.416666666666664,821
34.5,815
34.583333333333336,826
34.666666666666664,823
34.75,822
34.833333333333336,822
34.916666666666664,822
35,824
35.083333333333336,822
35.166666666666664,820
35.25,824
35.333333333333336,822
35.416666666666664,821
35.5,828
35.583333333333336,822
35.666666666666664,825
35.75,823
35.833333333333336,824
35.916666666666664,822
36,829
36.083333333333336,825
36.166666666666664,828
36.25,822
36.333333333333336,827
36.416666666666664,828
36.5,827
36.583333333333336,828
36.666666666666664,827
36.75,825
36.833333333333336,828
36.916666666666664,827
37,826
37.083333333333336,829
37.166666666666664,826
37.25,824
37.333333333333336,825
37.416666666666664,829
37.5,825
37.583333333333336,828
37.666666666666664,826
37.75,820
37.833333333333336,826
37.916666666666664,826
38,827
38.083333333333336,828
38.166666666666664,824
38.25,824
38.333333333333336,823
38.416666666666664,827
