"Hours since thread went live","Blue Archive The Animation - Episode 6 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,3
0.25,4
0.3333333333333333,7
0.4166666666666667,7
0.5,9
0.5833333333333334,8
0.6666666666666666,8
0.75,10
0.8333333333333334,13
0.9166666666666666,16
1,20
1.0833333333333333,21
1.1666666666666667,23
1.25,25
1.3333333333333333,26
1.4166666666666667,30
1.5,31
1.5833333333333333,36
1.6666666666666667,37
1.75,38
1.8333333333333333,41
1.9166666666666667,43
2,45
2.0833333333333335,46
2.1666666666666665,49
2.25,50
2.3333333333333335,51
2.4166666666666665,51
2.5,52
2.5833333333333335,52
2.6666666666666665,54
2.75,59
2.8333333333333335,59
2.9166666666666665,61
3,63
3.0833333333333335,62
3.1666666666666665,63
3.25,65
3.3333333333333335,63
3.4166666666666665,67
3.5,64
3.5833333333333335,66
3.6666666666666665,71
3.75,69
3.8333333333333335,76
3.9166666666666665,70
4,69
4.083333333333333,73
4.166666666666667,70
4.25,74
4.333333333333333,72
4.416666666666667,72
4.5,76
4.583333333333333,71
4.666666666666667,71
4.75,70
4.833333333333333,71
4.916666666666667,74
5,72
5.083333333333333,73
5.166666666666667,76
5.25,76
5.333333333333333,75
5.416666666666667,78
5.5,81
5.583333333333333,80
5.666666666666667,82
5.75,82
5.833333333333333,78
5.916666666666667,83
6,84
6.083333333333333,82
6.166666666666667,84
6.25,83
6.333333333333333,88
6.416666666666667,88
6.5,88
6.583333333333333,88
6.666666666666667,92
6.75,98
6.833333333333333,97
6.916666666666667,95
7,98
7.083333333333333,97
7.166666666666667,95
7.25,96
7.333333333333333,105
7.416666666666667,101
7.5,101
7.583333333333333,102
7.666666666666667,102
7.75,102
7.833333333333333,103
7.916666666666667,101
8,105
8.083333333333334,104
8.166666666666666,106
8.25,108
8.333333333333334,108
8.416666666666666,110
8.5,114
8.583333333333334,112
8.666666666666666,112
8.75,113
8.833333333333334,112
8.916666666666666,114
9,117
9.083333333333334,117
9.166666666666666,114
9.25,119
9.333333333333334,116
9.416666666666666,117
9.5,119
9.583333333333334,117
9.666666666666666,122
9.75,119
9.833333333333334,117
9.916666666666666,122
10,118
10.083333333333334,125
10.166666666666666,123
10.25,123
10.333333333333334,125
10.416666666666666,125
10.5,123
10.583333333333334,120
10.666666666666666,123
10.75,124
10.833333333333334,126
10.916666666666666,125
11,124
11.083333333333334,130
11.166666666666666,126
11.25,130
11.333333333333334,126
11.416666666666666,130
11.5,128
11.583333333333334,132
11.666666666666666,129
11.75,129
11.833333333333334,127
11.916666666666666,129
12,125
12.083333333333334,128
12.166666666666666,130
12.25,133
12.333333333333334,129
12.416666666666666,132
12.5,131
12.583333333333334,131
12.666666666666666,134
12.75,135
12.833333333333334,128
12.916666666666666,129
13,129
13.083333333333334,131
13.166666666666666,137
13.25,130
13.333333333333334,135
13.416666666666666,132
13.5,135
13.583333333333334,137
13.666666666666666,140
13.75,142
13.833333333333334,144
13.916666666666666,139
14,141
14.083333333333334,142
14.166666666666666,139
14.25,141
14.333333333333334,140
14.416666666666666,142
14.5,141
14.583333333333334,143
14.666666666666666,146
14.75,142
14.833333333333334,148
14.916666666666666,144
15,146
15.083333333333334,145
15.166666666666666,143
15.25,146
15.333333333333334,144
15.416666666666666,146
15.5,147
15.583333333333334,148
15.666666666666666,147
15.75,148
15.833333333333334,145
15.916666666666666,147
16,148
16.083333333333332,153
16.166666666666668,149
16.25,149
16.333333333333332,156
16.416666666666668,152
16.5,155
16.583333333333332,155
16.666666666666668,152
16.75,157
16.833333333333332,156
16.916666666666668,153
17,155
17.083333333333332,154
17.166666666666668,154
17.25,158
17.333333333333332,157
17.416666666666668,156
17.5,157
17.583333333333332,159
17.666666666666668,158
17.75,156
17.833333333333332,158
17.916666666666668,158
18,160
18.083333333333332,160
18.166666666666668,155
18.25,157
18.333333333333332,161
18.416666666666668,160
18.5,155
18.583333333333332,162
18.666666666666668,158
18.75,158
18.833333333333332,162
18.916666666666668,156
19,158
19.083333333333332,156
19.166666666666668,157
19.25,159
19.333333333333332,163
19.416666666666668,160
19.5,161
19.583333333333332,159
19.666666666666668,160
19.75,160
19.833333333333332,163
19.916666666666668,159
20,161
20.083333333333332,161
20.166666666666668,162
20.25,160
20.333333333333332,163
20.416666666666668,161
20.5,166
20.583333333333332,166
20.666666666666668,163
20.75,164
20.833333333333332,164
20.916666666666668,164
21,167
21.083333333333332,169
21.166666666666668,165
21.25,168
21.333333333333332,170
21.416666666666668,173
21.5,171
21.583333333333332,171
21.666666666666668,171
21.75,174
21.833333333333332,171
21.916666666666668,174
22,170
22.083333333333332,174
22.166666666666668,175
22.25,169
22.333333333333332,172
22.416666666666668,171
22.5,172
22.583333333333332,171
22.666666666666668,174
22.75,174
22.833333333333332,174
22.916666666666668,174
23,172
23.083333333333332,173
23.166666666666668,176
23.25,175
23.333333333333332,175
23.416666666666668,172
23.5,175
23.583333333333332,177
23.666666666666668,174
23.75,173
23.833333333333332,173
23.916666666666668,178
24,174
24.083333333333332,172
24.166666666666668,177
24.25,176
