"Hours since thread went live","Seiyuu Radio no Uraomote • The Many Sides of Voice Actor Radio - Episode 6 discussion"
0,2
0.08333333333333333,4
0.16666666666666666,6
0.25,7
0.3333333333333333,9
0.4166666666666667,10
0.5,13
0.5833333333333334,14
0.6666666666666666,18
0.75,21
0.8333333333333334,24
0.9166666666666666,25
1,24
1.0833333333333333,25
1.1666666666666667,28
1.25,31
1.3333333333333333,33
1.4166666666666667,39
1.5,38
1.5833333333333333,44
1.6666666666666667,47
1.75,49
1.8333333333333333,52
1.9166666666666667,53
2,57
2.0833333333333335,59
2.1666666666666665,60
2.25,62
2.3333333333333335,72
2.4166666666666665,73
2.5,77
2.5833333333333335,77
2.6666666666666665,79
2.75,81
2.8333333333333335,83
2.9166666666666665,87
3,88
3.0833333333333335,91
3.1666666666666665,94
3.25,95
3.3333333333333335,93
3.4166666666666665,97
3.5,99
3.5833333333333335,100
3.6666666666666665,98
3.75,100
3.8333333333333335,105
3.9166666666666665,105
4,114
4.083333333333333,111
4.166666666666667,120
4.25,117
4.333333333333333,121
4.416666666666667,125
4.5,124
4.583333333333333,127
4.666666666666667,127
4.75,131
4.833333333333333,134
4.916666666666667,134
5,135
5.083333333333333,141
5.166666666666667,142
5.25,147
5.333333333333333,148
5.416666666666667,151
5.5,148
5.583333333333333,153
5.666666666666667,156
5.75,158
5.833333333333333,161
5.916666666666667,163
6,164
6.083333333333333,165
6.166666666666667,170
6.25,175
6.333333333333333,174
6.416666666666667,177
6.5,177
6.583333333333333,183
6.666666666666667,184
6.75,184
6.833333333333333,185
6.916666666666667,186
7,188
7.083333333333333,197
7.166666666666667,199
7.25,196
7.333333333333333,197
7.416666666666667,199
7.5,198
7.583333333333333,204
7.666666666666667,205
7.75,204
7.833333333333333,202
7.916666666666667,209
8,210
8.083333333333334,210
8.166666666666666,209
8.25,208
8.333333333333334,209
8.416666666666666,213
8.5,214
8.583333333333334,219
8.666666666666666,220
8.75,221
8.833333333333334,224
8.916666666666666,224
9,230
9.083333333333334,225
9.166666666666666,228
9.25,234
9.333333333333334,236
9.416666666666666,236
9.5,238
9.583333333333334,237
9.666666666666666,238
9.75,245
9.833333333333334,245
9.916666666666666,244
10,255
10.083333333333334,252
10.166666666666666,259
10.25,255
10.333333333333334,260
10.416666666666666,260
10.5,260
10.583333333333334,262
10.666666666666666,263
10.75,262
10.833333333333334,265
10.916666666666666,266
11,263
11.083333333333334,268
11.166666666666666,266
11.25,269
11.333333333333334,270
11.416666666666666,267
11.5,272
11.583333333333334,275
11.666666666666666,272
11.75,271
11.833333333333334,276
11.916666666666666,278
12,276
12.083333333333334,275
12.166666666666666,278
12.25,278
12.333333333333334,277
12.416666666666666,282
12.5,283
12.583333333333334,286
12.666666666666666,286
12.75,288
12.833333333333334,291
12.916666666666666,291
13,291
13.083333333333334,292
13.166666666666666,294
13.25,292
13.333333333333334,296
13.416666666666666,295
13.5,302
13.583333333333334,299
13.666666666666666,302
13.75,301
13.833333333333334,301
13.916666666666666,301
14,303
14.083333333333334,302
14.166666666666666,305
14.25,304
14.333333333333334,305
14.416666666666666,309
14.5,311
14.583333333333334,308
14.666666666666666,310
14.75,313
14.833333333333334,312
14.916666666666666,314
15,316
15.083333333333334,318
15.166666666666666,316
15.25,318
15.333333333333334,315
15.416666666666666,319
15.5,318
15.583333333333334,320
15.666666666666666,320
15.75,317
15.833333333333334,325
15.916666666666666,319
16,322
16.083333333333332,320
16.166666666666668,326
16.25,325
16.333333333333332,331
16.416666666666668,332
16.5,332
16.583333333333332,323
16.666666666666668,328
16.75,334
16.833333333333332,334
16.916666666666668,333
17,337
17.083333333333332,331
17.166666666666668,333
17.25,336
17.333333333333332,336
17.416666666666668,341
17.5,340
17.583333333333332,340
17.666666666666668,347
17.75,344
17.833333333333332,350
17.916666666666668,349
18,348
18.083333333333332,347
18.166666666666668,347
18.25,350
18.333333333333332,350
18.416666666666668,353
18.5,350
18.583333333333332,347
18.666666666666668,357
18.75,356
18.833333333333332,361
18.916666666666668,356
19,358
19.083333333333332,354
19.166666666666668,362
19.25,361
19.333333333333332,352
19.416666666666668,351
19.5,356
19.583333333333332,358
19.666666666666668,352
19.75,357
19.833333333333332,359
19.916666666666668,361
20,361
20.083333333333332,361
20.166666666666668,361
20.25,362
20.333333333333332,361
20.416666666666668,361
20.5,365
20.583333333333332,361
20.666666666666668,368
20.75,361
20.833333333333332,362
20.916666666666668,365
21,362
21.083333333333332,368
21.166666666666668,367
21.25,362
21.333333333333332,369
21.416666666666668,368
21.5,361
21.583333333333332,360
21.666666666666668,360
21.75,365
21.833333333333332,366
21.916666666666668,371
22,371
22.083333333333332,370
22.166666666666668,365
22.25,370
22.333333333333332,368
22.416666666666668,371
22.5,368
22.583333333333332,367
22.666666666666668,368
22.75,366
22.833333333333332,375
22.916666666666668,368
23,371
23.083333333333332,370
23.166666666666668,367
23.25,370
23.333333333333332,371
23.416666666666668,367
23.5,370
23.583333333333332,367
23.666666666666668,378
23.75,369
23.833333333333332,374
23.916666666666668,375
24,374
24.083333333333332,373
24.166666666666668,379
24.25,376
24.333333333333332,378
24.416666666666668,376
24.5,378
24.583333333333332,377
24.666666666666668,375
24.75,378
24.833333333333332,382
24.916666666666668,377
25,380
25.083333333333332,380
25.166666666666668,382
25.25,377
25.333333333333332,377
25.416666666666668,376
25.5,383
25.583333333333332,384
25.666666666666668,380
25.75,380
25.833333333333332,384
25.916666666666668,376
26,380
26.083333333333332,375
26.166666666666668,374
26.25,375
26.333333333333332,384
26.416666666666668,376
26.5,378
26.583333333333332,376
26.666666666666668,375
26.75,379
26.833333333333332,376
26.916666666666668,383
27,383
27.083333333333332,378
27.166666666666668,384
27.25,381
27.333333333333332,385
27.416666666666668,381
27.5,382
27.583333333333332,378
27.666666666666668,380
27.75,389
27.833333333333332,382
27.916666666666668,378
28,386
28.083333333333332,384
28.166666666666668,379
28.25,386
28.333333333333332,388
28.416666666666668,383
28.5,386
28.583333333333332,383
28.666666666666668,383
28.75,389
28.833333333333332,390
28.916666666666668,383
29,382
29.083333333333332,385
29.166666666666668,387
29.25,385
29.333333333333332,385
29.416666666666668,387
29.5,384
29.583333333333332,390
29.666666666666668,391
29.75,389
29.833333333333332,387
29.916666666666668,387
30,387
30.083333333333332,388
30.166666666666668,386
30.25,384
30.333333333333332,390
30.416666666666668,383
30.5,386
30.583333333333332,389
30.666666666666668,387
30.75,389
30.833333333333332,383
30.916666666666668,385
31,382
31.083333333333332,381
31.166666666666668,387
31.25,388
31.333333333333332,388
31.416666666666668,386
31.5,382
31.583333333333332,386
31.666666666666668,379
31.75,384
31.833333333333332,383
31.916666666666668,383
32,382
32.083333333333336,381
32.166666666666664,390
32.25,385
32.333333333333336,379
32.416666666666664,382
32.5,389
32.583333333333336,391
32.666666666666664,383
32.75,383
32.833333333333336,383
32.916666666666664,392
33,387
33.083333333333336,390
33.166666666666664,385
33.25,391
33.333333333333336,390
33.416666666666664,389
33.5,389
33.583333333333336,394
33.666666666666664,393
33.75,391
33.833333333333336,385
33.916666666666664,389
34,388
34.083333333333336,390
34.166666666666664,390
34.25,389
34.333333333333336,391
34.416666666666664,387
34.5,393
34.583333333333336,383
34.666666666666664,394
34.75,393
34.833333333333336,388
34.916666666666664,387
35,391
35.083333333333336,389
35.166666666666664,390
35.25,389
35.333333333333336,389
35.416666666666664,395
35.5,392
35.583333333333336,389
35.666666666666664,384
35.75,389
35.833333333333336,392
35.916666666666664,386
36,392
36.083333333333336,392
36.166666666666664,390
36.25,391
36.333333333333336,395
36.416666666666664,387
36.5,389
36.583333333333336,395
36.666666666666664,392
36.75,390
36.833333333333336,393
36.916666666666664,388
37,395
37.083333333333336,393
37.166666666666664,396
37.25,392
37.333333333333336,393
37.416666666666664,389
37.5,392
37.583333333333336,394
37.666666666666664,393
37.75,391
37.833333333333336,397
37.916666666666664,391
38,395
38.083333333333336,391
38.166666666666664,388
38.25,396
38.333333333333336,388
38.416666666666664,393
38.5,389
38.583333333333336,389
38.666666666666664,389
38.75,388
38.833333333333336,394
38.916666666666664,391
39,395
39.083333333333336,393
39.166666666666664,397
39.25,391
39.333333333333336,391
39.416666666666664,394
39.5,398
39.583333333333336,395
39.666666666666664,396
39.75,394
39.833333333333336,391
39.916666666666664,394
40,390
40.083333333333336,395
40.166666666666664,401
40.25,398
40.333333333333336,393
40.416666666666664,398
40.5,389
40.583333333333336,390
40.666666666666664,396
40.75,396
40.833333333333336,395
40.916666666666664,396
41,397
41.083333333333336,393
41.166666666666664,396
41.25,395
41.333333333333336,393
41.416666666666664,394
41.5,392
41.583333333333336,397
41.666666666666664,397
41.75,393
41.833333333333336,391
41.916666666666664,393
42,388
42.083333333333336,392
42.166666666666664,393
42.25,397
42.333333333333336,396
42.416666666666664,393
42.5,400
42.583333333333336,396
42.666666666666664,398
42.75,391
42.833333333333336,394
42.916666666666664,398
43,394
43.083333333333336,392
43.166666666666664,396
43.25,395
43.333333333333336,392
