"Hours since thread went live","Date A Live V - Episode 6 discussion"
0,1
0,2
0.08333333333333333,4
0.16666666666666666,7
0.25,8
0.3333333333333333,9
0.4166666666666667,8
0.5,14
0.5833333333333334,16
0.6666666666666666,17
0.75,18
0.8333333333333334,20
0.9166666666666666,25
1,30
1.0833333333333333,32
1.1666666666666667,36
1.25,46
1.3333333333333333,49
1.4166666666666667,51
1.5,50
1.5833333333333333,58
1.6666666666666667,54
1.75,58
1.8333333333333333,63
1.9166666666666667,66
2,68
2.0833333333333335,74
2.1666666666666665,75
2.25,77
2.3333333333333335,74
2.4166666666666665,82
2.5,82
2.5833333333333335,84
2.6666666666666665,84
2.75,86
2.8333333333333335,91
2.9166666666666665,90
3,94
3.0833333333333335,96
3.1666666666666665,100
3.25,106
3.3333333333333335,107
3.4166666666666665,109
3.5,109
3.5833333333333335,113
3.6666666666666665,114
3.75,119
3.8333333333333335,118
3.9166666666666665,118
4,119
4.083333333333333,122
4.166666666666667,120
4.25,123
4.333333333333333,126
4.416666666666667,126
4.5,131
4.583333333333333,130
4.666666666666667,130
4.75,137
4.833333333333333,138
4.916666666666667,139
5,140
5.083333333333333,143
5.166666666666667,145
5.25,148
5.333333333333333,147
5.416666666666667,151
5.5,155
5.583333333333333,155
5.666666666666667,156
5.75,158
5.833333333333333,159
5.916666666666667,165
6,167
6.083333333333333,164
6.166666666666667,164
6.25,169
6.333333333333333,169
6.416666666666667,169
6.5,175
6.583333333333333,170
6.666666666666667,176
6.75,178
6.833333333333333,177
6.916666666666667,180
7,180
7.083333333333333,188
7.166666666666667,186
7.25,185
7.333333333333333,189
7.416666666666667,191
7.5,193
7.583333333333333,193
7.666666666666667,197
7.75,195
7.833333333333333,201
7.916666666666667,198
8,198
8.083333333333334,193
8.166666666666666,197
8.25,197
8.333333333333334,198
8.416666666666666,204
8.5,207
8.583333333333334,206
8.666666666666666,206
8.75,209
8.833333333333334,204
8.916666666666666,205
9,205
9.083333333333334,210
9.166666666666666,205
9.25,209
9.333333333333334,214
9.416666666666666,212
9.5,210
9.583333333333334,219
9.666666666666666,214
9.75,218
9.833333333333334,219
9.916666666666666,217
10,212
10.083333333333334,219
10.166666666666666,214
10.25,218
10.333333333333334,216
10.416666666666666,219
10.5,221
10.583333333333334,222
10.666666666666666,220
10.75,221
10.833333333333334,221
10.916666666666666,225
11,222
11.083333333333334,226
11.166666666666666,225
11.25,224
11.333333333333334,226
11.416666666666666,227
11.5,227
11.583333333333334,231
11.666666666666666,235
11.75,235
11.833333333333334,237
11.916666666666666,233
12,236
12.083333333333334,233
12.166666666666666,236
12.25,234
12.333333333333334,241
12.416666666666666,239
12.5,241
12.583333333333334,235
12.666666666666666,238
12.75,243
12.833333333333334,249
12.916666666666666,245
13,247
13.083333333333334,244
13.166666666666666,249
13.25,248
13.333333333333334,247
13.416666666666666,249
13.5,247
13.583333333333334,248
13.666666666666666,254
13.75,256
13.833333333333334,256
13.916666666666666,257
14,256
14.083333333333334,256
14.166666666666666,258
14.25,261
14.333333333333334,258
14.416666666666666,257
14.5,258
14.583333333333334,263
14.666666666666666,262
14.75,263
14.833333333333334,263
14.916666666666666,268
15,269
15.083333333333334,269
15.166666666666666,265
15.25,269
15.333333333333334,264
15.416666666666666,270
15.5,265
15.583333333333334,262
15.666666666666666,268
15.75,269
15.833333333333334,267
15.916666666666666,265
16,268
16.083333333333332,265
16.166666666666668,271
16.25,265
16.333333333333332,273
16.416666666666668,271
16.5,269
16.583333333333332,269
16.666666666666668,267
16.75,271
16.833333333333332,273
16.916666666666668,272
17,272
17.083333333333332,276
17.166666666666668,278
17.25,276
17.333333333333332,277
17.416666666666668,281
17.5,283
17.583333333333332,282
17.666666666666668,281
17.75,279
17.833333333333332,281
17.916666666666668,284
18,280
18.083333333333332,281
18.166666666666668,282
18.25,282
18.333333333333332,283
18.416666666666668,284
18.5,282
18.583333333333332,284
18.666666666666668,278
18.75,280
18.833333333333332,286
18.916666666666668,280
19,283
19.083333333333332,281
19.166666666666668,285
19.25,285
19.333333333333332,285
19.416666666666668,287
19.5,284
19.583333333333332,284
19.666666666666668,283
19.75,285
19.833333333333332,286
19.916666666666668,291
20,289
20.083333333333332,288
20.166666666666668,286
20.25,291
20.333333333333332,292
20.416666666666668,293
20.5,295
20.583333333333332,292
20.666666666666668,293
20.75,290
20.833333333333332,294
20.916666666666668,297
21,292
21.083333333333332,294
21.166666666666668,296
21.25,293
21.333333333333332,293
21.416666666666668,298
21.5,295
21.583333333333332,298
21.666666666666668,296
21.75,299
21.833333333333332,299
21.916666666666668,305
22,302
22.083333333333332,296
22.166666666666668,301
22.25,300
22.333333333333332,300
22.416666666666668,308
22.5,302
22.583333333333332,299
22.666666666666668,300
22.75,300
22.833333333333332,303
22.916666666666668,305
23,306
23.083333333333332,305
23.166666666666668,299
23.25,300
23.333333333333332,303
23.416666666666668,298
23.5,296
23.583333333333332,302
23.666666666666668,299
23.75,301
23.833333333333332,307
23.916666666666668,301
24,302
24.083333333333332,300
24.166666666666668,298
24.25,302
24.333333333333332,302
24.416666666666668,303
24.5,306
24.583333333333332,303
24.666666666666668,300
24.75,307
24.833333333333332,311
24.916666666666668,299
25,304
25.083333333333332,300
25.166666666666668,307
25.25,306
25.333333333333332,307
25.416666666666668,305
25.5,307
25.583333333333332,304
25.666666666666668,311
25.75,302
25.833333333333332,310
25.916666666666668,310
26,307
26.083333333333332,304
26.166666666666668,305
26.25,304
26.333333333333332,309
26.416666666666668,303
26.5,302
26.583333333333332,308
26.666666666666668,305
26.75,306
26.833333333333332,304
26.916666666666668,305
27,302
27.083333333333332,308
27.166666666666668,310
27.25,302
27.333333333333332,307
27.416666666666668,305
27.5,305
27.583333333333332,309
27.666666666666668,308
27.75,307
27.833333333333332,306
27.916666666666668,308
28,301
28.083333333333332,309
28.166666666666668,309
28.25,309
28.333333333333332,302
28.416666666666668,303
28.5,309
28.583333333333332,306
28.666666666666668,310
28.75,304
28.833333333333332,308
28.916666666666668,308
29,304
29.083333333333332,313
29.166666666666668,304
29.25,305
29.333333333333332,308
29.416666666666668,311
29.5,307
29.583333333333332,309
29.666666666666668,312
29.75,309
29.833333333333332,310
29.916666666666668,304
30,309
30.083333333333332,313
30.166666666666668,311
30.25,307
30.333333333333332,305
30.416666666666668,308
30.5,311
30.583333333333332,311
30.666666666666668,316
30.75,310
30.833333333333332,315
30.916666666666668,308
31,313
31.083333333333332,305
31.166666666666668,308
31.25,313
31.333333333333332,309
31.416666666666668,313
31.5,318
31.583333333333332,318
31.666666666666668,314
31.75,312
31.833333333333332,314
31.916666666666668,315
32,313
32.083333333333336,312
32.166666666666664,317
32.25,315
32.333333333333336,312
32.416666666666664,314
32.5,310
32.583333333333336,313
32.666666666666664,314
32.75,314
32.833333333333336,314
32.916666666666664,317
33,308
33.083333333333336,309
33.166666666666664,318
33.25,313
33.333333333333336,313
33.416666666666664,315
33.5,312
33.583333333333336,312
33.666666666666664,313
