"Hours since thread went live","Wind Breaker - Episode 7 discussion"
0,3
0.08333333333333333,3
0.16666666666666666,3
0.25,7
0.3333333333333333,8
0.4166666666666667,10
0.5,14
0.5833333333333334,18
0.6666666666666666,20
0.75,27
0.8333333333333334,30
0.9166666666666666,33
1,41
1.0833333333333333,45
1.1666666666666667,52
1.25,60
1.3333333333333333,69
1.4166666666666667,75
1.5,88
1.5833333333333333,90
1.6666666666666667,106
1.75,112
1.8333333333333333,116
1.9166666666666667,122
2,130
2.0833333333333335,135
2.1666666666666665,138
2.25,145
2.3333333333333335,153
2.4166666666666665,156
2.5,170
2.5833333333333335,183
2.6666666666666665,185
2.75,192
2.8333333333333335,199
2.9166666666666665,202
3,207
3.0833333333333335,214
3.1666666666666665,221
3.25,227
3.3333333333333335,235
3.4166666666666665,240
3.5,242
3.5833333333333335,248
3.6666666666666665,251
3.75,255
3.8333333333333335,263
3.9166666666666665,266
4,271
4.083333333333333,275
4.166666666666667,276
4.25,278
4.333333333333333,286
4.416666666666667,291
4.5,291
4.583333333333333,293
4.666666666666667,299
4.75,305
4.833333333333333,313
4.916666666666667,311
5,322
5.083333333333333,325
5.166666666666667,329
5.25,329
5.333333333333333,335
5.416666666666667,333
5.5,343
5.583333333333333,345
5.666666666666667,349
5.75,359
5.833333333333333,362
5.916666666666667,359
6,365
6.083333333333333,365
6.166666666666667,377
6.25,374
6.333333333333333,378
6.416666666666667,383
6.5,387
6.583333333333333,384
6.666666666666667,385
6.75,386
6.833333333333333,393
6.916666666666667,397
7,398
7.083333333333333,403
7.166666666666667,409
7.25,412
7.333333333333333,414
7.416666666666667,419
7.5,425
7.583333333333333,430
7.666666666666667,430
7.75,434
7.833333333333333,436
7.916666666666667,443
8,442
8.083333333333334,446
8.166666666666666,454
8.25,449
8.333333333333334,449
8.416666666666666,458
8.5,458
8.583333333333334,461
8.666666666666666,466
8.75,459
8.833333333333334,465
8.916666666666666,469
9,476
9.083333333333334,470
9.166666666666666,474
9.25,484
9.333333333333334,484
9.416666666666666,483
9.5,487
9.583333333333334,494
9.666666666666666,492
9.75,494
9.833333333333334,492
9.916666666666666,496
10,500
10.083333333333334,511
10.166666666666666,509
10.25,509
10.333333333333334,518
10.416666666666666,520
10.5,519
10.583333333333334,517
10.666666666666666,525
10.75,525
10.833333333333334,522
10.916666666666666,526
11,528
11.083333333333334,526
11.166666666666666,527
11.25,532
11.333333333333334,537
11.416666666666666,547
11.5,544
11.583333333333334,547
11.666666666666666,550
11.75,554
11.833333333333334,554
11.916666666666666,553
12,559
12.083333333333334,554
12.166666666666666,556
12.25,554
12.333333333333334,556
12.416666666666666,559
12.5,558
12.583333333333334,566
12.666666666666666,571
12.75,572
12.833333333333334,568
12.916666666666666,575
13,576
13.083333333333334,579
13.166666666666666,584
13.25,579
13.333333333333334,584
13.416666666666666,587
13.5,587
13.583333333333334,590
13.666666666666666,594
13.75,596
13.833333333333334,601
13.916666666666666,592
14,594
14.083333333333334,600
14.166666666666666,605
14.25,604
14.333333333333334,612
14.416666666666666,605
14.5,610
14.583333333333334,607
14.666666666666666,612
14.75,615
14.833333333333334,610
14.916666666666666,615
15,617
15.083333333333334,615
15.166666666666666,620
15.25,617
15.333333333333334,624
15.416666666666666,629
15.5,627
15.583333333333334,623
15.666666666666666,629
15.75,627
15.833333333333334,629
15.916666666666666,630
16,629
16.083333333333332,634
16.166666666666668,632
16.25,627
16.333333333333332,627
16.416666666666668,637
16.5,639
16.583333333333332,636
16.666666666666668,639
16.75,633
16.833333333333332,641
16.916666666666668,650
17,643
17.083333333333332,646
17.166666666666668,648
17.25,646
17.333333333333332,655
17.416666666666668,653
17.5,658
17.583333333333332,652
17.666666666666668,658
17.75,659
17.833333333333332,658
17.916666666666668,661
18,658
18.083333333333332,661
18.166666666666668,660
18.25,662
18.333333333333332,665
18.416666666666668,661
18.5,661
18.583333333333332,667
18.666666666666668,662
18.75,669
18.833333333333332,667
18.916666666666668,664
19,672
19.083333333333332,677
19.166666666666668,678
19.25,681
19.333333333333332,681
19.416666666666668,676
19.5,681
19.583333333333332,688
19.666666666666668,684
19.75,682
19.833333333333332,689
19.916666666666668,686
20,691
20.083333333333332,694
20.166666666666668,690
20.25,689
20.333333333333332,689
20.416666666666668,691
20.5,689
20.583333333333332,697
20.666666666666668,696
20.75,696
20.833333333333332,692
20.916666666666668,694
21,694
21.083333333333332,696
21.166666666666668,700
21.25,707
21.333333333333332,711
21.416666666666668,706
21.5,712
21.583333333333332,709
21.666666666666668,710
21.75,714
21.833333333333332,712
21.916666666666668,711
22,715
22.083333333333332,716
22.166666666666668,719
22.25,720
22.333333333333332,718
22.416666666666668,723
22.5,721
22.583333333333332,718
22.666666666666668,721
22.75,722
22.833333333333332,717
22.916666666666668,728
23,724
23.083333333333332,727
23.166666666666668,727
23.25,729
23.333333333333332,730
23.416666666666668,734
23.5,730
23.583333333333332,729
23.666666666666668,727
23.75,737
23.833333333333332,737
23.916666666666668,730
24,740
24.083333333333332,739
24.166666666666668,741
24.25,736
24.333333333333332,736
24.416666666666668,743
24.5,745
24.583333333333332,744
24.666666666666668,743
24.75,750
24.833333333333332,745
24.916666666666668,749
25,751
25.083333333333332,748
25.166666666666668,748
25.25,753
25.333333333333332,752
25.416666666666668,753
25.5,756
25.583333333333332,748
25.666666666666668,754
25.75,756
25.833333333333332,751
25.916666666666668,758
26,759
26.083333333333332,761
26.166666666666668,755
26.25,755
26.333333333333332,764
26.416666666666668,765
26.5,757
26.583333333333332,764
26.666666666666668,766
26.75,767
26.833333333333332,770
26.916666666666668,766
27,767
27.083333333333332,766
27.166666666666668,773
27.25,764
27.333333333333332,774
27.416666666666668,776
27.5,775
27.583333333333332,772
27.666666666666668,770
27.75,774
27.833333333333332,775
27.916666666666668,779
28,776
28.083333333333332,777
28.166666666666668,777
28.25,775
28.333333333333332,782
28.416666666666668,777
28.5,775
28.583333333333332,779
28.666666666666668,785
28.75,781
28.833333333333332,788
28.916666666666668,787
29,787
29.083333333333332,787
29.166666666666668,784
29.25,791
29.333333333333332,791
29.416666666666668,790
29.5,786
29.583333333333332,789
29.666666666666668,788
29.75,787
29.833333333333332,790
29.916666666666668,795
30,796
30.083333333333332,794
30.166666666666668,798
30.25,794
30.333333333333332,795
30.416666666666668,799
30.5,795
30.583333333333332,798
30.666666666666668,801
30.75,793
30.833333333333332,800
30.916666666666668,799
31,799
31.083333333333332,800
31.166666666666668,798
31.25,803
31.333333333333332,798
31.416666666666668,797
31.5,805
31.583333333333332,802
31.666666666666668,798
31.75,806
31.833333333333332,803
31.916666666666668,803
32,811
32.083333333333336,805
32.166666666666664,805
32.25,808
32.333333333333336,808
32.416666666666664,807
32.5,809
32.583333333333336,809
32.666666666666664,811
32.75,815
32.833333333333336,814
32.916666666666664,809
33,809
33.083333333333336,816
33.166666666666664,818
33.25,813
33.333333333333336,816
33.416666666666664,812
33.5,816
33.583333333333336,818
33.666666666666664,815
33.75,813
33.833333333333336,812
33.916666666666664,816
34,818
34.083333333333336,814
34.166666666666664,822
34.25,816
34.333333333333336,820
34.416666666666664,817
34.5,816
34.583333333333336,821
34.666666666666664,816
34.75,823
34.833333333333336,822
34.916666666666664,821
35,823
35.083333333333336,824
35.166666666666664,826
35.25,820
35.333333333333336,825
35.416666666666664,827
35.5,828
35.583333333333336,827
35.666666666666664,825
35.75,825
35.833333333333336,824
35.916666666666664,828
36,821
36.083333333333336,828
36.166666666666664,826
36.25,830
36.333333333333336,825
36.416666666666664,830
36.5,828
36.583333333333336,827
36.666666666666664,834
36.75,835
36.833333333333336,833
36.916666666666664,833
37,833
37.083333333333336,828
37.166666666666664,828
37.25,836
37.333333333333336,832
37.416666666666664,837
37.5,832
37.583333333333336,827
37.666666666666664,834
37.75,830
37.833333333333336,834
37.916666666666664,832
38,832
38.083333333333336,831
38.166666666666664,828
38.25,833
38.333333333333336,827
38.416666666666664,831
38.5,833
38.583333333333336,831
38.666666666666664,829
38.75,833
38.833333333333336,832
38.916666666666664,828
39,830
39.083333333333336,836
39.166666666666664,830
39.25,828
39.333333333333336,835
39.416666666666664,829
39.5,833
39.583333333333336,837
39.666666666666664,831
39.75,833
39.833333333333336,837
39.916666666666664,838
40,839
40.083333333333336,844
40.166666666666664,839
40.25,841
40.333333333333336,842
40.416666666666664,836
40.5,842
40.583333333333336,839
40.666666666666664,838
40.75,839
40.833333333333336,845
40.916666666666664,841
41,840
41.083333333333336,840
41.166666666666664,839
41.25,841
41.333333333333336,844
41.416666666666664,836
41.5,847
41.583333333333336,846
41.666666666666664,841
41.75,846
41.833333333333336,843
41.916666666666664,841
42,847
42.083333333333336,839
42.166666666666664,846
42.25,843
42.333333333333336,841
42.416666666666664,848
42.5,843
42.583333333333336,848
42.666666666666664,848
42.75,843
42.833333333333336,846
42.916666666666664,841
43,840
43.083333333333336,844
43.166666666666664,840
43.25,844
43.333333333333336,847
43.416666666666664,844
43.5,844
43.583333333333336,844
43.666666666666664,847
43.75,849
43.833333333333336,846
43.916666666666664,845
44,845
44.083333333333336,845
44.166666666666664,842
44.25,844
44.333333333333336,847
44.416666666666664,850
44.5,847
44.583333333333336,850
44.666666666666664,849
44.75,846
44.833333333333336,851
44.916666666666664,851
45,852
45.083333333333336,852
45.166666666666664,845
45.25,852
45.333333333333336,850
45.416666666666664,850
45.5,854
45.583333333333336,849
45.666666666666664,853
45.75,849
45.833333333333336,852
45.916666666666664,847
46,848
46.083333333333336,846
46.166666666666664,854
46.25,855
46.333333333333336,850
46.416666666666664,849
46.5,851
46.583333333333336,858
46.666666666666664,854
46.75,858
46.833333333333336,848
46.916666666666664,849
47,860
47.083333333333336,855
47.166666666666664,857
47.25,856
47.333333333333336,855
47.416666666666664,851
47.5,858
47.583333333333336,851
47.666666666666664,855
47.75,853
47.833333333333336,852
47.916666666666664,854
