"Hours since thread went live","Nijiyon Animation Season 2 - Episode 7 discussion"
0,2
0,2
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,4
0.5833333333333334,5
0.6666666666666666,5
0.75,5
0.8333333333333334,5
0.9166666666666666,5
1,5
1.0833333333333333,5
1.1666666666666667,5
1.25,5
1.3333333333333333,5
1.4166666666666667,5
1.5,8
1.5833333333333333,9
1.6666666666666667,8
1.75,8
1.8333333333333333,7
1.9166666666666667,8
2,11
2.0833333333333335,11
2.1666666666666665,13
2.25,13
2.3333333333333335,12
2.4166666666666665,12
2.5,12
2.5833333333333335,14
2.6666666666666665,14
2.75,14
2.8333333333333335,15
2.9166666666666665,15
3,15
3.0833333333333335,15
3.1666666666666665,15
3.25,13
3.3333333333333335,14
3.4166666666666665,13
3.5,17
3.5833333333333335,14
3.6666666666666665,16
3.75,17
3.8333333333333335,17
3.9166666666666665,17
4,17
4.083333333333333,17
4.166666666666667,17
4.25,18
4.333333333333333,15
4.416666666666667,17
4.5,18
4.583333333333333,19
4.666666666666667,16
4.75,16
4.833333333333333,17
4.916666666666667,18
5,16
5.083333333333333,19
5.166666666666667,19
5.25,22
5.333333333333333,19
5.416666666666667,20
5.5,22
5.583333333333333,20
5.666666666666667,23
5.75,23
5.833333333333333,22
5.916666666666667,23
6,22
6.083333333333333,23
6.166666666666667,23
6.25,22
6.333333333333333,23
6.416666666666667,21
6.5,22
6.583333333333333,23
6.666666666666667,22
6.75,24
6.833333333333333,23
6.916666666666667,22
7,23
7.083333333333333,22
7.166666666666667,24
7.25,23
7.333333333333333,25
7.416666666666667,24
7.5,25
7.583333333333333,22
7.666666666666667,24
7.75,23
7.833333333333333,25
7.916666666666667,27
8,26
8.083333333333334,25
8.166666666666666,26
8.25,24
8.333333333333334,26
8.416666666666666,26
8.5,24
8.583333333333334,24
8.666666666666666,25
8.75,24
8.833333333333334,26
8.916666666666666,25
9,26
9.083333333333334,24
9.166666666666666,26
9.25,27
9.333333333333334,27
9.416666666666666,27
9.5,25
9.583333333333334,26
9.666666666666666,27
9.75,27
9.833333333333334,26
9.916666666666666,27
10,27
10.083333333333334,26
10.166666666666666,26
10.25,24
10.333333333333334,24
10.416666666666666,28
10.5,24
10.583333333333334,27
10.666666666666666,27
10.75,28
10.833333333333334,27
10.916666666666666,27
11,26
11.083333333333334,25
11.166666666666666,26
11.25,26
11.333333333333334,25
11.416666666666666,25
11.5,26
11.583333333333334,27
11.666666666666666,27
11.75,27
11.833333333333334,29
11.916666666666666,27
12,26
12.083333333333334,28
12.166666666666666,29
12.25,28
12.333333333333334,28
12.416666666666666,28
12.5,28
12.583333333333334,26
12.666666666666666,26
12.75,28
12.833333333333334,29
12.916666666666666,29
13,29
13.083333333333334,27
13.166666666666666,26
13.25,26
13.333333333333334,26
13.416666666666666,28
13.5,27
13.583333333333334,27
13.666666666666666,29
13.75,28
13.833333333333334,30
13.916666666666666,27
14,27
14.083333333333334,27
14.166666666666666,27
14.25,28
14.333333333333334,29
14.416666666666666,29
14.5,28
14.583333333333334,31
14.666666666666666,30
14.75,29
14.833333333333334,30
14.916666666666666,31
15,32
15.083333333333334,31
15.166666666666666,30
15.25,32
15.333333333333334,32
15.416666666666666,33
15.5,33
15.583333333333334,30
15.666666666666666,31
15.75,30
15.833333333333334,31
15.916666666666666,33
16,34
16.083333333333332,30
16.166666666666668,29
16.25,34
16.333333333333332,33
16.416666666666668,27
16.5,31
16.583333333333332,32
16.666666666666668,34
16.75,34
16.833333333333332,28
16.916666666666668,32
17,28
17.083333333333332,31
17.166666666666668,32
17.25,31
17.333333333333332,30
