"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 7 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,5
0.4166666666666667,10
0.5,15
0.5833333333333334,19
0.6666666666666666,21
0.75,23
0.8333333333333334,25
0.9166666666666666,31
1,34
1.0833333333333333,41
1.1666666666666667,45
1.25,53
1.3333333333333333,55
1.4166666666666667,56
1.5,58
1.5833333333333333,61
1.6666666666666667,62
1.75,62
1.8333333333333333,68
1.9166666666666667,69
2,76
2.0833333333333335,79
2.1666666666666665,83
2.25,89
2.3333333333333335,93
2.4166666666666665,100
2.5,103
2.5833333333333335,107
2.6666666666666665,109
2.75,114
2.8333333333333335,117
2.9166666666666665,125
3,123
3.0833333333333335,129
3.1666666666666665,129
3.25,132
3.3333333333333335,132
3.4166666666666665,135
3.5,138
3.5833333333333335,137
3.6666666666666665,140
3.75,144
3.8333333333333335,148
3.9166666666666665,147
4,152
4.083333333333333,154
4.166666666666667,155
4.25,156
4.333333333333333,164
4.416666666666667,169
4.5,176
4.583333333333333,173
4.666666666666667,175
4.75,179
4.833333333333333,176
4.916666666666667,186
5,185
5.083333333333333,192
5.166666666666667,190
5.25,190
5.333333333333333,192
5.416666666666667,191
5.5,192
5.583333333333333,196
5.666666666666667,193
5.75,200
5.833333333333333,201
5.916666666666667,200
6,203
6.083333333333333,200
6.166666666666667,207
6.25,211
6.333333333333333,209
6.416666666666667,211
6.5,212
6.583333333333333,218
6.666666666666667,217
6.75,220
6.833333333333333,228
6.916666666666667,231
7,230
7.083333333333333,228
7.166666666666667,234
7.25,235
7.333333333333333,239
7.416666666666667,242
7.5,239
7.583333333333333,245
7.666666666666667,241
7.75,250
7.833333333333333,253
7.916666666666667,253
8,255
8.083333333333334,255
8.166666666666666,254
8.25,259
8.333333333333334,266
8.416666666666666,266
8.5,263
8.583333333333334,268
8.666666666666666,265
8.75,267
8.833333333333334,275
8.916666666666666,277
9,279
9.083333333333334,283
9.166666666666666,286
9.25,291
9.333333333333334,294
9.416666666666666,293
9.5,291
9.583333333333334,294
9.666666666666666,297
9.75,299
9.833333333333334,298
9.916666666666666,299
10,306
10.083333333333334,298
10.166666666666666,301
10.25,311
10.333333333333334,304
10.416666666666666,313
10.5,316
10.583333333333334,307
10.666666666666666,315
10.75,311
10.833333333333334,316
10.916666666666666,321
11,320
11.083333333333334,323
11.166666666666666,322
11.25,321
11.333333333333334,326
11.416666666666666,323
11.5,324
11.583333333333334,325
11.666666666666666,328
11.75,323
11.833333333333334,325
11.916666666666666,324
12,331
12.083333333333334,334
12.166666666666666,332
12.25,333
12.333333333333334,337
12.416666666666666,333
12.5,335
12.583333333333334,340
12.666666666666666,336
12.75,339
12.833333333333334,346
12.916666666666666,347
13,348
13.083333333333334,347
13.166666666666666,343
13.25,348
13.333333333333334,348
13.416666666666666,350
13.5,350
13.583333333333334,356
13.666666666666666,347
13.75,346
13.833333333333334,348
13.916666666666666,353
14,354
14.083333333333334,355
14.166666666666666,355
14.25,348
14.333333333333334,348
14.416666666666666,351
14.5,352
14.583333333333334,355
14.666666666666666,355
14.75,360
14.833333333333334,354
14.916666666666666,360
15,361
15.083333333333334,362
15.166666666666666,358
15.25,365
15.333333333333334,362
15.416666666666666,366
15.5,364
15.583333333333334,363
15.666666666666666,364
15.75,365
15.833333333333334,367
15.916666666666666,363
16,363
16.083333333333332,363
16.166666666666668,363
16.25,369
16.333333333333332,371
16.416666666666668,372
16.5,373
16.583333333333332,373
16.666666666666668,371
16.75,377
16.833333333333332,375
16.916666666666668,381
17,375
17.083333333333332,376
17.166666666666668,379
17.25,381
17.333333333333332,382
17.416666666666668,386
17.5,384
17.583333333333332,385
17.666666666666668,387
17.75,386
17.833333333333332,385
17.916666666666668,386
18,382
18.083333333333332,384
18.166666666666668,384
18.25,384
18.333333333333332,388
18.416666666666668,384
18.5,386
18.583333333333332,388
18.666666666666668,393
18.75,389
18.833333333333332,390
18.916666666666668,388
19,389
19.083333333333332,387
19.166666666666668,393
19.25,389
19.333333333333332,387
19.416666666666668,388
19.5,392
19.583333333333332,397
19.666666666666668,397
19.75,401
19.833333333333332,397
19.916666666666668,406
20,406
20.083333333333332,404
20.166666666666668,403
20.25,404
20.333333333333332,409
20.416666666666668,407
20.5,400
20.583333333333332,407
20.666666666666668,403
20.75,405
20.833333333333332,401
20.916666666666668,403
21,407
21.083333333333332,407
21.166666666666668,404
21.25,404
21.333333333333332,409
21.416666666666668,408
21.5,407
21.583333333333332,407
