"Hours since thread went live","Kaijuu 8-gou • Kaiju No. 8 - Episode 6 discussion"
0,1
0,4
0.08333333333333333,15
0.16666666666666666,18
0.25,28
0.3333333333333333,41
0.4166666666666667,51
0.5,68
0.5833333333333334,83
0.6666666666666666,94
0.75,104
0.8333333333333334,117
0.9166666666666666,136
1,156
1.0833333333333333,182
1.1666666666666667,197
1.25,217
1.3333333333333333,231
1.4166666666666667,252
1.5,272
1.5833333333333333,289
1.6666666666666667,305
1.75,325
1.8333333333333333,337
1.9166666666666667,351
2,366
2.0833333333333335,390
2.1666666666666665,407
2.25,421
2.3333333333333335,442
2.4166666666666665,461
2.5,481
2.5833333333333335,502
2.6666666666666665,513
2.75,530
2.8333333333333335,551
2.9166666666666665,567
3,572
3.0833333333333335,590
3.1666666666666665,599
3.25,620
3.3333333333333335,631
3.4166666666666665,652
3.5,662
3.5833333333333335,682
3.6666666666666665,698
3.75,713
3.8333333333333335,727
3.9166666666666665,736
4,756
4.083333333333333,765
4.166666666666667,780
4.25,789
4.333333333333333,806
4.416666666666667,827
4.5,833
4.583333333333333,841
4.666666666666667,860
4.75,864
4.833333333333333,876
4.916666666666667,886
5,887
5.083333333333333,904
5.166666666666667,905
5.25,919
5.333333333333333,933
5.416666666666667,941
5.5,948
5.583333333333333,961
5.666666666666667,972
5.75,981
5.833333333333333,986
5.916666666666667,1001
6,1008
6.083333333333333,1018
6.166666666666667,1022
6.25,1032
6.333333333333333,1043
6.416666666666667,1051
6.5,1060
6.583333333333333,1071
6.666666666666667,1084
6.75,1097
6.833333333333333,1105
6.916666666666667,1113
7,1119
7.083333333333333,1133
7.166666666666667,1136
7.25,1156
7.333333333333333,1162
7.416666666666667,1169
7.5,1180
7.583333333333333,1185
7.666666666666667,1195
7.75,1203
7.833333333333333,1210
7.916666666666667,1226
8,1226
8.083333333333334,1240
8.166666666666666,1247
8.25,1253
8.333333333333334,1254
8.416666666666666,1269
8.5,1274
8.583333333333334,1275
8.666666666666666,1281
8.75,1294
8.833333333333334,1292
8.916666666666666,1307
9,1311
9.083333333333334,1307
9.166666666666666,1315
9.25,1319
9.333333333333334,1330
9.416666666666666,1330
9.5,1339
9.583333333333334,1348
9.666666666666666,1354
9.75,1358
9.833333333333334,1362
9.916666666666666,1375
10,1382
10.083333333333334,1388
10.166666666666666,1398
10.25,1401
10.333333333333334,1397
10.416666666666666,1405
10.5,1411
10.583333333333334,1420
10.666666666666666,1432
10.75,1431
10.833333333333334,1438
10.916666666666666,1436
11,1446
11.083333333333334,1449
11.166666666666666,1456
11.25,1461
11.333333333333334,1463
11.416666666666666,1469
11.5,1471
11.583333333333334,1476
11.666666666666666,1482
11.75,1487
11.833333333333334,1489
11.916666666666666,1491
12,1497
12.083333333333334,1504
12.166666666666666,1511
12.25,1518
12.333333333333334,1515
12.416666666666666,1522
12.5,1525
12.583333333333334,1532
12.666666666666666,1531
12.75,1540
12.833333333333334,1539
12.916666666666666,1544
13,1546
13.083333333333334,1547
13.166666666666666,1558
13.25,1558
13.333333333333334,1563
13.416666666666666,1561
13.5,1567
13.583333333333334,1570
13.666666666666666,1569
13.75,1574
13.833333333333334,1588
13.916666666666666,1583
14,1587
14.083333333333334,1591
14.166666666666666,1599
14.25,1602
14.333333333333334,1606
14.416666666666666,1612
14.5,1614
14.583333333333334,1611
14.666666666666666,1621
14.75,1624
14.833333333333334,1622
14.916666666666666,1636
15,1631
15.083333333333334,1636
15.166666666666666,1640
15.25,1643
15.333333333333334,1642
15.416666666666666,1651
15.5,1652
15.583333333333334,1653
15.666666666666666,1651
15.75,1655
15.833333333333334,1656
15.916666666666666,1659
16,1657
16.083333333333332,1656
16.166666666666668,1667
16.25,1669
16.333333333333332,1669
16.416666666666668,1669
16.5,1675
16.583333333333332,1681
16.666666666666668,1674
16.75,1679
16.833333333333332,1688
16.916666666666668,1682
17,1687
17.083333333333332,1691
17.166666666666668,1688
17.25,1698
17.333333333333332,1698
17.416666666666668,1703
17.5,1705
17.583333333333332,1704
17.666666666666668,1713
17.75,1717
17.833333333333332,1713
17.916666666666668,1719
18,1719
18.083333333333332,1719
18.166666666666668,1723
18.25,1727
18.333333333333332,1727
18.416666666666668,1726
18.5,1733
18.583333333333332,1737
18.666666666666668,1735
18.75,1734
18.833333333333332,1742
18.916666666666668,1742
19,1748
19.083333333333332,1740
19.166666666666668,1745
19.25,1744
19.333333333333332,1745
19.416666666666668,1745
19.5,1750
19.583333333333332,1756
19.666666666666668,1758
19.75,1751
19.833333333333332,1757
19.916666666666668,1760
20,1758
20.083333333333332,1757
20.166666666666668,1765
20.25,1764
20.333333333333332,1764
20.416666666666668,1763
20.5,1775
20.583333333333332,1775
20.666666666666668,1769
20.75,1770
20.833333333333332,1771
20.916666666666668,1773
21,1775
21.083333333333332,1783
21.166666666666668,1779
21.25,1786
21.333333333333332,1781
21.416666666666668,1788
21.5,1785
