"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 7 discussion"
0,6
0.08333333333333333,22
0.16666666666666666,42
0.25,60
0.3333333333333333,81
0.4166666666666667,103
0.5,124
0.5833333333333334,140
0.6666666666666666,160
0.75,172
0.8333333333333334,194
0.9166666666666666,213
1,222
1.0833333333333333,233
1.1666666666666667,243
1.25,258
1.3333333333333333,272
1.4166666666666667,284
1.5,297
1.5833333333333333,311
1.6666666666666667,321
1.75,329
1.8333333333333333,343
1.9166666666666667,359
2,368
2.0833333333333335,391
2.1666666666666665,405
2.25,411
2.3333333333333335,425
2.4166666666666665,435
2.5,446
2.5833333333333335,460
2.6666666666666665,473
2.75,490
2.8333333333333335,493
2.9166666666666665,507
3,516
3.0833333333333335,528
3.1666666666666665,543
3.25,558
3.3333333333333335,562
3.4166666666666665,574
3.5,585
3.5833333333333335,591
3.6666666666666665,609
3.75,621
3.8333333333333335,626
3.9166666666666665,645
4,664
4.083333333333333,673
4.166666666666667,680
4.25,699
4.333333333333333,699
4.416666666666667,705
4.5,709
4.583333333333333,727
4.666666666666667,742
4.75,749
4.833333333333333,755
4.916666666666667,754
5,776
5.083333333333333,783
5.166666666666667,789
5.25,798
5.333333333333333,811
5.416666666666667,820
5.5,826
5.583333333333333,840
5.666666666666667,840
5.75,847
5.833333333333333,851
5.916666666666667,859
6,864
6.083333333333333,870
6.166666666666667,884
6.25,891
6.333333333333333,892
6.416666666666667,902
6.5,912
6.583333333333333,920
6.666666666666667,930
6.75,929
6.833333333333333,935
6.916666666666667,951
7,944
7.083333333333333,958
7.166666666666667,970
7.25,970
7.333333333333333,983
7.416666666666667,987
7.5,995
7.583333333333333,1001
7.666666666666667,1007
7.75,1019
7.833333333333333,1022
7.916666666666667,1028
8,1036
8.083333333333334,1038
8.166666666666666,1053
8.25,1057
8.333333333333334,1053
8.416666666666666,1060
8.5,1062
8.583333333333334,1072
8.666666666666666,1070
8.75,1075
8.833333333333334,1086
8.916666666666666,1089
9,1094
9.083333333333334,1099
9.166666666666666,1096
9.25,1102
9.333333333333334,1109
9.416666666666666,1123
9.5,1124
9.583333333333334,1135
9.666666666666666,1139
9.75,1156
9.833333333333334,1158
9.916666666666666,1165
10,1163
10.083333333333334,1167
10.166666666666666,1178
10.25,1178
10.333333333333334,1183
10.416666666666666,1185
10.5,1193
10.583333333333334,1201
10.666666666666666,1203
10.75,1212
10.833333333333334,1212
10.916666666666666,1223
11,1220
11.083333333333334,1225
11.166666666666666,1238
11.25,1229
11.333333333333334,1229
11.416666666666666,1234
11.5,1240
11.583333333333334,1242
11.666666666666666,1246
11.75,1254
11.833333333333334,1262
11.916666666666666,1258
12,1267
12.083333333333334,1265
12.166666666666666,1267
12.25,1280
12.333333333333334,1275
12.416666666666666,1278
12.5,1282
12.583333333333334,1294
12.666666666666666,1297
12.75,1299
12.833333333333334,1309
12.916666666666666,1308
13,1317
13.083333333333334,1314
13.166666666666666,1313
13.25,1319
13.333333333333334,1330
13.416666666666666,1331
13.5,1338
13.583333333333334,1338
13.666666666666666,1343
13.75,1337
13.833333333333334,1340
13.916666666666666,1353
14,1349
14.083333333333334,1357
14.166666666666666,1356
14.25,1364
14.333333333333334,1361
14.416666666666666,1362
14.5,1360
14.583333333333334,1368
14.666666666666666,1369
14.75,1377
14.833333333333334,1370
14.916666666666666,1371
15,1372
15.083333333333334,1377
15.166666666666666,1383
15.25,1386
15.333333333333334,1393
15.416666666666666,1398
15.5,1393
15.583333333333334,1401
15.666666666666666,1409
15.75,1410
15.833333333333334,1412
15.916666666666666,1413
16,1414
16.083333333333332,1410
16.166666666666668,1417
16.25,1421
16.333333333333332,1426
16.416666666666668,1424
16.5,1426
16.583333333333332,1428
16.666666666666668,1433
16.75,1432
16.833333333333332,1441
16.916666666666668,1437
17,1435
17.083333333333332,1441
17.166666666666668,1442
17.25,1440
17.333333333333332,1450
17.416666666666668,1450
17.5,1445
17.583333333333332,1449
17.666666666666668,1452
17.75,1454
17.833333333333332,1452
17.916666666666668,1455
18,1460
18.083333333333332,1458
18.166666666666668,1464
18.25,1462
18.333333333333332,1469
18.416666666666668,1466
18.5,1469
18.583333333333332,1469
18.666666666666668,1468
18.75,1472
18.833333333333332,1465
18.916666666666668,1468
19,1473
19.083333333333332,1477
19.166666666666668,1473
19.25,1485
19.333333333333332,1489
19.416666666666668,1489
19.5,1487
19.583333333333332,1488
19.666666666666668,1485
19.75,1492
19.833333333333332,1500
19.916666666666668,1493
20,1497
20.083333333333332,1501
20.166666666666668,1500
20.25,1500
20.333333333333332,1502
20.416666666666668,1500
20.5,1496
20.583333333333332,1502
20.666666666666668,1505
20.75,1498
20.833333333333332,1502
20.916666666666668,1511
21,1513
21.083333333333332,1508
21.166666666666668,1513
21.25,1510
21.333333333333332,1514
21.416666666666668,1518
21.5,1518
21.583333333333332,1517
21.666666666666668,1523
21.75,1519
21.833333333333332,1522
21.916666666666668,1529
22,1528
22.083333333333332,1532
22.166666666666668,1534
22.25,1527
22.333333333333332,1531
22.416666666666668,1532
22.5,1535
22.583333333333332,1532
22.666666666666668,1536
22.75,1542
22.833333333333332,1542
22.916666666666668,1539
23,1541
23.083333333333332,1540
23.166666666666668,1544
23.25,1547
23.333333333333332,1545
23.416666666666668,1546
23.5,1549
23.583333333333332,1555
23.666666666666668,1551
23.75,1558
23.833333333333332,1554
23.916666666666668,1558
24,1558
24.083333333333332,1560
24.166666666666668,1564
24.25,1564
24.333333333333332,1565
24.416666666666668,1564
24.5,1565
24.583333333333332,1565
24.666666666666668,1576
24.75,1577
24.833333333333332,1576
24.916666666666668,1576
25,1577
25.083333333333332,1580
25.166666666666668,1577
25.25,1578
25.333333333333332,1585
25.416666666666668,1583
25.5,1584
25.583333333333332,1582
25.666666666666668,1578
25.75,1583
25.833333333333332,1586
25.916666666666668,1584
26,1589
26.083333333333332,1589
26.166666666666668,1590
26.25,1594
26.333333333333332,1594
26.416666666666668,1594
26.5,1593
26.583333333333332,1594
26.666666666666668,1591
26.75,1591
26.833333333333332,1592
26.916666666666668,1593
27,1602
27.083333333333332,1602
27.166666666666668,1605
27.25,1599
27.333333333333332,1600
27.416666666666668,1603
27.5,1605
27.583333333333332,1596
27.666666666666668,1602
27.75,1599
27.833333333333332,1601
27.916666666666668,1601
28,1601
28.083333333333332,1601
28.166666666666668,1598
28.25,1604
28.333333333333332,1600
28.416666666666668,1608
28.5,1605
28.583333333333332,1602
28.666666666666668,1602
28.75,1602
28.833333333333332,1605
28.916666666666668,1609
29,1608
29.083333333333332,1609
29.166666666666668,1607
29.25,1609
29.333333333333332,1607
29.416666666666668,1611
29.5,1608
29.583333333333332,1608
29.666666666666668,1615
29.75,1613
29.833333333333332,1613
29.916666666666668,1619
30,1620
30.083333333333332,1618
30.166666666666668,1616
30.25,1615
30.333333333333332,1618
30.416666666666668,1621
30.5,1624
30.583333333333332,1626
30.666666666666668,1624
30.75,1628
30.833333333333332,1624
30.916666666666668,1629
31,1626
31.083333333333332,1629
31.166666666666668,1627
31.25,1636
31.333333333333332,1631
31.416666666666668,1634
31.5,1633
31.583333333333332,1636
31.666666666666668,1634
31.75,1637
31.833333333333332,1640
31.916666666666668,1632
32,1637
32.083333333333336,1636
32.166666666666664,1637
32.25,1636
32.333333333333336,1641
32.416666666666664,1635
32.5,1638
32.583333333333336,1641
32.666666666666664,1643
32.75,1641
32.833333333333336,1641
32.916666666666664,1648
33,1644
33.083333333333336,1642
33.166666666666664,1641
33.25,1644
33.333333333333336,1638
33.416666666666664,1648
33.5,1646
33.583333333333336,1646
33.666666666666664,1641
33.75,1646
33.833333333333336,1642
33.916666666666664,1652
34,1651
34.083333333333336,1649
34.166666666666664,1651
34.25,1657
34.333333333333336,1650
34.416666666666664,1649
34.5,1650
34.583333333333336,1657
34.666666666666664,1657
34.75,1654
34.833333333333336,1656
34.916666666666664,1654
35,1652
35.083333333333336,1651
35.166666666666664,1654
35.25,1654
35.333333333333336,1657
35.416666666666664,1652
35.5,1650
35.583333333333336,1652
35.666666666666664,1653
35.75,1654
35.833333333333336,1657
35.916666666666664,1660
36,1657
36.083333333333336,1662
36.166666666666664,1659
36.25,1661
36.333333333333336,1660
36.416666666666664,1661
36.5,1664
36.583333333333336,1664
36.666666666666664,1659
36.75,1656
36.833333333333336,1659
36.916666666666664,1662
37,1656
37.083333333333336,1659
37.166666666666664,1661
37.25,1657
37.333333333333336,1658
37.416666666666664,1667
37.5,1663
37.583333333333336,1663
37.666666666666664,1663
37.75,1662
37.833333333333336,1658
37.916666666666664,1669
38,1661
38.083333333333336,1661
38.166666666666664,1669
38.25,1665
38.333333333333336,1667
38.416666666666664,1660
38.5,1667
38.583333333333336,1666
38.666666666666664,1672
38.75,1666
38.833333333333336,1671
38.916666666666664,1669
39,1668
39.083333333333336,1672
39.166666666666664,1667
39.25,1670
39.333333333333336,1672
39.416666666666664,1668
39.5,1671
39.583333333333336,1671
39.666666666666664,1670
39.75,1669
39.833333333333336,1673
39.916666666666664,1670
40,1667
40.083333333333336,1672
40.166666666666664,1666
40.25,1675
40.333333333333336,1675
40.416666666666664,1672
40.5,1672
40.583333333333336,1675
40.666666666666664,1675
40.75,1671
40.833333333333336,1680
40.916666666666664,1672
41,1674
41.083333333333336,1675
41.166666666666664,1675
41.25,1676
41.333333333333336,1678
41.416666666666664,1680
41.5,1677
41.583333333333336,1674
41.666666666666664,1674
41.75,1676
41.833333333333336,1676
41.916666666666664,1679
42,1678
42.083333333333336,1683
42.166666666666664,1682
42.25,1682
42.333333333333336,1683
42.416666666666664,1681
42.5,1681
42.583333333333336,1678
42.666666666666664,1676
42.75,1686
42.833333333333336,1687
42.916666666666664,1677
43,1679
43.083333333333336,1679
43.166666666666664,1683
43.25,1679
43.333333333333336,1687
43.416666666666664,1688
43.5,1683
43.583333333333336,1678
43.666666666666664,1681
43.75,1682
43.833333333333336,1679
43.916666666666664,1682
44,1685
44.083333333333336,1680
44.166666666666664,1684
44.25,1688
44.333333333333336,1685
44.416666666666664,1684
44.5,1685
44.583333333333336,1678
44.666666666666664,1686
44.75,1687
44.833333333333336,1688
44.916666666666664,1689
45,1691
45.083333333333336,1690
45.166666666666664,1692
45.25,1691
45.333333333333336,1693
45.416666666666664,1696
45.5,1692
45.583333333333336,1689
45.666666666666664,1686
45.75,1693
45.833333333333336,1692
45.916666666666664,1695
46,1688
46.083333333333336,1688
46.166666666666664,1693
46.25,1693
46.333333333333336,1699
46.416666666666664,1694
46.5,1691
46.583333333333336,1694
46.666666666666664,1696
46.75,1694
46.833333333333336,1696
46.916666666666664,1692
47,1696
47.083333333333336,1700
47.166666666666664,1697
47.25,1696
47.333333333333336,1698
47.416666666666664,1696
47.5,1703
47.583333333333336,1699
47.666666666666664,1703
47.75,1701
47.833333333333336,1701
47.916666666666664,1699
