"Hours since thread went live","Sasayaku You ni Koi wo Utau • Whisper Me a Love Song - Episode 6 discussion"
0,5
0.08333333333333333,10
0.16666666666666666,18
0.25,32
0.3333333333333333,34
0.4166666666666667,40
0.5,48
0.5833333333333334,53
0.6666666666666666,56
0.75,63
0.8333333333333334,67
0.9166666666666666,71
1,79
1.0833333333333333,80
1.1666666666666667,84
1.25,88
1.3333333333333333,97
1.4166666666666667,108
1.5,107
1.5833333333333333,119
1.6666666666666667,122
1.75,127
1.8333333333333333,132
1.9166666666666667,132
2,137
2.0833333333333335,139
2.1666666666666665,142
2.25,151
2.3333333333333335,151
2.4166666666666665,155
2.5,158
2.5833333333333335,164
2.6666666666666665,167
2.75,170
2.8333333333333335,173
2.9166666666666665,182
3,179
3.0833333333333335,183
3.1666666666666665,185
3.25,189
3.3333333333333335,197
3.4166666666666665,198
3.5,200
3.5833333333333335,202
3.6666666666666665,203
3.75,203
3.8333333333333335,206
3.9166666666666665,212
4,211
4.083333333333333,207
4.166666666666667,216
4.25,214
4.333333333333333,222
4.416666666666667,225
4.5,227
4.583333333333333,232
4.666666666666667,238
4.75,247
4.833333333333333,249
4.916666666666667,255
5,260
5.083333333333333,263
5.166666666666667,266
5.25,265
5.333333333333333,269
5.416666666666667,273
5.5,269
5.583333333333333,271
5.666666666666667,272
5.75,275
5.833333333333333,272
5.916666666666667,275
6,279
6.083333333333333,283
6.166666666666667,283
6.25,283
6.333333333333333,288
6.416666666666667,288
6.5,283
6.583333333333333,290
6.666666666666667,293
6.75,292
6.833333333333333,293
6.916666666666667,293
7,297
7.083333333333333,301
7.166666666666667,304
7.25,303
7.333333333333333,306
7.416666666666667,305
7.5,308
7.583333333333333,316
7.666666666666667,316
7.75,314
7.833333333333333,317
7.916666666666667,316
8,320
8.083333333333334,324
8.166666666666666,327
8.25,328
8.333333333333334,333
8.416666666666666,331
8.5,335
8.583333333333334,333
8.666666666666666,333
8.75,328
8.833333333333334,330
8.916666666666666,340
9,342
9.083333333333334,340
9.166666666666666,340
9.25,342
9.333333333333334,347
9.416666666666666,347
9.5,343
9.583333333333334,347
9.666666666666666,349
9.75,349
9.833333333333334,352
9.916666666666666,353
10,357
10.083333333333334,355
10.166666666666666,353
10.25,360
10.333333333333334,353
10.416666666666666,350
10.5,353
10.583333333333334,354
10.666666666666666,359
10.75,357
10.833333333333334,361
10.916666666666666,368
11,366
11.083333333333334,367
11.166666666666666,368
11.25,372
11.333333333333334,369
11.416666666666666,374
11.5,373
11.583333333333334,373
11.666666666666666,380
11.75,377
11.833333333333334,381
11.916666666666666,385
12,386
12.083333333333334,384
12.166666666666666,388
12.25,383
12.333333333333334,385
12.416666666666666,393
12.5,392
12.583333333333334,393
12.666666666666666,389
12.75,395
12.833333333333334,395
12.916666666666666,394
13,392
13.083333333333334,396
13.166666666666666,400
13.25,397
13.333333333333334,400
13.416666666666666,404
13.5,406
13.583333333333334,403
13.666666666666666,402
13.75,400
13.833333333333334,403
13.916666666666666,401
14,405
14.083333333333334,401
14.166666666666666,406
14.25,407
14.333333333333334,407
14.416666666666666,410
14.5,412
14.583333333333334,414
14.666666666666666,409
14.75,410
14.833333333333334,409
14.916666666666666,406
15,413
15.083333333333334,410
15.166666666666666,416
15.25,412
15.333333333333334,415
15.416666666666666,413
15.5,413
15.583333333333334,413
15.666666666666666,406
15.75,418
15.833333333333334,415
15.916666666666666,416
16,414
16.083333333333332,413
16.166666666666668,420
16.25,420
16.333333333333332,417
16.416666666666668,420
16.5,422
16.583333333333332,419
16.666666666666668,423
16.75,422
16.833333333333332,420
16.916666666666668,426
17,424
17.083333333333332,416
17.166666666666668,419
17.25,418
17.333333333333332,420
17.416666666666668,416
17.5,418
17.583333333333332,423
17.666666666666668,428
17.75,425
17.833333333333332,431
17.916666666666668,426
18,426
18.083333333333332,432
18.166666666666668,426
18.25,427
18.333333333333332,434
18.416666666666668,431
18.5,439
18.583333333333332,432
18.666666666666668,430
18.75,433
18.833333333333332,431
18.916666666666668,437
19,435
19.083333333333332,436
19.166666666666668,435
19.25,441
19.333333333333332,436
19.416666666666668,432
19.5,436
19.583333333333332,441
19.666666666666668,436
19.75,439
19.833333333333332,441
19.916666666666668,439
20,445
20.083333333333332,439
20.166666666666668,439
20.25,442
20.333333333333332,444
20.416666666666668,449
20.5,450
20.583333333333332,449
20.666666666666668,453
20.75,450
20.833333333333332,454
20.916666666666668,452
21,447
21.083333333333332,449
21.166666666666668,449
21.25,451
21.333333333333332,450
21.416666666666668,449
21.5,456
21.583333333333332,460
21.666666666666668,455
21.75,451
21.833333333333332,462
21.916666666666668,458
22,457
22.083333333333332,451
22.166666666666668,456
22.25,457
22.333333333333332,461
22.416666666666668,456
22.5,460
22.583333333333332,455
22.666666666666668,457
22.75,456
22.833333333333332,459
22.916666666666668,457
23,458
23.083333333333332,462
23.166666666666668,465
23.25,461
23.333333333333332,463
23.416666666666668,461
23.5,461
23.583333333333332,460
23.666666666666668,457
23.75,467
23.833333333333332,463
23.916666666666668,468
24,464
24.083333333333332,468
24.166666666666668,464
24.25,464
24.333333333333332,464
24.416666666666668,475
24.5,466
24.583333333333332,467
24.666666666666668,467
24.75,475
24.833333333333332,469
24.916666666666668,473
25,475
25.083333333333332,473
25.166666666666668,478
25.25,478
25.333333333333332,476
25.416666666666668,476
25.5,480
25.583333333333332,474
25.666666666666668,480
25.75,478
25.833333333333332,475
25.916666666666668,481
26,479
26.083333333333332,480
26.166666666666668,479
26.25,479
26.333333333333332,481
26.416666666666668,481
26.5,483
26.583333333333332,475
26.666666666666668,478
26.75,479
26.833333333333332,476
26.916666666666668,476
27,477
27.083333333333332,484
27.166666666666668,481
27.25,479
27.333333333333332,482
27.416666666666668,480
27.5,482
27.583333333333332,483
27.666666666666668,481
27.75,483
27.833333333333332,481
