"Hours since thread went live","Yozakura-san Chi no Daisakusen • Mission: Yozakura Family - Episode 7 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,0
0.25,3
0.3333333333333333,6
0.4166666666666667,8
0.5,9
0.5833333333333334,12
0.6666666666666666,15
0.75,17
0.8333333333333334,19
0.9166666666666666,18
1,18
1.0833333333333333,18
1.1666666666666667,17
1.25,15
1.3333333333333333,17
1.4166666666666667,16
1.5,19
1.5833333333333333,19
1.6666666666666667,18
1.75,20
1.8333333333333333,21
1.9166666666666667,20
2,27
2.0833333333333335,29
2.1666666666666665,35
2.25,31
2.3333333333333335,34
2.4166666666666665,36
2.5,37
2.5833333333333335,39
2.6666666666666665,39
2.75,41
2.8333333333333335,46
2.9166666666666665,44
3,48
3.0833333333333335,50
3.1666666666666665,53
3.25,54
3.3333333333333335,52
3.4166666666666665,56
3.5,57
3.5833333333333335,62
3.6666666666666665,64
3.75,63
3.8333333333333335,62
3.9166666666666665,65
4,66
4.083333333333333,65
4.166666666666667,72
4.25,72
4.333333333333333,69
4.416666666666667,73
4.5,75
4.583333333333333,72
4.666666666666667,75
4.75,77
4.833333333333333,78
4.916666666666667,83
5,86
5.083333333333333,83
5.166666666666667,85
5.25,90
5.333333333333333,90
5.416666666666667,90
5.5,95
5.583333333333333,92
5.666666666666667,92
5.75,92
5.833333333333333,95
5.916666666666667,95
6,99
6.083333333333333,103
6.166666666666667,102
6.25,104
6.333333333333333,101
6.416666666666667,106
6.5,103
6.583333333333333,108
6.666666666666667,112
6.75,111
6.833333333333333,114
6.916666666666667,111
7,115
7.083333333333333,117
7.166666666666667,120
7.25,121
7.333333333333333,120
7.416666666666667,123
7.5,127
7.583333333333333,126
7.666666666666667,129
7.75,131
7.833333333333333,128
7.916666666666667,132
8,134
8.083333333333334,137
8.166666666666666,137
8.25,134
8.333333333333334,138
8.416666666666666,143
8.5,143
8.583333333333334,145
8.666666666666666,149
8.75,147
8.833333333333334,150
8.916666666666666,152
9,157
9.083333333333334,157
9.166666666666666,154
9.25,157
9.333333333333334,161
9.416666666666666,155
9.5,159
9.583333333333334,159
9.666666666666666,159
9.75,159
9.833333333333334,163
9.916666666666666,165
10,166
10.083333333333334,165
10.166666666666666,168
10.25,173
10.333333333333334,171
10.416666666666666,175
10.5,177
10.583333333333334,175
10.666666666666666,172
10.75,179
10.833333333333334,181
10.916666666666666,177
11,177
11.083333333333334,183
11.166666666666666,186
11.25,182
11.333333333333334,188
11.416666666666666,187
11.5,190
11.583333333333334,191
11.666666666666666,186
11.75,188
11.833333333333334,190
11.916666666666666,195
12,195
12.083333333333334,199
12.166666666666666,196
12.25,199
12.333333333333334,202
12.416666666666666,202
12.5,203
12.583333333333334,200
12.666666666666666,203
12.75,202
12.833333333333334,202
12.916666666666666,206
13,200
13.083333333333334,203
13.166666666666666,202
13.25,207
13.333333333333334,207
13.416666666666666,204
13.5,205
13.583333333333334,209
13.666666666666666,210
13.75,209
13.833333333333334,207
13.916666666666666,213
14,212
14.083333333333334,208
14.166666666666666,211
14.25,215
14.333333333333334,215
14.416666666666666,212
14.5,213
14.583333333333334,217
14.666666666666666,216
14.75,221
14.833333333333334,222
14.916666666666666,219
15,225
15.083333333333334,224
15.166666666666666,226
15.25,223
15.333333333333334,226
15.416666666666666,226
15.5,229
15.583333333333334,225
15.666666666666666,229
15.75,228
15.833333333333334,231
15.916666666666666,234
16,234
16.083333333333332,235
16.166666666666668,237
16.25,234
16.333333333333332,237
16.416666666666668,240
16.5,236
16.583333333333332,238
16.666666666666668,238
16.75,243
16.833333333333332,247
16.916666666666668,243
17,244
17.083333333333332,248
17.166666666666668,247
17.25,248
17.333333333333332,247
17.416666666666668,244
17.5,248
17.583333333333332,251
17.666666666666668,249
17.75,248
17.833333333333332,249
17.916666666666668,253
18,253
18.083333333333332,254
18.166666666666668,250
18.25,254
18.333333333333332,252
18.416666666666668,251
18.5,248
18.583333333333332,251
18.666666666666668,254
18.75,257
18.833333333333332,252
18.916666666666668,260
19,260
19.083333333333332,256
19.166666666666668,259
19.25,257
19.333333333333332,264
19.416666666666668,261
19.5,262
19.583333333333332,260
19.666666666666668,262
19.75,265
19.833333333333332,265
19.916666666666668,265
20,268
20.083333333333332,267
20.166666666666668,266
20.25,268
20.333333333333332,261
20.416666666666668,267
20.5,270
20.583333333333332,271
20.666666666666668,270
20.75,270
20.833333333333332,268
20.916666666666668,272
21,265
21.083333333333332,266
21.166666666666668,268
21.25,269
21.333333333333332,270
21.416666666666668,271
21.5,269
21.583333333333332,266
