"Hours since thread went live","Sentai Daishikkaku • Go! Go! Loser Ranger! - Episode 6 discussion"
0,3
0,7
0.08333333333333333,7
0.16666666666666666,14
0.25,17
0.3333333333333333,21
0.4166666666666667,23
0.5,27
0.5833333333333334,30
0.6666666666666666,33
0.75,34
0.8333333333333334,40
0.9166666666666666,44
1,44
1.0833333333333333,53
1.1666666666666667,56
1.25,64
1.3333333333333333,67
1.4166666666666667,77
1.5,80
1.5833333333333333,87
1.6666666666666667,91
1.75,93
1.8333333333333333,101
1.9166666666666667,104
2,114
2.0833333333333335,119
2.1666666666666665,123
2.25,127
2.3333333333333335,134
2.4166666666666665,141
2.5,142
2.5833333333333335,151
2.6666666666666665,163
2.75,175
2.8333333333333335,179
2.9166666666666665,182
3,192
3.0833333333333335,199
3.1666666666666665,202
3.25,205
3.3333333333333335,218
3.4166666666666665,223
3.5,228
3.5833333333333335,232
3.6666666666666665,242
3.75,245
3.8333333333333335,246
3.9166666666666665,253
4,258
4.083333333333333,266
4.166666666666667,273
4.25,275
4.333333333333333,283
4.416666666666667,284
4.5,296
4.583333333333333,306
4.666666666666667,311
4.75,310
4.833333333333333,317
4.916666666666667,330
5,330
5.083333333333333,342
5.166666666666667,351
5.25,353
5.333333333333333,369
5.416666666666667,369
5.5,376
5.583333333333333,381
5.666666666666667,391
5.75,399
5.833333333333333,396
5.916666666666667,404
6,408
6.083333333333333,412
6.166666666666667,412
6.25,427
6.333333333333333,436
6.416666666666667,447
6.5,444
6.583333333333333,457
6.666666666666667,463
6.75,474
6.833333333333333,469
6.916666666666667,479
7,487
7.083333333333333,490
7.166666666666667,496
7.25,492
7.333333333333333,497
7.416666666666667,502
7.5,508
7.583333333333333,516
7.666666666666667,520
7.75,525
7.833333333333333,535
7.916666666666667,534
8,539
8.083333333333334,554
8.166666666666666,553
8.25,563
8.333333333333334,564
8.416666666666666,570
8.5,574
8.583333333333334,580
8.666666666666666,596
8.75,595
8.833333333333334,607
8.916666666666666,607
9,610
9.083333333333334,612
9.166666666666666,619
9.25,621
9.333333333333334,629
9.416666666666666,641
9.5,643
9.583333333333334,654
9.666666666666666,650
9.75,652
9.833333333333334,658
9.916666666666666,668
10,677
10.083333333333334,684
10.166666666666666,687
10.25,680
10.333333333333334,690
10.416666666666666,693
10.5,693
10.583333333333334,698
10.666666666666666,714
10.75,716
10.833333333333334,718
10.916666666666666,731
11,737
11.083333333333334,737
11.166666666666666,743
11.25,750
11.333333333333334,753
11.416666666666666,760
11.5,760
11.583333333333334,759
11.666666666666666,765
11.75,768
11.833333333333334,763
11.916666666666666,767
12,772
12.083333333333334,777
12.166666666666666,780
12.25,782
12.333333333333334,791
12.416666666666666,791
12.5,789
12.583333333333334,794
12.666666666666666,801
12.75,802
12.833333333333334,805
12.916666666666666,807
13,809
13.083333333333334,810
13.166666666666666,825
13.25,829
13.333333333333334,831
13.416666666666666,833
13.5,841
13.583333333333334,844
13.666666666666666,849
13.75,852
13.833333333333334,848
13.916666666666666,856
14,858
14.083333333333334,862
14.166666666666666,866
14.25,871
14.333333333333334,873
14.416666666666666,875
14.5,875
14.583333333333334,883
14.666666666666666,883
14.75,890
14.833333333333334,890
14.916666666666666,894
15,896
15.083333333333334,898
15.166666666666666,905
15.25,902
15.333333333333334,907
15.416666666666666,909
15.5,918
15.583333333333334,918
15.666666666666666,926
15.75,924
15.833333333333334,930
15.916666666666666,932
16,928
16.083333333333332,939
16.166666666666668,943
16.25,944
16.333333333333332,954
16.416666666666668,955
16.5,948
16.583333333333332,955
16.666666666666668,962
16.75,960
16.833333333333332,963
16.916666666666668,971
17,973
17.083333333333332,970
17.166666666666668,979
17.25,972
17.333333333333332,975
17.416666666666668,979
17.5,980
17.583333333333332,980
17.666666666666668,986
17.75,982
17.833333333333332,985
17.916666666666668,990
18,992
18.083333333333332,987
18.166666666666668,994
18.25,990
18.333333333333332,1001
18.416666666666668,998
18.5,1002
18.583333333333332,1006
18.666666666666668,1007
18.75,1004
18.833333333333332,1007
18.916666666666668,1015
19,1013
19.083333333333332,1006
19.166666666666668,1010
19.25,1016
19.333333333333332,1018
19.416666666666668,1016
19.5,1018
19.583333333333332,1020
19.666666666666668,1019
19.75,1022
19.833333333333332,1024
19.916666666666668,1032
20,1030
20.083333333333332,1037
20.166666666666668,1040
20.25,1036
20.333333333333332,1045
20.416666666666668,1047
20.5,1050
20.583333333333332,1046
