"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 7 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,4
0.5833333333333334,5
0.6666666666666666,6
0.75,5
0.8333333333333334,8
0.9166666666666666,8
1,8
1.0833333333333333,9
1.1666666666666667,10
1.25,13
1.3333333333333333,15
1.4166666666666667,16
1.5,18
1.5833333333333333,17
1.6666666666666667,21
1.75,22
1.8333333333333333,21
1.9166666666666667,23
2,25
2.0833333333333335,25
2.1666666666666665,30
2.25,32
2.3333333333333335,34
2.4166666666666665,35
2.5,37
2.5833333333333335,38
2.6666666666666665,37
2.75,41
2.8333333333333335,44
2.9166666666666665,46
3,52
3.0833333333333335,48
3.1666666666666665,53
3.25,55
3.3333333333333335,54
3.4166666666666665,55
3.5,53
3.5833333333333335,55
3.6666666666666665,57
3.75,59
3.8333333333333335,58
3.9166666666666665,62
4,64
4.083333333333333,62
4.166666666666667,66
4.25,63
4.333333333333333,68
4.416666666666667,64
4.5,67
4.583333333333333,69
4.666666666666667,73
4.75,73
4.833333333333333,72
4.916666666666667,74
5,75
5.083333333333333,72
5.166666666666667,74
5.25,74
5.333333333333333,75
5.416666666666667,77
5.5,78
5.583333333333333,73
5.666666666666667,77
5.75,76
5.833333333333333,77
5.916666666666667,77
6,77
6.083333333333333,77
6.166666666666667,80
6.25,80
6.333333333333333,83
6.416666666666667,85
6.5,89
6.583333333333333,87
6.666666666666667,88
6.75,91
6.833333333333333,89
6.916666666666667,90
7,88
7.083333333333333,91
7.166666666666667,91
7.25,89
7.333333333333333,89
7.416666666666667,89
7.5,90
7.583333333333333,86
7.666666666666667,88
7.75,91
7.833333333333333,91
7.916666666666667,94
8,92
8.083333333333334,90
8.166666666666666,95
8.25,94
8.333333333333334,91
8.416666666666666,98
8.5,97
8.583333333333334,98
8.666666666666666,101
8.75,97
8.833333333333334,100
8.916666666666666,101
9,104
9.083333333333334,107
9.166666666666666,104
9.25,107
9.333333333333334,106
9.416666666666666,105
9.5,109
9.583333333333334,105
9.666666666666666,108
9.75,108
9.833333333333334,113
9.916666666666666,113
10,113
10.083333333333334,115
10.166666666666666,112
10.25,116
10.333333333333334,113
10.416666666666666,116
10.5,115
10.583333333333334,118
10.666666666666666,115
10.75,117
10.833333333333334,121
10.916666666666666,121
11,124
11.083333333333334,120
11.166666666666666,121
11.25,121
11.333333333333334,121
11.416666666666666,121
11.5,123
11.583333333333334,123
11.666666666666666,123
11.75,124
11.833333333333334,123
11.916666666666666,124
12,125
12.083333333333334,128
12.166666666666666,124
12.25,128
12.333333333333334,126
12.416666666666666,124
12.5,127
12.583333333333334,128
12.666666666666666,128
12.75,128
12.833333333333334,130
12.916666666666666,131
13,132
13.083333333333334,132
13.166666666666666,134
13.25,134
13.333333333333334,133
13.416666666666666,132
13.5,136
13.583333333333334,132
13.666666666666666,137
13.75,134
13.833333333333334,133
13.916666666666666,133
14,138
14.083333333333334,137
14.166666666666666,137
14.25,135
14.333333333333334,139
14.416666666666666,138
14.5,134
14.583333333333334,138
14.666666666666666,138
14.75,137
14.833333333333334,137
14.916666666666666,141
15,140
15.083333333333334,140
15.166666666666666,140
15.25,142
15.333333333333334,141
15.416666666666666,143
15.5,141
15.583333333333334,143
15.666666666666666,141
15.75,141
15.833333333333334,142
15.916666666666666,144
16,142
16.083333333333332,146
16.166666666666668,146
16.25,144
16.333333333333332,144
16.416666666666668,145
16.5,143
16.583333333333332,143
16.666666666666668,144
16.75,145
16.833333333333332,148
16.916666666666668,144
17,148
17.083333333333332,146
17.166666666666668,144
17.25,149
17.333333333333332,146
17.416666666666668,146
17.5,145
17.583333333333332,145
17.666666666666668,144
17.75,147
17.833333333333332,147
17.916666666666668,146
18,145
18.083333333333332,145
18.166666666666668,150
18.25,146
18.333333333333332,148
18.416666666666668,144
18.5,147
18.583333333333332,147
18.666666666666668,149
18.75,149
18.833333333333332,147
18.916666666666668,146
19,146
19.083333333333332,152
19.166666666666668,152
19.25,152
19.333333333333332,146
19.416666666666668,145
19.5,147
19.583333333333332,146
19.666666666666668,150
19.75,147
19.833333333333332,149
19.916666666666668,147
20,150
20.083333333333332,145
20.166666666666668,151
20.25,148
20.333333333333332,150
20.416666666666668,152
20.5,146
20.583333333333332,150
20.666666666666668,151
20.75,152
20.833333333333332,148
20.916666666666668,147
21,150
21.083333333333332,147
21.166666666666668,152
21.25,150
21.333333333333332,151
21.416666666666668,150
21.5,149
21.583333333333332,150
21.666666666666668,152
21.75,150
21.833333333333332,150
21.916666666666668,153
22,150
22.083333333333332,151
22.166666666666668,150
22.25,154
22.333333333333332,151
22.416666666666668,154
22.5,153
22.583333333333332,152
22.666666666666668,155
22.75,149
22.833333333333332,152
22.916666666666668,148
23,154
23.083333333333332,150
23.166666666666668,152
23.25,151
23.333333333333332,154
23.416666666666668,154
23.5,153
23.583333333333332,155
23.666666666666668,151
23.75,154
23.833333333333332,151
23.916666666666668,151
24,151
24.083333333333332,155
24.166666666666668,154
24.25,151
24.333333333333332,155
24.416666666666668,150
24.5,152
24.583333333333332,155
24.666666666666668,150
24.75,154
24.833333333333332,154
24.916666666666668,154
25,153
25.083333333333332,156
25.166666666666668,153
25.25,152
25.333333333333332,152
25.416666666666668,150
25.5,154
25.583333333333332,152
25.666666666666668,154
25.75,155
25.833333333333332,153
25.916666666666668,156
26,152
26.083333333333332,153
26.166666666666668,155
26.25,151
26.333333333333332,156
26.416666666666668,154
26.5,152
26.583333333333332,153
26.666666666666668,156
26.75,153
26.833333333333332,154
26.916666666666668,156
27,153
27.083333333333332,157
27.166666666666668,158
27.25,153
27.333333333333332,153
27.416666666666668,154
27.5,157
27.583333333333332,158
27.666666666666668,158
27.75,151
27.833333333333332,154
27.916666666666668,159
28,155
28.083333333333332,155
28.166666666666668,154
28.25,155
28.333333333333332,155
28.416666666666668,154
28.5,156
28.583333333333332,155
28.666666666666668,158
28.75,154
28.833333333333332,156
28.916666666666668,155
29,154
29.083333333333332,154
29.166666666666668,155
29.25,158
29.333333333333332,158
29.416666666666668,157
29.5,152
29.583333333333332,156
29.666666666666668,157
29.75,156
29.833333333333332,155
29.916666666666668,155
30,157
30.083333333333332,152
30.166666666666668,159
30.25,154
30.333333333333332,156
30.416666666666668,157
30.5,155
30.583333333333332,157
30.666666666666668,156
30.75,157
30.833333333333332,155
30.916666666666668,154
31,156
31.083333333333332,156
31.166666666666668,157
31.25,159
31.333333333333332,156
31.416666666666668,156
31.5,155
31.583333333333332,156
31.666666666666668,157
31.75,158
31.833333333333332,160
31.916666666666668,159
32,153
32.083333333333336,153
32.166666666666664,158
32.25,160
32.333333333333336,160
32.416666666666664,159
32.5,156
32.583333333333336,157
32.666666666666664,156
32.75,158
32.833333333333336,156
32.916666666666664,154
33,159
33.083333333333336,157
33.166666666666664,160
33.25,157
33.333333333333336,154
33.416666666666664,156
33.5,155
33.583333333333336,155
33.666666666666664,154
33.75,154
33.833333333333336,155
33.916666666666664,158
34,159
34.083333333333336,159
34.166666666666664,161
34.25,156
34.333333333333336,160
34.416666666666664,158
34.5,157
34.583333333333336,159
34.666666666666664,156
34.75,159
34.833333333333336,158
34.916666666666664,158
35,156
35.083333333333336,156
35.166666666666664,157
35.25,157
