"Hours since thread went live","Tensei Kizoku, Kantei Skill de Nariagaru • As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World - Episode 7 discussion"
0,2
0.08333333333333333,3
0.16666666666666666,6
0.25,9
0.3333333333333333,11
0.4166666666666667,15
0.5,17
0.5833333333333334,19
0.6666666666666666,22
0.75,23
0.8333333333333334,26
0.9166666666666666,28
1,33
1.0833333333333333,36
1.1666666666666667,42
1.25,44
1.3333333333333333,50
1.4166666666666667,54
1.5,57
1.5833333333333333,59
1.6666666666666667,61
1.75,67
1.8333333333333333,73
1.9166666666666667,80
2,83
2.0833333333333335,88
2.1666666666666665,95
2.25,100
2.3333333333333335,102
2.4166666666666665,102
2.5,104
2.5833333333333335,110
2.6666666666666665,114
2.75,119
2.8333333333333335,123
2.9166666666666665,130
3,134
3.0833333333333335,138
3.1666666666666665,140
3.25,146
3.3333333333333335,151
3.4166666666666665,156
3.5,159
3.5833333333333335,165
3.6666666666666665,169
3.75,172
3.8333333333333335,172
3.9166666666666665,172
4,179
4.083333333333333,176
4.166666666666667,180
4.25,185
4.333333333333333,185
4.416666666666667,188
4.5,198
4.583333333333333,197
4.666666666666667,201
4.75,197
4.833333333333333,204
4.916666666666667,207
5,207
5.083333333333333,209
5.166666666666667,214
5.25,209
5.333333333333333,217
5.416666666666667,220
5.5,225
5.583333333333333,222
5.666666666666667,227
5.75,229
5.833333333333333,234
5.916666666666667,236
6,234
6.083333333333333,240
6.166666666666667,239
6.25,246
6.333333333333333,244
6.416666666666667,248
6.5,249
6.583333333333333,253
6.666666666666667,261
6.75,258
6.833333333333333,260
6.916666666666667,265
7,266
7.083333333333333,267
7.166666666666667,268
7.25,271
7.333333333333333,268
7.416666666666667,273
7.5,275
7.583333333333333,278
7.666666666666667,278
7.75,279
7.833333333333333,280
7.916666666666667,284
8,290
8.083333333333334,292
8.166666666666666,293
8.25,299
8.333333333333334,296
8.416666666666666,301
8.5,303
8.583333333333334,301
8.666666666666666,304
8.75,308
8.833333333333334,307
8.916666666666666,307
9,309
9.083333333333334,316
9.166666666666666,321
9.25,318
9.333333333333334,323
9.416666666666666,327
9.5,323
9.583333333333334,330
9.666666666666666,329
9.75,324
9.833333333333334,330
9.916666666666666,336
10,338
10.083333333333334,331
10.166666666666666,335
10.25,336
10.333333333333334,336
10.416666666666666,340
10.5,346
10.583333333333334,347
10.666666666666666,349
10.75,353
10.833333333333334,347
10.916666666666666,350
11,355
11.083333333333334,353
11.166666666666666,358
11.25,356
11.333333333333334,353
11.416666666666666,357
11.5,361
11.583333333333334,357
11.666666666666666,362
11.75,367
11.833333333333334,365
11.916666666666666,367
12,367
12.083333333333334,369
12.166666666666666,372
12.25,366
12.333333333333334,370
12.416666666666666,376
12.5,374
12.583333333333334,379
12.666666666666666,380
12.75,384
12.833333333333334,383
12.916666666666666,380
13,385
13.083333333333334,386
13.166666666666666,384
13.25,386
13.333333333333334,386
13.416666666666666,383
13.5,384
13.583333333333334,384
13.666666666666666,386
13.75,389
13.833333333333334,393
13.916666666666666,396
14,394
14.083333333333334,390
14.166666666666666,392
14.25,389
14.333333333333334,392
14.416666666666666,396
14.5,391
14.583333333333334,391
14.666666666666666,394
14.75,395
14.833333333333334,398
14.916666666666666,399
15,398
15.083333333333334,394
15.166666666666666,402
15.25,408
15.333333333333334,404
15.416666666666666,405
15.5,407
15.583333333333334,406
15.666666666666666,408
15.75,406
15.833333333333334,411
15.916666666666666,410
16,405
16.083333333333332,411
16.166666666666668,413
16.25,413
16.333333333333332,405
16.416666666666668,416
16.5,416
16.583333333333332,411
16.666666666666668,415
16.75,414
16.833333333333332,415
16.916666666666668,420
17,419
17.083333333333332,422
17.166666666666668,422
17.25,422
17.333333333333332,420
17.416666666666668,425
17.5,419
17.583333333333332,425
17.666666666666668,422
17.75,421
17.833333333333332,418
17.916666666666668,417
18,425
18.083333333333332,418
18.166666666666668,423
18.25,423
18.333333333333332,421
18.416666666666668,425
18.5,426
18.583333333333332,428
18.666666666666668,424
18.75,424
18.833333333333332,423
18.916666666666668,420
19,420
19.083333333333332,432
19.166666666666668,427
19.25,428
19.333333333333332,424
19.416666666666668,428
19.5,431
19.583333333333332,434
19.666666666666668,431
19.75,438
19.833333333333332,432
19.916666666666668,436
20,435
20.083333333333332,431
20.166666666666668,438
20.25,438
20.333333333333332,439
20.416666666666668,438
20.5,434
20.583333333333332,440
20.666666666666668,439
20.75,437
20.833333333333332,445
20.916666666666668,440
21,436
21.083333333333332,438
21.166666666666668,449
21.25,447
21.333333333333332,447
21.416666666666668,443
21.5,448
21.583333333333332,442
21.666666666666668,450
21.75,446
21.833333333333332,446
21.916666666666668,453
22,451
22.083333333333332,457
22.166666666666668,452
22.25,448
22.333333333333332,445
22.416666666666668,452
22.5,452
22.583333333333332,456
22.666666666666668,455
22.75,461
22.833333333333332,455
22.916666666666668,457
23,460
23.083333333333332,462
23.166666666666668,460
23.25,454
23.333333333333332,462
23.416666666666668,464
23.5,458
23.583333333333332,465
23.666666666666668,462
23.75,465
23.833333333333332,462
23.916666666666668,461
24,462
24.083333333333332,469
24.166666666666668,470
24.25,468
24.333333333333332,465
24.416666666666668,465
24.5,469
24.583333333333332,465
24.666666666666668,464
24.75,467
24.833333333333332,471
24.916666666666668,464
25,463
25.083333333333332,465
