"Hours since thread went live","Re:Monster - Episode 8 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,3
0.25,3
0.3333333333333333,4
0.4166666666666667,4
0.5,4
0.5833333333333334,4
0.6666666666666666,6
0.75,6
0.8333333333333334,6
0.9166666666666666,8
1,9
1.0833333333333333,11
1.1666666666666667,13
1.25,11
1.3333333333333333,13
1.4166666666666667,13
1.5,14
1.5833333333333333,14
1.6666666666666667,13
1.75,17
1.8333333333333333,19
1.9166666666666667,18
2,19
2.0833333333333335,21
2.1666666666666665,23
2.25,24
2.3333333333333335,25
2.4166666666666665,27
2.5,25
2.5833333333333335,26
2.6666666666666665,27
2.75,29
2.8333333333333335,30
2.9166666666666665,31
3,32
3.0833333333333335,31
3.1666666666666665,31
3.25,28
3.3333333333333335,32
3.4166666666666665,32
3.5,29
3.5833333333333335,31
3.6666666666666665,30
3.75,37
3.8333333333333335,39
3.9166666666666665,41
4,46
4.083333333333333,44
4.166666666666667,46
4.25,51
4.333333333333333,49
4.416666666666667,51
4.5,51
4.583333333333333,53
4.666666666666667,55
4.75,54
4.833333333333333,59
4.916666666666667,54
5,55
5.083333333333333,53
5.166666666666667,54
5.25,54
5.333333333333333,57
5.416666666666667,53
5.5,56
5.583333333333333,57
5.666666666666667,60
5.75,59
5.833333333333333,57
5.916666666666667,61
6,62
6.083333333333333,59
6.166666666666667,62
6.25,64
6.333333333333333,62
6.416666666666667,61
6.5,63
6.583333333333333,60
6.666666666666667,62
6.75,66
6.833333333333333,67
6.916666666666667,66
7,68
7.083333333333333,65
7.166666666666667,67
7.25,73
7.333333333333333,73
7.416666666666667,72
7.5,75
7.583333333333333,73
7.666666666666667,72
7.75,74
7.833333333333333,75
7.916666666666667,73
8,73
8.083333333333334,80
8.166666666666666,76
8.25,75
8.333333333333334,77
8.416666666666666,76
8.5,78
8.583333333333334,73
8.666666666666666,75
8.75,79
8.833333333333334,82
8.916666666666666,76
9,76
9.083333333333334,81
9.166666666666666,81
9.25,80
9.333333333333334,81
9.416666666666666,84
9.5,82
9.583333333333334,81
9.666666666666666,79
9.75,84
9.833333333333334,85
9.916666666666666,82
10,81
10.083333333333334,84
10.166666666666666,83
10.25,82
10.333333333333334,87
10.416666666666666,81
10.5,81
10.583333333333334,83
10.666666666666666,85
10.75,84
10.833333333333334,86
10.916666666666666,88
11,84
11.083333333333334,89
11.166666666666666,92
11.25,89
11.333333333333334,85
11.416666666666666,90
11.5,87
11.583333333333334,92
11.666666666666666,92
11.75,91
11.833333333333334,90
11.916666666666666,91
12,92
12.083333333333334,90
12.166666666666666,92
12.25,93
12.333333333333334,89
12.416666666666666,93
12.5,90
12.583333333333334,91
12.666666666666666,90
12.75,94
12.833333333333334,95
12.916666666666666,97
13,94
13.083333333333334,95
13.166666666666666,99
13.25,95
13.333333333333334,96
13.416666666666666,98
13.5,93
13.583333333333334,97
13.666666666666666,98
13.75,98
13.833333333333334,99
13.916666666666666,98
14,99
14.083333333333334,100
14.166666666666666,99
14.25,98
14.333333333333334,98
14.416666666666666,101
14.5,102
14.583333333333334,103
14.666666666666666,100
14.75,107
14.833333333333334,102
14.916666666666666,103
15,105
15.083333333333334,106
15.166666666666666,100
15.25,103
15.333333333333334,101
15.416666666666666,103
15.5,102
15.583333333333334,104
15.666666666666666,103
15.75,107
15.833333333333334,102
15.916666666666666,102
16,102
16.083333333333332,100
16.166666666666668,108
16.25,105
16.333333333333332,105
16.416666666666668,104
16.5,105
16.583333333333332,106
16.666666666666668,106
16.75,107
16.833333333333332,107
16.916666666666668,106
17,104
17.083333333333332,108
17.166666666666668,107
17.25,109
17.333333333333332,105
17.416666666666668,105
17.5,110
17.583333333333332,110
17.666666666666668,112
17.75,108
17.833333333333332,110
17.916666666666668,108
18,107
18.083333333333332,110
18.166666666666668,112
18.25,110
18.333333333333332,106
18.416666666666668,109
18.5,109
18.583333333333332,113
18.666666666666668,110
18.75,112
18.833333333333332,113
18.916666666666668,108
19,112
19.083333333333332,108
19.166666666666668,112
19.25,110
19.333333333333332,113
19.416666666666668,109
19.5,112
19.583333333333332,110
19.666666666666668,114
19.75,110
19.833333333333332,112
19.916666666666668,110
20,111
20.083333333333332,109
20.166666666666668,114
20.25,108
20.333333333333332,112
20.416666666666668,113
20.5,111
20.583333333333332,114
20.666666666666668,114
20.75,107
20.833333333333332,108
20.916666666666668,110
21,106
21.083333333333332,109
21.166666666666668,112
21.25,109
21.333333333333332,111
21.416666666666668,108
21.5,113
21.583333333333332,115
21.666666666666668,113
21.75,108
21.833333333333332,111
21.916666666666668,113
22,114
22.083333333333332,115
22.166666666666668,114
22.25,112
22.333333333333332,114
22.416666666666668,114
22.5,115
22.583333333333332,115
22.666666666666668,115
22.75,111
22.833333333333332,115
22.916666666666668,113
23,113
23.083333333333332,115
23.166666666666668,117
23.25,112
23.333333333333332,117
23.416666666666668,116
23.5,116
23.583333333333332,116
23.666666666666668,112
23.75,115
23.833333333333332,117
23.916666666666668,114
24,116
24.083333333333332,115
24.166666666666668,113
24.25,110
