"Hours since thread went live","Henjin no Salad Bowl • A Salad Bowl of Eccentrics - Episode 8 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,4
0.25,4
0.3333333333333333,6
0.4166666666666667,8
0.5,9
0.5833333333333334,10
0.6666666666666666,12
0.75,14
0.8333333333333334,15
0.9166666666666666,15
1,18
1.0833333333333333,20
1.1666666666666667,24
1.25,28
1.3333333333333333,28
1.4166666666666667,31
1.5,33
1.5833333333333333,36
1.6666666666666667,38
1.75,39
1.8333333333333333,46
1.9166666666666667,49
2,49
2.0833333333333335,51
2.1666666666666665,57
2.25,57
2.3333333333333335,57
2.4166666666666665,63
2.5,62
2.5833333333333335,70
2.6666666666666665,67
2.75,72
2.8333333333333335,75
2.9166666666666665,78
3,78
3.0833333333333335,81
3.1666666666666665,83
3.25,85
3.3333333333333335,95
3.4166666666666665,99
3.5,102
3.5833333333333335,105
3.6666666666666665,109
3.75,111
3.8333333333333335,117
3.9166666666666665,115
4,119
4.083333333333333,121
4.166666666666667,127
4.25,130
4.333333333333333,130
4.416666666666667,134
4.5,137
4.583333333333333,144
4.666666666666667,145
4.75,151
4.833333333333333,145
4.916666666666667,147
5,152
5.083333333333333,155
5.166666666666667,159
5.25,159
5.333333333333333,163
5.416666666666667,169
5.5,169
5.583333333333333,171
5.666666666666667,171
5.75,171
5.833333333333333,175
5.916666666666667,170
6,178
6.083333333333333,180
6.166666666666667,182
6.25,180
6.333333333333333,188
6.416666666666667,191
6.5,192
6.583333333333333,192
6.666666666666667,195
6.75,203
6.833333333333333,204
6.916666666666667,207
7,213
7.083333333333333,213
7.166666666666667,212
7.25,218
7.333333333333333,219
7.416666666666667,219
7.5,220
7.583333333333333,221
7.666666666666667,228
7.75,227
7.833333333333333,229
7.916666666666667,231
8,231
8.083333333333334,234
8.166666666666666,238
8.25,235
8.333333333333334,241
8.416666666666666,243
8.5,245
8.583333333333334,250
8.666666666666666,246
8.75,248
8.833333333333334,250
8.916666666666666,252
9,253
9.083333333333334,258
9.166666666666666,257
9.25,259
9.333333333333334,262
9.416666666666666,266
9.5,264
9.583333333333334,271
9.666666666666666,266
9.75,269
9.833333333333334,266
9.916666666666666,273
10,269
10.083333333333334,275
10.166666666666666,274
10.25,274
10.333333333333334,278
10.416666666666666,277
10.5,280
10.583333333333334,280
10.666666666666666,279
10.75,285
10.833333333333334,281
10.916666666666666,283
11,287
11.083333333333334,290
11.166666666666666,288
11.25,290
11.333333333333334,288
11.416666666666666,288
11.5,290
11.583333333333334,289
11.666666666666666,296
11.75,294
11.833333333333334,294
11.916666666666666,298
12,301
12.083333333333334,297
12.166666666666666,305
12.25,304
12.333333333333334,303
12.416666666666666,305
12.5,305
12.583333333333334,304
12.666666666666666,305
12.75,308
12.833333333333334,304
12.916666666666666,306
13,307
13.083333333333334,308
13.166666666666666,310
13.25,310
13.333333333333334,315
13.416666666666666,312
13.5,314
13.583333333333334,318
13.666666666666666,315
13.75,316
13.833333333333334,319
13.916666666666666,318
14,323
14.083333333333334,319
14.166666666666666,322
14.25,322
14.333333333333334,326
14.416666666666666,323
14.5,328
14.583333333333334,328
14.666666666666666,328
14.75,321
14.833333333333334,330
14.916666666666666,326
15,327
15.083333333333334,331
15.166666666666666,335
15.25,334
15.333333333333334,331
15.416666666666666,332
15.5,328
15.583333333333334,328
15.666666666666666,337
15.75,338
15.833333333333334,332
15.916666666666666,335
16,334
16.083333333333332,338
16.166666666666668,339
16.25,339
16.333333333333332,343
16.416666666666668,340
16.5,339
16.583333333333332,344
16.666666666666668,338
16.75,337
16.833333333333332,333
16.916666666666668,344
17,336
17.083333333333332,337
17.166666666666668,339
17.25,334
17.333333333333332,343
17.416666666666668,344
17.5,341
17.583333333333332,349
17.666666666666668,345
17.75,346
17.833333333333332,344
17.916666666666668,346
18,340
18.083333333333332,347
18.166666666666668,345
18.25,345
18.333333333333332,345
18.416666666666668,348
18.5,348
18.583333333333332,348
18.666666666666668,345
18.75,348
18.833333333333332,346
18.916666666666668,351
19,349
19.083333333333332,345
19.166666666666668,348
19.25,348
19.333333333333332,353
19.416666666666668,349
19.5,348
19.583333333333332,351
19.666666666666668,351
19.75,355
19.833333333333332,354
19.916666666666668,352
20,356
20.083333333333332,356
20.166666666666668,354
20.25,358
20.333333333333332,362
20.416666666666668,357
20.5,365
20.583333333333332,361
20.666666666666668,358
20.75,367
20.833333333333332,362
20.916666666666668,361
21,363
21.083333333333332,366
21.166666666666668,362
21.25,367
21.333333333333332,369
21.416666666666668,369
21.5,371
21.583333333333332,370
21.666666666666668,365
