"Hours since thread went live","Astro Note - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,5
0.5833333333333334,6
0.6666666666666666,8
0.75,8
0.8333333333333334,9
0.9166666666666666,11
1,13
1.0833333333333333,13
1.1666666666666667,13
1.25,14
1.3333333333333333,15
1.4166666666666667,16
1.5,20
1.5833333333333333,23
1.6666666666666667,26
1.75,28
1.8333333333333333,26
1.9166666666666667,29
2,31
2.0833333333333335,31
2.1666666666666665,30
2.25,36
2.3333333333333335,37
2.4166666666666665,35
2.5,35
2.5833333333333335,35
2.6666666666666665,41
2.75,42
2.8333333333333335,39
2.9166666666666665,43
3,42
3.0833333333333335,45
3.1666666666666665,45
3.25,48
3.3333333333333335,46
3.4166666666666665,47
3.5,48
3.5833333333333335,50
3.6666666666666665,50
3.75,52
3.8333333333333335,51
3.9166666666666665,57
4,60
4.083333333333333,62
4.166666666666667,59
4.25,58
4.333333333333333,60
4.416666666666667,63
4.5,68
4.583333333333333,67
4.666666666666667,64
4.75,70
4.833333333333333,73
4.916666666666667,72
5,72
5.083333333333333,72
5.166666666666667,73
5.25,76
5.333333333333333,77
5.416666666666667,70
5.5,72
5.583333333333333,75
5.666666666666667,72
5.75,77
5.833333333333333,76
5.916666666666667,74
6,71
6.083333333333333,72
6.166666666666667,78
6.25,82
6.333333333333333,85
6.416666666666667,79
6.5,82
6.583333333333333,85
6.666666666666667,81
6.75,84
6.833333333333333,81
6.916666666666667,82
7,85
7.083333333333333,81
7.166666666666667,81
7.25,85
7.333333333333333,88
7.416666666666667,89
7.5,91
7.583333333333333,94
7.666666666666667,96
7.75,93
7.833333333333333,96
7.916666666666667,100
8,94
8.083333333333334,94
8.166666666666666,100
8.25,103
8.333333333333334,97
8.416666666666666,101
8.5,101
8.583333333333334,101
8.666666666666666,107
8.75,102
8.833333333333334,105
8.916666666666666,108
9,103
9.083333333333334,106
9.166666666666666,107
9.25,113
9.333333333333334,111
9.416666666666666,111
9.5,110
9.583333333333334,112
9.666666666666666,112
9.75,110
9.833333333333334,116
9.916666666666666,111
10,113
10.083333333333334,111
10.166666666666666,116
10.25,117
10.333333333333334,111
10.416666666666666,118
10.5,119
10.583333333333334,119
10.666666666666666,121
10.75,124
10.833333333333334,123
10.916666666666666,117
11,122
11.083333333333334,122
11.166666666666666,121
11.25,122
11.333333333333334,124
11.416666666666666,127
11.5,122
11.583333333333334,121
11.666666666666666,123
11.75,126
11.833333333333334,124
11.916666666666666,124
12,121
12.083333333333334,128
12.166666666666666,127
12.25,127
12.333333333333334,124
12.416666666666666,126
12.5,125
12.583333333333334,124
12.666666666666666,127
12.75,126
12.833333333333334,130
12.916666666666666,127
13,128
13.083333333333334,125
13.166666666666666,126
13.25,129
13.333333333333334,131
13.416666666666666,131
13.5,129
13.583333333333334,128
13.666666666666666,132
13.75,128
13.833333333333334,129
13.916666666666666,132
14,129
14.083333333333334,133
14.166666666666666,132
14.25,134
14.333333333333334,130
14.416666666666666,135
14.5,130
14.583333333333334,133
14.666666666666666,132
14.75,135
14.833333333333334,134
14.916666666666666,133
15,133
15.083333333333334,135
15.166666666666666,136
15.25,135
15.333333333333334,131
15.416666666666666,135
15.5,139
15.583333333333334,137
15.666666666666666,135
15.75,135
15.833333333333334,135
15.916666666666666,133
16,135
16.083333333333332,137
16.166666666666668,138
16.25,138
16.333333333333332,136
16.416666666666668,139
16.5,139
16.583333333333332,135
16.666666666666668,137
16.75,135
16.833333333333332,138
16.916666666666668,138
17,137
17.083333333333332,137
17.166666666666668,139
17.25,139
17.333333333333332,142
17.416666666666668,141
17.5,140
17.583333333333332,142
17.666666666666668,139
17.75,139
17.833333333333332,143
17.916666666666668,142
18,144
18.083333333333332,145
18.166666666666668,141
18.25,145
18.333333333333332,141
18.416666666666668,141
18.5,141
18.583333333333332,138
18.666666666666668,140
18.75,142
18.833333333333332,143
18.916666666666668,144
19,144
19.083333333333332,142
19.166666666666668,140
19.25,142
19.333333333333332,144
19.416666666666668,142
19.5,142
19.583333333333332,146
19.666666666666668,146
19.75,139
19.833333333333332,140
19.916666666666668,144
20,141
20.083333333333332,144
20.166666666666668,147
20.25,140
20.333333333333332,145
20.416666666666668,146
20.5,144
20.583333333333332,143
20.666666666666668,142
20.75,143
20.833333333333332,148
20.916666666666668,142
21,143
21.083333333333332,147
21.166666666666668,143
21.25,147
21.333333333333332,148
21.416666666666668,148
21.5,150
21.583333333333332,147
21.666666666666668,144
21.75,145
21.833333333333332,149
21.916666666666668,152
22,148
22.083333333333332,149
22.166666666666668,147
22.25,149
22.333333333333332,149
22.416666666666668,151
22.5,150
22.583333333333332,148
22.666666666666668,148
22.75,149
22.833333333333332,152
22.916666666666668,154
23,155
23.083333333333332,157
23.166666666666668,154
23.25,152
23.333333333333332,152
23.416666666666668,152
23.5,156
23.583333333333332,153
23.666666666666668,153
23.75,152
23.833333333333332,151
23.916666666666668,155
24,153
24.083333333333332,156
24.166666666666668,154
24.25,152
24.333333333333332,154
24.416666666666668,155
24.5,152
24.583333333333332,153
24.666666666666668,156
24.75,152
24.833333333333332,154
24.916666666666668,153
25,151
25.083333333333332,156
25.166666666666668,158
25.25,151
25.333333333333332,157
25.416666666666668,150
25.5,158
25.583333333333332,151
25.666666666666668,153
25.75,153
25.833333333333332,151
25.916666666666668,158
26,157
26.083333333333332,154
26.166666666666668,155
26.25,152
26.333333333333332,154
26.416666666666668,155
26.5,154
26.583333333333332,157
26.666666666666668,157
26.75,160
26.833333333333332,156
26.916666666666668,156
27,155
27.083333333333332,157
27.166666666666668,161
27.25,156
27.333333333333332,161
27.416666666666668,161
27.5,158
27.583333333333332,159
27.666666666666668,155
27.75,157
27.833333333333332,155
27.916666666666668,159
28,155
28.083333333333332,156
28.166666666666668,158
28.25,160
28.333333333333332,159
28.416666666666668,161
28.5,162
28.583333333333332,157
28.666666666666668,159
28.75,162
28.833333333333332,161
28.916666666666668,160
29,161
29.083333333333332,158
29.166666666666668,161
29.25,160
29.333333333333332,160
29.416666666666668,157
29.5,158
29.583333333333332,160
29.666666666666668,160
29.75,161
29.833333333333332,160
29.916666666666668,161
30,161
30.083333333333332,161
30.166666666666668,162
30.25,161
30.333333333333332,156
30.416666666666668,161
30.5,160
30.583333333333332,158
30.666666666666668,160
30.75,161
30.833333333333332,164
30.916666666666668,159
31,162
31.083333333333332,164
31.166666666666668,161
31.25,160
31.333333333333332,159
31.416666666666668,161
31.5,158
31.583333333333332,160
31.666666666666668,158
31.75,158
31.833333333333332,160
31.916666666666668,160
32,164
32.083333333333336,164
32.166666666666664,159
32.25,162
32.333333333333336,165
32.416666666666664,166
32.5,165
32.583333333333336,167
32.666666666666664,163
32.75,162
32.833333333333336,163
32.916666666666664,162
33,161
33.083333333333336,161
33.166666666666664,165
33.25,160
33.333333333333336,161
33.416666666666664,161
33.5,166
33.583333333333336,164
33.666666666666664,164
33.75,165
33.833333333333336,160
33.916666666666664,162
34,162
34.083333333333336,162
34.166666666666664,162
34.25,161
34.333333333333336,164
34.416666666666664,160
34.5,163
34.583333333333336,160
34.666666666666664,164
34.75,161
34.833333333333336,161
34.916666666666664,163
35,162
35.083333333333336,165
35.166666666666664,163
35.25,159
35.333333333333336,162
35.416666666666664,166
35.5,163
35.583333333333336,165
