"Hours since thread went live","Shinkalion: Change the World - Episode 7 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,2
0.25,4
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,3
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,3
1.3333333333333333,3
1.4166666666666667,1
1.5,3
1.5833333333333333,2
1.6666666666666667,3
1.75,4
1.8333333333333333,4
1.9166666666666667,5
2,4
2.0833333333333335,4
2.1666666666666665,5
2.25,5
2.3333333333333335,4
2.4166666666666665,3
2.5,3
2.5833333333333335,3
2.6666666666666665,3
2.75,4
2.8333333333333335,3
2.9166666666666665,3
3,4
3.0833333333333335,3
3.1666666666666665,4
3.25,3
3.3333333333333335,3
3.4166666666666665,3
3.5,4
3.5833333333333335,2
3.6666666666666665,5
3.75,5
3.8333333333333335,4
3.9166666666666665,4
4,6
4.083333333333333,6
4.166666666666667,2
4.25,3
4.333333333333333,5
4.416666666666667,5
4.5,4
4.583333333333333,4
4.666666666666667,4
4.75,2
4.833333333333333,5
4.916666666666667,4
5,4
5.083333333333333,5
5.166666666666667,6
5.25,4
5.333333333333333,6
5.416666666666667,4
5.5,5
5.583333333333333,5
5.666666666666667,4
5.75,4
5.833333333333333,3
5.916666666666667,5
6,4
6.083333333333333,5
6.166666666666667,2
6.25,5
6.333333333333333,4
6.416666666666667,5
6.5,4
6.583333333333333,4
6.666666666666667,4
6.75,4
6.833333333333333,5
6.916666666666667,4
7,3
7.083333333333333,5
7.166666666666667,4
7.25,4
7.333333333333333,4
7.416666666666667,4
7.5,5
7.583333333333333,3
7.666666666666667,4
7.75,3
7.833333333333333,4
7.916666666666667,4
8,5
8.083333333333334,6
8.166666666666666,4
8.25,3
8.333333333333334,4
8.416666666666666,5
8.5,3
8.583333333333334,6
8.666666666666666,6
8.75,5
8.833333333333334,4
8.916666666666666,3
9,5
9.083333333333334,5
9.166666666666666,5
9.25,3
9.333333333333334,2
9.416666666666666,5
9.5,4
9.583333333333334,4
9.666666666666666,5
9.75,3
9.833333333333334,4
9.916666666666666,3
10,3
10.083333333333334,3
10.166666666666666,4
10.25,4
10.333333333333334,5
10.416666666666666,3
10.5,5
10.583333333333334,4
10.666666666666666,5
10.75,3
10.833333333333334,6
10.916666666666666,3
11,4
11.083333333333334,3
11.166666666666666,5
11.25,3
11.333333333333334,5
11.416666666666666,2
11.5,3
11.583333333333334,5
11.666666666666666,5
11.75,4
11.833333333333334,3
11.916666666666666,2
12,4
12.083333333333334,6
12.166666666666666,4
12.25,4
12.333333333333334,4
12.416666666666666,5
12.5,4
12.583333333333334,6
12.666666666666666,6
12.75,4
12.833333333333334,3
12.916666666666666,4
13,4
13.083333333333334,4
13.166666666666666,4
13.25,6
13.333333333333334,4
13.416666666666666,3
13.5,4
13.583333333333334,5
13.666666666666666,4
13.75,5
13.833333333333334,2
13.916666666666666,3
14,5
14.083333333333334,5
14.166666666666666,5
14.25,6
14.333333333333334,4
14.416666666666666,2
14.5,4
14.583333333333334,6
14.666666666666666,3
14.75,4
14.833333333333334,4
14.916666666666666,3
15,3
15.083333333333334,5
15.166666666666666,5
15.25,4
15.333333333333334,4
15.416666666666666,3
15.5,5
15.583333333333334,6
15.666666666666666,6
15.75,4
15.833333333333334,4
15.916666666666666,4
16,2
16.083333333333332,5
16.166666666666668,6
16.25,2
16.333333333333332,2
16.416666666666668,3
16.5,4
16.583333333333332,3
16.666666666666668,3
16.75,5
16.833333333333332,5
16.916666666666668,5
17,4
17.083333333333332,4
17.166666666666668,2
17.25,5
17.333333333333332,5
17.416666666666668,4
17.5,4
17.583333333333332,4
17.666666666666668,4
17.75,5
17.833333333333332,4
17.916666666666668,5
18,4
18.083333333333332,2
18.166666666666668,6
18.25,4
18.333333333333332,3
18.416666666666668,4
18.5,3
18.583333333333332,4
18.666666666666668,5
18.75,3
18.833333333333332,3
18.916666666666668,4
19,2
19.083333333333332,3
19.166666666666668,3
19.25,5
19.333333333333332,3
19.416666666666668,4
19.5,6
19.583333333333332,2
19.666666666666668,4
19.75,2
19.833333333333332,3
19.916666666666668,4
20,4
20.083333333333332,3
20.166666666666668,6
20.25,5
20.333333333333332,2
20.5,2
20.5,4
20.583333333333332,3
20.666666666666668,3
20.75,6
20.833333333333332,5
20.916666666666668,4
21,4
21.083333333333332,5
21.166666666666668,4
21.25,3
21.333333333333332,3
21.416666666666668,4
21.5,4
21.583333333333332,4
21.666666666666668,5
21.75,4
21.833333333333332,3
21.916666666666668,4
22,4
22.083333333333332,4
22.166666666666668,4
22.25,5
22.333333333333332,6
22.416666666666668,3
22.5,4
22.583333333333332,4
22.666666666666668,5
22.75,3
22.833333333333332,4
22.916666666666668,4
23,5
23.083333333333332,3
23.166666666666668,4
23.25,2
23.333333333333332,3
23.416666666666668,4
23.5,4
23.583333333333332,4
23.666666666666668,3
23.75,4
23.833333333333332,4
23.916666666666668,4
24,2
24.083333333333332,4
24.166666666666668,3
24.25,3
24.333333333333332,6
24.416666666666668,2
24.5,4
24.583333333333332,5
24.666666666666668,6
24.75,6
24.833333333333332,2
24.916666666666668,4
25,3
25.083333333333332,4
25.166666666666668,4
25.25,3
25.333333333333332,3
25.416666666666668,6
25.5,3
25.583333333333332,5
25.666666666666668,3
25.75,2
25.833333333333332,5
25.916666666666668,3
26,4
26.083333333333332,3
26.166666666666668,4
26.25,6
26.333333333333332,4
26.416666666666668,4
26.5,4
26.583333333333332,2
26.666666666666668,4
26.75,4
26.833333333333332,2
26.916666666666668,5
27,6
27.083333333333332,3
27.166666666666668,5
27.25,4
27.333333333333332,4
27.416666666666668,3
27.5,4
27.583333333333332,4
27.666666666666668,4
27.75,3
27.833333333333332,5
27.916666666666668,4
28,5
28.083333333333332,5
28.166666666666668,4
28.25,4
28.333333333333332,4
28.416666666666668,3
28.5,3
28.583333333333332,4
28.666666666666668,4
28.75,3
28.833333333333332,5
28.916666666666668,3
29,5
29.083333333333332,5
29.166666666666668,3
29.25,3
29.333333333333332,5
29.416666666666668,4
29.5,4
29.583333333333332,5
29.666666666666668,3
29.75,4
29.833333333333332,6
29.916666666666668,6
30,4
30.083333333333332,2
30.166666666666668,4
30.25,6
30.333333333333332,4
30.416666666666668,6
30.5,4
30.583333333333332,4
30.666666666666668,2
30.75,3
30.833333333333332,6
30.916666666666668,4
31,3
31.083333333333332,6
31.166666666666668,3
31.25,6
31.333333333333332,5
31.416666666666668,3
31.5,5
31.583333333333332,4
31.666666666666668,6
31.75,6
31.833333333333332,5
31.916666666666668,4
32,4
32.083333333333336,4
32.166666666666664,5
32.25,4
32.333333333333336,5
32.416666666666664,4
32.5,4
32.583333333333336,4
32.666666666666664,5
32.75,5
32.833333333333336,4
32.916666666666664,4
33,6
33.083333333333336,4
33.166666666666664,5
33.25,3
33.333333333333336,4
33.416666666666664,3
33.5,4
33.583333333333336,2
33.666666666666664,3
