"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 8 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,4
0.3333333333333333,7
0.4166666666666667,12
0.5,17
0.5833333333333334,21
0.6666666666666666,28
0.75,34
0.8333333333333334,37
0.9166666666666666,46
1,50
1.0833333333333333,55
1.1666666666666667,55
1.25,58
1.3333333333333333,65
1.4166666666666667,64
1.5,67
1.5833333333333333,70
1.6666666666666667,79
1.75,79
1.8333333333333333,85
1.9166666666666667,88
2,89
2.0833333333333335,93
2.1666666666666665,95
2.25,103
2.3333333333333335,105
2.4166666666666665,105
2.5,108
2.5833333333333335,114
2.6666666666666665,118
2.75,119
2.8333333333333335,124
2.9166666666666665,123
3,128
3.0833333333333335,129
3.1666666666666665,130
3.25,131
3.3333333333333335,135
3.4166666666666665,135
3.5,138
3.5833333333333335,137
3.6666666666666665,140
3.75,138
3.8333333333333335,146
3.9166666666666665,147
4,152
4.083333333333333,156
4.166666666666667,157
4.25,162
4.333333333333333,164
4.416666666666667,165
4.5,165
4.583333333333333,164
4.666666666666667,168
4.75,170
4.833333333333333,177
4.916666666666667,180
5,184
5.083333333333333,184
5.166666666666667,187
5.25,189
5.333333333333333,187
5.416666666666667,190
5.5,191
5.583333333333333,197
5.666666666666667,191
5.75,194
5.833333333333333,197
5.916666666666667,199
6,200
6.083333333333333,203
6.166666666666667,203
6.25,205
6.333333333333333,211
6.416666666666667,210
6.5,211
6.583333333333333,218
6.666666666666667,218
6.75,222
6.833333333333333,223
6.916666666666667,224
7,224
7.083333333333333,229
7.166666666666667,230
7.25,235
7.333333333333333,234
7.416666666666667,236
7.5,235
7.583333333333333,240
7.666666666666667,240
7.75,244
7.833333333333333,241
7.916666666666667,247
8,242
8.083333333333334,246
8.166666666666666,254
8.25,253
8.333333333333334,255
8.416666666666666,256
8.5,256
8.583333333333334,257
8.666666666666666,256
8.75,262
8.833333333333334,261
8.916666666666666,263
9,263
9.083333333333334,264
9.166666666666666,271
9.25,266
9.333333333333334,269
9.416666666666666,269
9.5,270
9.583333333333334,274
9.666666666666666,271
9.75,275
9.833333333333334,276
9.916666666666666,282
10,283
10.083333333333334,283
10.166666666666666,283
10.25,286
10.333333333333334,282
10.416666666666666,288
10.5,287
10.583333333333334,284
10.666666666666666,291
10.75,294
10.833333333333334,292
10.916666666666666,295
11,295
11.083333333333334,298
11.166666666666666,300
11.25,297
11.333333333333334,299
11.416666666666666,302
11.5,303
11.583333333333334,311
11.666666666666666,306
11.75,308
11.833333333333334,314
11.916666666666666,314
12,316
12.083333333333334,312
12.166666666666666,318
12.25,311
12.333333333333334,313
12.416666666666666,312
12.5,317
12.583333333333334,325
12.666666666666666,321
12.75,320
12.833333333333334,328
12.916666666666666,324
13,323
13.083333333333334,327
13.166666666666666,330
13.25,326
13.333333333333334,330
13.416666666666666,335
13.5,332
13.583333333333334,339
13.666666666666666,339
13.75,333
13.833333333333334,335
13.916666666666666,341
14,341
14.083333333333334,346
14.166666666666666,341
14.25,350
14.333333333333334,347
14.416666666666666,346
14.5,348
14.583333333333334,342
14.666666666666666,350
14.75,353
14.833333333333334,351
14.916666666666666,355
15,352
15.083333333333334,356
15.166666666666666,363
15.25,361
15.333333333333334,360
15.416666666666666,362
15.5,360
15.583333333333334,363
15.666666666666666,365
15.75,365
15.833333333333334,361
15.916666666666666,369
16,363
16.083333333333332,368
16.166666666666668,371
16.25,370
16.333333333333332,375
16.416666666666668,369
16.5,371
16.583333333333332,370
16.666666666666668,372
16.75,375
16.833333333333332,379
16.916666666666668,382
17,381
17.083333333333332,378
17.166666666666668,379
17.25,374
17.333333333333332,378
17.416666666666668,377
17.5,377
17.583333333333332,381
17.666666666666668,374
17.75,380
17.833333333333332,380
17.916666666666668,377
18,379
18.083333333333332,379
18.166666666666668,382
18.25,381
18.333333333333332,382
18.416666666666668,382
18.5,378
18.583333333333332,378
18.666666666666668,380
18.75,379
18.833333333333332,384
18.916666666666668,384
19,384
19.083333333333332,385
19.166666666666668,385
19.25,388
19.333333333333332,385
19.416666666666668,386
19.5,386
19.583333333333332,391
19.666666666666668,390
19.75,388
19.833333333333332,395
19.916666666666668,388
20,388
20.083333333333332,392
20.166666666666668,392
20.25,388
20.333333333333332,392
20.416666666666668,394
20.5,392
20.583333333333332,390
20.666666666666668,392
20.75,388
20.833333333333332,395
20.916666666666668,394
21,390
21.083333333333332,401
21.166666666666668,402
21.25,397
21.333333333333332,399
21.416666666666668,397
21.5,399
21.583333333333332,402
