"Hours since thread went live","Girls Band Cry - Episode 8 discussion"
0,5
0,7
0.08333333333333333,16
0.16666666666666666,23
0.25,32
0.3333333333333333,44
0.4166666666666667,49
0.5,54
0.5833333333333334,59
0.6666666666666666,65
0.75,69
0.8333333333333334,76
0.9166666666666666,83
1,87
1.0833333333333333,100
1.1666666666666667,108
1.25,115
1.3333333333333333,125
1.4166666666666667,130
1.5,144
1.5833333333333333,147
1.6666666666666667,152
1.75,158
1.8333333333333333,166
1.9166666666666667,170
2,174
2.0833333333333335,177
2.1666666666666665,186
2.25,194
2.3333333333333335,198
2.4166666666666665,202
2.5,215
2.5833333333333335,224
2.6666666666666665,231
2.75,238
2.8333333333333335,240
2.9166666666666665,248
3,254
3.0833333333333335,257
3.1666666666666665,260
3.25,271
3.3333333333333335,277
3.4166666666666665,284
3.5,290
3.5833333333333335,290
3.6666666666666665,293
3.75,297
3.8333333333333335,296
3.9166666666666665,306
4,303
4.083333333333333,303
4.166666666666667,311
4.25,321
4.333333333333333,327
4.416666666666667,326
4.5,333
4.583333333333333,334
4.666666666666667,344
4.75,348
4.833333333333333,351
4.916666666666667,358
5,359
5.083333333333333,365
5.166666666666667,378
5.25,379
5.333333333333333,388
5.416666666666667,388
5.5,392
5.583333333333333,399
5.666666666666667,409
5.75,412
5.833333333333333,415
5.916666666666667,425
6,420
6.083333333333333,430
6.166666666666667,431
6.25,433
6.333333333333333,442
6.416666666666667,447
6.5,454
6.583333333333333,454
6.666666666666667,463
6.75,466
6.833333333333333,476
6.916666666666667,474
7,482
7.083333333333333,487
7.166666666666667,489
7.25,493
7.333333333333333,501
7.416666666666667,506
7.5,508
7.583333333333333,513
7.666666666666667,514
7.75,517
7.833333333333333,521
7.916666666666667,526
8,534
8.083333333333334,533
8.166666666666666,536
8.25,543
8.333333333333334,553
8.416666666666666,549
8.5,558
8.583333333333334,562
8.666666666666666,564
8.75,564
8.833333333333334,575
8.916666666666666,576
9,582
9.083333333333334,582
9.166666666666666,588
9.25,594
9.333333333333334,604
9.416666666666666,600
9.5,605
9.583333333333334,610
9.666666666666666,610
9.75,609
9.833333333333334,613
9.916666666666666,620
10,613
10.083333333333334,621
10.166666666666666,624
10.25,623
10.333333333333334,630
10.416666666666666,635
10.5,637
10.583333333333334,641
10.666666666666666,635
10.75,643
10.833333333333334,645
10.916666666666666,650
11,657
11.083333333333334,661
11.166666666666666,659
11.25,667
11.333333333333334,664
11.416666666666666,665
11.5,670
11.583333333333334,671
11.666666666666666,673
11.75,681
11.833333333333334,680
11.916666666666666,678
12,688
12.083333333333334,687
12.166666666666666,686
12.25,691
12.333333333333334,696
12.416666666666666,693
12.5,696
12.583333333333334,695
12.666666666666666,696
12.75,696
12.833333333333334,701
12.916666666666666,698
13,700
13.083333333333334,702
13.166666666666666,703
13.25,702
13.333333333333334,708
13.416666666666666,716
13.5,715
13.583333333333334,720
13.666666666666666,721
13.75,718
13.833333333333334,719
13.916666666666666,719
14,729
14.083333333333334,723
14.166666666666666,730
14.25,733
14.333333333333334,730
14.416666666666666,735
14.5,732
14.583333333333334,737
14.666666666666666,732
14.75,734
14.833333333333334,733
14.916666666666666,738
15,736
15.083333333333334,737
15.166666666666666,741
15.25,743
15.333333333333334,750
15.416666666666666,752
15.5,749
15.583333333333334,756
15.666666666666666,764
15.75,760
15.833333333333334,757
15.916666666666666,759
16,762
16.083333333333332,766
16.166666666666668,768
16.25,759
16.333333333333332,767
16.416666666666668,764
16.5,768
16.583333333333332,771
16.666666666666668,778
16.75,775
16.833333333333332,782
16.916666666666668,780
17,780
17.083333333333332,778
17.166666666666668,787
17.25,780
17.333333333333332,780
17.416666666666668,787
17.5,787
17.583333333333332,785
17.666666666666668,789
17.75,790
17.833333333333332,793
17.916666666666668,794
18,801
18.083333333333332,801
18.166666666666668,801
18.25,800
