"Hours since thread went live","Boku no Hero Academia Season 7 • My Hero Academia Season 7 - Episode 4 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,0
0.25,2
0.3333333333333333,4
0.4166666666666667,7
0.5,8
0.5833333333333334,11
0.6666666666666666,12
0.75,16
0.8333333333333334,18
0.9166666666666666,23
1,29
1.0833333333333333,32
1.1666666666666667,34
1.25,39
1.3333333333333333,44
1.4166666666666667,47
1.5,51
1.5833333333333333,57
1.6666666666666667,65
1.75,65
1.8333333333333333,68
1.9166666666666667,69
2,72
2.0833333333333335,78
2.1666666666666665,82
2.25,88
2.3333333333333335,96
2.4166666666666665,103
2.5,108
2.5833333333333335,120
2.6666666666666665,126
2.75,127
2.8333333333333335,127
2.9166666666666665,132
3,141
3.0833333333333335,138
3.1666666666666665,146
3.25,155
3.3333333333333335,159
3.4166666666666665,159
3.5,168
3.5833333333333335,175
3.6666666666666665,179
3.75,188
3.8333333333333335,190
3.9166666666666665,192
4,198
4.083333333333333,199
4.166666666666667,208
4.25,223
4.333333333333333,257
4.416666666666667,277
4.5,295
4.583333333333333,324
4.666666666666667,344
4.75,372
4.833333333333333,401
4.916666666666667,438
5,469
5.083333333333333,492
5.166666666666667,531
5.25,556
5.333333333333333,590
5.416666666666667,609
5.5,614
5.583333333333333,616
5.666666666666667,617
5.75,616
5.833333333333333,620
5.916666666666667,631
6,629
6.083333333333333,638
6.166666666666667,641
6.25,644
6.333333333333333,649
6.416666666666667,658
6.5,662
6.583333333333333,672
6.666666666666667,676
6.75,688
6.833333333333333,696
6.916666666666667,691
7,695
7.083333333333333,699
7.166666666666667,706
7.25,709
7.333333333333333,714
7.416666666666667,715
7.5,718
7.583333333333333,728
7.666666666666667,736
7.75,742
7.833333333333333,752
7.916666666666667,754
8,759
8.083333333333334,759
8.166666666666666,767
8.25,768
8.333333333333334,769
8.416666666666666,776
8.5,782
8.583333333333334,783
8.666666666666666,786
8.75,799
8.833333333333334,804
8.916666666666666,800
9,810
9.083333333333334,817
9.166666666666666,816
9.25,824
9.333333333333334,827
9.416666666666666,826
9.5,836
9.583333333333334,833
9.666666666666666,846
9.75,841
9.833333333333334,847
9.916666666666666,846
10,853
10.083333333333334,854
10.166666666666666,858
10.25,854
10.333333333333334,864
10.416666666666666,863
10.5,867
10.583333333333334,870
10.666666666666666,874
10.75,879
10.833333333333334,877
10.916666666666666,885
11,882
11.083333333333334,891
11.166666666666666,892
11.25,894
11.333333333333334,892
11.416666666666666,893
11.5,900
11.583333333333334,895
11.666666666666666,896
11.75,907
11.833333333333334,899
11.916666666666666,904
12,904
12.083333333333334,902
12.166666666666666,906
12.25,911
12.333333333333334,912
12.416666666666666,916
12.5,919
12.583333333333334,919
12.666666666666666,932
12.75,926
12.833333333333334,935
12.916666666666666,936
13,941
13.083333333333334,942
13.166666666666666,946
13.25,947
13.333333333333334,949
13.416666666666666,952
13.5,955
13.583333333333334,955
13.666666666666666,960
13.75,966
13.833333333333334,958
13.916666666666666,961
14,961
14.083333333333334,972
14.166666666666666,968
14.25,966
14.333333333333334,966
14.416666666666666,969
14.5,978
14.583333333333334,978
14.666666666666666,977
14.75,982
14.833333333333334,983
14.916666666666666,981
15,983
15.083333333333334,981
15.166666666666666,979
15.25,983
15.333333333333334,982
15.416666666666666,991
15.5,985
15.583333333333334,990
15.666666666666666,992
15.75,995
15.833333333333334,996
15.916666666666666,994
16,1002
16.083333333333332,1000
16.166666666666668,999
16.25,1004
16.333333333333332,1003
16.416666666666668,1009
16.5,1009
16.583333333333332,1015
16.666666666666668,1016
16.75,1017
16.833333333333332,1018
16.916666666666668,1015
17,1022
17.083333333333332,1020
17.166666666666668,1023
17.25,1028
17.333333333333332,1030
17.416666666666668,1027
17.5,1031
17.583333333333332,1029
17.666666666666668,1034
17.75,1034
17.833333333333332,1038
17.916666666666668,1041
18,1042
18.083333333333332,1047
18.166666666666668,1049
18.25,1043
18.333333333333332,1053
18.416666666666668,1049
18.5,1050
18.583333333333332,1048
18.666666666666668,1049
18.75,1054
18.833333333333332,1055
18.916666666666668,1055
19,1059
19.083333333333332,1066
19.166666666666668,1062
19.25,1066
19.333333333333332,1064
19.416666666666668,1066
19.5,1067
19.583333333333332,1067
19.666666666666668,1073
19.75,1075
19.833333333333332,1076
19.916666666666668,1074
20,1079
20.083333333333332,1079
20.166666666666668,1081
20.25,1088
20.333333333333332,1080
20.416666666666668,1088
20.5,1087
20.583333333333332,1087
20.666666666666668,1092
20.75,1087
20.833333333333332,1084
20.916666666666668,1094
21,1090
21.083333333333332,1091
21.166666666666668,1098
21.25,1094
21.333333333333332,1100
21.416666666666668,1100
21.5,1103
21.583333333333332,1100
21.666666666666668,1103
21.75,1095
21.833333333333332,1104
21.916666666666668,1102
22,1104
22.083333333333332,1096
22.166666666666668,1102
22.25,1100
22.333333333333332,1099
22.416666666666668,1103
22.5,1101
22.583333333333332,1107
22.666666666666668,1109
22.75,1105
22.833333333333332,1105
22.916666666666668,1107
23,1113
23.083333333333332,1118
23.166666666666668,1111
23.25,1114
23.333333333333332,1124
23.416666666666668,1126
23.5,1122
23.583333333333332,1116
23.666666666666668,1123
23.75,1120
23.833333333333332,1120
23.916666666666668,1121
24,1119
24.083333333333332,1119
24.166666666666668,1122
24.25,1118
24.333333333333332,1121
24.416666666666668,1124
24.5,1125
24.583333333333332,1124
24.666666666666668,1130
24.75,1126
24.833333333333332,1129
24.916666666666668,1128
25,1126
25.083333333333332,1123
25.166666666666668,1130
25.25,1128
25.333333333333332,1131
25.416666666666668,1126
25.5,1126
25.583333333333332,1129
25.666666666666668,1132
25.75,1135
25.833333333333332,1137
25.916666666666668,1134
26,1137
26.083333333333332,1136
26.166666666666668,1133
26.25,1132
26.333333333333332,1129
26.416666666666668,1137
26.5,1139
26.583333333333332,1141
26.666666666666668,1143
26.75,1145
26.833333333333332,1135
26.916666666666668,1138
27,1142
27.083333333333332,1144
27.166666666666668,1143
27.25,1140
27.333333333333332,1143
27.416666666666668,1141
27.5,1140
27.583333333333332,1144
27.666666666666668,1143
27.75,1147
27.833333333333332,1147
27.916666666666668,1145
28,1147
28.083333333333332,1147
28.166666666666668,1142
28.25,1151
28.333333333333332,1146
28.416666666666668,1152
28.5,1152
28.583333333333332,1147
28.666666666666668,1147
28.75,1144
28.833333333333332,1150
28.916666666666668,1149
29,1154
29.083333333333332,1150
29.166666666666668,1147
29.25,1148
29.333333333333332,1152
29.416666666666668,1152
29.5,1155
29.583333333333332,1149
29.666666666666668,1157
29.75,1152
29.833333333333332,1149
29.916666666666668,1155
30,1153
30.083333333333332,1154
30.166666666666668,1157
30.25,1154
30.333333333333332,1158
30.416666666666668,1153
30.5,1158
30.583333333333332,1156
30.666666666666668,1155
30.75,1156
30.833333333333332,1153
30.916666666666668,1157
31,1151
31.083333333333332,1156
31.166666666666668,1156
31.25,1154
31.333333333333332,1155
31.416666666666668,1157
31.5,1157
31.583333333333332,1156
31.666666666666668,1160
31.75,1160
31.833333333333332,1155
31.916666666666668,1157
32,1158
32.083333333333336,1157
32.166666666666664,1159
32.25,1161
32.333333333333336,1156
32.416666666666664,1159
32.5,1161
32.583333333333336,1158
32.666666666666664,1161
32.75,1156
32.833333333333336,1159
32.916666666666664,1161
33,1164
33.083333333333336,1161
33.166666666666664,1165
33.25,1160
33.333333333333336,1161
