"Hours since thread went live","One Room, Hiatari Futsuu, Tenshi-tsuki. • Studio Apartment, Good Lighting, Angel Included - Episode 9 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,3
0.25,6
0.3333333333333333,6
0.4166666666666667,9
0.5,10
0.5833333333333334,12
0.6666666666666666,13
0.75,14
0.8333333333333334,15
0.9166666666666666,18
1,20
1.0833333333333333,20
1.1666666666666667,18
1.25,20
1.3333333333333333,25
1.4166666666666667,26
1.5,28
1.5833333333333333,35
1.6666666666666667,36
1.75,38
1.8333333333333333,37
1.9166666666666667,36
2,39
2.0833333333333335,42
2.1666666666666665,38
2.25,47
2.3333333333333335,44
2.4166666666666665,46
2.5,48
2.5833333333333335,49
2.6666666666666665,51
2.75,53
2.8333333333333335,52
2.9166666666666665,55
3,58
3.0833333333333335,58
3.1666666666666665,54
3.25,57
3.3333333333333335,60
3.4166666666666665,62
3.5,65
3.5833333333333335,65
3.6666666666666665,67
3.75,64
3.8333333333333335,67
3.9166666666666665,67
4,66
4.083333333333333,69
4.166666666666667,69
4.25,70
4.333333333333333,72
4.416666666666667,72
4.5,76
4.583333333333333,73
4.666666666666667,79
4.75,78
4.833333333333333,77
4.916666666666667,77
5,77
5.083333333333333,84
5.166666666666667,82
5.25,83
5.333333333333333,81
5.416666666666667,86
5.5,84
5.583333333333333,82
5.666666666666667,84
5.75,85
5.833333333333333,85
5.916666666666667,83
6,85
6.083333333333333,86
6.166666666666667,84
6.25,86
6.333333333333333,82
6.416666666666667,86
6.5,85
6.583333333333333,91
6.666666666666667,87
6.75,89
6.833333333333333,87
6.916666666666667,89
7,90
7.083333333333333,91
7.166666666666667,94
7.25,94
7.333333333333333,95
7.416666666666667,99
7.5,95
7.583333333333333,104
7.666666666666667,97
7.75,100
7.833333333333333,104
7.916666666666667,105
8,105
8.083333333333334,108
8.166666666666666,108
8.25,108
8.333333333333334,109
8.416666666666666,112
8.5,109
8.583333333333334,108
8.666666666666666,107
8.75,113
8.833333333333334,112
8.916666666666666,114
9,110
9.083333333333334,112
9.166666666666666,114
9.25,114
9.333333333333334,116
9.416666666666666,115
9.5,118
9.583333333333334,116
9.666666666666666,115
9.75,118
9.833333333333334,120
9.916666666666666,123
10,120
10.083333333333334,122
10.166666666666666,121
10.25,121
10.333333333333334,122
10.416666666666666,125
10.5,120
10.583333333333334,121
10.666666666666666,122
10.75,127
10.833333333333334,126
10.916666666666666,124
11,125
11.083333333333334,123
11.166666666666666,126
11.25,125
11.333333333333334,127
11.416666666666666,125
11.5,125
11.583333333333334,126
11.666666666666666,126
11.75,128
11.833333333333334,130
11.916666666666666,132
12,132
12.083333333333334,131
12.166666666666666,127
12.25,130
12.333333333333334,129
12.416666666666666,130
12.5,130
12.583333333333334,132
12.666666666666666,131
12.75,133
12.833333333333334,133
12.916666666666666,130
13,133
13.083333333333334,135
13.166666666666666,132
13.25,134
13.333333333333334,132
13.416666666666666,132
13.5,136
13.583333333333334,132
13.666666666666666,135
13.75,132
13.833333333333334,134
13.916666666666666,134
14,134
14.083333333333334,138
14.166666666666666,135
14.25,132
14.333333333333334,138
14.416666666666666,136
14.5,136
14.583333333333334,134
14.666666666666666,140
14.75,136
14.833333333333334,136
14.916666666666666,138
15,140
15.083333333333334,142
15.166666666666666,139
15.25,136
15.333333333333334,141
15.416666666666666,138
15.5,139
15.583333333333334,139
15.666666666666666,144
15.75,139
15.833333333333334,142
15.916666666666666,145
16,145
16.083333333333332,140
16.166666666666668,145
16.25,146
16.333333333333332,145
16.416666666666668,143
16.5,145
16.583333333333332,145
16.666666666666668,146
16.75,142
16.833333333333332,146
16.916666666666668,149
17,145
17.083333333333332,147
17.166666666666668,146
17.25,150
17.333333333333332,145
17.416666666666668,148
17.5,151
17.583333333333332,149
17.666666666666668,147
17.75,145
17.833333333333332,150
17.916666666666668,152
18,150
18.083333333333332,148
18.166666666666668,149
18.25,150
18.333333333333332,150
18.416666666666668,151
18.5,154
18.583333333333332,150
18.666666666666668,151
18.75,151
18.833333333333332,156
18.916666666666668,152
19,153
19.083333333333332,152
19.166666666666668,152
19.25,155
19.333333333333332,153
19.416666666666668,151
19.5,154
19.583333333333332,153
19.666666666666668,152
19.75,152
19.833333333333332,157
19.916666666666668,152
20,153
20.083333333333332,153
20.166666666666668,154
20.25,154
20.333333333333332,158
20.416666666666668,153
20.5,158
20.583333333333332,157
20.666666666666668,156
20.75,158
20.833333333333332,156
20.916666666666668,158
21,162
21.083333333333332,160
21.166666666666668,158
21.25,156
21.333333333333332,159
21.416666666666668,161
21.5,159
21.583333333333332,160
21.666666666666668,162
21.75,161
21.833333333333332,158
21.916666666666668,162
22,160
22.083333333333332,157
22.166666666666668,160
22.25,158
22.333333333333332,156
22.416666666666668,160
22.5,160
22.583333333333332,160
22.666666666666668,159
22.75,161
22.833333333333332,161
22.916666666666668,159
23,159
23.083333333333332,164
23.166666666666668,161
23.25,162
23.333333333333332,164
23.416666666666668,163
23.5,160
23.583333333333332,163
23.666666666666668,165
23.75,163
23.833333333333332,162
23.916666666666668,162
24,164
24.083333333333332,164
24.166666666666668,166
24.25,166
24.333333333333332,163
24.416666666666668,164
24.5,163
24.583333333333332,161
24.666666666666668,162
24.75,161
24.833333333333332,166
24.916666666666668,165
25,167
25.083333333333332,162
25.166666666666668,162
25.25,163
25.333333333333332,164
25.416666666666668,162
25.5,161
25.583333333333332,165
25.666666666666668,161
25.75,162
25.833333333333332,160
25.916666666666668,164
26,167
26.083333333333332,162
26.166666666666668,162
26.25,165
26.333333333333332,165
26.416666666666668,163
26.5,167
26.583333333333332,164
26.666666666666668,165
26.75,162
26.833333333333332,165
26.916666666666668,166
27,164
27.083333333333332,166
27.166666666666668,164
27.25,167
27.333333333333332,168
27.416666666666668,168
27.5,166
27.583333333333332,163
27.666666666666668,166
27.75,167
27.833333333333332,167
27.916666666666668,164
28,168
28.083333333333332,165
28.166666666666668,168
28.25,168
28.333333333333332,167
28.416666666666668,168
28.5,165
28.583333333333332,167
28.666666666666668,164
28.75,165
28.833333333333332,169
28.916666666666668,170
29,167
29.083333333333332,168
29.166666666666668,170
29.25,169
29.333333333333332,167
29.416666666666668,168
29.5,165
29.583333333333332,164
29.666666666666668,167
29.75,168
29.833333333333332,170
29.916666666666668,171
30,171
30.083333333333332,170
30.166666666666668,170
30.25,171
30.333333333333332,171
30.416666666666668,168
30.5,167
30.583333333333332,165
30.666666666666668,169
30.75,168
30.833333333333332,169
30.916666666666668,168
31,167
31.083333333333332,166
31.166666666666668,172
31.25,170
31.333333333333332,168
31.416666666666668,169
31.5,165
31.583333333333332,170
31.666666666666668,168
31.75,169
31.833333333333332,170
31.916666666666668,171
32,170
32.083333333333336,171
32.166666666666664,171
32.25,172
32.333333333333336,173
32.416666666666664,169
32.5,171
32.583333333333336,171
32.666666666666664,168
32.75,168
32.833333333333336,171
32.916666666666664,173
33,171
33.083333333333336,170
33.166666666666664,174
33.25,171
33.333333333333336,169
33.416666666666664,170
33.5,169
33.583333333333336,169
33.666666666666664,169
33.75,167
33.833333333333336,167
33.916666666666664,170
34,173
34.083333333333336,169
34.166666666666664,173
34.25,170
34.333333333333336,166
34.416666666666664,170
34.5,172
34.583333333333336,171
34.666666666666664,172
34.75,175
34.833333333333336,168
34.916666666666664,171
35,172
35.083333333333336,173
35.166666666666664,174
35.25,170
35.333333333333336,175
35.416666666666664,172
35.5,172
35.583333333333336,171
35.666666666666664,175
35.75,173
35.833333333333336,169
35.916666666666664,170
36,170
36.083333333333336,174
36.166666666666664,175
36.25,176
36.333333333333336,173
36.416666666666664,175
36.5,173
36.583333333333336,172
36.666666666666664,172
36.75,173
36.833333333333336,174
36.916666666666664,172
37,172
37.083333333333336,173
37.166666666666664,176
37.25,175
37.333333333333336,170
37.416666666666664,176
37.5,174
37.583333333333336,172
37.666666666666664,170
37.75,171
37.833333333333336,171
37.916666666666664,172
38,174
38.083333333333336,169
38.166666666666664,174
38.25,175
38.333333333333336,170
38.416666666666664,175
38.5,175
38.583333333333336,170
38.666666666666664,169
38.75,172
