"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 8 discussion"
0,3
0.08333333333333333,12
0.16666666666666666,17
0.25,25
0.3333333333333333,35
0.4166666666666667,46
0.5,61
0.5833333333333334,82
0.6666666666666666,96
0.75,111
0.8333333333333334,130
0.9166666666666666,143
1,151
1.0833333333333333,161
1.1666666666666667,172
1.25,188
1.3333333333333333,203
1.4166666666666667,214
1.5,229
1.5833333333333333,238
1.6666666666666667,252
1.75,265
1.8333333333333333,283
1.9166666666666667,296
2,304
2.0833333333333335,314
2.1666666666666665,328
2.25,335
2.3333333333333335,350
2.4166666666666665,356
2.5,368
2.5833333333333335,379
2.6666666666666665,389
2.75,398
2.8333333333333335,404
2.9166666666666665,411
3,424
3.0833333333333335,423
3.1666666666666665,440
3.25,456
3.3333333333333335,461
3.4166666666666665,461
3.5,471
3.5833333333333335,473
3.6666666666666665,481
3.75,492
3.8333333333333335,498
3.9166666666666665,503
4,520
4.083333333333333,528
4.166666666666667,535
4.25,543
4.333333333333333,558
4.416666666666667,560
4.5,561
4.583333333333333,574
4.666666666666667,578
4.75,598
4.833333333333333,594
4.916666666666667,601
5,602
5.083333333333333,616
5.166666666666667,618
5.25,628
5.333333333333333,640
5.416666666666667,643
5.5,654
5.583333333333333,657
5.666666666666667,673
5.75,680
5.833333333333333,691
5.916666666666667,691
6,705
6.083333333333333,706
6.166666666666667,710
6.25,714
6.333333333333333,718
6.416666666666667,723
6.5,723
6.583333333333333,738
6.666666666666667,740
6.75,747
6.833333333333333,742
6.916666666666667,748
7,756
7.083333333333333,757
7.166666666666667,764
7.25,764
7.333333333333333,769
7.416666666666667,769
7.5,776
7.583333333333333,782
7.666666666666667,784
7.75,797
7.833333333333333,804
7.916666666666667,808
8,813
8.083333333333334,810
8.166666666666666,821
8.25,831
8.333333333333334,838
8.416666666666666,834
8.5,842
8.583333333333334,843
8.666666666666666,854
8.75,855
8.833333333333334,862
8.916666666666666,859
9,865
9.083333333333334,865
9.166666666666666,867
9.25,872
9.333333333333334,882
9.416666666666666,888
9.5,890
9.583333333333334,897
9.666666666666666,901
9.75,909
9.833333333333334,912
9.916666666666666,914
10,915
10.083333333333334,920
10.166666666666666,923
10.25,933
10.333333333333334,938
10.416666666666666,940
10.5,944
10.583333333333334,950
10.666666666666666,954
10.75,958
10.833333333333334,971
10.916666666666666,971
11,977
11.083333333333334,977
11.166666666666666,980
11.25,976
