"Hours since thread went live","Re:Monster - Episode 9 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,2
0.25,0
0.3333333333333333,0
0.4166666666666667,0
0.5,1
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,3
0.9166666666666666,6
1,8
1.0833333333333333,8
1.1666666666666667,8
1.25,8
1.3333333333333333,9
1.4166666666666667,8
1.5,10
1.5833333333333333,9
1.6666666666666667,8
1.75,8
1.8333333333333333,12
1.9166666666666667,10
2,15
2.0833333333333335,15
2.1666666666666665,17
2.25,17
2.3333333333333335,16
2.4166666666666665,20
2.5,19
2.5833333333333335,19
2.6666666666666665,18
2.75,20
2.8333333333333335,25
2.9166666666666665,27
3,24
3.0833333333333335,28
3.1666666666666665,24
3.25,27
3.3333333333333335,30
3.4166666666666665,32
3.5,32
3.5833333333333335,28
3.6666666666666665,32
3.75,30
3.8333333333333335,36
3.9166666666666665,36
4,38
4.083333333333333,43
4.166666666666667,43
4.25,43
4.333333333333333,44
4.416666666666667,42
4.5,44
4.583333333333333,44
4.666666666666667,42
4.75,44
4.833333333333333,49
4.916666666666667,48
5,52
5.083333333333333,51
5.166666666666667,49
5.25,53
5.333333333333333,51
5.416666666666667,49
5.5,49
5.583333333333333,53
5.666666666666667,52
5.75,51
5.833333333333333,56
5.916666666666667,59
6,57
6.083333333333333,56
6.166666666666667,60
6.25,58
6.333333333333333,53
6.416666666666667,54
6.5,53
6.583333333333333,55
6.666666666666667,53
6.75,56
6.833333333333333,58
6.916666666666667,52
7,57
7.083333333333333,57
7.166666666666667,62
7.25,57
7.333333333333333,62
7.416666666666667,58
7.5,63
7.583333333333333,60
7.666666666666667,59
7.75,56
7.833333333333333,62
7.916666666666667,61
8,55
8.083333333333334,64
8.166666666666666,58
8.25,61
8.333333333333334,60
8.416666666666666,61
8.5,62
8.583333333333334,64
8.666666666666666,61
8.75,62
8.833333333333334,62
8.916666666666666,64
9,62
9.083333333333334,65
9.166666666666666,64
9.25,65
9.333333333333334,63
9.416666666666666,65
9.5,67
9.583333333333334,66
9.666666666666666,69
9.75,70
9.833333333333334,68
9.916666666666666,71
10,74
10.083333333333334,72
10.166666666666666,72
10.25,70
10.333333333333334,76
10.416666666666666,73
10.5,72
10.583333333333334,74
10.666666666666666,73
10.75,75
10.833333333333334,72
10.916666666666666,74
11,73
11.083333333333334,74
11.166666666666666,76
11.25,74
11.333333333333334,76
11.416666666666666,76
11.5,75
11.583333333333334,75
11.666666666666666,79
11.75,78
11.833333333333334,76
11.916666666666666,76
12,75
12.083333333333334,82
12.166666666666666,82
12.25,78
12.333333333333334,86
12.416666666666666,85
12.5,84
12.583333333333334,80
12.666666666666666,84
12.75,82
12.833333333333334,85
12.916666666666666,86
13,88
13.083333333333334,89
13.166666666666666,91
13.25,86
13.333333333333334,88
13.416666666666666,92
13.5,87
13.583333333333334,90
13.666666666666666,89
13.75,88
13.833333333333334,91
13.916666666666666,91
14,91
14.083333333333334,94
14.166666666666666,90
14.25,88
14.333333333333334,91
14.416666666666666,94
14.5,95
14.583333333333334,93
14.666666666666666,94
14.75,92
14.833333333333334,93
14.916666666666666,96
15,92
15.083333333333334,90
15.166666666666666,93
15.25,96
15.333333333333334,98
15.416666666666666,95
15.5,94
15.583333333333334,96
15.666666666666666,93
15.75,94
15.833333333333334,94
15.916666666666666,95
16,94
16.083333333333332,97
16.166666666666668,93
16.25,99
16.333333333333332,99
16.416666666666668,98
16.5,100
16.583333333333332,103
16.666666666666668,98
16.75,98
16.833333333333332,99
16.916666666666668,97
17,97
17.083333333333332,100
17.166666666666668,103
17.25,100
17.333333333333332,105
17.416666666666668,103
17.5,104
17.583333333333332,102
17.666666666666668,103
17.75,105
17.833333333333332,99
17.916666666666668,100
18,101
18.083333333333332,99
18.166666666666668,98
18.25,101
18.333333333333332,98
18.416666666666668,99
18.5,102
18.583333333333332,100
18.666666666666668,99
18.75,101
18.833333333333332,99
18.916666666666668,97
19,99
19.083333333333332,98
19.166666666666668,101
19.25,102
19.333333333333332,97
19.416666666666668,97
19.5,100
19.583333333333332,105
19.666666666666668,100
19.75,98
19.833333333333332,106
19.916666666666668,103
20,104
20.083333333333332,99
20.166666666666668,102
20.25,99
20.333333333333332,102
20.416666666666668,104
20.5,104
20.583333333333332,104
20.666666666666668,101
20.75,103
20.833333333333332,100
20.916666666666668,99
21,102
21.083333333333332,102
21.166666666666668,102
21.25,107
21.333333333333332,105
21.416666666666668,103
21.5,102
21.583333333333332,100
21.666666666666668,104
21.75,98
21.833333333333332,100
21.916666666666668,103
22,102
22.083333333333332,101
22.166666666666668,102
22.25,99
22.333333333333332,103
22.416666666666668,104
22.5,100
22.583333333333332,102
22.666666666666668,103
22.75,102
22.833333333333332,101
22.916666666666668,106
23,105
23.083333333333332,102
23.166666666666668,103
23.25,101
23.333333333333332,103
23.416666666666668,100
23.5,104
23.583333333333332,104
23.666666666666668,103
23.75,103
23.833333333333332,106
23.916666666666668,103
24,105
24.083333333333332,105
24.166666666666668,106
24.25,101
