"Hours since thread went live","Blue Archive The Animation - Episode 8 discussion"
0,1
0,1
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,0
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,1
1,2
1.0833333333333333,4
1.1666666666666667,5
1.25,6
1.3333333333333333,7
1.4166666666666667,9
1.5,9
1.5833333333333333,10
1.6666666666666667,11
1.75,11
1.8333333333333333,10
1.9166666666666667,9
2,11
2.0833333333333335,12
2.1666666666666665,15
2.25,15
2.3333333333333335,16
2.4166666666666665,18
2.5,21
2.5833333333333335,20
2.6666666666666665,22
2.75,21
2.8333333333333335,21
2.9166666666666665,20
3,20
3.0833333333333335,23
3.1666666666666665,23
3.25,25
3.3333333333333335,27
3.4166666666666665,27
3.5,27
3.5833333333333335,27
3.6666666666666665,31
3.75,30
3.8333333333333335,31
3.9166666666666665,29
4,29
4.083333333333333,29
4.166666666666667,27
4.25,27
4.333333333333333,28
4.416666666666667,32
4.5,30
4.583333333333333,30
4.666666666666667,32
4.75,33
4.833333333333333,30
4.916666666666667,35
5,39
5.083333333333333,38
5.166666666666667,32
5.25,31
5.333333333333333,33
5.416666666666667,31
5.5,37
5.583333333333333,37
5.666666666666667,38
5.75,41
5.833333333333333,41
5.916666666666667,36
6,36
6.083333333333333,42
6.166666666666667,39
6.25,40
6.333333333333333,42
6.416666666666667,38
6.5,47
6.583333333333333,42
6.666666666666667,39
6.75,41
6.833333333333333,38
6.916666666666667,42
7,42
7.083333333333333,44
7.166666666666667,42
7.25,47
7.333333333333333,40
7.416666666666667,45
7.5,43
7.583333333333333,44
7.666666666666667,44
7.75,48
7.833333333333333,44
7.916666666666667,49
8,43
8.083333333333334,47
8.166666666666666,48
8.25,50
8.333333333333334,49
8.416666666666666,47
8.5,49
8.583333333333334,47
8.666666666666666,51
8.75,56
8.833333333333334,49
8.916666666666666,56
9,53
9.083333333333334,53
9.166666666666666,54
9.25,55
9.333333333333334,51
9.416666666666666,56
9.5,52
9.583333333333334,54
9.666666666666666,52
9.75,58
9.833333333333334,53
9.916666666666666,52
10,56
10.083333333333334,57
10.166666666666666,59
10.25,60
10.333333333333334,59
10.416666666666666,60
10.5,57
10.583333333333334,58
10.666666666666666,59
10.75,58
10.833333333333334,60
10.916666666666666,61
11,61
11.083333333333334,62
11.166666666666666,60
11.25,61
11.333333333333334,61
11.416666666666666,62
11.5,61
11.583333333333334,60
11.666666666666666,62
11.75,62
11.833333333333334,64
11.916666666666666,65
12,62
12.083333333333334,64
12.166666666666666,63
12.25,65
12.333333333333334,61
12.416666666666666,63
12.5,64
12.583333333333334,62
12.666666666666666,64
12.75,63
12.833333333333334,60
12.916666666666666,61
13,64
13.083333333333334,66
13.166666666666666,65
13.25,67
13.333333333333334,67
13.416666666666666,64
13.5,64
13.583333333333334,63
13.666666666666666,66
13.75,63
13.833333333333334,61
13.916666666666666,65
14,63
14.083333333333334,61
14.166666666666666,66
14.25,64
14.333333333333334,66
14.416666666666666,67
14.5,65
14.583333333333334,65
14.666666666666666,62
14.75,62
14.833333333333334,66
14.916666666666666,63
15,66
15.083333333333334,65
15.166666666666666,61
15.25,66
15.333333333333334,60
15.416666666666666,62
15.5,68
15.583333333333334,65
15.666666666666666,63
15.75,62
15.833333333333334,64
15.916666666666666,65
16,62
16.083333333333332,67
16.166666666666668,67
16.25,65
16.333333333333332,67
16.416666666666668,67
16.5,67
16.583333333333332,64
16.666666666666668,71
16.75,67
16.833333333333332,67
16.916666666666668,69
17,70
17.083333333333332,71
17.166666666666668,69
17.25,70
17.333333333333332,67
17.416666666666668,70
17.5,68
17.583333333333332,71
17.666666666666668,68
17.75,66
17.833333333333332,68
17.916666666666668,68
18,71
18.083333333333332,67
18.166666666666668,66
18.25,67
18.333333333333332,66
18.416666666666668,65
18.5,64
18.583333333333332,66
18.666666666666668,70
18.75,65
18.833333333333332,68
18.916666666666668,71
19,65
19.083333333333332,71
19.166666666666668,69
19.25,66
19.333333333333332,67
19.416666666666668,68
19.5,68
19.583333333333332,73
19.666666666666668,70
19.75,71
19.833333333333332,70
19.916666666666668,66
20,71
20.083333333333332,71
20.166666666666668,66
20.25,70
20.333333333333332,73
20.416666666666668,71
20.5,73
20.583333333333332,67
20.666666666666668,69
20.75,72
20.833333333333332,69
20.916666666666668,70
21,67
21.083333333333332,72
21.166666666666668,73
21.25,73
21.333333333333332,70
21.416666666666668,70
21.5,68
21.583333333333332,70
21.666666666666668,71
21.75,72
21.833333333333332,69
21.916666666666668,74
22,71
22.083333333333332,72
22.166666666666668,75
22.25,73
22.333333333333332,72
22.416666666666668,73
22.5,69
22.583333333333332,71
22.666666666666668,70
22.75,75
22.833333333333332,76
22.916666666666668,75
23,73
23.083333333333332,79
23.166666666666668,77
23.25,75
23.333333333333332,78
23.416666666666668,77
23.5,73
23.583333333333332,75
23.666666666666668,73
23.75,81
23.833333333333332,76
23.916666666666668,74
24,78
24.083333333333332,82
24.166666666666668,79
24.25,79
24.333333333333332,80
24.416666666666668,79
24.5,81
24.583333333333332,82
24.666666666666668,81
24.75,76
24.833333333333332,78
24.916666666666668,82
25,74
25.083333333333332,80
25.166666666666668,76
25.25,75
25.333333333333332,78
25.416666666666668,80
25.5,77
25.583333333333332,78
25.666666666666668,80
25.75,75
25.833333333333332,78
25.916666666666668,76
26,77
26.083333333333332,79
26.166666666666668,83
26.25,80
26.333333333333332,83
26.416666666666668,80
26.5,78
26.583333333333332,76
26.666666666666668,79
26.75,78
26.833333333333332,78
26.916666666666668,76
27,81
27.083333333333332,78
27.166666666666668,79
27.25,79
27.333333333333332,77
27.416666666666668,77
27.5,79
27.583333333333332,82
27.666666666666668,76
27.75,80
27.833333333333332,79
27.916666666666668,81
28,75
28.083333333333332,78
28.166666666666668,76
28.25,83
28.333333333333332,79
28.416666666666668,77
28.5,83
28.583333333333332,78
28.666666666666668,79
28.75,82
28.833333333333332,82
28.916666666666668,77
29,83
29.083333333333332,77
29.166666666666668,80
29.25,80
29.333333333333332,81
29.416666666666668,81
29.5,77
29.583333333333332,78
29.666666666666668,81
29.75,80
29.833333333333332,80
29.916666666666668,80
30,79
30.083333333333332,83
30.166666666666668,82
30.25,78
30.333333333333332,83
30.416666666666668,80
30.5,80
30.583333333333332,82
30.666666666666668,79
30.75,84
30.833333333333332,83
30.916666666666668,85
31,82
31.083333333333332,82
31.166666666666668,82
31.25,80
31.333333333333332,80
31.416666666666668,85
31.5,85
31.583333333333332,81
31.666666666666668,82
31.75,83
31.833333333333332,84
31.916666666666668,82
32,85
32.083333333333336,86
32.166666666666664,85
32.25,79
32.333333333333336,84
32.416666666666664,82
32.5,79
32.583333333333336,84
32.666666666666664,81
32.75,83
32.833333333333336,81
32.916666666666664,80
33,83
33.083333333333336,79
33.166666666666664,84
33.25,85
33.333333333333336,83
33.416666666666664,81
33.5,84
33.583333333333336,83
33.666666666666664,84
33.75,85
33.833333333333336,85
33.916666666666664,84
34,85
34.083333333333336,84
34.166666666666664,87
34.25,85
34.333333333333336,83
34.416666666666664,85
34.5,88
34.583333333333336,80
34.666666666666664,87
34.75,82
34.833333333333336,83
34.916666666666664,85
35,83
35.083333333333336,82
35.166666666666664,83
35.25,84
35.333333333333336,84
35.416666666666664,87
35.5,83
35.583333333333336,82
35.666666666666664,85
35.75,81
35.833333333333336,86
35.916666666666664,85
36,82
36.083333333333336,82
36.166666666666664,82
36.25,84
36.333333333333336,83
36.416666666666664,81
36.5,87
36.583333333333336,84
36.666666666666664,85
36.75,86
36.833333333333336,85
36.916666666666664,88
37,83
37.083333333333336,83
37.166666666666664,81
37.25,88
37.333333333333336,87
37.416666666666664,85
37.5,81
37.583333333333336,86
37.666666666666664,86
37.75,86
37.833333333333336,83
37.916666666666664,83
38,84
38.083333333333336,81
38.166666666666664,83
38.25,85
38.333333333333336,84
38.416666666666664,85
38.5,89
38.583333333333336,85
38.666666666666664,86
38.75,84
38.833333333333336,83
38.916666666666664,83
39,82
39.083333333333336,86
