"Hours since thread went live","Kaii to Otome to Kamikakushi • Mysterious Disappearances - Episode 8 discussion"
0,1
0,1
0.08333333333333333,6
0.16666666666666666,9
0.25,8
0.3333333333333333,10
0.4166666666666667,14
0.5,15
0.5833333333333334,18
0.6666666666666666,19
0.75,21
0.8333333333333334,24
0.9166666666666666,27
1,30
1.0833333333333333,31
1.1666666666666667,34
1.25,36
1.3333333333333333,36
1.4166666666666667,38
1.5,41
1.5833333333333333,38
1.6666666666666667,40
1.75,43
1.8333333333333333,40
1.9166666666666667,45
2,41
2.0833333333333335,45
2.1666666666666665,44
2.25,45
2.3333333333333335,48
2.4166666666666665,48
2.5,55
2.5833333333333335,53
2.6666666666666665,57
2.75,59
2.8333333333333335,58
2.9166666666666665,61
3,67
3.0833333333333335,70
3.1666666666666665,71
3.25,69
3.3333333333333335,74
3.4166666666666665,73
3.5,74
3.5833333333333335,81
3.6666666666666665,80
3.75,83
3.8333333333333335,79
3.9166666666666665,82
4,85
4.083333333333333,81
4.166666666666667,86
4.25,85
4.333333333333333,85
4.416666666666667,90
4.5,87
4.583333333333333,91
4.666666666666667,94
4.75,95
4.833333333333333,92
4.916666666666667,94
5,98
5.083333333333333,98
5.166666666666667,98
5.25,99
5.333333333333333,99
5.416666666666667,98
5.5,103
5.583333333333333,106
5.666666666666667,110
5.75,105
5.833333333333333,108
5.916666666666667,108
6,110
6.083333333333333,114
6.166666666666667,119
6.25,115
6.333333333333333,118
6.416666666666667,120
6.5,123
6.583333333333333,121
6.666666666666667,121
6.75,125
6.833333333333333,127
6.916666666666667,132
7,130
7.083333333333333,133
7.166666666666667,136
7.25,133
7.333333333333333,135
7.416666666666667,133
7.5,135
7.583333333333333,137
7.666666666666667,134
7.75,140
7.833333333333333,141
7.916666666666667,141
8,142
8.083333333333334,144
8.166666666666666,145
8.25,148
8.333333333333334,150
8.416666666666666,147
8.5,150
8.583333333333334,157
8.666666666666666,154
8.75,156
8.833333333333334,156
8.916666666666666,156
9,156
9.083333333333334,157
9.166666666666666,159
9.25,160
9.333333333333334,158
9.416666666666666,162
9.5,163
9.583333333333334,161
9.666666666666666,161
9.75,162
9.833333333333334,162
9.916666666666666,165
10,163
10.083333333333334,165
10.166666666666666,169
10.25,165
10.333333333333334,171
10.416666666666666,172
10.5,170
10.583333333333334,172
10.666666666666666,170
10.75,179
10.833333333333334,181
10.916666666666666,177
11,183
11.083333333333334,183
11.166666666666666,177
11.25,184
11.333333333333334,181
11.416666666666666,183
11.5,180
11.583333333333334,186
11.666666666666666,183
11.75,184
11.833333333333334,185
11.916666666666666,190
12,189
12.083333333333334,186
12.166666666666666,191
12.25,189
12.333333333333334,190
12.416666666666666,190
12.5,193
12.583333333333334,193
12.666666666666666,196
12.75,191
12.833333333333334,193
12.916666666666666,189
13,194
13.083333333333334,196
13.166666666666666,192
13.25,193
13.333333333333334,195
13.416666666666666,200
13.5,198
13.583333333333334,201
13.666666666666666,196
13.75,198
13.833333333333334,197
13.916666666666666,199
14,203
14.083333333333334,204
14.166666666666666,202
14.25,205
14.333333333333334,203
14.416666666666666,208
14.5,211
14.583333333333334,208
14.666666666666666,204
14.75,210
14.833333333333334,207
14.916666666666666,209
15,210
15.083333333333334,210
15.166666666666666,210
15.25,212
15.333333333333334,213
15.416666666666666,216
15.5,215
15.583333333333334,216
15.666666666666666,215
15.75,218
15.833333333333334,216
15.916666666666666,217
16,211
16.083333333333332,212
16.166666666666668,219
16.25,219
16.333333333333332,220
16.416666666666668,218
16.5,219
16.583333333333332,214
16.666666666666668,218
16.75,217
16.833333333333332,213
16.916666666666668,219
17,215
17.083333333333332,219
17.166666666666668,216
17.25,219
17.333333333333332,217
17.416666666666668,220
17.5,224
17.583333333333332,220
17.666666666666668,222
17.75,222
17.833333333333332,220
17.916666666666668,221
18,222
18.083333333333332,225
18.166666666666668,222
18.25,221
18.333333333333332,226
18.416666666666668,226
18.5,224
18.583333333333332,224
18.666666666666668,222
18.75,221
18.833333333333332,226
18.916666666666668,228
19,227
19.083333333333332,226
19.166666666666668,225
19.25,225
19.333333333333332,226
19.416666666666668,226
19.5,226
19.583333333333332,224
19.666666666666668,230
19.75,225
19.833333333333332,229
19.916666666666668,227
20,227
20.083333333333332,227
20.166666666666668,231
20.25,226
20.333333333333332,227
20.416666666666668,231
20.5,231
20.583333333333332,230
20.666666666666668,231
20.75,231
20.833333333333332,234
20.916666666666668,237
21,232
21.083333333333332,233
21.166666666666668,235
21.25,234
21.333333333333332,234
21.416666666666668,236
21.5,233
21.583333333333332,237
21.666666666666668,234
21.75,237
21.833333333333332,236
21.916666666666668,239
22,238
22.083333333333332,235
22.166666666666668,236
22.25,235
22.333333333333332,237
22.416666666666668,238
22.5,233
22.583333333333332,236
22.666666666666668,237
22.75,234
22.833333333333332,236
22.916666666666668,234
23,237
23.083333333333332,236
23.166666666666668,235
23.25,234
23.333333333333332,236
23.416666666666668,235
23.5,238
23.583333333333332,236
23.666666666666668,235
23.75,239
23.833333333333332,235
23.916666666666668,239
24,236
24.083333333333332,237
24.166666666666668,237
24.25,240
24.333333333333332,240
24.416666666666668,234
24.5,235
24.583333333333332,235
24.666666666666668,238
24.75,234
24.833333333333332,237
24.916666666666668,236
25,240
25.083333333333332,237
25.166666666666668,239
25.25,238
25.333333333333332,237
25.416666666666668,241
25.5,237
25.583333333333332,239
25.666666666666668,241
25.75,238
25.833333333333332,240
25.916666666666668,240
26,239
26.083333333333332,237
26.166666666666668,237
26.25,242
26.333333333333332,237
26.416666666666668,239
26.5,238
26.583333333333332,238
26.666666666666668,242
26.75,237
26.833333333333332,242
26.916666666666668,241
27,242
27.083333333333332,241
27.166666666666668,240
27.25,245
27.333333333333332,244
27.416666666666668,244
27.5,243
27.583333333333332,245
27.666666666666668,248
27.75,246
27.833333333333332,246
27.916666666666668,243
28,245
28.083333333333332,245
28.166666666666668,248
28.25,245
28.333333333333332,244
28.416666666666668,246
28.5,248
28.583333333333332,248
28.666666666666668,246
28.75,245
28.833333333333332,244
28.916666666666668,247
29,249
29.083333333333332,247
29.166666666666668,248
29.25,247
29.333333333333332,246
29.416666666666668,248
29.5,247
29.583333333333332,249
29.666666666666668,246
29.75,248
29.833333333333332,251
29.916666666666668,249
30,248
30.083333333333332,247
30.166666666666668,250
30.25,249
30.333333333333332,250
30.416666666666668,252
30.5,256
30.583333333333332,252
30.666666666666668,251
30.75,255
30.833333333333332,254
30.916666666666668,257
31,253
31.083333333333332,253
31.166666666666668,257
31.25,255
31.333333333333332,257
31.416666666666668,251
31.5,255
31.583333333333332,253
31.666666666666668,255
31.75,252
31.833333333333332,257
31.916666666666668,256
32,252
32.083333333333336,256
32.166666666666664,254
32.25,256
32.333333333333336,257
32.416666666666664,258
32.5,254
32.583333333333336,256
32.666666666666664,258
32.75,259
32.833333333333336,256
32.916666666666664,255
33,256
33.083333333333336,255
33.166666666666664,254
33.25,253
33.333333333333336,259
33.416666666666664,257
33.5,253
33.583333333333336,258
33.666666666666664,254
33.75,253
33.833333333333336,257
33.916666666666664,254
34,256
34.083333333333336,256
34.166666666666664,253
34.25,258
34.333333333333336,255
34.416666666666664,255
34.5,258
34.583333333333336,258
34.666666666666664,257
34.75,257
34.833333333333336,258
34.916666666666664,255
35,261
35.083333333333336,261
35.166666666666664,258
35.25,258
35.333333333333336,258
35.416666666666664,262
35.5,259
35.583333333333336,255
35.666666666666664,258
35.75,258
35.833333333333336,262
35.916666666666664,262
36,256
36.083333333333336,259
36.166666666666664,260
36.25,258
36.333333333333336,258
36.416666666666664,258
36.5,259
36.583333333333336,258
36.666666666666664,260
36.75,257
36.833333333333336,258
36.916666666666664,260
37,258
37.083333333333336,264
37.166666666666664,260
37.25,258
37.333333333333336,262
37.416666666666664,260
37.5,260
37.583333333333336,262
37.666666666666664,260
37.75,260
37.833333333333336,260
37.916666666666664,262
38,262
38.083333333333336,262
38.166666666666664,263
38.25,262
38.333333333333336,260
38.416666666666664,263
38.5,260
38.583333333333336,261
38.666666666666664,266
38.75,262
38.833333333333336,260
38.916666666666664,258
