"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 9 discussion"
0,2
0,4
0.08333333333333333,7
0.16666666666666666,6
0.25,8
0.3333333333333333,8
0.4166666666666667,9
0.5,10
0.5833333333333334,12
0.6666666666666666,15
0.75,15
0.8333333333333334,16
0.9166666666666666,17
1,18
1.0833333333333333,18
1.1666666666666667,19
1.25,20
1.3333333333333333,22
1.4166666666666667,24
1.5,24
1.5833333333333333,22
1.6666666666666667,27
1.75,30
1.8333333333333333,30
1.9166666666666667,30
2,31
2.0833333333333335,29
2.1666666666666665,31
2.25,32
2.3333333333333335,33
2.4166666666666665,38
2.5,39
2.5833333333333335,38
2.6666666666666665,39
2.75,40
2.8333333333333335,44
2.9166666666666665,45
3,44
3.0833333333333335,41
3.1666666666666665,44
3.25,41
3.3333333333333335,40
3.4166666666666665,45
3.5,46
3.5833333333333335,47
3.6666666666666665,49
3.75,50
3.8333333333333335,49
3.9166666666666665,53
4,52
4.083333333333333,55
4.166666666666667,53
4.25,53
4.333333333333333,56
4.416666666666667,58
4.5,57
4.583333333333333,58
4.666666666666667,58
4.75,61
4.833333333333333,59
4.916666666666667,59
5,60
5.083333333333333,61
5.166666666666667,63
5.25,64
5.333333333333333,60
5.416666666666667,59
5.5,64
5.583333333333333,67
5.666666666666667,66
5.75,63
5.833333333333333,68
5.916666666666667,62
6,67
6.083333333333333,71
6.166666666666667,68
6.25,67
6.333333333333333,69
6.416666666666667,66
6.5,71
6.583333333333333,68
6.666666666666667,72
6.75,74
6.833333333333333,75
6.916666666666667,75
7,77
7.083333333333333,75
7.166666666666667,78
7.25,75
7.333333333333333,79
7.416666666666667,76
7.5,80
7.583333333333333,75
7.666666666666667,77
7.75,75
7.833333333333333,76
7.916666666666667,78
8,79
8.083333333333334,83
8.166666666666666,77
8.25,79
8.333333333333334,83
8.416666666666666,81
8.5,84
8.583333333333334,84
8.666666666666666,86
8.75,82
8.833333333333334,85
8.916666666666666,85
9,89
9.083333333333334,89
9.166666666666666,85
9.25,90
9.333333333333334,85
9.416666666666666,87
9.5,86
9.583333333333334,88
9.666666666666666,87
9.75,87
9.833333333333334,90
9.916666666666666,87
10,94
10.083333333333334,90
10.166666666666666,93
10.25,91
10.333333333333334,94
10.416666666666666,94
10.5,92
10.583333333333334,97
10.666666666666666,97
10.75,96
10.833333333333334,97
10.916666666666666,98
11,99
11.083333333333334,97
11.166666666666666,99
11.25,100
11.333333333333334,100
11.416666666666666,98
11.5,101
11.583333333333334,96
11.666666666666666,94
11.75,94
11.833333333333334,98
11.916666666666666,99
12,99
12.083333333333334,102
12.166666666666666,104
12.25,104
12.333333333333334,103
12.416666666666666,102
12.5,105
12.583333333333334,101
12.666666666666666,103
12.75,103
12.833333333333334,103
12.916666666666666,102
13,104
13.083333333333334,103
13.166666666666666,103
13.25,101
13.333333333333334,103
13.416666666666666,103
13.5,104
13.583333333333334,106
13.666666666666666,104
13.75,106
13.833333333333334,103
13.916666666666666,106
14,107
14.083333333333334,106
14.166666666666666,105
14.25,103
14.333333333333334,108
14.416666666666666,107
14.5,107
14.583333333333334,105
14.666666666666666,109
14.75,105
14.833333333333334,106
14.916666666666666,108
15,109
15.083333333333334,105
15.166666666666666,111
15.25,108
15.333333333333334,112
15.416666666666666,110
15.5,110
15.583333333333334,114
15.666666666666666,107
15.75,107
15.833333333333334,114
15.916666666666666,111
16,114
16.083333333333332,111
16.166666666666668,108
16.25,111
16.333333333333332,108
16.416666666666668,110
16.5,115
16.583333333333332,112
16.666666666666668,112
16.75,111
16.833333333333332,110
16.916666666666668,112
17,111
17.083333333333332,115
17.166666666666668,111
17.25,112
17.333333333333332,114
17.416666666666668,114
17.5,115
17.583333333333332,112
17.666666666666668,116
17.75,115
17.833333333333332,115
17.916666666666668,116
18,115
18.083333333333332,116
18.166666666666668,112
18.25,114
18.333333333333332,116
18.416666666666668,118
18.5,119
18.583333333333332,116
18.666666666666668,117
18.75,116
18.833333333333332,116
18.916666666666668,113
19,117
19.083333333333332,117
19.166666666666668,117
19.25,116
19.333333333333332,116
19.416666666666668,113
19.5,119
19.583333333333332,118
19.666666666666668,111
19.75,115
19.833333333333332,117
19.916666666666668,116
20,116
20.083333333333332,115
20.166666666666668,114
20.25,114
20.333333333333332,116
20.416666666666668,118
20.5,115
20.583333333333332,115
20.666666666666668,118
20.75,118
20.833333333333332,116
20.916666666666668,120
21,118
21.083333333333332,119
21.166666666666668,116
21.25,115
21.333333333333332,119
21.416666666666668,118
21.5,116
21.583333333333332,115
21.666666666666668,114
21.75,117
21.833333333333332,119
21.916666666666668,119
22,120
22.083333333333332,122
22.166666666666668,119
22.25,121
22.333333333333332,120
22.416666666666668,120
22.5,118
22.583333333333332,122
22.666666666666668,121
22.75,122
22.833333333333332,123
22.916666666666668,121
23,124
23.083333333333332,118
23.166666666666668,120
23.25,121
23.333333333333332,118
23.416666666666668,122
23.5,121
23.583333333333332,117
23.666666666666668,121
23.75,120
23.833333333333332,117
23.916666666666668,121
24,125
24.083333333333332,122
24.166666666666668,126
24.25,123
24.333333333333332,122
24.416666666666668,124
24.5,122
24.583333333333332,122
24.666666666666668,120
24.75,120
24.833333333333332,124
24.916666666666668,125
25,119
25.083333333333332,121
25.166666666666668,123
25.25,126
25.333333333333332,122
25.416666666666668,123
25.5,126
25.583333333333332,126
25.666666666666668,122
25.75,124
25.833333333333332,125
25.916666666666668,123
26,127
26.083333333333332,120
26.166666666666668,126
26.25,122
26.333333333333332,123
26.416666666666668,124
26.5,127
26.583333333333332,122
26.666666666666668,127
