"Hours since thread went live","Dead Dead Demons Dededede Destruction - Episode 1 discussion"
0,1
0,0
0.08333333333333333,1
0.16666666666666666,1
0.25,2
0.3333333333333333,3
0.4166666666666667,8
0.5,13
0.5833333333333334,13
0.6666666666666666,16
0.75,18
0.8333333333333334,21
0.9166666666666666,26
1,28
1.0833333333333333,29
1.1666666666666667,28
1.25,32
1.3333333333333333,34
1.4166666666666667,35
1.5,35
1.5833333333333333,38
1.6666666666666667,40
1.75,40
1.8333333333333333,43
1.9166666666666667,47
2,47
2.0833333333333335,52
2.1666666666666665,53
2.25,62
2.3333333333333335,63
2.4166666666666665,67
2.5,72
2.5833333333333335,72
2.6666666666666665,77
2.75,81
2.8333333333333335,85
2.9166666666666665,85
3,87
3.0833333333333335,93
3.1666666666666665,89
3.25,90
3.3333333333333335,92
3.4166666666666665,97
3.5,95
3.5833333333333335,93
3.6666666666666665,96
3.75,98
3.8333333333333335,100
3.9166666666666665,106
4,103
4.083333333333333,105
4.166666666666667,104
4.25,109
4.333333333333333,113
4.416666666666667,115
4.5,113
4.583333333333333,119
4.666666666666667,123
4.75,125
4.833333333333333,125
4.916666666666667,127
5,125
5.083333333333333,130
5.166666666666667,133
5.25,133
5.333333333333333,136
5.416666666666667,137
5.5,140
5.583333333333333,139
5.666666666666667,138
5.75,141
5.833333333333333,142
5.916666666666667,144
6,142
6.083333333333333,148
6.166666666666667,147
6.25,152
6.333333333333333,150
6.416666666666667,150
6.5,152
6.583333333333333,154
6.666666666666667,155
6.75,159
6.833333333333333,161
6.916666666666667,160
7,164
7.083333333333333,165
7.166666666666667,167
7.25,168
7.333333333333333,173
7.416666666666667,171
7.5,174
7.583333333333333,173
7.666666666666667,175
7.75,175
7.833333333333333,179
7.916666666666667,179
8,182
8.083333333333334,180
8.166666666666666,187
8.25,189
8.333333333333334,192
8.416666666666666,192
8.5,194
8.583333333333334,202
8.666666666666666,201
8.75,202
8.833333333333334,205
8.916666666666666,206
9,206
9.083333333333334,211
9.166666666666666,208
9.25,213
9.333333333333334,213
9.416666666666666,219
9.5,219
9.583333333333334,220
9.666666666666666,224
9.75,228
9.833333333333334,227
9.916666666666666,234
10,234
10.083333333333334,235
10.166666666666666,242
10.25,245
10.333333333333334,241
10.416666666666666,247
10.5,249
10.583333333333334,249
10.666666666666666,253
10.75,258
10.833333333333334,259
10.916666666666666,263
11,263
11.083333333333334,263
11.166666666666666,261
11.25,270
11.333333333333334,270
11.416666666666666,270
11.5,279
11.583333333333334,280
11.666666666666666,285
11.75,285
11.833333333333334,284
11.916666666666666,286
12,291
12.083333333333334,291
12.166666666666666,293
12.25,298
12.333333333333334,302
12.416666666666666,305
12.5,302
12.583333333333334,306
12.666666666666666,305
12.75,311
12.833333333333334,310
12.916666666666666,316
13,324
13.083333333333334,327
13.166666666666666,320
13.25,326
13.333333333333334,330
13.416666666666666,329
13.5,326
13.583333333333334,331
13.666666666666666,333
13.75,337
13.833333333333334,329
13.916666666666666,333
14,335
14.083333333333334,335
14.166666666666666,338
14.25,339
14.333333333333334,340
14.416666666666666,343
14.5,344
14.583333333333334,350
14.666666666666666,341
14.75,347
14.833333333333334,349
14.916666666666666,350
15,347
15.083333333333334,349
15.166666666666666,353
15.25,348
15.333333333333334,354
15.416666666666666,355
15.5,359
15.583333333333334,361
15.666666666666666,369
15.75,364
15.833333333333334,365
15.916666666666666,368
16,364
16.083333333333332,374
16.166666666666668,378
16.25,377
16.333333333333332,376
16.416666666666668,382
16.5,382
16.583333333333332,375
16.666666666666668,383
16.75,383
16.833333333333332,382
16.916666666666668,384
17,387
17.083333333333332,380
17.166666666666668,389
17.25,392
17.333333333333332,384
17.416666666666668,391
17.5,394
17.583333333333332,394
17.666666666666668,393
17.75,391
17.833333333333332,398
17.916666666666668,399
18,398
18.083333333333332,400
18.166666666666668,401
18.25,410
18.333333333333332,400
18.416666666666668,405
18.5,404
18.583333333333332,404
18.666666666666668,407
18.75,412
18.833333333333332,412
18.916666666666668,413
19,415
19.083333333333332,413
19.166666666666668,410
19.25,415
19.333333333333332,413
19.416666666666668,408
19.5,410
19.583333333333332,417
19.666666666666668,415
19.75,414
19.833333333333332,423
19.916666666666668,417
20,420
20.083333333333332,417
20.166666666666668,420
20.25,424
20.333333333333332,420
20.416666666666668,420
20.5,427
20.583333333333332,427
20.666666666666668,425
20.75,424
20.833333333333332,425
20.916666666666668,425
21,424
21.083333333333332,432
21.166666666666668,428
21.25,432
21.333333333333332,431
21.416666666666668,431
21.5,435
21.583333333333332,432
21.666666666666668,429
21.75,430
21.833333333333332,430
21.916666666666668,434
22,433
22.083333333333332,437
22.166666666666668,441
22.25,435
22.333333333333332,434
22.416666666666668,442
22.5,437
22.583333333333332,439
22.666666666666668,439
22.75,444
22.833333333333332,440
22.916666666666668,438
23,440
23.083333333333332,434
23.166666666666668,439
23.25,445
23.333333333333332,443
23.416666666666668,438
23.5,439
23.583333333333332,440
23.666666666666668,444
23.75,440
23.833333333333332,440
23.916666666666668,443
24,442
24.083333333333332,444
24.166666666666668,447
24.25,443
24.333333333333332,446
24.416666666666668,449
24.5,445
24.583333333333332,446
24.666666666666668,447
24.75,451
24.833333333333332,444
24.916666666666668,448
25,445
25.083333333333332,449
25.166666666666668,445
25.25,447
25.333333333333332,450
25.416666666666668,454
25.5,452
25.583333333333332,449
25.666666666666668,451
25.75,454
25.833333333333332,453
25.916666666666668,453
26,456
26.083333333333332,460
26.166666666666668,451
26.25,457
26.333333333333332,454
26.416666666666668,455
26.5,460
26.583333333333332,458
26.666666666666668,461
26.75,461
26.833333333333332,458
26.916666666666668,462
27,461
27.083333333333332,454
27.166666666666668,457
27.25,458
27.333333333333332,462
27.416666666666668,461
27.5,464
27.583333333333332,462
27.666666666666668,460
27.75,463
27.833333333333332,462
27.916666666666668,464
28,462
28.083333333333332,463
28.166666666666668,458
28.25,458
28.333333333333332,459
28.416666666666668,464
28.5,466
28.583333333333332,464
28.666666666666668,465
28.75,459
28.833333333333332,461
28.916666666666668,461
29,466
29.083333333333332,462
29.166666666666668,468
29.25,461
29.333333333333332,467
29.416666666666668,463
29.5,468
29.583333333333332,468
29.666666666666668,462
29.75,466
29.833333333333332,462
29.916666666666668,469
30,464
30.083333333333332,466
30.166666666666668,467
30.25,466
30.333333333333332,466
30.416666666666668,468
30.5,472
30.583333333333332,468
30.666666666666668,471
30.75,473
30.833333333333332,470
30.916666666666668,472
31,469
31.083333333333332,471
31.166666666666668,469
31.25,474
31.333333333333332,468
31.416666666666668,473
31.5,473
31.583333333333332,467
31.666666666666668,473
31.75,473
31.833333333333332,469
31.916666666666668,473
32,477
32.083333333333336,478
32.166666666666664,474
32.25,470
32.333333333333336,474
32.416666666666664,469
32.5,473
32.583333333333336,471
32.666666666666664,474
32.75,475
32.833333333333336,475
32.916666666666664,469
33,473
33.083333333333336,474
33.166666666666664,478
33.25,475
33.333333333333336,474
33.416666666666664,473
33.5,477
33.583333333333336,476
33.666666666666664,476
33.75,480
33.833333333333336,482
33.916666666666664,476
34,478
34.083333333333336,481
34.166666666666664,476
34.25,484
34.333333333333336,481
34.416666666666664,484
34.5,475
34.583333333333336,477
34.666666666666664,477
34.75,485
34.833333333333336,484
34.916666666666664,479
35,477
35.083333333333336,482
35.166666666666664,480
35.25,486
35.333333333333336,482
35.416666666666664,484
35.5,480
35.583333333333336,483
35.666666666666664,477
35.75,479
35.833333333333336,476
35.916666666666664,483
36,477
36.083333333333336,479
36.166666666666664,483
36.25,484
36.333333333333336,477
36.416666666666664,485
36.5,486
36.583333333333336,480
36.666666666666664,487
36.75,479
36.833333333333336,479
36.916666666666664,487
37,481
37.083333333333336,486
37.166666666666664,488
37.25,482
37.333333333333336,486
37.416666666666664,486
37.5,486
37.583333333333336,481
37.666666666666664,478
37.75,483
37.833333333333336,486
37.916666666666664,482
38,488
38.083333333333336,485
38.166666666666664,486
38.25,492
38.333333333333336,492
38.416666666666664,484
38.5,491
38.583333333333336,485
38.666666666666664,487
38.75,491
38.833333333333336,489
38.916666666666664,489
39,495
39.083333333333336,490
39.166666666666664,488
39.25,490
39.333333333333336,489
39.416666666666664,492
39.5,494
39.583333333333336,490
39.666666666666664,494
39.75,494
39.833333333333336,496
39.916666666666664,493
40,490
40.083333333333336,490
40.166666666666664,490
40.25,493
40.333333333333336,493
40.416666666666664,488
40.5,499
40.583333333333336,488
40.666666666666664,493
40.75,494
40.833333333333336,488
40.916666666666664,497
41,492
41.083333333333336,496
41.166666666666664,489
41.25,498
41.333333333333336,500
41.416666666666664,495
41.5,492
41.583333333333336,495
41.666666666666664,499
41.75,496
41.833333333333336,497
41.916666666666664,493
42,491
42.083333333333336,498
42.166666666666664,489
42.25,490
42.333333333333336,493
42.416666666666664,493
42.5,492
42.583333333333336,493
42.666666666666664,489
42.75,492
42.833333333333336,490
42.916666666666664,498
43,490
43.083333333333336,496
43.166666666666664,496
43.25,492
43.333333333333336,491
43.416666666666664,491
43.5,492
43.583333333333336,492
43.666666666666664,497
43.75,494
43.833333333333336,489
43.916666666666664,495
44,494
44.083333333333336,491
44.166666666666664,495
44.25,491
44.333333333333336,495
44.416666666666664,498
44.5,499
44.583333333333336,494
44.666666666666664,502
44.75,490
44.833333333333336,498
44.916666666666664,497
45,502
45.083333333333336,499
45.166666666666664,495
45.25,497
45.333333333333336,495
45.416666666666664,495
45.5,495
45.583333333333336,495
45.666666666666664,495
45.75,492
45.833333333333336,498
45.916666666666664,497
46,501
46.083333333333336,497
46.166666666666664,492
46.25,500
46.333333333333336,503
46.416666666666664,500
46.5,501
46.583333333333336,496
46.666666666666664,496
46.75,502
46.833333333333336,505
46.916666666666664,502
47,501
47.083333333333336,498
47.166666666666664,494
47.25,501
47.333333333333336,503
47.416666666666664,501
47.5,498
47.583333333333336,497
47.666666666666664,505
47.75,501
47.833333333333336,501
47.916666666666664,500
