"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 9 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,3
0.25,6
0.3333333333333333,6
0.4166666666666667,6
0.5,6
0.5833333333333334,6
0.6666666666666666,10
0.75,13
0.8333333333333334,17
0.9166666666666666,20
1,24
1.0833333333333333,27
1.1666666666666667,30
1.25,34
1.3333333333333333,38
1.4166666666666667,38
1.5,45
1.5833333333333333,46
1.6666666666666667,48
1.75,50
1.8333333333333333,54
1.9166666666666667,59
2,57
2.0833333333333335,59
2.1666666666666665,62
2.25,67
2.3333333333333335,70
2.4166666666666665,72
2.5,74
2.5833333333333335,80
2.6666666666666665,80
2.75,81
2.8333333333333335,87
2.9166666666666665,88
3,88
3.0833333333333335,89
3.1666666666666665,88
3.25,92
3.3333333333333335,90
3.4166666666666665,92
3.5,98
3.5833333333333335,102
3.6666666666666665,105
3.75,106
3.8333333333333335,108
3.9166666666666665,106
4,105
4.083333333333333,116
4.166666666666667,119
4.25,118
4.333333333333333,122
4.416666666666667,123
4.5,126
4.583333333333333,123
4.666666666666667,124
4.75,124
4.833333333333333,125
4.916666666666667,129
5,128
5.083333333333333,131
5.166666666666667,132
5.25,130
5.333333333333333,130
5.416666666666667,133
5.5,137
5.583333333333333,135
5.666666666666667,138
5.75,140
5.833333333333333,145
5.916666666666667,142
6,144
6.083333333333333,143
6.166666666666667,146
6.25,145
6.333333333333333,142
6.416666666666667,148
6.5,149
6.583333333333333,154
6.666666666666667,152
6.75,155
6.833333333333333,159
6.916666666666667,164
7,160
7.083333333333333,164
7.166666666666667,164
7.25,162
7.333333333333333,162
7.416666666666667,164
7.5,160
7.583333333333333,167
7.666666666666667,166
7.75,173
7.833333333333333,173
7.916666666666667,174
8,176
8.083333333333334,178
8.166666666666666,177
8.25,180
8.333333333333334,178
8.416666666666666,185
8.5,186
8.583333333333334,188
8.666666666666666,193
8.75,188
8.833333333333334,189
8.916666666666666,189
9,191
9.083333333333334,193
9.166666666666666,195
9.25,195
9.333333333333334,196
9.416666666666666,199
9.5,201
9.583333333333334,203
9.666666666666666,201
9.75,204
9.833333333333334,207
9.916666666666666,209
10,207
10.083333333333334,206
10.166666666666666,207
10.25,213
10.333333333333334,208
10.416666666666666,213
10.5,217
10.583333333333334,216
10.666666666666666,214
10.75,217
10.833333333333334,222
10.916666666666666,219
11,219
11.083333333333334,225
11.166666666666666,225
11.25,224
11.333333333333334,225
11.416666666666666,229
11.5,227
11.583333333333334,227
11.666666666666666,232
11.75,232
11.833333333333334,233
11.916666666666666,235
12,235
12.083333333333334,238
12.166666666666666,234
12.25,239
12.333333333333334,232
12.416666666666666,234
12.5,238
12.583333333333334,239
12.666666666666666,239
12.75,238
12.833333333333334,236
12.916666666666666,241
13,241
13.083333333333334,243
13.166666666666666,245
13.25,245
13.333333333333334,243
13.416666666666666,247
13.5,247
13.583333333333334,252
13.666666666666666,246
13.75,249
13.833333333333334,255
13.916666666666666,255
14,256
14.083333333333334,258
14.166666666666666,256
14.25,256
14.333333333333334,254
14.416666666666666,254
14.5,258
14.583333333333334,259
14.666666666666666,260
14.75,263
14.833333333333334,259
14.916666666666666,263
15,263
15.083333333333334,264
15.166666666666666,265
15.25,267
15.333333333333334,263
15.416666666666666,267
15.5,268
15.583333333333334,269
15.666666666666666,268
15.75,266
15.833333333333334,270
15.916666666666666,269
16,271
16.083333333333332,271
16.166666666666668,270
16.25,271
16.333333333333332,268
16.416666666666668,273
16.5,272
16.583333333333332,269
16.666666666666668,274
16.75,272
16.833333333333332,273
16.916666666666668,276
17,276
17.083333333333332,277
17.166666666666668,279
17.25,275
17.333333333333332,278
17.416666666666668,277
17.5,279
17.583333333333332,282
17.666666666666668,283
17.75,281
17.833333333333332,277
17.916666666666668,279
18,277
18.083333333333332,284
18.166666666666668,283
18.25,281
18.333333333333332,285
18.416666666666668,286
18.5,283
18.583333333333332,279
18.666666666666668,282
18.75,280
18.833333333333332,279
18.916666666666668,285
19,280
19.083333333333332,285
19.166666666666668,284
19.25,284
19.333333333333332,285
19.416666666666668,283
19.5,286
19.583333333333332,286
19.666666666666668,290
19.75,289
19.833333333333332,289
19.916666666666668,291
20,285
20.083333333333332,288
20.166666666666668,293
20.25,290
20.333333333333332,295
20.416666666666668,289
20.5,290
20.583333333333332,294
20.666666666666668,291
20.75,290
20.833333333333332,293
20.916666666666668,292
21,295
21.083333333333332,292
21.166666666666668,297
21.25,297
21.333333333333332,292
21.416666666666668,295
21.5,298
21.583333333333332,297
21.666666666666668,297
21.75,295
21.833333333333332,293
21.916666666666668,295
22,296
22.083333333333332,296
22.166666666666668,293
22.25,299
22.333333333333332,295
22.416666666666668,297
22.5,297
22.583333333333332,296
22.666666666666668,297
22.75,298
22.833333333333332,294
22.916666666666668,298
23,301
23.083333333333332,298
23.166666666666668,297
23.25,298
23.333333333333332,300
23.416666666666668,297
23.5,298
23.583333333333332,300
23.666666666666668,296
23.75,301
23.833333333333332,303
23.916666666666668,300
24,301
