"Hours since thread went live","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Part 2 • The Misfit of Demon King Academy II Part 2 - Episode 7 discussion"
0,0
0.08333333333333333,2
0.16666666666666666,4
0.25,4
0.3333333333333333,4
0.4166666666666667,7
0.5,6
0.5833333333333334,10
0.6666666666666666,13
0.75,14
0.8333333333333334,15
0.9166666666666666,20
1,21
1.0833333333333333,24
1.1666666666666667,29
1.25,31
1.3333333333333333,34
1.4166666666666667,37
1.5,40
1.5833333333333333,40
1.6666666666666667,42
1.75,48
1.8333333333333333,51
1.9166666666666667,52
2,58
2.0833333333333335,57
2.1666666666666665,62
2.25,64
2.3333333333333335,63
2.4166666666666665,64
2.5,64
2.5833333333333335,65
2.6666666666666665,72
2.75,71
2.8333333333333335,75
2.9166666666666665,76
3,82
3.0833333333333335,87
3.1666666666666665,83
3.25,87
3.3333333333333335,86
3.4166666666666665,91
3.5,86
3.5833333333333335,92
3.6666666666666665,92
3.75,95
3.8333333333333335,97
3.9166666666666665,98
4,99
4.083333333333333,101
4.166666666666667,100
4.25,105
4.333333333333333,104
4.416666666666667,105
4.5,110
4.583333333333333,109
4.666666666666667,111
4.75,109
4.833333333333333,117
4.916666666666667,114
5,115
5.083333333333333,117
5.166666666666667,118
5.25,124
5.333333333333333,127
5.416666666666667,128
5.5,128
5.583333333333333,132
5.666666666666667,129
5.75,133
5.833333333333333,138
5.916666666666667,134
6,138
6.083333333333333,138
6.166666666666667,141
6.25,141
6.333333333333333,140
6.416666666666667,138
6.5,140
6.583333333333333,143
6.666666666666667,141
6.75,144
6.833333333333333,147
6.916666666666667,145
7,144
7.083333333333333,145
7.166666666666667,148
7.25,147
7.333333333333333,147
7.416666666666667,150
7.5,153
7.583333333333333,155
7.666666666666667,156
7.75,159
7.833333333333333,157
7.916666666666667,158
8,161
8.083333333333334,165
8.166666666666666,167
8.25,168
8.333333333333334,166
8.416666666666666,168
8.5,170
8.583333333333334,169
8.666666666666666,171
8.75,175
8.833333333333334,174
8.916666666666666,172
9,173
9.083333333333334,174
9.166666666666666,177
9.25,175
9.333333333333334,183
9.416666666666666,180
9.5,182
9.583333333333334,183
9.666666666666666,183
9.75,182
9.833333333333334,186
9.916666666666666,189
10,189
10.083333333333334,192
10.166666666666666,190
10.25,192
10.333333333333334,191
10.416666666666666,193
10.5,195
10.583333333333334,197
10.666666666666666,198
10.75,202
10.833333333333334,200
10.916666666666666,200
11,201
11.083333333333334,206
11.166666666666666,199
11.25,204
11.333333333333334,203
11.416666666666666,205
11.5,202
11.583333333333334,201
11.666666666666666,203
11.75,206
11.833333333333334,208
11.916666666666666,201
12,204
12.083333333333334,208
12.166666666666666,206
12.25,211
12.333333333333334,208
12.416666666666666,208
12.5,211
12.583333333333334,211
12.666666666666666,209
12.75,212
12.833333333333334,207
12.916666666666666,212
13,213
13.083333333333334,211
13.166666666666666,216
13.25,214
13.333333333333334,218
13.416666666666666,220
13.5,222
13.583333333333334,223
13.666666666666666,222
13.75,223
13.833333333333334,223
13.916666666666666,222
14,226
14.083333333333334,226
14.166666666666666,225
14.25,220
14.333333333333334,224
14.416666666666666,225
14.5,224
14.583333333333334,228
14.666666666666666,224
14.75,224
14.833333333333334,227
14.916666666666666,226
15,229
15.083333333333334,232
15.166666666666666,230
15.25,232
15.333333333333334,230
15.416666666666666,229
15.5,233
15.583333333333334,234
15.666666666666666,229
15.75,232
15.833333333333334,233
15.916666666666666,233
16,235
16.083333333333332,229
16.166666666666668,233
16.25,235
16.333333333333332,232
16.416666666666668,234
16.5,234
16.583333333333332,237
16.666666666666668,235
16.75,236
16.833333333333332,233
16.916666666666668,236
17,240
17.083333333333332,238
17.166666666666668,240
17.25,233
17.333333333333332,238
17.416666666666668,235
17.5,235
17.583333333333332,237
17.666666666666668,240
17.75,238
17.833333333333332,242
17.916666666666668,242
18,241
18.083333333333332,243
18.166666666666668,240
18.25,242
18.333333333333332,240
18.416666666666668,241
18.5,237
18.583333333333332,242
18.666666666666668,241
18.75,244
18.833333333333332,243
18.916666666666668,242
19,246
19.083333333333332,246
19.166666666666668,242
19.25,247
19.333333333333332,247
19.416666666666668,245
19.5,246
19.583333333333332,247
19.666666666666668,251
19.75,250
19.833333333333332,249
19.916666666666668,248
20,244
20.083333333333332,245
20.166666666666668,247
20.25,249
20.333333333333332,250
20.416666666666668,250
20.5,252
20.583333333333332,251
20.666666666666668,250
20.75,248
20.833333333333332,251
20.916666666666668,246
21,247
21.083333333333332,252
21.166666666666668,252
21.25,249
21.333333333333332,251
21.416666666666668,249
21.5,250
21.583333333333332,247
21.666666666666668,251
21.75,250
21.833333333333332,247
21.916666666666668,252
22,254
22.083333333333332,256
22.166666666666668,255
22.25,258
22.333333333333332,256
22.416666666666668,258
22.5,257
22.583333333333332,259
22.666666666666668,252
22.75,259
22.833333333333332,253
22.916666666666668,254
23,256
23.083333333333332,257
23.166666666666668,262
23.25,261
23.333333333333332,260
23.416666666666668,259
23.5,260
23.583333333333332,263
23.666666666666668,259
23.75,263
23.833333333333332,261
23.916666666666668,260
24,260
24.083333333333332,261
24.166666666666668,262
24.25,259
24.333333333333332,260
24.416666666666668,257
24.5,260
24.583333333333332,263
24.666666666666668,263
24.75,260
24.833333333333332,259
24.916666666666668,260
25,261
25.083333333333332,259
25.166666666666668,262
25.25,258
25.333333333333332,260
25.416666666666668,261
25.5,263
25.583333333333332,261
25.666666666666668,259
25.75,265
25.833333333333332,258
25.916666666666668,258
26,259
26.083333333333332,260
26.166666666666668,257
26.25,259
26.333333333333332,262
26.416666666666668,259
26.5,260
26.583333333333332,262
26.666666666666668,260
26.75,259
26.833333333333332,262
26.916666666666668,259
27,262
27.083333333333332,261
27.166666666666668,259
27.25,266
27.333333333333332,265
27.416666666666668,261
27.5,264
27.583333333333332,264
27.666666666666668,262
27.75,265
27.833333333333332,265
27.916666666666668,261
28,267
28.083333333333332,264
28.166666666666668,265
28.25,263
28.333333333333332,262
28.416666666666668,266
28.5,268
28.583333333333332,267
28.666666666666668,265
28.75,265
28.833333333333332,266
28.916666666666668,263
29,268
29.083333333333332,264
29.166666666666668,263
29.25,268
29.333333333333332,266
29.416666666666668,268
29.5,264
29.583333333333332,264
29.666666666666668,265
29.75,267
29.833333333333332,266
29.916666666666668,263
30,264
30.083333333333332,263
30.166666666666668,264
30.25,264
30.333333333333332,266
30.416666666666668,266
30.5,266
30.583333333333332,269
30.666666666666668,264
30.75,265
30.833333333333332,262
30.916666666666668,264
31,265
31.083333333333332,268
31.166666666666668,264
31.25,265
31.333333333333332,264
31.416666666666668,268
31.5,269
31.583333333333332,267
31.666666666666668,270
31.75,268
31.833333333333332,270
31.916666666666668,267
32,268
32.083333333333336,268
32.166666666666664,266
32.25,270
32.333333333333336,268
32.416666666666664,270
32.5,272
32.583333333333336,268
32.666666666666664,270
32.75,266
32.833333333333336,269
32.916666666666664,268
