"Hours since thread went live","Girls Band Cry - Episode 9 discussion"
0,4
0,8
0.08333333333333333,15
0.16666666666666666,24
0.25,30
0.3333333333333333,35
0.4166666666666667,40
0.5,44
0.5833333333333334,48
0.6666666666666666,57
0.75,66
0.8333333333333334,72
0.9166666666666666,76
1,82
1.0833333333333333,87
1.1666666666666667,96
1.25,104
1.3333333333333333,112
1.4166666666666667,114
1.5,118
1.5833333333333333,126
1.6666666666666667,128
1.75,133
1.8333333333333333,136
1.9166666666666667,140
2,148
2.0833333333333335,155
2.1666666666666665,161
2.25,168
2.3333333333333335,172
2.4166666666666665,176
2.5,178
2.5833333333333335,186
2.6666666666666665,190
2.75,189
2.8333333333333335,191
2.9166666666666665,194
3,205
3.0833333333333335,208
3.1666666666666665,210
3.25,219
3.3333333333333335,225
3.4166666666666665,228
3.5,225
3.5833333333333335,228
3.6666666666666665,232
3.75,234
3.8333333333333335,236
3.9166666666666665,240
4,242
4.083333333333333,245
4.166666666666667,244
4.25,253
4.333333333333333,252
4.416666666666667,257
4.5,269
4.583333333333333,278
4.666666666666667,279
4.75,277
4.833333333333333,282
4.916666666666667,285
5,290
5.083333333333333,294
5.166666666666667,292
5.25,298
5.333333333333333,302
5.416666666666667,305
5.5,314
5.583333333333333,315
5.666666666666667,318
5.75,328
5.833333333333333,322
5.916666666666667,325
6,329
6.083333333333333,331
6.166666666666667,343
6.25,350
6.333333333333333,348
6.416666666666667,354
6.5,359
6.583333333333333,364
6.666666666666667,364
6.75,368
6.833333333333333,374
6.916666666666667,380
7,386
7.083333333333333,378
7.166666666666667,380
7.25,387
7.333333333333333,394
7.416666666666667,393
7.5,396
7.583333333333333,402
7.666666666666667,403
7.75,406
7.833333333333333,404
7.916666666666667,419
8,422
8.083333333333334,417
8.166666666666666,417
8.25,426
8.333333333333334,417
8.416666666666666,427
8.5,430
8.583333333333334,430
8.666666666666666,434
8.75,434
8.833333333333334,440
8.916666666666666,440
9,447
9.083333333333334,447
9.166666666666666,456
9.25,452
9.333333333333334,459
9.416666666666666,453
9.5,464
9.583333333333334,464
9.666666666666666,461
9.75,464
9.833333333333334,473
9.916666666666666,478
10,481
10.083333333333334,479
10.166666666666666,479
10.25,485
10.333333333333334,484
10.416666666666666,488
10.5,494
10.583333333333334,492
10.666666666666666,495
10.75,495
10.833333333333334,496
10.916666666666666,503
11,503
11.083333333333334,503
11.166666666666666,510
11.25,513
11.333333333333334,515
11.416666666666666,517
11.5,516
11.583333333333334,517
11.666666666666666,522
11.75,524
11.833333333333334,527
11.916666666666666,524
12,530
12.083333333333334,532
12.166666666666666,536
12.25,539
12.333333333333334,532
12.416666666666666,539
12.5,539
12.583333333333334,537
12.666666666666666,542
12.75,542
12.833333333333334,542
12.916666666666666,551
13,547
13.083333333333334,547
13.166666666666666,550
13.25,548
13.333333333333334,555
13.416666666666666,553
13.5,554
13.583333333333334,562
13.666666666666666,558
13.75,558
13.833333333333334,561
13.916666666666666,560
14,561
14.083333333333334,558
14.166666666666666,566
14.25,572
14.333333333333334,572
14.416666666666666,571
14.5,571
14.583333333333334,568
14.666666666666666,566
14.75,571
14.833333333333334,572
14.916666666666666,575
15,577
15.083333333333334,574
15.166666666666666,574
15.25,577
15.333333333333334,580
15.416666666666666,583
15.5,578
15.583333333333334,588
15.666666666666666,583
15.75,582
15.833333333333334,581
15.916666666666666,585
16,588
16.083333333333332,589
16.166666666666668,584
16.25,583
16.333333333333332,587
16.416666666666668,591
16.5,592
16.583333333333332,588
16.666666666666668,593
16.75,593
16.833333333333332,594
16.916666666666668,588
17,596
17.083333333333332,599
17.166666666666668,595
17.25,605
17.333333333333332,600
17.416666666666668,599
17.5,599
17.583333333333332,607
17.666666666666668,606
17.75,607
17.833333333333332,612
17.916666666666668,609
18,614
18.083333333333332,611
18.166666666666668,616
18.25,613
18.333333333333332,619
18.416666666666668,621
18.5,618
18.583333333333332,618
18.666666666666668,623
18.75,628
18.833333333333332,624
18.916666666666668,622
19,631
19.083333333333332,627
19.166666666666668,621
19.25,626
19.333333333333332,630
19.416666666666668,628
19.5,633
19.583333333333332,631
19.666666666666668,627
19.75,633
19.833333333333332,637
19.916666666666668,631
20,632
20.083333333333332,635
20.166666666666668,634
20.25,635
20.333333333333332,638
20.416666666666668,637
20.5,641
20.583333333333332,645
20.666666666666668,641
20.75,644
20.833333333333332,646
20.916666666666668,646
21,649
21.083333333333332,649
21.166666666666668,652
21.25,655
21.333333333333332,647
21.416666666666668,653
21.5,661
21.583333333333332,656
21.666666666666668,660
21.75,658
21.833333333333332,661
21.916666666666668,660
22,663
22.083333333333332,662
22.166666666666668,665
22.25,662
22.333333333333332,667
22.416666666666668,666
22.5,661
22.583333333333332,665
22.666666666666668,664
22.75,666
22.833333333333332,670
22.916666666666668,673
23,671
23.083333333333332,669
23.166666666666668,677
23.25,670
23.333333333333332,677
23.416666666666668,674
23.5,681
23.583333333333332,676
23.666666666666668,683
23.75,679
23.833333333333332,680
23.916666666666668,681
24,683
24.083333333333332,684
24.166666666666668,684
24.25,682
24.333333333333332,684
24.416666666666668,684
24.5,686
24.583333333333332,684
24.666666666666668,687
24.75,694
24.833333333333332,692
24.916666666666668,685
25,687
25.083333333333332,696
25.166666666666668,696
25.25,696
25.333333333333332,695
25.416666666666668,692
25.5,698
25.583333333333332,691
25.666666666666668,696
25.75,693
25.833333333333332,698
25.916666666666668,696
26,693
26.083333333333332,695
26.166666666666668,694
26.25,694
26.333333333333332,693
26.416666666666668,698
26.5,698
26.583333333333332,692
26.666666666666668,694
26.75,696
26.833333333333332,699
26.916666666666668,695
27,693
27.083333333333332,699
27.166666666666668,695
27.25,695
27.333333333333332,701
27.416666666666668,699
27.5,701
27.583333333333332,699
27.666666666666668,701
27.75,701
27.833333333333332,707
27.916666666666668,703
28,705
28.083333333333332,706
28.166666666666668,703
28.25,707
28.333333333333332,709
28.416666666666668,710
28.5,709
28.583333333333332,712
28.666666666666668,707
28.75,711
28.833333333333332,705
28.916666666666668,709
29,714
29.083333333333332,717
29.166666666666668,718
29.25,713
29.333333333333332,712
29.416666666666668,714
29.5,712
29.583333333333332,717
29.666666666666668,715
29.75,715
29.833333333333332,719
29.916666666666668,715
30,718
30.083333333333332,714
30.166666666666668,713
30.25,716
30.333333333333332,720
30.416666666666668,718
30.5,719
30.583333333333332,723
30.666666666666668,717
30.75,721
30.833333333333332,717
30.916666666666668,719
31,720
31.083333333333332,724
31.166666666666668,720
31.25,723
31.333333333333332,719
31.416666666666668,720
31.5,724
31.583333333333332,720
31.666666666666668,724
31.75,723
31.833333333333332,724
31.916666666666668,727
32,723
32.083333333333336,731
32.166666666666664,731
32.25,728
32.333333333333336,724
32.416666666666664,723
32.5,727
32.583333333333336,723
32.666666666666664,729
32.75,726
32.833333333333336,722
32.916666666666664,726
33,728
33.083333333333336,731
33.166666666666664,733
33.25,727
33.333333333333336,727
33.416666666666664,725
33.5,726
33.583333333333336,727
33.666666666666664,726
33.75,728
33.833333333333336,724
33.916666666666664,730
34,725
34.083333333333336,726
34.166666666666664,724
34.25,728
34.333333333333336,726
34.416666666666664,728
34.5,730
34.583333333333336,727
34.666666666666664,730
34.75,730
34.833333333333336,727
34.916666666666664,730
35,729
35.083333333333336,733
35.166666666666664,728
35.25,732
35.333333333333336,734
35.416666666666664,728
35.5,732
35.583333333333336,727
35.666666666666664,730
35.75,729
35.833333333333336,735
35.916666666666664,731
36,738
36.083333333333336,740
36.166666666666664,733
36.25,737
36.333333333333336,734
36.416666666666664,736
36.5,737
36.583333333333336,735
36.666666666666664,739
36.75,731
36.833333333333336,739
36.916666666666664,740
37,733
37.083333333333336,733
37.166666666666664,738
37.25,738
37.333333333333336,736
37.416666666666664,736
37.5,731
37.583333333333336,736
37.666666666666664,738
37.75,734
37.833333333333336,733
37.916666666666664,736
38,734
38.083333333333336,739
38.166666666666664,738
38.25,735
38.333333333333336,735
38.416666666666664,734
38.5,736
38.583333333333336,740
38.666666666666664,738
38.75,733
38.833333333333336,734
38.916666666666664,735
39,736
39.083333333333336,742
39.166666666666664,739
39.25,738
39.333333333333336,736
39.416666666666664,742
39.5,741
39.583333333333336,737
39.666666666666664,738
39.75,739
39.833333333333336,738
39.916666666666664,734
40,740
40.083333333333336,734
40.166666666666664,740
40.25,739
40.333333333333336,738
40.416666666666664,739
40.5,738
40.583333333333336,742
40.666666666666664,738
40.75,745
40.833333333333336,740
40.916666666666664,738
41,741
41.083333333333336,742
41.166666666666664,738
41.25,741
41.333333333333336,742
41.416666666666664,746
41.5,741
41.583333333333336,742
41.666666666666664,742
41.75,743
41.833333333333336,742
41.916666666666664,740
42,742
42.083333333333336,741
42.166666666666664,743
42.25,744
42.333333333333336,741
42.416666666666664,744
42.5,748
42.583333333333336,741
42.666666666666664,749
42.75,741
42.833333333333336,747
42.916666666666664,742
43,738
43.083333333333336,741
43.166666666666664,750
43.25,743
43.333333333333336,742
43.416666666666664,744
43.5,739
43.583333333333336,748
43.666666666666664,742
43.75,743
43.833333333333336,747
43.916666666666664,745
44,744
44.083333333333336,747
44.166666666666664,748
44.25,751
44.333333333333336,748
44.416666666666664,747
44.5,750
44.583333333333336,746
44.666666666666664,743
44.75,750
44.833333333333336,751
44.916666666666664,747
45,750
45.083333333333336,744
45.166666666666664,746
45.25,744
45.333333333333336,746
45.416666666666664,745
45.5,748
45.583333333333336,748
45.666666666666664,751
45.75,750
45.833333333333336,745
45.916666666666664,753
46,747
46.083333333333336,754
46.166666666666664,746
46.25,749
46.333333333333336,750
46.416666666666664,746
46.5,749
46.583333333333336,750
46.666666666666664,751
46.75,746
46.833333333333336,750
46.916666666666664,747
47,743
47.083333333333336,747
47.166666666666664,750
47.25,746
47.333333333333336,748
47.416666666666664,747
47.5,747
47.583333333333336,743
47.666666666666664,750
47.75,752
47.833333333333336,745
47.916666666666664,753
