"Hours since thread went live","Meitantei Conan • Case Closed - Episode 1125 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,0
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,1
0.9166666666666666,1
1,1
1.0833333333333333,1
1.1666666666666667,1
1.25,2
1.3333333333333333,2
1.4166666666666667,2
1.5,3
1.5833333333333333,3
1.6666666666666667,2
1.75,1
1.8333333333333333,1
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,3
2.25,3
2.3333333333333335,2
2.4166666666666665,4
2.5,3
2.5833333333333335,4
2.6666666666666665,2
2.75,3
2.8333333333333335,3
2.9166666666666665,4
3,5
3.0833333333333335,5
3.1666666666666665,4
3.25,4
3.3333333333333335,4
3.4166666666666665,4
3.5,4
3.5833333333333335,4
3.6666666666666665,4
3.75,5
3.8333333333333335,4
3.9166666666666665,5
4,5
4.083333333333333,5
4.166666666666667,5
4.25,5
4.333333333333333,4
4.416666666666667,5
4.5,5
4.583333333333333,6
4.666666666666667,7
4.75,6
4.833333333333333,6
4.916666666666667,7
5,7
5.083333333333333,6
5.166666666666667,8
5.25,6
5.333333333333333,6
5.416666666666667,5
5.5,5
5.583333333333333,6
5.666666666666667,7
5.75,6
5.833333333333333,7
5.916666666666667,8
6,9
6.083333333333333,7
6.166666666666667,7
6.25,5
6.333333333333333,6
6.416666666666667,6
6.5,8
6.583333333333333,6
6.666666666666667,9
6.75,6
6.833333333333333,8
6.916666666666667,10
7,10
7.083333333333333,10
7.166666666666667,11
7.25,8
7.333333333333333,10
7.416666666666667,9
7.5,9
7.583333333333333,8
7.666666666666667,8
7.75,7
7.833333333333333,11
7.916666666666667,7
8,7
8.083333333333334,11
8.166666666666666,11
8.25,7
8.333333333333334,10
8.416666666666666,8
8.5,11
8.583333333333334,9
8.666666666666666,11
8.75,10
8.833333333333334,9
8.916666666666666,9
9,10
9.083333333333334,11
9.166666666666666,10
9.25,9
9.333333333333334,9
9.416666666666666,9
9.5,12
9.583333333333334,9
9.666666666666666,10
9.75,12
9.833333333333334,11
9.916666666666666,11
10,11
10.083333333333334,9
10.166666666666666,8
10.25,9
10.333333333333334,10
10.416666666666666,10
10.5,8
10.583333333333334,8
10.666666666666666,9
10.75,9
10.833333333333334,10
10.916666666666666,10
11,11
11.083333333333334,9
11.166666666666666,9
11.25,10
11.333333333333334,9
11.416666666666666,8
11.5,9
11.583333333333334,8
11.666666666666666,8
11.75,8
11.833333333333334,11
11.916666666666666,9
12,11
12.083333333333334,8
12.166666666666666,10
12.25,7
12.333333333333334,10
12.416666666666666,10
12.5,7
12.583333333333334,10
12.666666666666666,9
12.75,7
12.833333333333334,8
12.916666666666666,7
13,9
13.083333333333334,10
13.166666666666666,9
13.25,9
13.333333333333334,8
13.416666666666666,8
13.5,9
13.583333333333334,11
13.666666666666666,11
13.75,7
13.833333333333334,8
13.916666666666666,7
14,11
14.083333333333334,8
14.166666666666666,10
14.25,8
14.333333333333334,10
14.416666666666666,9
14.5,11
14.583333333333334,10
14.666666666666666,9
14.75,8
14.833333333333334,9
14.916666666666666,10
15,8
15.083333333333334,9
15.166666666666666,9
15.25,9
15.333333333333334,11
15.416666666666666,9
15.5,10
15.583333333333334,9
15.666666666666666,11
15.75,11
15.833333333333334,10
15.916666666666666,9
16,10
16.083333333333332,10
16.166666666666668,8
16.25,9
16.333333333333332,9
16.416666666666668,10
16.5,8
16.583333333333332,10
16.666666666666668,8
16.75,9
16.833333333333332,8
16.916666666666668,11
17,10
17.083333333333332,11
17.166666666666668,11
17.25,9
17.333333333333332,11
17.416666666666668,10
17.5,9
17.583333333333332,9
17.666666666666668,10
17.75,10
17.833333333333332,10
17.916666666666668,8
18,10
18.083333333333332,7
18.166666666666668,7
18.25,11
18.333333333333332,10
18.416666666666668,10
18.5,9
18.583333333333332,11
18.666666666666668,10
18.75,9
18.833333333333332,9
18.916666666666668,11
19,10
19.083333333333332,9
19.166666666666668,11
19.25,8
19.333333333333332,8
19.416666666666668,9
19.5,10
19.583333333333332,11
19.666666666666668,9
19.75,9
19.833333333333332,8
19.916666666666668,10
20,9
20.083333333333332,7
20.166666666666668,8
20.25,10
20.333333333333332,9
20.416666666666668,9
20.5,9
20.583333333333332,9
20.666666666666668,7
20.75,11
20.833333333333332,11
20.916666666666668,10
21,9
21.083333333333332,7
21.166666666666668,11
21.25,9
21.333333333333332,9
21.416666666666668,8
21.5,8
21.583333333333332,11
21.666666666666668,9
21.75,9
21.833333333333332,9
21.916666666666668,10
22,10
22.083333333333332,9
22.166666666666668,8
22.25,9
22.333333333333332,10
22.416666666666668,7
22.5,8
22.583333333333332,7
22.666666666666668,9
22.75,9
22.833333333333332,10
22.916666666666668,8
23,10
23.083333333333332,7
23.166666666666668,10
23.25,8
23.333333333333332,11
23.416666666666668,9
23.5,9
23.583333333333332,10
23.666666666666668,10
23.75,8
23.833333333333332,11
23.916666666666668,9
24,9
24.083333333333332,7
24.166666666666668,8
24.25,11
24.333333333333332,9
24.416666666666668,10
24.5,8
24.583333333333332,8
24.666666666666668,9
24.75,10
24.833333333333332,10
24.916666666666668,10
25,7
25.083333333333332,9
25.166666666666668,10
25.25,10
25.333333333333332,8
25.416666666666668,7
25.5,9
25.583333333333332,7
25.666666666666668,10
25.75,7
25.833333333333332,10
25.916666666666668,12
26,11
26.083333333333332,9
26.166666666666668,11
26.25,10
26.333333333333332,10
26.416666666666668,8
26.5,10
26.583333333333332,9
26.666666666666668,10
26.75,9
26.833333333333332,11
26.916666666666668,11
27,11
27.083333333333332,12
27.166666666666668,12
27.25,9
27.333333333333332,11
27.416666666666668,10
27.5,9
27.583333333333332,12
27.666666666666668,10
27.75,11
27.833333333333332,11
27.916666666666668,11
28,12
28.083333333333332,12
28.166666666666668,11
28.25,10
28.333333333333332,9
28.416666666666668,9
28.5,10
28.583333333333332,10
28.666666666666668,11
28.75,10
28.833333333333332,11
28.916666666666668,13
29,10
29.083333333333332,13
29.166666666666668,10
29.25,12
29.333333333333332,10
29.416666666666668,11
29.5,9
29.583333333333332,11
29.666666666666668,9
29.75,11
29.833333333333332,12
29.916666666666668,12
30,9
30.083333333333332,10
30.166666666666668,10
30.25,10
30.333333333333332,10
30.416666666666668,12
30.5,10
30.583333333333332,11
30.666666666666668,10
30.75,11
30.833333333333332,10
30.916666666666668,11
31,11
31.083333333333332,10
31.166666666666668,9
31.25,11
31.333333333333332,11
31.416666666666668,13
31.5,12
31.583333333333332,12
31.666666666666668,10
31.75,11
31.833333333333332,12
31.916666666666668,11
32,11
32.083333333333336,11
32.166666666666664,10
32.25,11
32.333333333333336,10
32.416666666666664,12
32.5,12
32.583333333333336,9
32.666666666666664,11
32.75,11
32.833333333333336,11
32.916666666666664,10
33,11
33.083333333333336,11
33.166666666666664,9
33.25,11
33.333333333333336,10
33.416666666666664,10
33.5,12
33.583333333333336,10
33.666666666666664,12
33.75,10
33.833333333333336,11
33.916666666666664,11
34,11
34.083333333333336,10
34.166666666666664,10
34.25,11
34.333333333333336,12
34.416666666666664,11
34.5,11
34.583333333333336,10
34.666666666666664,10
34.75,12
34.833333333333336,9
34.916666666666664,13
35,10
35.083333333333336,10
35.166666666666664,11
35.25,11
35.333333333333336,10
35.416666666666664,13
35.5,11
35.583333333333336,12
35.666666666666664,10
35.75,13
35.833333333333336,11
35.916666666666664,10
36,12
36.083333333333336,11
36.166666666666664,11
36.25,11
36.333333333333336,9
36.416666666666664,11
36.5,11
36.583333333333336,11
36.666666666666664,11
36.75,11
36.833333333333336,9
36.916666666666664,11
37,12
37.166666666666664,11
37.25,11
37.333333333333336,10
37.416666666666664,10
37.5,13
